start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
9	10	IS_AST_PARENT	
9	11	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
13	14	IS_AST_PARENT	
13	15	IS_AST_PARENT	
12	13	IS_AST_PARENT	
4	12	IS_AST_PARENT	
17	18	IS_AST_PARENT	
17	19	IS_AST_PARENT	
16	17	IS_AST_PARENT	
20	21	IS_AST_PARENT	
20	22	IS_AST_PARENT	
16	20	IS_AST_PARENT	
23	24	IS_AST_PARENT	
23	25	IS_AST_PARENT	
16	23	IS_AST_PARENT	
26	27	IS_AST_PARENT	
26	28	IS_AST_PARENT	
16	26	IS_AST_PARENT	
29	30	IS_AST_PARENT	
29	31	IS_AST_PARENT	
16	29	IS_AST_PARENT	
32	33	IS_AST_PARENT	
32	34	IS_AST_PARENT	
16	32	IS_AST_PARENT	
4	16	IS_AST_PARENT	
36	37	IS_AST_PARENT	
36	38	IS_AST_PARENT	
35	36	IS_AST_PARENT	
39	40	IS_AST_PARENT	
39	41	IS_AST_PARENT	
35	39	IS_AST_PARENT	
42	43	IS_AST_PARENT	
42	44	IS_AST_PARENT	
35	42	IS_AST_PARENT	
4	35	IS_AST_PARENT	
46	47	IS_AST_PARENT	
46	48	IS_AST_PARENT	
45	46	IS_AST_PARENT	
4	45	IS_AST_PARENT	
50	51	IS_AST_PARENT	
50	52	IS_AST_PARENT	
49	50	IS_AST_PARENT	
4	49	IS_AST_PARENT	
54	55	IS_AST_PARENT	
54	56	IS_AST_PARENT	
57	58	IS_AST_PARENT	
60	61	IS_AST_PARENT	
60	62	IS_AST_PARENT	
59	60	IS_AST_PARENT	
59	63	IS_AST_PARENT	
57	59	IS_AST_PARENT	
54	57	IS_AST_PARENT	
53	54	IS_AST_PARENT	
4	53	IS_AST_PARENT	
65	66	IS_AST_PARENT	
65	67	IS_AST_PARENT	
68	69	IS_AST_PARENT	
71	72	IS_AST_PARENT	
71	73	IS_AST_PARENT	
70	71	IS_AST_PARENT	
70	74	IS_AST_PARENT	
68	70	IS_AST_PARENT	
65	68	IS_AST_PARENT	
64	65	IS_AST_PARENT	
4	64	IS_AST_PARENT	
76	77	IS_AST_PARENT	
76	78	IS_AST_PARENT	
79	80	IS_AST_PARENT	
82	83	IS_AST_PARENT	
82	84	IS_AST_PARENT	
81	82	IS_AST_PARENT	
81	85	IS_AST_PARENT	
79	81	IS_AST_PARENT	
76	79	IS_AST_PARENT	
75	76	IS_AST_PARENT	
4	75	IS_AST_PARENT	
87	88	IS_AST_PARENT	
87	89	IS_AST_PARENT	
90	91	IS_AST_PARENT	
93	94	IS_AST_PARENT	
93	95	IS_AST_PARENT	
92	93	IS_AST_PARENT	
92	96	IS_AST_PARENT	
90	92	IS_AST_PARENT	
87	90	IS_AST_PARENT	
86	87	IS_AST_PARENT	
4	86	IS_AST_PARENT	
98	99	IS_AST_PARENT	
98	100	IS_AST_PARENT	
101	102	IS_AST_PARENT	
101	103	IS_AST_PARENT	
98	101	IS_AST_PARENT	
97	98	IS_AST_PARENT	
4	97	IS_AST_PARENT	
106	107	IS_AST_PARENT	
105	106	IS_AST_PARENT	
109	110	IS_AST_PARENT	
108	109	IS_AST_PARENT	
112	113	IS_AST_PARENT	
114	115	IS_AST_PARENT	
114	116	IS_AST_PARENT	
112	114	IS_AST_PARENT	
111	112	IS_AST_PARENT	
108	111	IS_AST_PARENT	
105	108	IS_AST_PARENT	
104	105	IS_AST_PARENT	
4	104	IS_AST_PARENT	
121	122	IS_AST_PARENT	
121	123	IS_AST_PARENT	
120	121	IS_AST_PARENT	
120	124	IS_AST_PARENT	
119	120	IS_AST_PARENT	
118	119	IS_AST_PARENT	
126	127	IS_AST_PARENT	
125	126	IS_AST_PARENT	
118	125	IS_AST_PARENT	
117	118	IS_AST_PARENT	
4	117	IS_AST_PARENT	
130	131	IS_AST_PARENT	
132	133	IS_AST_PARENT	
132	134	IS_AST_PARENT	
130	132	IS_AST_PARENT	
129	130	IS_AST_PARENT	
128	129	IS_AST_PARENT	
138	139	IS_AST_PARENT	
138	140	IS_AST_PARENT	
137	138	IS_AST_PARENT	
136	137	IS_AST_PARENT	
143	144	IS_AST_PARENT	
145	146	IS_AST_PARENT	
147	148	IS_AST_PARENT	
147	149	IS_AST_PARENT	
145	147	IS_AST_PARENT	
143	145	IS_AST_PARENT	
142	143	IS_AST_PARENT	
141	142	IS_AST_PARENT	
151	152	IS_AST_PARENT	
153	154	IS_AST_PARENT	
153	155	IS_AST_PARENT	
151	153	IS_AST_PARENT	
150	151	IS_AST_PARENT	
141	150	IS_AST_PARENT	
157	158	IS_AST_PARENT	
160	161	IS_AST_PARENT	
160	162	IS_AST_PARENT	
159	160	IS_AST_PARENT	
159	163	IS_AST_PARENT	
157	159	IS_AST_PARENT	
156	157	IS_AST_PARENT	
141	156	IS_AST_PARENT	
136	141	IS_AST_PARENT	
167	168	IS_AST_PARENT	
167	169	IS_AST_PARENT	
166	167	IS_AST_PARENT	
165	166	IS_AST_PARENT	
171	172	IS_AST_PARENT	
173	174	IS_AST_PARENT	
173	175	IS_AST_PARENT	
171	173	IS_AST_PARENT	
170	171	IS_AST_PARENT	
165	170	IS_AST_PARENT	
177	178	IS_AST_PARENT	
180	181	IS_AST_PARENT	
180	182	IS_AST_PARENT	
179	180	IS_AST_PARENT	
179	183	IS_AST_PARENT	
177	179	IS_AST_PARENT	
176	177	IS_AST_PARENT	
165	176	IS_AST_PARENT	
164	165	IS_AST_PARENT	
136	164	IS_AST_PARENT	
135	136	IS_AST_PARENT	
128	135	IS_AST_PARENT	
187	188	IS_AST_PARENT	
190	191	IS_AST_PARENT	
190	192	IS_AST_PARENT	
189	190	IS_AST_PARENT	
189	193	IS_AST_PARENT	
187	189	IS_AST_PARENT	
186	187	IS_AST_PARENT	
185	186	IS_AST_PARENT	
195	196	IS_AST_PARENT	
194	195	IS_AST_PARENT	
199	200	IS_AST_PARENT	
201	202	IS_AST_PARENT	
201	203	IS_AST_PARENT	
199	201	IS_AST_PARENT	
198	199	IS_AST_PARENT	
197	198	IS_AST_PARENT	
205	206	IS_AST_PARENT	
208	209	IS_AST_PARENT	
208	210	IS_AST_PARENT	
207	208	IS_AST_PARENT	
207	211	IS_AST_PARENT	
205	207	IS_AST_PARENT	
204	205	IS_AST_PARENT	
197	204	IS_AST_PARENT	
194	197	IS_AST_PARENT	
215	216	IS_AST_PARENT	
217	218	IS_AST_PARENT	
217	219	IS_AST_PARENT	
215	217	IS_AST_PARENT	
214	215	IS_AST_PARENT	
213	214	IS_AST_PARENT	
221	222	IS_AST_PARENT	
224	225	IS_AST_PARENT	
224	226	IS_AST_PARENT	
223	224	IS_AST_PARENT	
223	227	IS_AST_PARENT	
221	223	IS_AST_PARENT	
220	221	IS_AST_PARENT	
213	220	IS_AST_PARENT	
212	213	IS_AST_PARENT	
194	212	IS_AST_PARENT	
185	194	IS_AST_PARENT	
184	185	IS_AST_PARENT	
128	184	IS_AST_PARENT	
4	128	IS_AST_PARENT	
230	231	IS_AST_PARENT	
229	230	IS_AST_PARENT	
233	234	IS_AST_PARENT	
232	233	IS_AST_PARENT	
236	237	IS_AST_PARENT	
238	239	IS_AST_PARENT	
238	240	IS_AST_PARENT	
236	238	IS_AST_PARENT	
235	236	IS_AST_PARENT	
232	235	IS_AST_PARENT	
229	232	IS_AST_PARENT	
228	229	IS_AST_PARENT	
4	228	IS_AST_PARENT	
243	244	IS_AST_PARENT	
242	243	IS_AST_PARENT	
246	247	IS_AST_PARENT	
245	246	IS_AST_PARENT	
248	249	IS_AST_PARENT	
245	248	IS_AST_PARENT	
251	252	IS_AST_PARENT	
253	254	IS_AST_PARENT	
253	255	IS_AST_PARENT	
251	253	IS_AST_PARENT	
250	251	IS_AST_PARENT	
245	250	IS_AST_PARENT	
258	259	IS_AST_PARENT	
258	260	IS_AST_PARENT	
257	258	IS_AST_PARENT	
257	261	IS_AST_PARENT	
256	257	IS_AST_PARENT	
245	256	IS_AST_PARENT	
262	263	IS_AST_PARENT	
245	262	IS_AST_PARENT	
264	265	IS_AST_PARENT	
245	264	IS_AST_PARENT	
242	245	IS_AST_PARENT	
241	242	IS_AST_PARENT	
4	241	IS_AST_PARENT	
267	268	IS_AST_PARENT	
266	267	IS_AST_PARENT	
271	272	IS_AST_PARENT	
274	275	IS_AST_PARENT	
273	274	IS_AST_PARENT	
277	278	IS_AST_PARENT	
276	277	IS_AST_PARENT	
280	281	IS_AST_PARENT	
282	283	IS_AST_PARENT	
282	284	IS_AST_PARENT	
280	282	IS_AST_PARENT	
279	280	IS_AST_PARENT	
276	279	IS_AST_PARENT	
273	276	IS_AST_PARENT	
271	273	IS_AST_PARENT	
270	271	IS_AST_PARENT	
269	270	IS_AST_PARENT	
287	288	IS_AST_PARENT	
286	287	IS_AST_PARENT	
290	291	IS_AST_PARENT	
289	290	IS_AST_PARENT	
293	294	IS_AST_PARENT	
295	296	IS_AST_PARENT	
295	297	IS_AST_PARENT	
293	295	IS_AST_PARENT	
292	293	IS_AST_PARENT	
289	292	IS_AST_PARENT	
298	299	IS_AST_PARENT	
289	298	IS_AST_PARENT	
286	289	IS_AST_PARENT	
285	286	IS_AST_PARENT	
269	285	IS_AST_PARENT	
301	302	IS_AST_PARENT	
303	304	IS_AST_PARENT	
303	305	IS_AST_PARENT	
301	303	IS_AST_PARENT	
300	301	IS_AST_PARENT	
269	300	IS_AST_PARENT	
307	308	IS_AST_PARENT	
312	313	IS_AST_PARENT	
311	312	IS_AST_PARENT	
316	317	IS_AST_PARENT	
316	318	IS_AST_PARENT	
315	316	IS_AST_PARENT	
314	315	IS_AST_PARENT	
319	320	IS_AST_PARENT	
314	319	IS_AST_PARENT	
311	314	IS_AST_PARENT	
310	311	IS_AST_PARENT	
310	321	IS_AST_PARENT	
309	310	IS_AST_PARENT	
309	322	IS_AST_PARENT	
307	309	IS_AST_PARENT	
306	307	IS_AST_PARENT	
269	306	IS_AST_PARENT	
326	327	IS_AST_PARENT	
326	328	IS_AST_PARENT	
325	326	IS_AST_PARENT	
325	329	IS_AST_PARENT	
324	325	IS_AST_PARENT	
324	330	IS_AST_PARENT	
323	324	IS_AST_PARENT	
269	323	IS_AST_PARENT	
266	269	IS_AST_PARENT	
4	266	IS_AST_PARENT	
333	334	IS_AST_PARENT	
333	335	IS_AST_PARENT	
332	333	IS_AST_PARENT	
337	338	IS_AST_PARENT	
337	339	IS_AST_PARENT	
336	337	IS_AST_PARENT	
336	340	IS_AST_PARENT	
332	336	IS_AST_PARENT	
331	332	IS_AST_PARENT	
4	331	IS_AST_PARENT	
342	343	IS_AST_PARENT	
342	344	IS_AST_PARENT	
341	342	IS_AST_PARENT	
4	341	IS_AST_PARENT	
347	348	IS_AST_PARENT	
346	347	IS_AST_PARENT	
350	351	IS_AST_PARENT	
349	350	IS_AST_PARENT	
353	354	IS_AST_PARENT	
355	356	IS_AST_PARENT	
355	357	IS_AST_PARENT	
353	355	IS_AST_PARENT	
352	353	IS_AST_PARENT	
349	352	IS_AST_PARENT	
346	349	IS_AST_PARENT	
345	346	IS_AST_PARENT	
4	345	IS_AST_PARENT	
360	361	IS_AST_PARENT	
359	360	IS_AST_PARENT	
363	364	IS_AST_PARENT	
362	363	IS_AST_PARENT	
365	366	IS_AST_PARENT	
362	365	IS_AST_PARENT	
368	369	IS_AST_PARENT	
370	371	IS_AST_PARENT	
370	372	IS_AST_PARENT	
368	370	IS_AST_PARENT	
367	368	IS_AST_PARENT	
362	367	IS_AST_PARENT	
375	376	IS_AST_PARENT	
375	377	IS_AST_PARENT	
374	375	IS_AST_PARENT	
374	378	IS_AST_PARENT	
373	374	IS_AST_PARENT	
362	373	IS_AST_PARENT	
379	380	IS_AST_PARENT	
362	379	IS_AST_PARENT	
381	382	IS_AST_PARENT	
362	381	IS_AST_PARENT	
359	362	IS_AST_PARENT	
358	359	IS_AST_PARENT	
4	358	IS_AST_PARENT	
385	386	IS_AST_PARENT	
385	387	IS_AST_PARENT	
384	385	IS_AST_PARENT	
383	384	IS_AST_PARENT	
390	391	IS_AST_PARENT	
392	393	IS_AST_PARENT	
392	394	IS_AST_PARENT	
390	392	IS_AST_PARENT	
389	390	IS_AST_PARENT	
388	389	IS_AST_PARENT	
396	397	IS_AST_PARENT	
398	399	IS_AST_PARENT	
398	400	IS_AST_PARENT	
396	398	IS_AST_PARENT	
395	396	IS_AST_PARENT	
388	395	IS_AST_PARENT	
402	403	IS_AST_PARENT	
405	406	IS_AST_PARENT	
404	405	IS_AST_PARENT	
408	409	IS_AST_PARENT	
407	408	IS_AST_PARENT	
411	412	IS_AST_PARENT	
413	414	IS_AST_PARENT	
413	415	IS_AST_PARENT	
411	413	IS_AST_PARENT	
410	411	IS_AST_PARENT	
407	410	IS_AST_PARENT	
416	417	IS_AST_PARENT	
407	416	IS_AST_PARENT	
404	407	IS_AST_PARENT	
402	404	IS_AST_PARENT	
401	402	IS_AST_PARENT	
388	401	IS_AST_PARENT	
420	421	IS_AST_PARENT	
419	420	IS_AST_PARENT	
423	424	IS_AST_PARENT	
422	423	IS_AST_PARENT	
426	427	IS_AST_PARENT	
428	429	IS_AST_PARENT	
428	430	IS_AST_PARENT	
426	428	IS_AST_PARENT	
425	426	IS_AST_PARENT	
422	425	IS_AST_PARENT	
431	432	IS_AST_PARENT	
422	431	IS_AST_PARENT	
419	422	IS_AST_PARENT	
418	419	IS_AST_PARENT	
388	418	IS_AST_PARENT	
435	436	IS_AST_PARENT	
435	437	IS_AST_PARENT	
434	435	IS_AST_PARENT	
433	434	IS_AST_PARENT	
440	441	IS_AST_PARENT	
444	445	IS_AST_PARENT	
443	444	IS_AST_PARENT	
447	448	IS_AST_PARENT	
446	447	IS_AST_PARENT	
450	451	IS_AST_PARENT	
452	453	IS_AST_PARENT	
452	454	IS_AST_PARENT	
450	452	IS_AST_PARENT	
449	450	IS_AST_PARENT	
446	449	IS_AST_PARENT	
455	456	IS_AST_PARENT	
446	455	IS_AST_PARENT	
443	446	IS_AST_PARENT	
442	443	IS_AST_PARENT	
442	457	IS_AST_PARENT	
440	442	IS_AST_PARENT	
439	440	IS_AST_PARENT	
438	439	IS_AST_PARENT	
460	461	IS_AST_PARENT	
459	460	IS_AST_PARENT	
463	464	IS_AST_PARENT	
462	463	IS_AST_PARENT	
466	467	IS_AST_PARENT	
468	469	IS_AST_PARENT	
468	470	IS_AST_PARENT	
466	468	IS_AST_PARENT	
465	466	IS_AST_PARENT	
462	465	IS_AST_PARENT	
471	472	IS_AST_PARENT	
462	471	IS_AST_PARENT	
459	462	IS_AST_PARENT	
458	459	IS_AST_PARENT	
438	458	IS_AST_PARENT	
433	438	IS_AST_PARENT	
388	433	IS_AST_PARENT	
475	476	IS_AST_PARENT	
475	477	IS_AST_PARENT	
474	475	IS_AST_PARENT	
473	474	IS_AST_PARENT	
481	482	IS_AST_PARENT	
480	481	IS_AST_PARENT	
484	485	IS_AST_PARENT	
483	484	IS_AST_PARENT	
487	488	IS_AST_PARENT	
489	490	IS_AST_PARENT	
489	491	IS_AST_PARENT	
487	489	IS_AST_PARENT	
486	487	IS_AST_PARENT	
483	486	IS_AST_PARENT	
480	483	IS_AST_PARENT	
479	480	IS_AST_PARENT	
478	479	IS_AST_PARENT	
494	495	IS_AST_PARENT	
493	494	IS_AST_PARENT	
497	498	IS_AST_PARENT	
496	497	IS_AST_PARENT	
499	500	IS_AST_PARENT	
496	499	IS_AST_PARENT	
502	503	IS_AST_PARENT	
504	505	IS_AST_PARENT	
504	506	IS_AST_PARENT	
502	504	IS_AST_PARENT	
501	502	IS_AST_PARENT	
496	501	IS_AST_PARENT	
509	510	IS_AST_PARENT	
509	511	IS_AST_PARENT	
508	509	IS_AST_PARENT	
508	512	IS_AST_PARENT	
507	508	IS_AST_PARENT	
496	507	IS_AST_PARENT	
513	514	IS_AST_PARENT	
496	513	IS_AST_PARENT	
515	516	IS_AST_PARENT	
496	515	IS_AST_PARENT	
493	496	IS_AST_PARENT	
492	493	IS_AST_PARENT	
478	492	IS_AST_PARENT	
518	519	IS_AST_PARENT	
522	523	IS_AST_PARENT	
522	524	IS_AST_PARENT	
521	522	IS_AST_PARENT	
521	525	IS_AST_PARENT	
520	521	IS_AST_PARENT	
520	526	IS_AST_PARENT	
518	520	IS_AST_PARENT	
517	518	IS_AST_PARENT	
