command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/devign__04_non_vulnerable_static_av_always_inline_int_dnxhd_de__xfg_targeted_dead_code__c1/_work/source/devign__04_non_vulnerable_static_av_always_inline_int_dnxhd_de__xfg_targeted_dead_code__c1.c								
ANR	2	Function	dnxhd_decode_dct_block	1:0:0:3350							
ANR	3	FunctionDef	"dnxhd_decode_dct_block (const DNXHDContext * ctx , RowContext * row , int n , int index_bits , int level_bias , int level_shift)"		2	0					
ANR	4	CompoundStatement		13:0:410:3350	2	0					
ANR	5	IdentifierDeclStatement	"int i , j , index1 , index2 , len , flags ;"	15:4:417:453	2	0	True				
ANR	6	IdentifierDecl	i		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	i		2	1					
ANR	9	IdentifierDecl	j		2	1					
ANR	10	IdentifierDeclType	int		2	0					
ANR	11	Identifier	j		2	1					
ANR	12	IdentifierDecl	index1		2	2					
ANR	13	IdentifierDeclType	int		2	0					
ANR	14	Identifier	index1		2	1					
ANR	15	IdentifierDecl	index2		2	3					
ANR	16	IdentifierDeclType	int		2	0					
ANR	17	Identifier	index2		2	1					
ANR	18	IdentifierDecl	len		2	4					
ANR	19	IdentifierDeclType	int		2	0					
ANR	20	Identifier	len		2	1					
ANR	21	IdentifierDecl	flags		2	5					
ANR	22	IdentifierDeclType	int		2	0					
ANR	23	Identifier	flags		2	1					
ANR	24	IdentifierDeclStatement	"int level , component , sign ;"	17:4:460:486	2	1	True				
ANR	25	IdentifierDecl	level		2	0					
ANR	26	IdentifierDeclType	int		2	0					
ANR	27	Identifier	level		2	1					
ANR	28	IdentifierDecl	component		2	1					
ANR	29	IdentifierDeclType	int		2	0					
ANR	30	Identifier	component		2	1					
ANR	31	IdentifierDecl	sign		2	2					
ANR	32	IdentifierDeclType	int		2	0					
ANR	33	Identifier	sign		2	1					
ANR	34	IfStatement	if ( 0 )		2	2					
ANR	35	Condition	0	19:8:497:497	2	0	True				
ANR	36	PrimaryExpression	0		2	0					
ANR	37	CompoundStatement		8:8:99:122	2	1					
ANR	38	IdentifierDeclStatement	int dwk_xfg_guard_1 = 1 ;	20:8:510:533	2	0	True				
ANR	39	IdentifierDecl	dwk_xfg_guard_1 = 1		2	0					
ANR	40	IdentifierDeclType	int		2	0					
ANR	41	Identifier	dwk_xfg_guard_1		2	1					
ANR	42	AssignmentExpression	dwk_xfg_guard_1 = 1		2	2		=			
ANR	43	Identifier	dwk_xfg_guard_1		2	0					
ANR	44	PrimaryExpression	1		2	1					
ANR	45	ExpressionStatement	dwk_xfg_guard_1 += 0	21:8:543:563	2	1	True				
ANR	46	AssignmentExpression	dwk_xfg_guard_1 += 0		2	0		+=			
