command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/devign__05_non_vulnerable_static_int_slb_lookup__pattern_dead_code__c1/_work/source/devign__05_non_vulnerable_static_int_slb_lookup__pattern_dead_code__c1.c								
ANR	2	Function	slb_lookup	1:0:0:2118							
ANR	3	FunctionDef	"slb_lookup (CPUPPCState * env , target_ulong eaddr , target_ulong * vsid , target_ulong * page_mask , int * attr)"		2	0					
ANR	4	CompoundStatement		5:0:142:2118	2	0					
ANR	5	IdentifierDeclStatement	target_phys_addr_t sr_base ;	7:4:149:175	2	0	True				
ANR	6	IdentifierDecl	sr_base		2	0					
ANR	7	IdentifierDeclType	target_phys_addr_t		2	0					
ANR	8	Identifier	sr_base		2	1					
ANR	9	IdentifierDeclStatement	target_ulong mask ;	9:4:182:199	2	1	True				
ANR	10	IdentifierDecl	mask		2	0					
ANR	11	IdentifierDeclType	target_ulong		2	0					
ANR	12	Identifier	mask		2	1					
ANR	13	IdentifierDeclStatement	uint64_t tmp64 ;	11:4:206:220	2	2	True				
ANR	14	IdentifierDecl	tmp64		2	0					
ANR	15	IdentifierDeclType	uint64_t		2	0					
ANR	16	Identifier	tmp64		2	1					
ANR	17	IdentifierDeclStatement	uint32_t tmp ;	13:4:227:239	2	3	True				
ANR	18	IdentifierDecl	tmp		2	0					
ANR	19	IdentifierDeclType	uint32_t		2	0					
ANR	20	Identifier	tmp		2	1					
ANR	21	IdentifierDeclStatement	"int n , ret ;"	15:4:246:256	2	4	True				
ANR	22	IdentifierDecl	n		2	0					
ANR	23	IdentifierDeclType	int		2	0					
ANR	24	Identifier	n		2	1					
ANR	25	IdentifierDecl	ret		2	1					
ANR	26	IdentifierDeclType	int		2	0					
ANR	27	Identifier	ret		2	1					
ANR	28	IdentifierDeclStatement	int slb_nr ;	17:4:263:273	2	5	True				
ANR	29	IdentifierDecl	slb_nr		2	0					
ANR	30	IdentifierDeclType	int		2	0					
ANR	31	Identifier	slb_nr		2	1					
ANR	32	ExpressionStatement	ret = - 5	21:4:282:290	2	6	True				
ANR	33	AssignmentExpression	ret = - 5		2	0		=			
ANR	34	Identifier	ret		2	0					
ANR	35	UnaryOperationExpression	- 5		2	1					
ANR	36	UnaryOperator	-		2	0					
ANR	37	PrimaryExpression	5		2	1					
ANR	38	IfStatement	if ( 0 )		2	7					
ANR	39	Condition	0	23:8:301:301	2	0	True				
ANR	40	PrimaryExpression	0		2	0					
ANR	41	CompoundStatement		22:8:237:275	2	1					
ANR	42	IdentifierDeclStatement	char dwk_src_1 [ 8 ] = { 0 } ;	24:8:314:337	2	0	True				
ANR	43	IdentifierDecl	dwk_src_1 [ 8 ] = { 0 }		2	0					
ANR	44	IdentifierDeclType	char [ 8 ]		2	0					
ANR	45	Identifier	dwk_src_1		2	1					
ANR	46	PrimaryExpression	8		2	2					
ANR	47	AssignmentExpression	dwk_src_1 [ 8 ] = { 0 }		2	3		=			
ANR	48	Identifier	dwk_src_1		2	0					
ANR	49	InitializerList	0		2	1					
ANR	50	PrimaryExpression	0		2	0					
ANR	51	IdentifierDeclStatement	char dwk_dst_1 [ 8 ] = { 0 } ;	25:8:347:370	2	1	True				
ANR	52	IdentifierDecl	dwk_dst_1 [ 8 ] = { 0 }		2	0					
ANR	53	IdentifierDeclType	char [ 8 ]		2	0					
ANR	54	Identifier	dwk_dst_1		2	1					
ANR	55	PrimaryExpression	8		2	2					
ANR	56	AssignmentExpression	dwk_dst_1 [ 8 ] = { 0 }		2	3		=			
ANR	57	Identifier	dwk_dst_1		2	0					
ANR	58	InitializerList	0		2	1					
ANR	59	PrimaryExpression	0		2	0					
ANR	60	IdentifierDeclStatement	int dwk_len_1 = ( int ) sizeof ( dwk_dst_1 ) ;	26:8:380:418	2	2	True				
ANR	61	IdentifierDecl	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		2	0					
ANR	62	IdentifierDeclType	int		2	0					
ANR	63	Identifier	dwk_len_1		2	1					
ANR	64	AssignmentExpression	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		2	2		=			
ANR	65	Identifier	dwk_len_1		2	0					
ANR	66	CastExpression	( int ) sizeof ( dwk_dst_1 )		2	1					
ANR	67	CastTarget	int		2	0					
ANR	68	SizeofExpression	sizeof ( dwk_dst_1 )		2	1					
ANR	69	Sizeof	sizeof		2	0					
ANR	70	SizeofOperand	dwk_dst_1		2	1					
ANR	71	IfStatement	if ( dwk_len_1 > 0 )		2	3					
ANR	72	Condition	dwk_len_1 > 0	27:12:432:444	2	0	True				
ANR	73	RelationalExpression	dwk_len_1 > 0		2	0		>			
ANR	74	Identifier	dwk_len_1		2	0					
ANR	75	PrimaryExpression	0		2	1					
ANR	76	CompoundStatement		23:27:304:304	2	1					
ANR	77	ExpressionStatement	dwk_dst_1 [ dwk_len_1 - 1 ] = dwk_src_1 [ 0 ]	28:12:461:500	2	0	True				
ANR	78	AssignmentExpression	dwk_dst_1 [ dwk_len_1 - 1 ] = dwk_src_1 [ 0 ]		2	0		=			
ANR	79	ArrayIndexing	dwk_dst_1 [ dwk_len_1 - 1 ]		2	0					
ANR	80	Identifier	dwk_dst_1		2	0					
ANR	81	AdditiveExpression	dwk_len_1 - 1		2	1		-			
ANR	82	Identifier	dwk_len_1		2	0					
ANR	83	PrimaryExpression	1		2	1					
ANR	84	ArrayIndexing	dwk_src_1 [ 0 ]		2	1					
ANR	85	Identifier	dwk_src_1		2	0					
ANR	86	PrimaryExpression	0		2	1					
ANR	87	ExpressionStatement	sr_base = env -> spr [ SPR_ASR ]	31:4:522:549	2	8	True				
ANR	88	AssignmentExpression	sr_base = env -> spr [ SPR_ASR ]		2	0		=			
ANR	89	Identifier	sr_base		2	0					
ANR	90	ArrayIndexing	env -> spr [ SPR_ASR ]		2	1					
ANR	91	PtrMemberAccess	env -> spr		2	0					
ANR	92	Identifier	env		2	0					
ANR	93	Identifier	spr		2	1					
ANR	94	Identifier	SPR_ASR		2	1					
ANR	95	IfStatement	if ( loglevel != 0 )		2	9					
ANR	96	Condition	loglevel != 0	35:8:584:596	2	0	True				
ANR	97	EqualityExpression	loglevel != 0		2	0		!=			
ANR	98	Identifier	loglevel		2	0					
ANR	99	PrimaryExpression	0		2	1					
ANR	100	CompoundStatement		31:23:456:456	2	1					
ANR	101	Statement	fprintf	37:8:610:616	2	0	True				
ANR	102	Statement	(	37:15:617:617	2	1	True				
ANR	103	Statement	logfile	37:16:618:624	2	2	True				
ANR	104	Statement	","	37:23:625:625	2	3	True				
ANR	105	Statement	"""%s: eaddr """	37:25:627:638	2	4	True				
ANR	106	Statement	ADDRX	37:38:640:644	2	5	True				
ANR	107	Statement	""" base """	37:44:646:653	2	6	True				
ANR	108	Statement	PADDRX	37:53:655:660	2	7	True				
ANR	109	Statement	"""\\n"""	37:60:662:665	2	8	True				
ANR	110	Statement	","	37:64:666:666	2	9	True				
ANR	111	Statement	__func__	39:16:685:692	2	10	True				
ANR	112	Statement	","	39:24:693:693	2	11	True				
ANR	113	Statement	eaddr	39:26:695:699	2	12	True				
ANR	114	Statement	","	39:31:700:700	2	13	True				
ANR	115	Statement	sr_base	39:33:702:708	2	14	True				
ANR	116	Statement	)	39:40:709:709	2	15	True				
ANR	117	ExpressionStatement		39:41:710:710	2	16	True				
ANR	118	Statement	mask	45:4:732:735	2	10	True				
ANR	119	Statement	=	45:9:737:737	2	11	True				
ANR	120	Statement	0x0000000000000000UL	45:11:739:758	2	12	True				
