command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/devign__07_vulnerable_static_inline_int_usb_bt_fifo_dequeu__data_flow_alias__c1/_work/source/devign__07_vulnerable_static_inline_int_usb_bt_fifo_dequeu__data_flow_alias__c1.c								
ANR	2	Function	usb_bt_fifo_dequeue	1:0:0:780							
ANR	3	FunctionDef	"usb_bt_fifo_dequeue (struct usb_hci_in_fifo_s * fifo , USBPacket * p)"		2	0					
ANR	4	CompoundStatement		5:0:102:780	2	0					
ANR	5	IdentifierDeclStatement	int len ;	7:4:109:116	2	0	True				
ANR	6	IdentifierDecl	len		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	len		2	1					
ANR	9	IdentifierDeclStatement	int dwk_flow_value_1 = ( int ) ( ! fifo -> len ) ;	11:4:125:165	2	1	True				
ANR	10	IdentifierDecl	dwk_flow_value_1 = ( int ) ( ! fifo -> len )		2	0					
ANR	11	IdentifierDeclType	int		2	0					
ANR	12	Identifier	dwk_flow_value_1		2	1					
ANR	13	AssignmentExpression	dwk_flow_value_1 = ( int ) ( ! fifo -> len )		2	2		=			
ANR	14	Identifier	dwk_flow_value_1		2	0					
ANR	15	CastExpression	( int ) ( ! fifo -> len )		2	1					
ANR	16	CastTarget	int		2	0					
ANR	17	UnaryOperationExpression	! fifo -> len		2	1					
ANR	18	UnaryOperator	!		2	0					
ANR	19	PtrMemberAccess	fifo -> len		2	1					
ANR	20	Identifier	fifo		2	0					
ANR	21	Identifier	len		2	1					
ANR	22	ExpressionStatement	dwk_flow_value_1 += 0	12:4:171:192	2	2	True				
ANR	23	AssignmentExpression	dwk_flow_value_1 += 0		2	0		+=			
ANR	24	Identifier	dwk_flow_value_1		2	0					
ANR	25	PrimaryExpression	0		2	1					
ANR	26	IfStatement	if ( likely ( ! fifo -> len ) )		2	3					
ANR	27	Condition	likely ( ! fifo -> len )	13:8:202:219	2	0	True				
ANR	28	CallExpression	likely ( ! fifo -> len )		2	0					
ANR	29	Callee	likely		2	0					
ANR	30	Identifier	likely		2	0					
ANR	31	ArgumentList	! fifo -> len		2	1					
ANR	32	Argument	! fifo -> len		2	0					
ANR	33	UnaryOperationExpression	! fifo -> len		2	0					
ANR	34	UnaryOperator	!		2	0					
ANR	35	PtrMemberAccess	fifo -> len		2	1					
ANR	36	Identifier	fifo		2	0					
ANR	37	Identifier	len		2	1					
ANR	38	ReturnStatement	return USB_RET_STALL ;	15:8:231:251	2	1	True				
ANR	39	Identifier	USB_RET_STALL		2	0					
ANR	40	ExpressionStatement	"len = MIN ( p -> len , fifo -> fifo [ fifo -> start ] . len )"	19:4:260:306	2	4	True				
ANR	41	AssignmentExpression	"len = MIN ( p -> len , fifo -> fifo [ fifo -> start ] . len )"		2	0		=			
ANR	42	Identifier	len		2	0					
ANR	43	CallExpression	"MIN ( p -> len , fifo -> fifo [ fifo -> start ] . len )"		2	1					
ANR	44	Callee	MIN		2	0					
ANR	45	Identifier	MIN		2	0					
ANR	46	ArgumentList	p -> len		2	1					
ANR	47	Argument	p -> len		2	0					
ANR	48	PtrMemberAccess	p -> len		2	0					
ANR	49	Identifier	p		2	0					
ANR	50	Identifier	len		2	1					
ANR	51	Argument	fifo -> fifo [ fifo -> start ] . len		2	1					
ANR	52	MemberAccess	fifo -> fifo [ fifo -> start ] . len		2	0					
ANR	53	ArrayIndexing	fifo -> fifo [ fifo -> start ]		2	0					
ANR	54	PtrMemberAccess	fifo -> fifo		2	0					
ANR	55	Identifier	fifo		2	0					
ANR	56	Identifier	fifo		2	1					
