command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/devign__07_vulnerable_static_inline_int_usb_bt_fifo_dequeu__range_clamp__c1/_work/source/devign__07_vulnerable_static_inline_int_usb_bt_fifo_dequeu__range_clamp__c1.c								
ANR	2	Function	usb_bt_fifo_dequeue	1:0:0:919							
ANR	3	FunctionDef	"usb_bt_fifo_dequeue (struct usb_hci_in_fifo_s * fifo , USBPacket * p)"		2	0					
ANR	4	CompoundStatement		5:0:102:919	2	0					
ANR	5	IdentifierDeclStatement	int len ;	7:4:109:116	2	0	True				
ANR	6	IdentifierDecl	len		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	len		2	1					
ANR	9	IfStatement	if ( likely ( ! fifo -> len ) )		2	1					
ANR	10	Condition	likely ( ! fifo -> len )	11:8:129:146	2	0	True				
ANR	11	CallExpression	likely ( ! fifo -> len )		2	0					
ANR	12	Callee	likely		2	0					
ANR	13	Identifier	likely		2	0					
ANR	14	ArgumentList	! fifo -> len		2	1					
ANR	15	Argument	! fifo -> len		2	0					
ANR	16	UnaryOperationExpression	! fifo -> len		2	0					
ANR	17	UnaryOperator	!		2	0					
ANR	18	PtrMemberAccess	fifo -> len		2	1					
ANR	19	Identifier	fifo		2	0					
ANR	20	Identifier	len		2	1					
ANR	21	ReturnStatement	return USB_RET_STALL ;	13:8:158:178	2	1	True				
ANR	22	Identifier	USB_RET_STALL		2	0					
ANR	23	ExpressionStatement	"len = MIN ( p -> len , fifo -> fifo [ fifo -> start ] . len )"	17:4:187:233	2	2	True				
ANR	24	AssignmentExpression	"len = MIN ( p -> len , fifo -> fifo [ fifo -> start ] . len )"		2	0		=			
ANR	25	Identifier	len		2	0					
ANR	26	CallExpression	"MIN ( p -> len , fifo -> fifo [ fifo -> start ] . len )"		2	1					
ANR	27	Callee	MIN		2	0					
ANR	28	Identifier	MIN		2	0					
ANR	29	ArgumentList	p -> len		2	1					
ANR	30	Argument	p -> len		2	0					
ANR	31	PtrMemberAccess	p -> len		2	0					
ANR	32	Identifier	p		2	0					
ANR	33	Identifier	len		2	1					
ANR	34	Argument	fifo -> fifo [ fifo -> start ] . len		2	1					
ANR	35	MemberAccess	fifo -> fifo [ fifo -> start ] . len		2	0					
ANR	36	ArrayIndexing	fifo -> fifo [ fifo -> start ]		2	0					
ANR	37	PtrMemberAccess	fifo -> fifo		2	0					
ANR	38	Identifier	fifo		2	0					
ANR	39	Identifier	fifo		2	1					
ANR	40	PtrMemberAccess	fifo -> start		2	1					
ANR	41	Identifier	fifo		2	0					
ANR	42	Identifier	start		2	1					
ANR	43	Identifier	len		2	1					
ANR	44	IdentifierDeclStatement	int dwk_clamped_value_1 = ( int ) ( len ) ;	19:4:240:276	2	3	True				
ANR	45	IdentifierDecl	dwk_clamped_value_1 = ( int ) ( len )		2	0					
ANR	46	IdentifierDeclType	int		2	0					
ANR	47	Identifier	dwk_clamped_value_1		2	1					
ANR	48	AssignmentExpression	dwk_clamped_value_1 = ( int ) ( len )		2	2		=			
ANR	49	Identifier	dwk_clamped_value_1		2	0					
ANR	50	CastExpression	( int ) ( len )		2	1					
ANR	51	CastTarget	int		2	0					
ANR	52	Identifier	len		2	1					
ANR	53	IfStatement	if ( dwk_clamped_value_1 < 0 )		2	4					
ANR	54	Condition	dwk_clamped_value_1 < 0	20:8:286:308	2	0	True				
ANR	55	RelationalExpression	dwk_clamped_value_1 < 0		2	0		<			
ANR	56	Identifier	dwk_clamped_value_1		2	0					
ANR	57	PrimaryExpression	0		2	1					
ANR	58	CompoundStatement		16:33:208:208	2	1					
ANR	59	ExpressionStatement	dwk_clamped_value_1 = 0	21:8:321:344	2	0	True				
ANR	60	AssignmentExpression	dwk_clamped_value_1 = 0		2	0		=			
ANR	61	Identifier	dwk_clamped_value_1		2	0					
ANR	62	PrimaryExpression	0		2	1					
ANR	63	IfStatement	if ( dwk_clamped_value_1 > 4096 )		2	5					
ANR	64	Condition	dwk_clamped_value_1 > 4096	23:8:360:385	2	0	True				
ANR	65	RelationalExpression	dwk_clamped_value_1 > 4096		2	0		>			
ANR	66	Identifier	dwk_clamped_value_1		2	0					
ANR	67	PrimaryExpression	4096		2	1					
ANR	68	CompoundStatement		19:36:285:285	2	1					
ANR	69	ExpressionStatement	dwk_clamped_value_1 = 4096	24:8:398:424	2	0	True				
ANR	70	AssignmentExpression	dwk_clamped_value_1 = 4096		2	0		=			
ANR	71	Identifier	dwk_clamped_value_1		2	0					
ANR	72	PrimaryExpression	4096		2	1					
ANR	73	ExpressionStatement	"memcpy ( p -> data , fifo -> fifo [ fifo -> start ] . data , dwk_clamped_value_1 )"	26:4:436:502	2	6	True				
ANR	74	CallExpression	"memcpy ( p -> data , fifo -> fifo [ fifo -> start ] . data , dwk_clamped_value_1 )"		2	0					
ANR	75	Callee	memcpy		2	0					
ANR	76	Identifier	memcpy		2	0					
ANR	77	ArgumentList	p -> data		2	1					
ANR	78	Argument	p -> data		2	0					
ANR	79	PtrMemberAccess	p -> data		2	0					
ANR	80	Identifier	p		2	0					
ANR	81	Identifier	data		2	1					
ANR	82	Argument	fifo -> fifo [ fifo -> start ] . data		2	1					
ANR	83	MemberAccess	fifo -> fifo [ fifo -> start ] . data		2	0					
ANR	84	ArrayIndexing	fifo -> fifo [ fifo -> start ]		2	0					
ANR	85	PtrMemberAccess	fifo -> fifo		2	0					
ANR	86	Identifier	fifo		2	0					
ANR	87	Identifier	fifo		2	1					
ANR	88	PtrMemberAccess	fifo -> start		2	1					
ANR	89	Identifier	fifo		2	0					
ANR	90	Identifier	start		2	1					
ANR	91	Identifier	data		2	1					
ANR	92	Argument	dwk_clamped_value_1		2	2					
ANR	93	Identifier	dwk_clamped_value_1		2	0					
ANR	94	IfStatement	if ( len == p -> len )		2	7					
ANR	95	Condition	len == p -> len	28:8:513:525	2	0	True				
ANR	96	EqualityExpression	len == p -> len		2	0		==			
ANR	97	Identifier	len		2	0					
ANR	98	PtrMemberAccess	p -> len		2	1					
ANR	99	Identifier	p		2	0					
ANR	100	Identifier	len		2	1					
ANR	101	CompoundStatement		24:23:425:425	2	1					
ANR	102	ExpressionStatement	fifo -> fifo [ fifo -> start ] . len -= len	30:8:539:573	2	0	True				
ANR	103	AssignmentExpression	fifo -> fifo [ fifo -> start ] . len -= len		2	0		-=			
ANR	104	MemberAccess	fifo -> fifo [ fifo -> start ] . len		2	0					
ANR	105	ArrayIndexing	fifo -> fifo [ fifo -> start ]		2	0					
ANR	106	PtrMemberAccess	fifo -> fifo		2	0					
ANR	107	Identifier	fifo		2	0					
ANR	108	Identifier	fifo		2	1					
ANR	109	PtrMemberAccess	fifo -> start		2	1					
ANR	110	Identifier	fifo		2	0					
ANR	111	Identifier	start		2	1					
ANR	112	Identifier	len		2	1					
ANR	113	Identifier	len		2	1					
ANR	114	ExpressionStatement	fifo -> fifo [ fifo -> start ] . data += len	32:8:584:619	2	1	True				
ANR	115	AssignmentExpression	fifo -> fifo [ fifo -> start ] . data += len		2	0		+=			
ANR	116	MemberAccess	fifo -> fifo [ fifo -> start ] . data		2	0					
ANR	117	ArrayIndexing	fifo -> fifo [ fifo -> start ]		2	0					
ANR	118	PtrMemberAccess	fifo -> fifo		2	0					
ANR	119	Identifier	fifo		2	0					
ANR	120	Identifier	fifo		2	1					
ANR	121	PtrMemberAccess	fifo -> start		2	1					
ANR	122	Identifier	fifo		2	0					
ANR	123	Identifier	start		2	1					
ANR	124	Identifier	data		2	1					
ANR	125	Identifier	len		2	1					
ANR	126	ElseStatement	else		2	0					
ANR	127	CompoundStatement		30:11:530:530	2	0					
ANR	128	ExpressionStatement	fifo -> start ++	36:8:644:658	2	0	True				
ANR	129	PostIncDecOperationExpression	fifo -> start ++		2	0					
ANR	130	PtrMemberAccess	fifo -> start		2	0					
ANR	131	Identifier	fifo		2	0					
ANR	132	Identifier	start		2	1					
ANR	133	IncDec	++		2	1					
ANR	134	ExpressionStatement	fifo -> start &= CFIFO_LEN_MASK	38:8:669:698	2	1	True				
ANR	135	AssignmentExpression	fifo -> start &= CFIFO_LEN_MASK		2	0		&=			
ANR	136	PtrMemberAccess	fifo -> start		2	0					
ANR	137	Identifier	fifo		2	0					
ANR	138	Identifier	start		2	1					
ANR	139	Identifier	CFIFO_LEN_MASK		2	1					
ANR	140	ExpressionStatement	fifo -> len --	40:8:709:721	2	2	True				
ANR	141	PostIncDecOperationExpression	fifo -> len --		2	0					
ANR	142	PtrMemberAccess	fifo -> len		2	0					
ANR	143	Identifier	fifo		2	0					
ANR	144	Identifier	len		2	1					
ANR	145	IncDec	--		2	1					
ANR	146	ExpressionStatement	fifo -> dstart += len	46:4:737:756	2	8	True				
ANR	147	AssignmentExpression	fifo -> dstart += len		2	0		+=			
ANR	148	PtrMemberAccess	fifo -> dstart		2	0					
ANR	149	Identifier	fifo		2	0					
ANR	150	Identifier	dstart		2	1					
ANR	151	Identifier	len		2	1					
ANR	152	ExpressionStatement	fifo -> dlen -= len	48:4:763:780	2	9	True				
ANR	153	AssignmentExpression	fifo -> dlen -= len		2	0		-=			
ANR	154	PtrMemberAccess	fifo -> dlen		2	0					
