start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
9	10	IS_AST_PARENT	
11	12	IS_AST_PARENT	
11	13	IS_AST_PARENT	
9	11	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
15	16	IS_AST_PARENT	
17	18	IS_AST_PARENT	
20	21	IS_AST_PARENT	
20	22	IS_AST_PARENT	
19	20	IS_AST_PARENT	
19	23	IS_AST_PARENT	
17	19	IS_AST_PARENT	
15	17	IS_AST_PARENT	
14	15	IS_AST_PARENT	
4	14	IS_AST_PARENT	
25	26	IS_AST_PARENT	
25	27	IS_AST_PARENT	
28	29	IS_AST_PARENT	
31	32	IS_AST_PARENT	
30	31	IS_AST_PARENT	
34	35	IS_AST_PARENT	
33	34	IS_AST_PARENT	
37	38	IS_AST_PARENT	
39	40	IS_AST_PARENT	
39	41	IS_AST_PARENT	
37	39	IS_AST_PARENT	
36	37	IS_AST_PARENT	
33	36	IS_AST_PARENT	
30	33	IS_AST_PARENT	
28	30	IS_AST_PARENT	
25	28	IS_AST_PARENT	
24	25	IS_AST_PARENT	
4	24	IS_AST_PARENT	
43	44	IS_AST_PARENT	
43	45	IS_AST_PARENT	
46	47	IS_AST_PARENT	
49	50	IS_AST_PARENT	
48	49	IS_AST_PARENT	
52	53	IS_AST_PARENT	
51	52	IS_AST_PARENT	
48	51	IS_AST_PARENT	
46	48	IS_AST_PARENT	
43	46	IS_AST_PARENT	
42	43	IS_AST_PARENT	
4	42	IS_AST_PARENT	
56	57	IS_AST_PARENT	
56	58	IS_AST_PARENT	
55	56	IS_AST_PARENT	
60	61	IS_AST_PARENT	
59	60	IS_AST_PARENT	
63	64	IS_AST_PARENT	
62	63	IS_AST_PARENT	
59	62	IS_AST_PARENT	
55	59	IS_AST_PARENT	
54	55	IS_AST_PARENT	
4	54	IS_AST_PARENT	
67	68	IS_AST_PARENT	
67	69	IS_AST_PARENT	
66	67	IS_AST_PARENT	
71	72	IS_AST_PARENT	
70	71	IS_AST_PARENT	
74	75	IS_AST_PARENT	
73	74	IS_AST_PARENT	
70	73	IS_AST_PARENT	
66	70	IS_AST_PARENT	
65	66	IS_AST_PARENT	
4	65	IS_AST_PARENT	
78	79	IS_AST_PARENT	
78	80	IS_AST_PARENT	
77	78	IS_AST_PARENT	
82	83	IS_AST_PARENT	
81	82	IS_AST_PARENT	
85	86	IS_AST_PARENT	
84	85	IS_AST_PARENT	
81	84	IS_AST_PARENT	
77	81	IS_AST_PARENT	
76	77	IS_AST_PARENT	
4	76	IS_AST_PARENT	
89	90	IS_AST_PARENT	
88	89	IS_AST_PARENT	
92	93	IS_AST_PARENT	
91	92	IS_AST_PARENT	
94	95	IS_AST_PARENT	
91	94	IS_AST_PARENT	
96	97	IS_AST_PARENT	
91	96	IS_AST_PARENT	
98	99	IS_AST_PARENT	
91	98	IS_AST_PARENT	
88	91	IS_AST_PARENT	
87	88	IS_AST_PARENT	
4	87	IS_AST_PARENT	
102	103	IS_AST_PARENT	
101	102	IS_AST_PARENT	
105	106	IS_AST_PARENT	
104	105	IS_AST_PARENT	
107	108	IS_AST_PARENT	
104	107	IS_AST_PARENT	
109	110	IS_AST_PARENT	
104	109	IS_AST_PARENT	
111	112	IS_AST_PARENT	
104	111	IS_AST_PARENT	
114	115	IS_AST_PARENT	
116	117	IS_AST_PARENT	
116	118	IS_AST_PARENT	
114	116	IS_AST_PARENT	
113	114	IS_AST_PARENT	
104	113	IS_AST_PARENT	
120	121	IS_AST_PARENT	
122	123	IS_AST_PARENT	
122	124	IS_AST_PARENT	
120	122	IS_AST_PARENT	
119	120	IS_AST_PARENT	
104	119	IS_AST_PARENT	
101	104	IS_AST_PARENT	
100	101	IS_AST_PARENT	
4	100	IS_AST_PARENT	
127	128	IS_AST_PARENT	
126	127	IS_AST_PARENT	
130	131	IS_AST_PARENT	
129	130	IS_AST_PARENT	
132	133	IS_AST_PARENT	
129	132	IS_AST_PARENT	
135	136	IS_AST_PARENT	
135	137	IS_AST_PARENT	
134	135	IS_AST_PARENT	
129	134	IS_AST_PARENT	
138	139	IS_AST_PARENT	
129	138	IS_AST_PARENT	
141	142	IS_AST_PARENT	
143	144	IS_AST_PARENT	
143	145	IS_AST_PARENT	
141	143	IS_AST_PARENT	
140	141	IS_AST_PARENT	
129	140	IS_AST_PARENT	
146	147	IS_AST_PARENT	
129	146	IS_AST_PARENT	
148	149	IS_AST_PARENT	
129	148	IS_AST_PARENT	
126	129	IS_AST_PARENT	
125	126	IS_AST_PARENT	
4	125	IS_AST_PARENT	
152	153	IS_AST_PARENT	
151	152	IS_AST_PARENT	
155	156	IS_AST_PARENT	
154	155	IS_AST_PARENT	
157	158	IS_AST_PARENT	
154	157	IS_AST_PARENT	
151	154	IS_AST_PARENT	
150	151	IS_AST_PARENT	
4	150	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	159	IS_AST_PARENT	
161	162	IS_AST_PARENT	
161	163	IS_AST_PARENT	
160	161	IS_AST_PARENT	
164	165	IS_AST_PARENT	
164	166	IS_AST_PARENT	
160	164	IS_AST_PARENT	
167	168	IS_AST_PARENT	
167	169	IS_AST_PARENT	
160	167	IS_AST_PARENT	
3	160	IS_AST_PARENT	
170	161	FLOWS_TO	
161	164	FLOWS_TO	
164	167	FLOWS_TO	
167	5	FLOWS_TO	
5	14	FLOWS_TO	
14	24	FLOWS_TO	
24	42	FLOWS_TO	
42	54	FLOWS_TO	
54	65	FLOWS_TO	
65	76	FLOWS_TO	
76	87	FLOWS_TO	
87	100	FLOWS_TO	
100	125	FLOWS_TO	
125	150	FLOWS_TO	
150	171	FLOWS_TO	
164	172	DEF	
87	172	USE	
92	172	USE	
100	172	USE	
105	172	USE	
125	172	USE	
130	172	USE	
100	173	USE	
113	173	USE	
125	174	USE	
148	174	USE	
65	175	DEF	
66	175	DEF	
54	176	DEF	
55	176	DEF	
76	177	DEF	
77	177	DEF	
100	177	USE	
119	177	USE	
87	178	USE	
98	178	USE	
87	179	USE	
94	179	USE	
100	179	USE	
109	179	USE	
24	180	USE	
36	180	USE	
54	180	DEF	
55	180	DEF	
65	180	DEF	
66	180	DEF	
76	180	DEF	
77	180	DEF	
100	180	USE	
119	180	USE	
125	180	USE	
140	180	USE	
54	181	USE	
63	181	USE	
65	182	USE	
74	182	USE	
150	182	USE	
157	182	USE	
24	183	DEF	
25	183	DEF	
28	183	DEF	
24	183	USE	
39	183	USE	
54	183	USE	
56	183	USE	
65	183	USE	
67	183	USE	
76	183	USE	
78	183	USE	
100	183	USE	
116	183	USE	
113	183	USE	
122	183	USE	
125	183	USE	
143	183	USE	
134	183	USE	
65	184	USE	
66	184	USE	
161	185	DEF	
5	185	USE	
9	185	USE	
24	185	USE	
34	185	USE	
100	185	USE	
111	185	USE	
125	185	USE	
132	185	USE	
42	186	USE	
46	186	USE	
76	187	USE	
77	187	USE	
100	188	USE	
107	188	USE	
54	189	USE	
55	189	USE	
24	190	USE	
28	190	USE	
5	191	DEF	
6	191	DEF	
9	191	DEF	
14	191	USE	
15	191	USE	
14	191	DEF	
15	191	DEF	
167	192	DEF	
42	192	USE	
52	192	USE	
150	192	USE	
155	192	USE	
42	193	DEF	
46	193	DEF	
43	193	DEF	
76	193	USE	
85	193	USE	
164	87	REACHES	linker
164	100	REACHES	linker
164	125	REACHES	linker
76	100	REACHES	tcpa -> log_area_start_address
76	100	REACHES	* tcpa
76	125	REACHES	* tcpa
24	54	REACHES	tcpa
24	65	REACHES	tcpa
24	76	REACHES	tcpa
24	100	REACHES	tcpa
24	125	REACHES	tcpa
161	5	REACHES	table_data
161	24	REACHES	table_data
161	100	REACHES	table_data
161	125	REACHES	table_data
5	14	REACHES	dwk_alias_1
167	42	REACHES	tcpalog
42	76	REACHES	log_area_start_address
167	150	REACHES	tcpalog
170	161	CONTROLS	
170	164	CONTROLS	
170	167	CONTROLS	
170	5	CONTROLS	
170	14	CONTROLS	
170	24	CONTROLS	
170	42	CONTROLS	
170	54	CONTROLS	
170	65	CONTROLS	
170	76	CONTROLS	
170	87	CONTROLS	
170	100	CONTROLS	
170	125	CONTROLS	
170	150	CONTROLS	
65	76	DOM	
100	125	DOM	
161	164	DOM	
170	170	DOM	
42	54	DOM	
164	167	DOM	
87	100	DOM	
24	42	DOM	
170	161	DOM	
14	24	DOM	
167	5	DOM	
5	14	DOM	
76	87	DOM	
150	171	DOM	
54	65	DOM	
125	150	DOM	
87	76	POST_DOM	
150	125	POST_DOM	
167	164	POST_DOM	
161	170	POST_DOM	
65	54	POST_DOM	
5	167	POST_DOM	
125	100	POST_DOM	
54	42	POST_DOM	
42	24	POST_DOM	
164	161	POST_DOM	
24	14	POST_DOM	
14	5	POST_DOM	
100	87	POST_DOM	
171	171	POST_DOM	
171	150	POST_DOM	
76	65	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	170	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
