command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/devign__09_non_vulnerable_static_ExitStatus_gen_store_conditio__dead_statement__c1/_work/source/devign__09_non_vulnerable_static_ExitStatus_gen_store_conditio__dead_statement__c1.c								
ANR	2	Function	gen_store_conditional	1:0:0:1833							
ANR	3	FunctionDef	"gen_store_conditional (DisasContext * ctx , int ra , int rb , int32_t disp16 , int quad)"		2	0					
ANR	4	CompoundStatement		5:0:143:1833	2	0					
ANR	5	IdentifierDeclStatement	int dwk_dummy_1 = 0 ;	6:4:149:168	2	0	True				
ANR	6	IdentifierDecl	dwk_dummy_1 = 0		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	dwk_dummy_1		2	1					
ANR	9	AssignmentExpression	dwk_dummy_1 = 0		2	2		=			
ANR	10	Identifier	dwk_dummy_1		2	0					
ANR	11	PrimaryExpression	0		2	1					
ANR	12	ExpressionStatement	dwk_dummy_1 += 0	7:4:174:190	2	1	True				
ANR	13	AssignmentExpression	dwk_dummy_1 += 0		2	0		+=			
ANR	14	Identifier	dwk_dummy_1		2	0					
ANR	15	PrimaryExpression	0		2	1					
ANR	16	IdentifierDeclStatement	TCGv addr ;	9:4:197:206	2	2	True				
ANR	17	IdentifierDecl	addr		2	0					
ANR	18	IdentifierDeclType	TCGv		2	0					
ANR	19	Identifier	addr		2	1					
ANR	20	IfStatement	if ( ra == 31 )		2	3					
ANR	21	Condition	ra == 31	13:8:219:226	2	0	True				
ANR	22	EqualityExpression	ra == 31		2	0		==			
ANR	23	Identifier	ra		2	0					
ANR	24	PrimaryExpression	31		2	1					
ANR	25	CompoundStatement		9:18:85:85	2	1					
ANR	26	ReturnStatement	return NO_EXIT ;	19:8:383:397	2	0	True				
ANR	27	Identifier	NO_EXIT		2	0					
ANR	28	ExpressionStatement	addr = cpu_lock_st_addr	27:4:444:467	2	4	True				
ANR	29	AssignmentExpression	addr = cpu_lock_st_addr		2	0		=			
ANR	30	Identifier	addr		2	0					
ANR	31	Identifier	cpu_lock_st_addr		2	1					
ANR	32	ExpressionStatement	"tcg_gen_addi_i64 ( addr , load_gpr ( ctx , rb ) , disp16 )"	37:4:525:574	2	5	True				
ANR	33	CallExpression	"tcg_gen_addi_i64 ( addr , load_gpr ( ctx , rb ) , disp16 )"		2	0					
ANR	34	Callee	tcg_gen_addi_i64		2	0					
ANR	35	Identifier	tcg_gen_addi_i64		2	0					
ANR	36	ArgumentList	addr		2	1					
ANR	37	Argument	addr		2	0					
ANR	38	Identifier	addr		2	0					
ANR	39	Argument	"load_gpr ( ctx , rb )"		2	1					
ANR	40	CallExpression	"load_gpr ( ctx , rb )"		2	0					
ANR	41	Callee	load_gpr		2	0					
ANR	42	Identifier	load_gpr		2	0					
ANR	43	ArgumentList	ctx		2	1					
ANR	44	Argument	ctx		2	0					
ANR	45	Identifier	ctx		2	0					
ANR	46	Argument	rb		2	1					
ANR	47	Identifier	rb		2	0					
ANR	48	Argument	disp16		2	2					
ANR	49	Identifier	disp16		2	0					
ANR	50	ReturnStatement	"return gen_excp ( ctx , quad ? EXCP_STQ_C : EXCP_STL_C , ra ) ;"	49:4:810:866	2	6	True				
ANR	51	CallExpression	"gen_excp ( ctx , quad ? EXCP_STQ_C : EXCP_STL_C , ra )"		2	0					
ANR	52	Callee	gen_excp		2	0					
ANR	53	Identifier	gen_excp		2	0					
ANR	54	ArgumentList	ctx		2	1					
ANR	55	Argument	ctx		2	0					
ANR	56	Identifier	ctx		2	0					
ANR	57	Argument	quad ? EXCP_STQ_C : EXCP_STL_C		2	1					
ANR	58	ConditionalExpression	quad ? EXCP_STQ_C : EXCP_STL_C		2	0					
ANR	59	Condition	quad		2	0					
ANR	60	Identifier	quad		2	0					
ANR	61	Identifier	EXCP_STQ_C		2	1					
ANR	62	Identifier	EXCP_STL_C		2	2					
ANR	63	Argument	ra		2	2					
ANR	64	Identifier	ra		2	0					
ANR	65	ReturnType	static ExitStatus		2	1					
ANR	66	Identifier	gen_store_conditional		2	2					
ANR	67	ParameterList	"DisasContext * ctx , int ra , int rb , int32_t disp16 , int quad"		2	3					
ANR	68	Parameter	DisasContext * ctx	1:40:40:56	2	0	True				
ANR	69	ParameterType	DisasContext *		2	0					
ANR	70	Identifier	ctx		2	1					
ANR	71	Parameter	int ra	1:59:59:64	2	1	True				
ANR	72	ParameterType	int		2	0					
ANR	73	Identifier	ra		2	1					
ANR	74	Parameter	int rb	1:67:67:72	2	2	True				
ANR	75	ParameterType	int		2	0					
ANR	76	Identifier	rb		2	1					
ANR	77	Parameter	int32_t disp16	3:40:116:129	2	3	True				
ANR	78	ParameterType	int32_t		2	0					
ANR	79	Identifier	disp16		2	1					
ANR	80	Parameter	int quad	3:56:132:139	2	4	True				
ANR	81	ParameterType	int		2	0					
ANR	82	Identifier	quad		2	1					
ANR	83	CFGEntryNode	ENTRY		2		True				
ANR	84	CFGExitNode	EXIT		2		True				
ANR	85	Symbol	gen_excp		2						
ANR	86	Symbol	disp16		2						
ANR	87	Symbol	cpu_lock_st_addr		2						
ANR	88	Symbol	ctx		2						
ANR	89	Symbol	NO_EXIT		2						
ANR	90	Symbol	ra		2						
ANR	91	Symbol	rb		2						
ANR	92	Symbol	quad		2						
ANR	93	Symbol	load_gpr		2						
ANR	94	Symbol	EXCP_STL_C		2						
ANR	95	Symbol	addr		2						
ANR	96	Symbol	EXCP_STQ_C		2						
ANR	97	Symbol	dwk_dummy_1		2						
