command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/devign__10_non_vulnerable_static_void_kvm_virtio_pci_vq_vector__control_wrapper__c1/_work/source/devign__10_non_vulnerable_static_void_kvm_virtio_pci_vq_vector__control_wrapper__c1.c								
ANR	2	Function	kvm_virtio_pci_vq_vector_release	1:0:0:688							
ANR	3	FunctionDef	"kvm_virtio_pci_vq_vector_release (VirtIOPCIProxy * proxy , unsigned int queue_no , unsigned int vector)"		2	0					
ANR	4	CompoundStatement		7:0:205:688	2	0					
ANR	5	IdentifierDeclStatement	"VirtQueue * vq = virtio_get_queue ( proxy -> vdev , queue_no ) ;"	9:4:212:267	2	0	True				
ANR	6	IdentifierDecl	"* vq = virtio_get_queue ( proxy -> vdev , queue_no )"		2	0					
ANR	7	IdentifierDeclType	VirtQueue *		2	0					
ANR	8	Identifier	vq		2	1					
ANR	9	AssignmentExpression	"* vq = virtio_get_queue ( proxy -> vdev , queue_no )"		2	2		=			
ANR	10	Identifier	vq		2	0					
ANR	11	CallExpression	"virtio_get_queue ( proxy -> vdev , queue_no )"		2	1					
ANR	12	Callee	virtio_get_queue		2	0					
ANR	13	Identifier	virtio_get_queue		2	0					
ANR	14	ArgumentList	proxy -> vdev		2	1					
ANR	15	Argument	proxy -> vdev		2	0					
ANR	16	PtrMemberAccess	proxy -> vdev		2	0					
ANR	17	Identifier	proxy		2	0					
ANR	18	Identifier	vdev		2	1					
ANR	19	Argument	queue_no		2	1					
ANR	20	Identifier	queue_no		2	0					
ANR	21	IdentifierDeclStatement	EventNotifier * n = virtio_queue_get_guest_notifier ( vq ) ;	11:4:274:328	2	1	True				
ANR	22	IdentifierDecl	* n = virtio_queue_get_guest_notifier ( vq )		2	0					
ANR	23	IdentifierDeclType	EventNotifier *		2	0					
ANR	24	Identifier	n		2	1					
ANR	25	AssignmentExpression	* n = virtio_queue_get_guest_notifier ( vq )		2	2		=			
ANR	26	Identifier	n		2	0					
ANR	27	CallExpression	virtio_queue_get_guest_notifier ( vq )		2	1					
ANR	28	Callee	virtio_queue_get_guest_notifier		2	0					
ANR	29	Identifier	virtio_queue_get_guest_notifier		2	0					
ANR	30	ArgumentList	vq		2	1					
ANR	31	Argument	vq		2	0					
ANR	32	Identifier	vq		2	0					
ANR	33	IdentifierDeclStatement	VirtIOIRQFD * irqfd = & proxy -> vector_irqfd [ vector ] ;	13:4:335:384	2	2	True				
ANR	34	IdentifierDecl	* irqfd = & proxy -> vector_irqfd [ vector ]		2	0					
ANR	35	IdentifierDeclType	VirtIOIRQFD *		2	0					
ANR	36	Identifier	irqfd		2	1					
ANR	37	AssignmentExpression	* irqfd = & proxy -> vector_irqfd [ vector ]		2	2		=			
ANR	38	Identifier	irqfd		2	0					
ANR	39	UnaryOperationExpression	& proxy -> vector_irqfd [ vector ]		2	1					
ANR	40	UnaryOperator	&		2	0					
ANR	41	ArrayIndexing	proxy -> vector_irqfd [ vector ]		2	1					
ANR	42	PtrMemberAccess	proxy -> vector_irqfd		2	0					
ANR	43	Identifier	proxy		2	0					
ANR	44	Identifier	vector_irqfd		2	1					
ANR	45	Identifier	vector		2	1					
ANR	46	IdentifierDeclStatement	int ret ;	15:4:391:398	2	3	True				
ANR	47	IdentifierDecl	ret		2	0					
ANR	48	IdentifierDeclType	int		2	0					
ANR	49	Identifier	ret		2	1					
ANR	50	IfStatement	if ( 1 )		2	4					
ANR	51	Condition	1	19:8:411:411	2	0	True				
ANR	52	PrimaryExpression	1		2	0					
ANR	53	CompoundStatement		13:11:208:208	2	1					
ANR	54	ExpressionStatement	"ret = kvm_irqchip_remove_irq_notifier ( kvm_state , n , irqfd -> virq )"	20:8:424:488	2	0	True				
ANR	55	AssignmentExpression	"ret = kvm_irqchip_remove_irq_notifier ( kvm_state , n , irqfd -> virq )"		2	0		=			
ANR	56	Identifier	ret		2	0					
ANR	57	CallExpression	"kvm_irqchip_remove_irq_notifier ( kvm_state , n , irqfd -> virq )"		2	1					
ANR	58	Callee	kvm_irqchip_remove_irq_notifier		2	0					
ANR	59	Identifier	kvm_irqchip_remove_irq_notifier		2	0					
ANR	60	ArgumentList	kvm_state		2	1					
ANR	61	Argument	kvm_state		2	0					
ANR	62	Identifier	kvm_state		2	0					
ANR	63	Argument	n		2	1					
ANR	64	Identifier	n		2	0					
ANR	65	Argument	irqfd -> virq		2	2					
ANR	66	PtrMemberAccess	irqfd -> virq		2	0					
ANR	67	Identifier	irqfd		2	0					
ANR	68	Identifier	virq		2	1					
ANR	69	ExpressionStatement	assert ( ret == 0 )	23:4:501:517	2	5	True				
ANR	70	CallExpression	assert ( ret == 0 )		2	0					
ANR	71	Callee	assert		2	0					
ANR	72	Identifier	assert		2	0					
ANR	73	ArgumentList	ret == 0		2	1					
ANR	74	Argument	ret == 0		2	0					
ANR	75	EqualityExpression	ret == 0		2	0		==			
ANR	76	Identifier	ret		2	0					
ANR	77	PrimaryExpression	0		2	1					
ANR	78	IfStatement	if ( -- irqfd -> users == 0 )		2	6					
ANR	79	Condition	-- irqfd -> users == 0	27:8:530:548	2	0	True				
ANR	80	EqualityExpression	-- irqfd -> users == 0		2	0		==			
ANR	81	UnaryExpression	-- irqfd -> users		2	0					
ANR	82	IncDec	--		2	0					
