command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/devign__12_vulnerable_static_inline_void_qtrle_decode_2n4b__array_index_bound_guard__c1/_work/source/devign__12_vulnerable_static_inline_void_qtrle_decode_2n4b__array_index_bound_guard__c1.c								
ANR	2	Function	qtrle_decode_2n4bpp	1:0:0:2676							
ANR	3	FunctionDef	"qtrle_decode_2n4bpp (QtrleContext * s , int stream_ptr , int row_ptr , int lines_to_change , int bpp)"		2	0					
ANR	4	CompoundStatement		5:0:146:2676	2	0					
ANR	5	IdentifierDeclStatement	"int rle_code , i ;"	7:4:153:168	2	0	True				
ANR	6	IdentifierDecl	rle_code		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	rle_code		2	1					
ANR	9	IdentifierDecl	i		2	1					
ANR	10	IdentifierDeclType	int		2	0					
ANR	11	Identifier	i		2	1					
ANR	12	IdentifierDeclStatement	int pixel_ptr ;	9:4:175:188	2	1	True				
ANR	13	IdentifierDecl	pixel_ptr		2	0					
ANR	14	IdentifierDeclType	int		2	0					
ANR	15	Identifier	pixel_ptr		2	1					
ANR	16	IdentifierDeclStatement	int row_inc = s -> frame . linesize [ 0 ] ;	11:4:195:229	2	2	True				
ANR	17	IdentifierDecl	row_inc = s -> frame . linesize [ 0 ]		2	0					
ANR	18	IdentifierDeclType	int		2	0					
ANR	19	Identifier	row_inc		2	1					
ANR	20	AssignmentExpression	row_inc = s -> frame . linesize [ 0 ]		2	2		=			
ANR	21	Identifier	row_inc		2	0					
ANR	22	ArrayIndexing	s -> frame . linesize [ 0 ]		2	1					
ANR	23	MemberAccess	s -> frame . linesize		2	0					
ANR	24	PtrMemberAccess	s -> frame		2	0					
ANR	25	Identifier	s		2	0					
ANR	26	Identifier	frame		2	1					
ANR	27	Identifier	linesize		2	1					
ANR	28	PrimaryExpression	0		2	1					
ANR	29	IdentifierDeclStatement	unsigned char pi [ 16 ] ;	13:4:236:256	2	3	True				
ANR	30	IdentifierDecl	pi [ 16 ]		2	0					
ANR	31	IdentifierDeclType	unsigned char [ 16 ]		2	0					
ANR	32	Identifier	pi		2	1					
ANR	33	PrimaryExpression	16		2	2					
ANR	34	IdentifierDeclStatement	unsigned char * rgb = s -> frame . data [ 0 ] ;	15:4:289:326	2	4	True				
ANR	35	IdentifierDecl	* rgb = s -> frame . data [ 0 ]		2	0					
ANR	36	IdentifierDeclType	unsigned char *		2	0					
ANR	37	Identifier	rgb		2	1					
ANR	38	AssignmentExpression	* rgb = s -> frame . data [ 0 ]		2	2		=			
ANR	39	Identifier	rgb		2	0					
ANR	40	ArrayIndexing	s -> frame . data [ 0 ]		2	1					
ANR	41	MemberAccess	s -> frame . data		2	0					
ANR	42	PtrMemberAccess	s -> frame		2	0					
ANR	43	Identifier	s		2	0					
ANR	44	Identifier	frame		2	1					
ANR	45	Identifier	data		2	1					
ANR	46	PrimaryExpression	0		2	1					
ANR	47	IdentifierDeclStatement	int pixel_limit = s -> frame . linesize [ 0 ] * s -> avctx -> height ;	17:4:333:390	2	5	True				
ANR	48	IdentifierDecl	pixel_limit = s -> frame . linesize [ 0 ] * s -> avctx -> height		2	0					
ANR	49	IdentifierDeclType	int		2	0					
ANR	50	Identifier	pixel_limit		2	1					
ANR	51	AssignmentExpression	pixel_limit = s -> frame . linesize [ 0 ] * s -> avctx -> height		2	2		=			
ANR	52	Identifier	pixel_limit		2	0					
ANR	53	MultiplicativeExpression	s -> frame . linesize [ 0 ] * s -> avctx -> height		2	1		*			
ANR	54	ArrayIndexing	s -> frame . linesize [ 0 ]		2	0					
ANR	55	MemberAccess	s -> frame . linesize		2	0					
ANR	56	PtrMemberAccess	s -> frame		2	0					
ANR	57	Identifier	s		2	0					
ANR	58	Identifier	frame		2	1					
ANR	59	Identifier	linesize		2	1					
ANR	60	PrimaryExpression	0		2	1					
ANR	61	PtrMemberAccess	s -> avctx -> height		2	1					
ANR	62	PtrMemberAccess	s -> avctx		2	0					
ANR	63	Identifier	s		2	0					
ANR	64	Identifier	avctx		2	1					
ANR	65	Identifier	height		2	1					
ANR	66	IdentifierDeclStatement	int num_pixels = ( bpp == 4 ) ? 8 : 16 ;	19:4:397:433	2	6	True				
ANR	67	IdentifierDecl	num_pixels = ( bpp == 4 ) ? 8 : 16		2	0					
ANR	68	IdentifierDeclType	int		2	0					
ANR	69	Identifier	num_pixels		2	1					
ANR	70	AssignmentExpression	num_pixels = ( bpp == 4 ) ? 8 : 16		2	2		=			
ANR	71	Identifier	num_pixels		2	0					
ANR	72	ConditionalExpression	( bpp == 4 ) ? 8 : 16		2	1					
ANR	73	Condition	bpp == 4		2	0					
ANR	74	EqualityExpression	bpp == 4		2	0		==			
ANR	75	Identifier	bpp		2	0					
ANR	76	PrimaryExpression	4		2	1					
ANR	77	PrimaryExpression	8		2	1					
ANR	78	PrimaryExpression	16		2	2					
ANR	79	WhileStatement	while ( lines_to_change -- )		2	7					
ANR	80	Condition	lines_to_change --	23:11:449:465	2	0	True				
ANR	81	PostIncDecOperationExpression	lines_to_change --		2	0					
ANR	82	Identifier	lines_to_change		2	0					
ANR	83	IncDec	--		2	1					
ANR	84	CompoundStatement		19:30:321:321	2	1					
ANR	85	ExpressionStatement	CHECK_STREAM_PTR ( 2 )	25:8:479:498	2	0	True				
ANR	86	CallExpression	CHECK_STREAM_PTR ( 2 )		2	0					
ANR	87	Callee	CHECK_STREAM_PTR		2	0					
ANR	88	Identifier	CHECK_STREAM_PTR		2	0					
ANR	89	ArgumentList	2		2	1					
ANR	90	Argument	2		2	0					
ANR	91	PrimaryExpression	2		2	0					
ANR	92	ExpressionStatement	pixel_ptr = row_ptr + ( num_pixels * ( s -> buf [ stream_ptr ++ ] - 1 ) )	27:8:509:572	2	1	True				
ANR	93	AssignmentExpression	pixel_ptr = row_ptr + ( num_pixels * ( s -> buf [ stream_ptr ++ ] - 1 ) )		2	0		=			
ANR	94	Identifier	pixel_ptr		2	0					
ANR	95	AdditiveExpression	row_ptr + ( num_pixels * ( s -> buf [ stream_ptr ++ ] - 1 ) )		2	1		+			
ANR	96	Identifier	row_ptr		2	0					
ANR	97	MultiplicativeExpression	num_pixels * ( s -> buf [ stream_ptr ++ ] - 1 )		2	1		*			
ANR	98	Identifier	num_pixels		2	0					
ANR	99	AdditiveExpression	s -> buf [ stream_ptr ++ ] - 1		2	1		-			
ANR	100	ArrayIndexing	s -> buf [ stream_ptr ++ ]		2	0					
ANR	101	PtrMemberAccess	s -> buf		2	0					
ANR	102	Identifier	s		2	0					
ANR	103	Identifier	buf		2	1					
ANR	104	PostIncDecOperationExpression	stream_ptr ++		2	1					
ANR	105	Identifier	stream_ptr		2	0					
ANR	106	IncDec	++		2	1					
ANR	107	PrimaryExpression	1		2	1					
ANR	108	WhileStatement	while ( ( rle_code = ( signed char ) s -> buf [ stream_ptr ++ ] ) != - 1 )		2	2					
ANR	109	Condition	( rle_code = ( signed char ) s -> buf [ stream_ptr ++ ] ) != - 1	32:15:593:644	2	0	True				
ANR	110	EqualityExpression	( rle_code = ( signed char ) s -> buf [ stream_ptr ++ ] ) != - 1		2	0		!=			
ANR	111	AssignmentExpression	rle_code = ( signed char ) s -> buf [ stream_ptr ++ ]		2	0		=			
ANR	112	Identifier	rle_code		2	0					
ANR	113	CastExpression	( signed char ) s -> buf [ stream_ptr ++ ]		2	1					
ANR	114	CastTarget	signed char		2	0					
ANR	115	ArrayIndexing	s -> buf [ stream_ptr ++ ]		2	1					
ANR	116	PtrMemberAccess	s -> buf		2	0					
ANR	117	Identifier	s		2	0					
ANR	118	Identifier	buf		2	1					
ANR	119	PostIncDecOperationExpression	stream_ptr ++		2	1					
ANR	120	Identifier	stream_ptr		2	0					
ANR	121	IncDec	++		2	1					
ANR	122	UnaryOperationExpression	- 1		2	1					
ANR	123	UnaryOperator	-		2	0					
ANR	124	PrimaryExpression	1		2	1					
ANR	125	CompoundStatement		28:69:500:500	2	1					
ANR	126	IfStatement	if ( rle_code == 0 )		2	0					
ANR	127	Condition	rle_code == 0	34:16:666:678	2	0	True				
ANR	128	EqualityExpression	rle_code == 0		2	0		==			
ANR	129	Identifier	rle_code		2	0					
ANR	130	PrimaryExpression	0		2	1					
ANR	131	CompoundStatement		30:31:534:534	2	1					
ANR	132	ExpressionStatement	CHECK_STREAM_PTR ( 1 )	38:16:763:782	2	0	True				
