command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/devign__14_vulnerable_static_int_decode_mb_info__xfg_targeted_dead_code__c1/_work/source/devign__14_vulnerable_static_int_decode_mb_info__xfg_targeted_dead_code__c1.c								
ANR	2	Function	decode_mb_info	1:0:0:4811							
ANR	3	FunctionDef	"decode_mb_info (IVI5DecContext * ctx , IVIBandDesc * band , IVITile * tile , AVCodecContext * avctx)"		2	0					
ANR	4	CompoundStatement		5:0:132:4811	2	0					
ANR	5	IdentifierDeclStatement	"int x , y , mv_x , mv_y , mv_delta , offs , mb_offset , mv_scale , blks_per_mb ;"	7:4:139:234	2	0	True				
ANR	6	IdentifierDecl	x		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	x		2	1					
ANR	9	IdentifierDecl	y		2	1					
ANR	10	IdentifierDeclType	int		2	0					
ANR	11	Identifier	y		2	1					
ANR	12	IdentifierDecl	mv_x		2	2					
ANR	13	IdentifierDeclType	int		2	0					
ANR	14	Identifier	mv_x		2	1					
ANR	15	IdentifierDecl	mv_y		2	3					
ANR	16	IdentifierDeclType	int		2	0					
ANR	17	Identifier	mv_y		2	1					
ANR	18	IdentifierDecl	mv_delta		2	4					
ANR	19	IdentifierDeclType	int		2	0					
ANR	20	Identifier	mv_delta		2	1					
ANR	21	IdentifierDecl	offs		2	5					
ANR	22	IdentifierDeclType	int		2	0					
ANR	23	Identifier	offs		2	1					
ANR	24	IdentifierDecl	mb_offset		2	6					
ANR	25	IdentifierDeclType	int		2	0					
ANR	26	Identifier	mb_offset		2	1					
ANR	27	IdentifierDecl	mv_scale		2	7					
ANR	28	IdentifierDeclType	int		2	0					
ANR	29	Identifier	mv_scale		2	1					
ANR	30	IdentifierDecl	blks_per_mb		2	8					
ANR	31	IdentifierDeclType	int		2	0					
ANR	32	Identifier	blks_per_mb		2	1					
ANR	33	IfStatement	if ( 0 )		2	1					
ANR	34	Condition	0	11:8:245:245	2	0	True				
ANR	35	PrimaryExpression	0		2	0					
ANR	36	CompoundStatement		8:8:125:148	2	1					
ANR	37	IdentifierDeclStatement	int dwk_xfg_guard_1 = 1 ;	12:8:258:281	2	0	True				
ANR	38	IdentifierDecl	dwk_xfg_guard_1 = 1		2	0					
ANR	39	IdentifierDeclType	int		2	0					
ANR	40	Identifier	dwk_xfg_guard_1		2	1					
ANR	41	AssignmentExpression	dwk_xfg_guard_1 = 1		2	2		=			
ANR	42	Identifier	dwk_xfg_guard_1		2	0					
ANR	43	PrimaryExpression	1		2	1					
ANR	44	ExpressionStatement	dwk_xfg_guard_1 += 0	13:8:291:311	2	1	True				
ANR	45	AssignmentExpression	dwk_xfg_guard_1 += 0		2	0		+=			
ANR	46	Identifier	dwk_xfg_guard_1		2	0					
ANR	47	PrimaryExpression	0		2	1					
ANR	48	IdentifierDeclStatement	"IVIMbInfo * mb , * ref_mb ;"	15:4:323:347	2	2	True				
ANR	49	IdentifierDecl	* mb		2	0					
ANR	50	IdentifierDeclType	IVIMbInfo *		2	0					
ANR	51	Identifier	mb		2	1					
ANR	52	IdentifierDecl	* ref_mb		2	1					
