command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/devign__17_vulnerable_static_void_FUNCC__control_wrapper__c1/_work/source/devign__17_vulnerable_static_void_FUNCC__control_wrapper__c1.c								
ANR	2	Function	pred4x4_dc	1:0:0:532							
ANR	3	FunctionDef	"pred4x4_dc (uint8_t * _src , const uint8_t * topright , int _stride)"		2	0					
ANR	4	CompoundStatement		1:82:82:532	2	0					
ANR	5	IdentifierDeclStatement	pixel * src = ( pixel * ) _src ;	3:4:89:114	2	0	True				
ANR	6	IdentifierDecl	* src = ( pixel * ) _src		2	0					
ANR	7	IdentifierDeclType	pixel *		2	0					
ANR	8	Identifier	src		2	1					
ANR	9	AssignmentExpression	* src = ( pixel * ) _src		2	2		=			
ANR	10	Identifier	src		2	0					
ANR	11	CastExpression	( pixel * ) _src		2	1					
ANR	12	CastTarget	pixel *		2	0					
ANR	13	Identifier	_src		2	1					
ANR	14	IdentifierDeclStatement	int stride = _stride / sizeof ( pixel ) ;	5:4:121:155	2	1	True				
ANR	15	IdentifierDecl	stride = _stride / sizeof ( pixel )		2	0					
ANR	16	IdentifierDeclType	int		2	0					
ANR	17	Identifier	stride		2	1					
ANR	18	AssignmentExpression	stride = _stride / sizeof ( pixel )		2	2		=			
ANR	19	Identifier	stride		2	0					
ANR	20	MultiplicativeExpression	_stride / sizeof ( pixel )		2	1		/			
ANR	21	Identifier	_stride		2	0					
ANR	22	SizeofExpression	sizeof ( pixel )		2	1					
ANR	23	Sizeof	sizeof		2	0					
ANR	24	SizeofOperand	pixel		2	1					
ANR	25	IdentifierDeclStatement	const int dc = ( src [ - stride ] + src [ 1 - stride ] + src [ 2 - stride ] + src [ 3 - stride ] + src [ - 1 + 0 * stride ] + src [ - 1 + 1 * stride ] + src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4 ) >> 3 ;	7:4:162:344	2	2	True				
ANR	26	IdentifierDecl	dc = ( src [ - stride ] + src [ 1 - stride ] + src [ 2 - stride ] + src [ 3 - stride ] + src [ - 1 + 0 * stride ] + src [ - 1 + 1 * stride ] + src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4 ) >> 3		2	0					
ANR	27	IdentifierDeclType	const int		2	0					
ANR	28	Identifier	dc		2	1					
ANR	29	AssignmentExpression	dc = ( src [ - stride ] + src [ 1 - stride ] + src [ 2 - stride ] + src [ 3 - stride ] + src [ - 1 + 0 * stride ] + src [ - 1 + 1 * stride ] + src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4 ) >> 3		2	2		=			
ANR	30	Identifier	dc		2	0					
ANR	31	ShiftExpression	( src [ - stride ] + src [ 1 - stride ] + src [ 2 - stride ] + src [ 3 - stride ] + src [ - 1 + 0 * stride ] + src [ - 1 + 1 * stride ] + src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4 ) >> 3		2	1		>>			
ANR	32	AdditiveExpression	src [ - stride ] + src [ 1 - stride ] + src [ 2 - stride ] + src [ 3 - stride ] + src [ - 1 + 0 * stride ] + src [ - 1 + 1 * stride ] + src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4		2	0		+			
ANR	33	ArrayIndexing	src [ - stride ]		2	0					
ANR	34	Identifier	src		2	0					
ANR	35	UnaryOperationExpression	- stride		2	1					
ANR	36	UnaryOperator	-		2	0					
ANR	37	Identifier	stride		2	1					
ANR	38	AdditiveExpression	src [ 1 - stride ] + src [ 2 - stride ] + src [ 3 - stride ] + src [ - 1 + 0 * stride ] + src [ - 1 + 1 * stride ] + src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4		2	1		+			
ANR	39	ArrayIndexing	src [ 1 - stride ]		2	0					
ANR	40	Identifier	src		2	0					
ANR	41	AdditiveExpression	1 - stride		2	1		-			
ANR	42	PrimaryExpression	1		2	0					
ANR	43	Identifier	stride		2	1					
ANR	44	AdditiveExpression	src [ 2 - stride ] + src [ 3 - stride ] + src [ - 1 + 0 * stride ] + src [ - 1 + 1 * stride ] + src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4		2	1		+			
ANR	45	ArrayIndexing	src [ 2 - stride ]		2	0					
ANR	46	Identifier	src		2	0					
ANR	47	AdditiveExpression	2 - stride		2	1		-			
ANR	48	PrimaryExpression	2		2	0					
ANR	49	Identifier	stride		2	1					
ANR	50	AdditiveExpression	src [ 3 - stride ] + src [ - 1 + 0 * stride ] + src [ - 1 + 1 * stride ] + src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4		2	1		+			
ANR	51	ArrayIndexing	src [ 3 - stride ]		2	0					
ANR	52	Identifier	src		2	0					
ANR	53	AdditiveExpression	3 - stride		2	1		-			
ANR	54	PrimaryExpression	3		2	0					
ANR	55	Identifier	stride		2	1					
ANR	56	AdditiveExpression	src [ - 1 + 0 * stride ] + src [ - 1 + 1 * stride ] + src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4		2	1		+			
ANR	57	ArrayIndexing	src [ - 1 + 0 * stride ]		2	0					
ANR	58	Identifier	src		2	0					
ANR	59	AdditiveExpression	- 1 + 0 * stride		2	1		+			
ANR	60	UnaryOperationExpression	- 1		2	0					
ANR	61	UnaryOperator	-		2	0					
ANR	62	PrimaryExpression	1		2	1					
ANR	63	MultiplicativeExpression	0 * stride		2	1		*			
ANR	64	PrimaryExpression	0		2	0					
ANR	65	Identifier	stride		2	1					
ANR	66	AdditiveExpression	src [ - 1 + 1 * stride ] + src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4		2	1		+			
ANR	67	ArrayIndexing	src [ - 1 + 1 * stride ]		2	0					
ANR	68	Identifier	src		2	0					
ANR	69	AdditiveExpression	- 1 + 1 * stride		2	1		+			
ANR	70	UnaryOperationExpression	- 1		2	0					
ANR	71	UnaryOperator	-		2	0					
ANR	72	PrimaryExpression	1		2	1					
ANR	73	MultiplicativeExpression	1 * stride		2	1		*			
ANR	74	PrimaryExpression	1		2	0					
ANR	75	Identifier	stride		2	1					
ANR	76	AdditiveExpression	src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4		2	1		+			
ANR	77	ArrayIndexing	src [ - 1 + 2 * stride ]		2	0					
ANR	78	Identifier	src		2	0					
ANR	79	AdditiveExpression	- 1 + 2 * stride		2	1		+			
ANR	80	UnaryOperationExpression	- 1		2	0					
ANR	81	UnaryOperator	-		2	0					
ANR	82	PrimaryExpression	1		2	1					
ANR	83	MultiplicativeExpression	2 * stride		2	1		*			
ANR	84	PrimaryExpression	2		2	0					
ANR	85	Identifier	stride		2	1					
ANR	86	AdditiveExpression	src [ - 1 + 3 * stride ] + 4		2	1		+			
ANR	87	ArrayIndexing	src [ - 1 + 3 * stride ]		2	0					
ANR	88	Identifier	src		2	0					
ANR	89	AdditiveExpression	- 1 + 3 * stride		2	1		+			
ANR	90	UnaryOperationExpression	- 1		2	0					
ANR	91	UnaryOperator	-		2	0					
ANR	92	PrimaryExpression	1		2	1					
ANR	93	MultiplicativeExpression	3 * stride		2	1		*			
ANR	94	PrimaryExpression	3		2	0					
ANR	95	Identifier	stride		2	1					
ANR	96	PrimaryExpression	4		2	1					
ANR	97	PrimaryExpression	3		2	1					
ANR	98	Statement	(	13:4:353:353	2	3	True				
ANR	99	Statement	(	13:5:354:354	2	4	True				
ANR	100	Statement	pixel4	13:6:355:360	2	5	True				
ANR	101	Statement	*	13:12:361:361	2	6	True				
ANR	102	Statement	)	13:13:362:362	2	7	True				
ANR	103	Statement	(	13:14:363:363	2	8	True				
ANR	104	Statement	src	13:15:364:366	2	9	True				
ANR	105	Statement	+	13:18:367:367	2	10	True				
ANR	106	Statement	0	13:19:368:368	2	11	True				
ANR	107	Statement	*	13:20:369:369	2	12	True				
ANR	108	Statement	stride	13:21:370:375	2	13	True				
ANR	109	Statement	)	13:27:376:376	2	14	True				
ANR	110	Statement	)	13:28:377:377	2	15	True				
ANR	111	Statement	[	13:29:378:378	2	16	True				
ANR	112	Statement	0	13:30:379:379	2	17	True				
ANR	113	Statement	]	13:31:380:380	2	18	True				
ANR	114	Statement	=	13:32:381:381	2	19	True				
ANR	115	Statement	(	15:4:388:388	2	20	True				
ANR	116	Statement	(	15:5:389:389	2	21	True				
ANR	117	Statement	pixel4	15:6:390:395	2	22	True				
ANR	118	Statement	*	15:12:396:396	2	23	True				
