command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/devign__17_vulnerable_static_void_FUNCC__xfg_targeted_dead_code__c1/_work/source/devign__17_vulnerable_static_void_FUNCC__xfg_targeted_dead_code__c1.c								
ANR	2	Function	pred4x4_dc	1:0:0:591							
ANR	3	FunctionDef	"pred4x4_dc (uint8_t * _src , const uint8_t * topright , int _stride)"		2	0					
ANR	4	CompoundStatement		1:82:82:591	2	0					
ANR	5	IfStatement	if ( 0 )		2	0					
ANR	6	Condition	0	3:8:93:93	2	0	True				
ANR	7	PrimaryExpression	0		2	0					
ANR	8	CompoundStatement		4:8:23:46	2	1					
ANR	9	IdentifierDeclStatement	int dwk_xfg_guard_1 = 1 ;	4:8:106:129	2	0	True				
ANR	10	IdentifierDecl	dwk_xfg_guard_1 = 1		2	0					
ANR	11	IdentifierDeclType	int		2	0					
ANR	12	Identifier	dwk_xfg_guard_1		2	1					
ANR	13	AssignmentExpression	dwk_xfg_guard_1 = 1		2	2		=			
ANR	14	Identifier	dwk_xfg_guard_1		2	0					
ANR	15	PrimaryExpression	1		2	1					
ANR	16	ExpressionStatement	dwk_xfg_guard_1 += 0	5:8:139:159	2	1	True				
ANR	17	AssignmentExpression	dwk_xfg_guard_1 += 0		2	0		+=			
ANR	18	Identifier	dwk_xfg_guard_1		2	0					
ANR	19	PrimaryExpression	0		2	1					
ANR	20	IdentifierDeclStatement	pixel * src = ( pixel * ) _src ;	7:4:171:196	2	1	True				
ANR	21	IdentifierDecl	* src = ( pixel * ) _src		2	0					
ANR	22	IdentifierDeclType	pixel *		2	0					
ANR	23	Identifier	src		2	1					
ANR	24	AssignmentExpression	* src = ( pixel * ) _src		2	2		=			
ANR	25	Identifier	src		2	0					
ANR	26	CastExpression	( pixel * ) _src		2	1					
ANR	27	CastTarget	pixel *		2	0					
ANR	28	Identifier	_src		2	1					
ANR	29	IdentifierDeclStatement	int stride = _stride / sizeof ( pixel ) ;	9:4:203:237	2	2	True				
ANR	30	IdentifierDecl	stride = _stride / sizeof ( pixel )		2	0					
ANR	31	IdentifierDeclType	int		2	0					
ANR	32	Identifier	stride		2	1					
ANR	33	AssignmentExpression	stride = _stride / sizeof ( pixel )		2	2		=			
ANR	34	Identifier	stride		2	0					
ANR	35	MultiplicativeExpression	_stride / sizeof ( pixel )		2	1		/			
ANR	36	Identifier	_stride		2	0					
ANR	37	SizeofExpression	sizeof ( pixel )		2	1					
