command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/devign__18_vulnerable_mpeg1_decode_sequence__data_flow_alias__c1/_work/source/devign__18_vulnerable_mpeg1_decode_sequence__data_flow_alias__c1.c								
ANR	2	Function	mpeg1_decode_sequence	1:0:0:3309							
ANR	3	FunctionDef	"mpeg1_decode_sequence (AVCodecContext * avctx , const uint8_t * buf , int buf_size)"		2	0					
ANR	4	CompoundStatement		5:0:125:3309	2	0					
ANR	5	IdentifierDeclStatement	Mpeg1Context * s1 = avctx -> priv_data ;	7:4:132:168	2	0	True				
ANR	6	IdentifierDecl	* s1 = avctx -> priv_data		2	0					
ANR	7	IdentifierDeclType	Mpeg1Context *		2	0					
ANR	8	Identifier	s1		2	1					
ANR	9	AssignmentExpression	* s1 = avctx -> priv_data		2	2		=			
ANR	10	Identifier	s1		2	0					
ANR	11	PtrMemberAccess	avctx -> priv_data		2	1					
ANR	12	Identifier	avctx		2	0					
ANR	13	Identifier	priv_data		2	1					
ANR	14	IdentifierDeclStatement	MpegEncContext * s = & s1 -> mpeg_enc_ctx ;	9:4:175:212	2	1	True				
ANR	15	IdentifierDecl	* s = & s1 -> mpeg_enc_ctx		2	0					
ANR	16	IdentifierDeclType	MpegEncContext *		2	0					
ANR	17	Identifier	s		2	1					
ANR	18	AssignmentExpression	* s = & s1 -> mpeg_enc_ctx		2	2		=			
ANR	19	Identifier	s		2	0					
ANR	20	UnaryOperationExpression	& s1 -> mpeg_enc_ctx		2	1					
ANR	21	UnaryOperator	&		2	0					
ANR	22	PtrMemberAccess	s1 -> mpeg_enc_ctx		2	1					
ANR	23	Identifier	s1		2	0					
ANR	24	Identifier	mpeg_enc_ctx		2	1					
ANR	25	IdentifierDeclStatement	"int width , height ;"	11:4:219:236	2	2	True				
ANR	26	IdentifierDecl	width		2	0					
ANR	27	IdentifierDeclType	int		2	0					
ANR	28	Identifier	width		2	1					
ANR	29	IdentifierDecl	height		2	1					
ANR	30	IdentifierDeclType	int		2	0					
ANR	31	Identifier	height		2	1					
ANR	32	IdentifierDeclStatement	"int i , v , j ;"	13:4:243:254	2	3	True				
ANR	33	IdentifierDecl	i		2	0					
ANR	34	IdentifierDeclType	int		2	0					
ANR	35	Identifier	i		2	1					
ANR	36	IdentifierDecl	v		2	1					
ANR	37	IdentifierDeclType	int		2	0					
ANR	38	Identifier	v		2	1					
ANR	39	IdentifierDecl	j		2	2					
ANR	40	IdentifierDeclType	int		2	0					
ANR	41	Identifier	j		2	1					
ANR	42	IdentifierDeclStatement	int dwk_flow_value_1 = ( int ) ( & s -> gb ) ;	17:4:263:299	2	4	True				
ANR	43	IdentifierDecl	dwk_flow_value_1 = ( int ) ( & s -> gb )		2	0					
ANR	44	IdentifierDeclType	int		2	0					
ANR	45	Identifier	dwk_flow_value_1		2	1					
ANR	46	AssignmentExpression	dwk_flow_value_1 = ( int ) ( & s -> gb )		2	2		=			
ANR	47	Identifier	dwk_flow_value_1		2	0					
ANR	48	CastExpression	( int ) ( & s -> gb )		2	1					
ANR	49	CastTarget	int		2	0					
ANR	50	UnaryOperationExpression	& s -> gb		2	1					
ANR	51	UnaryOperator	&		2	0					
ANR	52	PtrMemberAccess	s -> gb		2	1					
ANR	53	Identifier	s		2	0					
ANR	54	Identifier	gb		2	1					
ANR	55	ExpressionStatement	dwk_flow_value_1 += 0	18:4:305:326	2	5	True				
ANR	56	AssignmentExpression	dwk_flow_value_1 += 0		2	0		+=			
ANR	57	Identifier	dwk_flow_value_1		2	0					
ANR	58	PrimaryExpression	0		2	1					
ANR	59	ExpressionStatement	"init_get_bits ( & s -> gb , buf , buf_size * 8 )"	19:4:332:372	2	6	True				
ANR	60	CallExpression	"init_get_bits ( & s -> gb , buf , buf_size * 8 )"		2	0					
ANR	61	Callee	init_get_bits		2	0					
ANR	62	Identifier	init_get_bits		2	0					
ANR	63	ArgumentList	& s -> gb		2	1					
ANR	64	Argument	& s -> gb		2	0					
ANR	65	UnaryOperationExpression	& s -> gb		2	0					
ANR	66	UnaryOperator	&		2	0					
ANR	67	PtrMemberAccess	s -> gb		2	1					
ANR	68	Identifier	s		2	0					
ANR	69	Identifier	gb		2	1					
ANR	70	Argument	buf		2	1					
ANR	71	Identifier	buf		2	0					
ANR	72	Argument	buf_size * 8		2	2					
ANR	73	MultiplicativeExpression	buf_size * 8		2	0		*			
ANR	74	Identifier	buf_size		2	0					
ANR	75	PrimaryExpression	8		2	1					
ANR	76	ExpressionStatement	"width = get_bits ( & s -> gb , 12 )"	23:4:381:410	2	7	True				
ANR	77	AssignmentExpression	"width = get_bits ( & s -> gb , 12 )"		2	0		=			
ANR	78	Identifier	width		2	0					
ANR	79	CallExpression	"get_bits ( & s -> gb , 12 )"		2	1					
ANR	80	Callee	get_bits		2	0					
ANR	81	Identifier	get_bits		2	0					
ANR	82	ArgumentList	& s -> gb		2	1					
ANR	83	Argument	& s -> gb		2	0					
ANR	84	UnaryOperationExpression	& s -> gb		2	0					
