start	end	type	var
4	5	IS_AST_PARENT	
4	6	IS_AST_PARENT	
4	7	IS_AST_PARENT	
4	8	IS_AST_PARENT	
4	9	IS_AST_PARENT	
4	10	IS_AST_PARENT	
4	11	IS_AST_PARENT	
4	12	IS_AST_PARENT	
4	13	IS_AST_PARENT	
4	14	IS_AST_PARENT	
4	15	IS_AST_PARENT	
4	16	IS_AST_PARENT	
18	19	IS_AST_PARENT	
18	20	IS_AST_PARENT	
17	18	IS_AST_PARENT	
4	17	IS_AST_PARENT	
22	23	IS_AST_PARENT	
22	24	IS_AST_PARENT	
21	22	IS_AST_PARENT	
4	21	IS_AST_PARENT	
26	27	IS_AST_PARENT	
26	28	IS_AST_PARENT	
25	26	IS_AST_PARENT	
4	25	IS_AST_PARENT	
4	29	IS_AST_PARENT	
31	32	IS_AST_PARENT	
31	33	IS_AST_PARENT	
31	34	IS_AST_PARENT	
30	31	IS_AST_PARENT	
4	30	IS_AST_PARENT	
36	37	IS_AST_PARENT	
36	38	IS_AST_PARENT	
39	40	IS_AST_PARENT	
39	41	IS_AST_PARENT	
36	39	IS_AST_PARENT	
35	36	IS_AST_PARENT	
4	35	IS_AST_PARENT	
43	44	IS_AST_PARENT	
43	45	IS_AST_PARENT	
42	43	IS_AST_PARENT	
4	42	IS_AST_PARENT	
49	50	IS_AST_PARENT	
49	51	IS_AST_PARENT	
48	49	IS_AST_PARENT	
53	54	IS_AST_PARENT	
53	55	IS_AST_PARENT	
52	53	IS_AST_PARENT	
52	56	IS_AST_PARENT	
48	52	IS_AST_PARENT	
47	48	IS_AST_PARENT	
46	47	IS_AST_PARENT	
58	59	IS_AST_PARENT	
58	60	IS_AST_PARENT	
57	58	IS_AST_PARENT	
46	57	IS_AST_PARENT	
4	46	IS_AST_PARENT	
63	64	IS_AST_PARENT	
63	65	IS_AST_PARENT	
62	63	IS_AST_PARENT	
66	67	IS_AST_PARENT	
66	68	IS_AST_PARENT	
62	66	IS_AST_PARENT	
61	62	IS_AST_PARENT	
4	61	IS_AST_PARENT	
70	71	IS_AST_PARENT	
70	72	IS_AST_PARENT	
69	70	IS_AST_PARENT	
4	69	IS_AST_PARENT	
77	78	IS_AST_PARENT	
76	77	IS_AST_PARENT	
80	81	IS_AST_PARENT	
79	80	IS_AST_PARENT	
82	83	IS_AST_PARENT	
79	82	IS_AST_PARENT	
84	85	IS_AST_PARENT	
79	84	IS_AST_PARENT	
76	79	IS_AST_PARENT	
75	76	IS_AST_PARENT	
75	86	IS_AST_PARENT	
74	75	IS_AST_PARENT	
73	74	IS_AST_PARENT	
90	91	IS_AST_PARENT	
92	93	IS_AST_PARENT	
92	94	IS_AST_PARENT	
90	92	IS_AST_PARENT	
89	90	IS_AST_PARENT	
88	89	IS_AST_PARENT	
97	98	IS_AST_PARENT	
97	99	IS_AST_PARENT	
96	97	IS_AST_PARENT	
95	96	IS_AST_PARENT	
95	100	IS_AST_PARENT	
95	101	IS_AST_PARENT	
95	102	IS_AST_PARENT	
95	103	IS_AST_PARENT	
95	104	IS_AST_PARENT	
95	105	IS_AST_PARENT	
95	106	IS_AST_PARENT	
95	107	IS_AST_PARENT	
95	108	IS_AST_PARENT	
95	109	IS_AST_PARENT	
95	110	IS_AST_PARENT	
95	111	IS_AST_PARENT	
114	115	IS_AST_PARENT	
116	117	IS_AST_PARENT	
116	118	IS_AST_PARENT	
114	116	IS_AST_PARENT	
113	114	IS_AST_PARENT	
112	113	IS_AST_PARENT	
119	120	IS_AST_PARENT	
112	119	IS_AST_PARENT	
121	122	IS_AST_PARENT	
123	124	IS_AST_PARENT	
123	125	IS_AST_PARENT	
121	123	IS_AST_PARENT	
112	121	IS_AST_PARENT	
129	130	IS_AST_PARENT	
128	129	IS_AST_PARENT	
132	133	IS_AST_PARENT	
131	132	IS_AST_PARENT	
134	135	IS_AST_PARENT	
131	134	IS_AST_PARENT	
128	131	IS_AST_PARENT	
127	128	IS_AST_PARENT	
126	127	IS_AST_PARENT	
138	139	IS_AST_PARENT	
137	138	IS_AST_PARENT	
141	142	IS_AST_PARENT	
140	141	IS_AST_PARENT	
144	145	IS_AST_PARENT	
144	146	IS_AST_PARENT	
143	144	IS_AST_PARENT	
140	143	IS_AST_PARENT	
137	140	IS_AST_PARENT	
136	137	IS_AST_PARENT	
126	136	IS_AST_PARENT	
149	150	IS_AST_PARENT	
148	149	IS_AST_PARENT	
152	153	IS_AST_PARENT	
151	152	IS_AST_PARENT	
154	155	IS_AST_PARENT	
151	154	IS_AST_PARENT	
148	151	IS_AST_PARENT	
147	148	IS_AST_PARENT	
126	147	IS_AST_PARENT	
112	126	IS_AST_PARENT	
95	112	IS_AST_PARENT	
158	159	IS_AST_PARENT	
157	158	IS_AST_PARENT	
161	162	IS_AST_PARENT	
160	161	IS_AST_PARENT	
163	164	IS_AST_PARENT	
160	163	IS_AST_PARENT	
157	160	IS_AST_PARENT	
156	157	IS_AST_PARENT	
95	156	IS_AST_PARENT	
88	95	IS_AST_PARENT	
87	88	IS_AST_PARENT	
165	166	IS_AST_PARENT	
87	165	IS_AST_PARENT	
73	87	IS_AST_PARENT	
4	73	IS_AST_PARENT	
169	170	IS_AST_PARENT	
169	171	IS_AST_PARENT	
168	169	IS_AST_PARENT	
167	168	IS_AST_PARENT	
172	173	IS_AST_PARENT	
172	174	IS_AST_PARENT	
167	172	IS_AST_PARENT	
177	178	IS_AST_PARENT	
180	181	IS_AST_PARENT	
180	182	IS_AST_PARENT	
179	180	IS_AST_PARENT	
179	183	IS_AST_PARENT	
177	179	IS_AST_PARENT	
176	177	IS_AST_PARENT	
175	176	IS_AST_PARENT	
187	188	IS_AST_PARENT	
187	189	IS_AST_PARENT	
186	187	IS_AST_PARENT	
193	194	IS_AST_PARENT	
192	193	IS_AST_PARENT	
196	197	IS_AST_PARENT	
195	196	IS_AST_PARENT	
198	199	IS_AST_PARENT	
195	198	IS_AST_PARENT	
200	201	IS_AST_PARENT	
195	200	IS_AST_PARENT	
192	195	IS_AST_PARENT	
191	192	IS_AST_PARENT	
191	202	IS_AST_PARENT	
190	191	IS_AST_PARENT	
205	206	IS_AST_PARENT	
204	205	IS_AST_PARENT	
208	209	IS_AST_PARENT	
207	208	IS_AST_PARENT	
204	207	IS_AST_PARENT	
203	204	IS_AST_PARENT	
203	210	IS_AST_PARENT	
190	203	IS_AST_PARENT	
186	190	IS_AST_PARENT	
185	186	IS_AST_PARENT	
184	185	IS_AST_PARENT	
184	211	IS_AST_PARENT	
175	184	IS_AST_PARENT	
167	175	IS_AST_PARENT	
4	167	IS_AST_PARENT	
214	215	IS_AST_PARENT	
213	214	IS_AST_PARENT	
217	218	IS_AST_PARENT	
217	219	IS_AST_PARENT	
216	217	IS_AST_PARENT	
216	220	IS_AST_PARENT	
213	216	IS_AST_PARENT	
213	221	IS_AST_PARENT	
212	213	IS_AST_PARENT	
4	212	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	222	IS_AST_PARENT	
3	223	IS_AST_PARENT	
225	226	IS_AST_PARENT	
225	227	IS_AST_PARENT	
224	225	IS_AST_PARENT	
