command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/devign__20_non_vulnerable_static_int_vfio_set_resample_eventfd__xfg_targeted_dead_code__c1/_work/source/devign__20_non_vulnerable_static_int_vfio_set_resample_eventfd__xfg_targeted_dead_code__c1.c								
ANR	2	Function	vfio_set_resample_eventfd	1:0:0:870							
ANR	3	FunctionDef	vfio_set_resample_eventfd (VFIOINTp * intp)		2	0					
ANR	4	CompoundStatement		3:0:54:870	2	0					
ANR	5	IfStatement	if ( 0 )		2	0					
ANR	6	Condition	0	5:8:65:65	2	0	True				
ANR	7	PrimaryExpression	0		2	0					
ANR	8	CompoundStatement		4:8:23:46	2	1					
ANR	9	IdentifierDeclStatement	int dwk_xfg_guard_1 = 1 ;	6:8:78:101	2	0	True				
ANR	10	IdentifierDecl	dwk_xfg_guard_1 = 1		2	0					
ANR	11	IdentifierDeclType	int		2	0					
ANR	12	Identifier	dwk_xfg_guard_1		2	1					
ANR	13	AssignmentExpression	dwk_xfg_guard_1 = 1		2	2		=			
ANR	14	Identifier	dwk_xfg_guard_1		2	0					
ANR	15	PrimaryExpression	1		2	1					
ANR	16	ExpressionStatement	dwk_xfg_guard_1 += 0	7:8:111:131	2	1	True				
ANR	17	AssignmentExpression	dwk_xfg_guard_1 += 0		2	0		+=			
ANR	18	Identifier	dwk_xfg_guard_1		2	0					
ANR	19	PrimaryExpression	0		2	1					
ANR	20	IdentifierDeclStatement	VFIODevice * vbasedev = & intp -> vdev -> vbasedev ;	9:4:143:187	2	1	True				
ANR	21	IdentifierDecl	* vbasedev = & intp -> vdev -> vbasedev		2	0					
ANR	22	IdentifierDeclType	VFIODevice *		2	0					
ANR	23	Identifier	vbasedev		2	1					
ANR	24	AssignmentExpression	* vbasedev = & intp -> vdev -> vbasedev		2	2		=			
ANR	25	Identifier	vbasedev		2	0					
ANR	26	UnaryOperationExpression	& intp -> vdev -> vbasedev		2	1					
ANR	27	UnaryOperator	&		2	0					
ANR	28	PtrMemberAccess	intp -> vdev -> vbasedev		2	1					
ANR	29	PtrMemberAccess	intp -> vdev		2	0					
ANR	30	Identifier	intp		2	0					
ANR	31	Identifier	vdev		2	1					
ANR	32	Identifier	vbasedev		2	1					
ANR	33	IdentifierDeclStatement	struct vfio_irq_set * irq_set ;	11:4:194:222	2	2	True				
ANR	34	IdentifierDecl	* irq_set		2	0					
ANR	35	IdentifierDeclType	struct vfio_irq_set *		2	0					
ANR	36	Identifier	irq_set		2	1					
ANR	37	IdentifierDeclStatement	"int argsz , ret ;"	13:4:229:243	2	3	True				
ANR	38	IdentifierDecl	argsz		2	0					
ANR	39	IdentifierDeclType	int		2	0					
ANR	40	Identifier	argsz		2	1					
ANR	41	IdentifierDecl	ret		2	1					
ANR	42	IdentifierDeclType	int		2	0					
ANR	43	Identifier	ret		2	1					
ANR	44	IdentifierDeclStatement	int32_t * pfd ;	15:4:250:262	2	4	True				
ANR	45	IdentifierDecl	* pfd		2	0					
ANR	46	IdentifierDeclType	int32_t *		2	0					
ANR	47	Identifier	pfd		2	1					
ANR	48	ExpressionStatement	argsz = sizeof ( * irq_set ) + sizeof ( * pfd )	19:4:271:310	2	5	True				
ANR	49	AssignmentExpression	argsz = sizeof ( * irq_set ) + sizeof ( * pfd )		2	0		=			
ANR	50	Identifier	argsz		2	0					
ANR	51	AdditiveExpression	sizeof ( * irq_set ) + sizeof ( * pfd )		2	1		+			
ANR	52	SizeofExpression	sizeof ( * irq_set )		2	0					
ANR	53	Sizeof	sizeof		2	0					
ANR	54	UnaryOperationExpression	* irq_set		2	1					
ANR	55	UnaryOperator	*		2	0					
ANR	56	Identifier	irq_set		2	1					
ANR	57	SizeofExpression	sizeof ( * pfd )		2	1					
ANR	58	Sizeof	sizeof		2	0					
ANR	59	UnaryOperationExpression	* pfd		2	1					
ANR	60	UnaryOperator	*		2	0					
ANR	61	Identifier	pfd		2	1					
ANR	62	ExpressionStatement	irq_set = g_malloc0 ( argsz )	21:4:317:343	2	6	True				
ANR	63	AssignmentExpression	irq_set = g_malloc0 ( argsz )		2	0		=			
