method,budget,setting,eligible_samples,scored_samples,any_seed_success_samples,any_seed_success_rate,all_scored_seeds_success_samples,mean_per_sample_seed_success_rate,mean_scored_variants_per_sample
random_graph::edge_add,1,budget 1,30,30,2,0.06666666666666667,0,0.02,10.0
random_graph::edge_add,3,budget 3,30,30,4,0.13333333333333333,0,0.04,10.0
random_graph::edge_add,5,budget 5,30,30,4,0.13333333333333333,0,0.030000000000000002,10.0
random_graph::edge_add,7,budget 7,30,30,4,0.13333333333333333,0,0.04,10.0
random_graph::edge_add,9,budget 9,30,30,4,0.13333333333333333,0,0.03333333333333333,10.0
random_graph::edge_add,11,budget 11,30,30,4,0.13333333333333333,0,0.03666666666666667,10.0
random_graph::edge_add,13,budget 13,30,30,4,0.13333333333333333,0,0.04,10.0
random_graph::edge_add,15,budget 15,30,30,5,0.16666666666666666,0,0.04666666666666666,10.0
random_graph::edge_add,20,budget 20,30,30,4,0.13333333333333333,0,0.043333333333333335,10.0
random_graph::edge_add,25,budget 25,30,30,3,0.1,0,0.04,10.0
random_graph::edge_delete,1,budget 1,30,30,2,0.06666666666666667,0,0.006666666666666667,10.0
random_graph::edge_delete,3,budget 3,30,29,3,0.10344827586206896,0,0.027586206896551727,9.551724137931034
random_graph::edge_delete,5,budget 5,30,24,3,0.125,0,0.05416666666666667,9.875
random_graph::edge_delete,7,budget 7,30,23,6,0.2608695652173913,1,0.06956521739130435,9.73913043478261
random_graph::edge_delete,9,budget 9,30,20,5,0.25,0,0.04,9.9
random_graph::edge_delete,11,budget 11,30,20,5,0.25,0,0.035555555555555556,9.65
random_graph::edge_delete,13,budget 13,30,18,4,0.2222222222222222,0,0.03333333333333334,9.38888888888889
random_graph::edge_delete,15,budget 15,30,16,4,0.25,0,0.04375,9.625
random_graph::edge_delete,20,budget 20,30,15,5,0.3333333333333333,0,0.060000000000000005,10.0
random_graph::edge_delete,25,budget 25,30,13,4,0.3076923076923077,0,0.038461538461538464,10.0
random_graph::edge_reconnect,1,budget 1,30,30,3,0.1,0,0.013333333333333334,10.0
random_graph::edge_reconnect,3,budget 3,30,30,4,0.13333333333333333,0,0.02333333333333333,9.966666666666667
random_graph::edge_reconnect,5,budget 5,30,30,4,0.13333333333333333,0,0.02333333333333333,9.966666666666667
random_graph::edge_reconnect,7,budget 7,30,30,3,0.1,0,0.024074074074074074,9.9
random_graph::edge_reconnect,9,budget 9,30,30,6,0.2,0,0.03333333333333333,10.0
random_graph::edge_reconnect,11,budget 11,30,30,5,0.16666666666666666,0,0.02666666666666667,9.966666666666667
random_graph::edge_reconnect,13,budget 13,30,30,5,0.16666666666666666,0,0.03333333333333333,9.966666666666667
random_graph::edge_reconnect,15,budget 15,30,30,4,0.13333333333333333,0,0.030740740740740742,9.866666666666667
random_graph::edge_reconnect,20,budget 20,30,30,6,0.2,0,0.043333333333333335,10.0
random_graph::edge_reconnect,25,budget 25,30,30,6,0.2,0,0.03333333333333333,9.933333333333334
random_graph::node_add,1,budget 1,30,30,0,0.0,0,0.0,10.0
random_graph::node_add,3,budget 3,30,30,2,0.06666666666666667,0,0.006666666666666667,10.0
random_graph::node_add,5,budget 5,30,30,3,0.1,0,0.013333333333333334,10.0
random_graph::node_add,7,budget 7,30,30,4,0.13333333333333333,0,0.02333333333333333,10.0
random_graph::node_add,9,budget 9,30,30,5,0.16666666666666666,0,0.03666666666666667,10.0
random_graph::node_add,11,budget 11,30,30,5,0.16666666666666666,0,0.03666666666666667,10.0
random_graph::node_add,13,budget 13,30,30,5,0.16666666666666666,0,0.043333333333333335,10.0
random_graph::node_add,15,budget 15,30,30,5,0.16666666666666666,0,0.05333333333333334,10.0
random_graph::node_add,20,budget 20,30,30,5,0.16666666666666666,0,0.056666666666666664,10.0
random_graph::node_add,25,budget 25,30,30,5,0.16666666666666666,0,0.06666666666666667,10.0
random_graph::node_attribute_modify,1,budget 1,30,30,4,0.13333333333333333,0,0.013333333333333334,10.0
random_graph::node_attribute_modify,3,budget 3,30,30,5,0.16666666666666666,0,0.03333333333333333,10.0
random_graph::node_attribute_modify,5,budget 5,30,30,5,0.16666666666666666,0,0.05333333333333334,10.0
random_graph::node_attribute_modify,7,budget 7,30,30,7,0.23333333333333334,0,0.06666666666666667,10.0
random_graph::node_attribute_modify,9,budget 9,30,30,7,0.23333333333333334,0,0.07333333333333333,10.0
random_graph::node_attribute_modify,11,budget 11,30,30,8,0.26666666666666666,0,0.07,10.0
random_graph::node_attribute_modify,13,budget 13,30,30,6,0.2,0,0.07666666666666666,10.0
random_graph::node_attribute_modify,15,budget 15,30,30,10,0.3333333333333333,0,0.09333333333333332,10.0
random_graph::node_attribute_modify,20,budget 20,30,30,10,0.3333333333333333,0,0.12333333333333332,10.0
random_graph::node_attribute_modify,25,budget 25,30,30,8,0.26666666666666666,0,0.13333333333333333,10.0
random_graph::node_delete,1,budget 1,30,30,2,0.06666666666666667,0,0.013333333333333334,10.0
random_graph::node_delete,3,budget 3,30,24,2,0.08333333333333333,0,0.03333333333333333,9.833333333333334
random_graph::node_delete,5,budget 5,30,24,4,0.16666666666666666,0,0.0625,9.666666666666666
random_graph::node_delete,7,budget 7,30,23,2,0.08695652173913043,1,0.07391304347826087,9.91304347826087
random_graph::node_delete,9,budget 9,30,23,4,0.17391304347826086,1,0.09130434782608696,9.826086956521738
random_graph::node_delete,11,budget 11,30,23,3,0.13043478260869565,1,0.0782608695652174,9.652173913043478
random_graph::node_delete,13,budget 13,30,22,3,0.13636363636363635,2,0.11363636363636363,9.954545454545455
random_graph::node_delete,15,budget 15,30,22,3,0.13636363636363635,2,0.11363636363636363,9.909090909090908
random_graph::node_delete,20,budget 20,30,21,3,0.14285714285714285,2,0.12380952380952381,9.857142857142858
random_graph::node_delete,25,budget 25,30,20,4,0.2,3,0.155,10.0
winner_xfg::targeted_subgraph_injection,1,budget 1,30,30,2,0.06666666666666667,2,0.06666666666666667,10.0
winner_xfg::targeted_subgraph_injection,3,budget 3,30,30,2,0.06666666666666667,2,0.06666666666666667,10.0
winner_xfg::targeted_subgraph_injection,5,budget 5,30,30,2,0.06666666666666667,2,0.06666666666666667,10.0
winner_xfg::targeted_subgraph_injection,7,budget 7,30,30,2,0.06666666666666667,2,0.06666666666666667,10.0
winner_xfg::targeted_subgraph_injection,9,budget 9,30,30,2,0.06666666666666667,2,0.06666666666666667,10.0
winner_xfg::targeted_subgraph_injection,11,budget 11,30,30,2,0.06666666666666667,2,0.06666666666666667,10.0
winner_xfg::targeted_subgraph_injection,13,budget 13,30,30,2,0.06666666666666667,2,0.06666666666666667,10.0
winner_xfg::targeted_subgraph_injection,15,budget 15,30,30,2,0.06666666666666667,2,0.06666666666666667,10.0
winner_xfg::targeted_subgraph_injection,20,budget 20,30,30,4,0.13333333333333333,4,0.13333333333333333,10.0
winner_xfg::targeted_subgraph_injection,25,budget 25,30,30,4,0.13333333333333333,4,0.13333333333333333,10.0
winner_xfg::winner_xfg_edge_attack,1,budget 1,30,30,3,0.1,3,0.1,10.0
winner_xfg::winner_xfg_edge_attack,3,budget 3,30,30,7,0.23333333333333334,7,0.23333333333333334,10.0
winner_xfg::winner_xfg_edge_attack,5,budget 5,30,30,4,0.13333333333333333,4,0.13333333333333333,10.0
winner_xfg::winner_xfg_edge_attack,7,budget 7,30,30,5,0.16666666666666666,5,0.16666666666666666,10.0
winner_xfg::winner_xfg_edge_attack,9,budget 9,30,30,5,0.16666666666666666,5,0.16666666666666666,10.0
winner_xfg::winner_xfg_edge_attack,11,budget 11,30,30,4,0.13333333333333333,4,0.13333333333333333,10.0
winner_xfg::winner_xfg_edge_attack,13,budget 13,30,30,3,0.1,3,0.1,10.0
winner_xfg::winner_xfg_edge_attack,15,budget 15,30,30,3,0.1,3,0.1,10.0
winner_xfg::winner_xfg_edge_attack,20,budget 20,30,30,3,0.1,3,0.1,10.0
winner_xfg::winner_xfg_edge_attack,25,budget 25,30,30,3,0.1,3,0.1,10.0
winner_xfg::winner_xfg_feature_mask,1,budget 1,30,30,3,0.1,3,0.1,10.0
winner_xfg::winner_xfg_feature_mask,3,budget 3,30,30,4,0.13333333333333333,4,0.13333333333333333,10.0
winner_xfg::winner_xfg_feature_mask,5,budget 5,30,30,5,0.16666666666666666,5,0.16666666666666666,10.0
winner_xfg::winner_xfg_feature_mask,7,budget 7,30,30,5,0.16666666666666666,5,0.16666666666666666,10.0
winner_xfg::winner_xfg_feature_mask,9,budget 9,30,30,4,0.13333333333333333,4,0.13333333333333333,10.0
winner_xfg::winner_xfg_feature_mask,11,budget 11,30,30,4,0.13333333333333333,4,0.13333333333333333,10.0
winner_xfg::winner_xfg_feature_mask,13,budget 13,30,30,4,0.13333333333333333,4,0.13333333333333333,10.0
winner_xfg::winner_xfg_feature_mask,15,budget 15,30,30,4,0.13333333333333333,4,0.13333333333333333,10.0
winner_xfg::winner_xfg_feature_mask,20,budget 20,30,30,5,0.16666666666666666,5,0.16666666666666666,10.0
winner_xfg::winner_xfg_feature_mask,25,budget 25,30,30,5,0.16666666666666666,5,0.16666666666666666,10.0
