command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/baseline/cwe119__06_non_vulnerable_08_non-vulnerable_32/_work/source/06_non_vulnerable_08_non-vulnerable_32.c								
ANR	2	DeclStmt									
ANR	3	Decl							int64_t	int64_t *	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_badData
ANR	4	DeclStmt									
ANR	5	Decl							int64_t	int64_t *	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_goodG2BData
ANR	6	DeclStmt									
ANR	7	Decl							void	void ( )	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68b_badSink
ANR	8	Function	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_bad	27:0:967:1403							
ANR	9	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_bad ()		8	0					
ANR	10	CompoundStatement		28:0:1040:1403	8	0					
ANR	11	IdentifierDeclStatement	int64_t * data ;	29:4:1046:1060	8	0	True				
ANR	12	IdentifierDecl	* data		8	0					
ANR	13	IdentifierDeclType	int64_t *		8	0					
ANR	14	Identifier	data		8	1					
ANR	15	ExpressionStatement	data = NULL	30:4:1066:1077	8	1	True				
ANR	16	AssignmentExpression	data = NULL		8	0		=			
ANR	17	Identifier	data		8	0					
ANR	18	Identifier	NULL		8	1					
ANR	19	ExpressionStatement	data = ( int64_t * ) malloc ( 50 * sizeof ( int64_t ) )	32:4:1197:1241	8	2	True				
ANR	20	AssignmentExpression	data = ( int64_t * ) malloc ( 50 * sizeof ( int64_t ) )		8	0		=			
ANR	21	Identifier	data		8	0					
ANR	22	CastExpression	( int64_t * ) malloc ( 50 * sizeof ( int64_t ) )		8	1					
ANR	23	CastTarget	int64_t *		8	0					
ANR	24	CallExpression	malloc ( 50 * sizeof ( int64_t ) )		8	1					
ANR	25	Callee	malloc		8	0					
ANR	26	Identifier	malloc		8	0					
ANR	27	ArgumentList	50 * sizeof ( int64_t )		8	1					
