sample_id,dataset,source_file,label,status,notes
cvefixes__01_vulnerable_expand_dynamic_string_token,cvefixes,input_sources/cvefixes/01_vulnerable_expand_dynamic_string_token.c,1,staged,
cvefixes__02_fixed_dl_dst_substitute,cvefixes,input_sources/cvefixes/02_fixed_dl_dst_substitute.c,0,staged,
cvefixes__03_fixed_KPasswordDlg_keyPressed,cvefixes,input_sources/cvefixes/03_fixed_KPasswordDlg_keyPressed.c,0,staged,
cvefixes__04_fixed_ia64_patch_rse,cvefixes,input_sources/cvefixes/04_fixed_ia64_patch_rse.c,0,staged,
cvefixes__05_fixed_altivec_unavailable_exception,cvefixes,input_sources/cvefixes/05_fixed_altivec_unavailable_exception.c,0,staged,
cvefixes__06_vulnerable_altivec_unavailable_exception,cvefixes,input_sources/cvefixes/06_vulnerable_altivec_unavailable_exception.c,1,staged,
cvefixes__07_fixed_videobuf_vm_close,cvefixes,input_sources/cvefixes/07_fixed_videobuf_vm_close.c,0,staged,
cvefixes__08_vulnerable_videobuf_vm_close,cvefixes,input_sources/cvefixes/08_vulnerable_videobuf_vm_close.c,1,staged,
cvefixes__09_fixed_netlbl_cipsov4_add_common,cvefixes,input_sources/cvefixes/09_fixed_netlbl_cipsov4_add_common.c,0,staged,
cvefixes__10_vulnerable_netlbl_cipsov4_add_common,cvefixes,input_sources/cvefixes/10_vulnerable_netlbl_cipsov4_add_common.c,1,staged,
cvefixes__11_fixed_generic_perform_write,cvefixes,input_sources/cvefixes/11_fixed_generic_perform_write.c,0,staged,
cvefixes__12_vulnerable_generic_perform_write,cvefixes,input_sources/cvefixes/12_vulnerable_generic_perform_write.c,1,staged,
cvefixes__13_fixed_pango_glyph_string_set_size,cvefixes,input_sources/cvefixes/13_fixed_pango_glyph_string_set_size.c,0,staged,
cvefixes__14_vulnerable_pango_glyph_string_set_size,cvefixes,input_sources/cvefixes/14_vulnerable_pango_glyph_string_set_size.c,1,staged,
cvefixes__15_fixed_decode_entities,cvefixes,input_sources/cvefixes/15_fixed_decode_entities.c,0,staged,
cvefixes__16_vulnerable_decode_entities,cvefixes,input_sources/cvefixes/16_vulnerable_decode_entities.c,1,staged,
cvefixes__17_vulnerable_eval_js,cvefixes,input_sources/cvefixes/17_vulnerable_eval_js.c,1,staged,
cvefixes__18_vulnerable_try_read_command,cvefixes,input_sources/cvefixes/18_vulnerable_try_read_command.c,1,staged,
cvefixes__19_fixed_try_read_network,cvefixes,input_sources/cvefixes/19_fixed_try_read_network.c,0,staged,
cvefixes__20_vulnerable_irssi_ssl_handshake,cvefixes,input_sources/cvefixes/20_vulnerable_irssi_ssl_handshake.c,1,staged,
cwe119__01_vulnerable_03_vulnerable_30,cwe119,input_sources/cwe119/01_vulnerable_03_vulnerable_30.c,1,staged,
cwe119__02_vulnerable_04_vulnerable_55,cwe119,input_sources/cwe119/02_vulnerable_04_vulnerable_55.c,1,staged,
cwe119__03_vulnerable_05_vulnerable_32,cwe119,input_sources/cwe119/03_vulnerable_05_vulnerable_32.c,1,staged,
cwe119__04_non_vulnerable_06_non-vulnerable_63,cwe119,input_sources/cwe119/04_non_vulnerable_06_non-vulnerable_63.c,0,staged,
cwe119__05_non_vulnerable_07_non-vulnerable_41,cwe119,input_sources/cwe119/05_non_vulnerable_07_non-vulnerable_41.c,0,staged,
cwe119__06_non_vulnerable_08_non-vulnerable_32,cwe119,input_sources/cwe119/06_non_vulnerable_08_non-vulnerable_32.c,0,staged,
cwe119__07_non_vulnerable_09_non-vulnerable_83,cwe119,input_sources/cwe119/07_non_vulnerable_09_non-vulnerable_83.c,0,staged,
