action,budget,seed_count,attempted,successful,failed,fully_applied,flips,attack_eligible,attack_successes,attack_success_rate,mean_delta_probability,mean_absolute_delta_probability,max_absolute_delta_probability,mean_applied_count
winner_xfg_edge_attack,1,10,300,300,0,300,30,300,30,0.1,-0.041330732542736164,0.09953122196459395,0.8234629184007645,1.0
winner_xfg_edge_attack,3,10,300,300,0,300,70,300,70,0.23333333333333334,-0.054196696757284404,0.16918001832618354,0.9312404096126556,3.0
winner_xfg_edge_attack,5,10,300,300,0,300,40,300,40,0.13333333333333333,-0.024095096559165217,0.17103293197364,0.9699885511072353,5.0
winner_xfg_edge_attack,7,10,300,300,0,290,50,300,50,0.16666666666666666,-0.037426410628829426,0.17198497016459421,0.988652911153622,6.933333333333334
winner_xfg_edge_attack,9,10,300,300,0,280,50,300,50,0.16666666666666666,-0.05263607488126383,0.1912900341424364,0.9512170815141872,8.8
winner_xfg_edge_attack,11,10,300,300,0,270,40,300,40,0.13333333333333333,-0.07274753567417937,0.18590714519925045,0.8745831847190857,10.633333333333333
winner_xfg_edge_attack,13,10,300,300,0,270,30,300,30,0.1,-0.0760284637910411,0.1828013385941311,0.8745831847190857,12.433333333333334
winner_xfg_edge_attack,15,10,300,300,0,270,30,300,30,0.1,-0.06537375338521273,0.1705570189114036,0.8745831847190857,14.233333333333333
winner_xfg_edge_attack,20,10,300,300,0,240,30,300,30,0.1,-0.0901909524098048,0.1637643078819077,0.8745831847190857,18.333333333333332
winner_xfg_edge_attack,25,10,300,300,0,240,30,300,30,0.1,-0.09404237569889592,0.160604301779248,0.8745831847190857,22.333333333333332
winner_xfg_feature_mask,1,10,300,300,0,300,30,300,30,0.1,-0.010409620874674511,0.11664896262825399,0.8870771009242162,1.0
winner_xfg_feature_mask,3,10,300,300,0,290,40,300,40,0.13333333333333333,-0.03978469866976425,0.11998650664804596,0.8874865295365453,2.966666666666667
winner_xfg_feature_mask,5,10,300,300,0,230,50,300,50,0.16666666666666666,-0.023875570404708335,0.139519921844264,0.8990587981177356,4.5
winner_xfg_feature_mask,7,10,300,300,0,140,50,300,50,0.16666666666666666,-0.015725561341659297,0.14766994188808552,0.8990587981177356,5.6
winner_xfg_feature_mask,9,10,300,300,0,140,40,300,40,0.13333333333333333,-0.02000635919126593,0.1433889248555693,0.8990555942993979,6.533333333333333
winner_xfg_feature_mask,11,10,300,300,0,120,40,300,40,0.13333333333333333,-0.01995488749137877,0.14344039067894254,0.8990555942993979,7.366666666666666
winner_xfg_feature_mask,13,10,300,300,0,100,40,300,40,0.13333333333333333,-0.020001781124935124,0.14339350696374523,0.8990555942993979,8.1
winner_xfg_feature_mask,15,10,300,300,0,100,40,300,40,0.13333333333333333,-0.020065252466588676,0.1433319341224087,0.8990555942993979,8.766666666666667
winner_xfg_feature_mask,20,10,300,300,0,80,50,300,50,0.16666666666666666,-0.019054216654517096,0.1443429551616137,0.8990555942993979,10.166666666666666
winner_xfg_feature_mask,25,10,300,300,0,30,50,300,50,0.16666666666666666,-0.019053687340329167,0.14434348670228214,0.8990555942993979,11.066666666666666
targeted_subgraph_injection,1,10,300,300,0,300,20,300,20,0.06666666666666667,0.005944166179557626,0.12082560634714412,0.7186481654644012,1.0
targeted_subgraph_injection,3,10,300,300,0,300,20,300,20,0.06666666666666667,-0.017739404346726103,0.11644029820708682,0.9573745056986809,3.0
targeted_subgraph_injection,5,10,300,300,0,300,20,300,20,0.06666666666666667,-0.022447454414995023,0.13622856705621358,0.9923902107402682,5.0
targeted_subgraph_injection,7,10,300,300,0,300,20,300,20,0.06666666666666667,-0.02480183616164896,0.14838775556916575,0.9949210933409631,7.0
targeted_subgraph_injection,9,10,300,300,0,300,20,300,20,0.06666666666666667,-0.024795830550029797,0.15617205622300376,0.9958367717918009,9.0
targeted_subgraph_injection,11,10,300,300,0,300,20,300,20,0.06666666666666667,-0.02920679349525121,0.15483628259177099,0.9962992160581052,11.0
targeted_subgraph_injection,13,10,300,300,0,300,20,300,20,0.06666666666666667,-0.027828175911705545,0.15585807469617688,0.9965589852072299,13.0
targeted_subgraph_injection,15,10,300,300,0,300,20,300,20,0.06666666666666667,-0.02705528575025158,0.15849922549781645,0.9967361994786188,15.0
targeted_subgraph_injection,20,10,300,300,0,300,40,300,40,0.13333333333333333,-0.026054273866901276,0.16408232720019283,0.9969333806075156,20.0
targeted_subgraph_injection,25,10,300,300,0,300,40,300,40,0.13333333333333333,-0.02589478073913875,0.16969337521208394,0.9970229609170929,25.0
