method,budget,setting,eligible_samples,scored_samples,any_seed_success_samples,any_seed_success_rate,all_scored_seeds_success_samples,mean_per_sample_seed_success_rate,mean_scored_variants_per_sample
targeted_subgraph_injection,1,budget 1,30,30,2,0.06666666666666667,2,0.06666666666666667,10.0
targeted_subgraph_injection,3,budget 3,30,30,2,0.06666666666666667,2,0.06666666666666667,10.0
targeted_subgraph_injection,5,budget 5,30,30,2,0.06666666666666667,2,0.06666666666666667,10.0
targeted_subgraph_injection,7,budget 7,30,30,2,0.06666666666666667,2,0.06666666666666667,10.0
targeted_subgraph_injection,9,budget 9,30,30,2,0.06666666666666667,2,0.06666666666666667,10.0
targeted_subgraph_injection,11,budget 11,30,30,2,0.06666666666666667,2,0.06666666666666667,10.0
targeted_subgraph_injection,13,budget 13,30,30,2,0.06666666666666667,2,0.06666666666666667,10.0
targeted_subgraph_injection,15,budget 15,30,30,2,0.06666666666666667,2,0.06666666666666667,10.0
targeted_subgraph_injection,20,budget 20,30,30,4,0.13333333333333333,4,0.13333333333333333,10.0
targeted_subgraph_injection,25,budget 25,30,30,4,0.13333333333333333,4,0.13333333333333333,10.0
winner_xfg_edge_attack,1,budget 1,30,30,3,0.1,3,0.1,10.0
winner_xfg_edge_attack,3,budget 3,30,30,7,0.23333333333333334,7,0.23333333333333334,10.0
winner_xfg_edge_attack,5,budget 5,30,30,4,0.13333333333333333,4,0.13333333333333333,10.0
winner_xfg_edge_attack,7,budget 7,30,30,5,0.16666666666666666,5,0.16666666666666666,10.0
winner_xfg_edge_attack,9,budget 9,30,30,5,0.16666666666666666,5,0.16666666666666666,10.0
winner_xfg_edge_attack,11,budget 11,30,30,4,0.13333333333333333,4,0.13333333333333333,10.0
winner_xfg_edge_attack,13,budget 13,30,30,3,0.1,3,0.1,10.0
winner_xfg_edge_attack,15,budget 15,30,30,3,0.1,3,0.1,10.0
winner_xfg_edge_attack,20,budget 20,30,30,3,0.1,3,0.1,10.0
winner_xfg_edge_attack,25,budget 25,30,30,3,0.1,3,0.1,10.0
winner_xfg_feature_mask,1,budget 1,30,30,3,0.1,3,0.1,10.0
winner_xfg_feature_mask,3,budget 3,30,30,4,0.13333333333333333,4,0.13333333333333333,10.0
winner_xfg_feature_mask,5,budget 5,30,30,5,0.16666666666666666,5,0.16666666666666666,10.0
winner_xfg_feature_mask,7,budget 7,30,30,5,0.16666666666666666,5,0.16666666666666666,10.0
winner_xfg_feature_mask,9,budget 9,30,30,4,0.13333333333333333,4,0.13333333333333333,10.0
winner_xfg_feature_mask,11,budget 11,30,30,4,0.13333333333333333,4,0.13333333333333333,10.0
winner_xfg_feature_mask,13,budget 13,30,30,4,0.13333333333333333,4,0.13333333333333333,10.0
winner_xfg_feature_mask,15,budget 15,30,30,4,0.13333333333333333,4,0.13333333333333333,10.0
winner_xfg_feature_mask,20,budget 20,30,30,5,0.16666666666666666,5,0.16666666666666666,10.0
winner_xfg_feature_mask,25,budget 25,30,30,5,0.16666666666666666,5,0.16666666666666666,10.0
