command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/baseline/cvefixes__06_vulnerable_altivec_unavailable_exception/_work/source/06_vulnerable_altivec_unavailable_exception.c								
ANR	2	Function	altivec_unavailable_exception	1:0:0:474							
ANR	3	FunctionDef	altivec_unavailable_exception (struct pt_regs * regs)		2	0					
ANR	4	CompoundStatement		2:0:57:474	2	0					
ANR	5	IfStatement	if ( user_mode ( regs ) )		2	0					
ANR	6	Condition	user_mode ( regs )	4:5:93:107	2	0	True				
ANR	7	CallExpression	user_mode ( regs )		2	0					
ANR	8	Callee	user_mode		2	0					
ANR	9	Identifier	user_mode		2	0					
ANR	10	ArgumentList	regs		2	1					
ANR	11	Argument	regs		2	0					
ANR	12	Identifier	regs		2	0					
ANR	13	CompoundStatement		3:22:52:52	2	1					
ANR	14	ExpressionStatement	"_exception ( SIGILL , regs , ILL_ILLOPC , regs -> nip )"	7:2:220:267	2	0	True				
ANR	15	CallExpression	"_exception ( SIGILL , regs , ILL_ILLOPC , regs -> nip )"		2	0					
ANR	16	Callee	_exception		2	0					
ANR	17	Identifier	_exception		2	0					
ANR	18	ArgumentList	SIGILL		2	1					
ANR	19	Argument	SIGILL		2	0					
ANR	20	Identifier	SIGILL		2	0					
ANR	21	Argument	regs		2	1					
ANR	22	Identifier	regs		2	0					
ANR	23	Argument	ILL_ILLOPC		2	2					
ANR	24	Identifier	ILL_ILLOPC		2	0					
ANR	25	Argument	regs -> nip		2	3					
ANR	26	PtrMemberAccess	regs -> nip		2	0					
ANR	27	Identifier	regs		2	0					
ANR	28	Identifier	nip		2	1					
ANR	29	ReturnStatement	return ;	8:2:271:277	2	1	True				
ANR	30	Statement	printk	11:1:290:295	2	1	True				
ANR	31	Statement	(	11:7:296:296	2	2	True				
ANR	32	Statement	KERN_EMERG	11:8:297:306	2	3	True				
ANR	33	Statement	"""Unrecoverable VMX/Altivec Unavailable Exception """	11:19:308:357	2	4	True				
ANR	34	Statement	"""%lx at %lx\\n"""	12:3:362:375	2	5	True				
ANR	35	Statement	","	12:17:376:376	2	6	True				
ANR	36	Statement	regs	12:19:378:381	2	7	True				
ANR	37	Statement	->	12:23:382:383	2	8	True				
ANR	38	Statement	trap	12:25:384:387	2	9	True				
ANR	39	Statement	","	12:29:388:388	2	10	True				
ANR	40	Statement	regs	12:31:390:393	2	11	True				
ANR	41	Statement	->	12:35:394:395	2	12	True				
ANR	42	Statement	nip	12:37:396:398	2	13	True				
ANR	43	Statement	)	12:40:399:399	2	14	True				
ANR	44	ExpressionStatement		12:41:400:400	2	15	True				
ANR	45	ExpressionStatement	"die ( ""Unrecoverable VMX/Altivec Unavailable Exception"" , regs , SIGABRT )"	13:1:403:472	2	16	True				
ANR	46	CallExpression	"die ( ""Unrecoverable VMX/Altivec Unavailable Exception"" , regs , SIGABRT )"		2	0					
ANR	47	Callee	die		2	0					
ANR	48	Identifier	die		2	0					
ANR	49	ArgumentList	"""Unrecoverable VMX/Altivec Unavailable Exception"""		2	1					
ANR	50	Argument	"""Unrecoverable VMX/Altivec Unavailable Exception"""		2	0					
ANR	51	PrimaryExpression	"""Unrecoverable VMX/Altivec Unavailable Exception"""		2	0					
ANR	52	Argument	regs		2	1					
ANR	53	Identifier	regs		2	0					
ANR	54	Argument	SIGABRT		2	2					
ANR	55	Identifier	SIGABRT		2	0					
ANR	56	ReturnType	void		2	1					
ANR	57	Identifier	altivec_unavailable_exception		2	2					
ANR	58	ParameterList	struct pt_regs * regs		2	3					
ANR	59	Parameter	struct pt_regs * regs	1:35:35:54	2	0	True				
ANR	60	ParameterType	struct pt_regs *		2	0					
ANR	61	Identifier	regs		2	1					
ANR	62	CFGEntryNode	ENTRY		2		True				
ANR	63	CFGExitNode	EXIT		2		True				
ANR	64	Symbol	SIGILL		2						
ANR	65	Symbol	* regs		2						
ANR	66	Symbol	regs		2						
ANR	67	Symbol	SIGABRT		2						
ANR	68	Symbol	regs -> nip		2						
ANR	69	Symbol	user_mode		2						
ANR	70	Symbol	ILL_ILLOPC		2						
