command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/baseline/cwe119__04_non_vulnerable_06_non-vulnerable_63/_work/source/04_non_vulnerable_06_non-vulnerable_63.c								
ANR	2	DeclStmt									
ANR	3	Decl							void	"void ( map < int , int * > dataMap )"	badSink
ANR	4	Function	bad	30:0:783:1065							
ANR	5	FunctionDef	bad ()		4	0					
ANR	6	CompoundStatement		31:0:794:1065	4	0					
ANR	7	IdentifierDeclStatement	int * data ;	32:4:800:810	4	0	True				
ANR	8	IdentifierDecl	* data		4	0					
ANR	9	IdentifierDeclType	int *		4	0					
ANR	10	Identifier	data		4	1					
ANR	11	IdentifierDeclStatement	"map < int , int * > dataMap ;"	33:4:816:839	4	1	True				
ANR	12	IdentifierDecl	dataMap		4	0					
ANR	13	IdentifierDeclType	"map < int , int * >"		4	0					
ANR	14	Identifier	dataMap		4	1					
ANR	15	ExpressionStatement	data = NULL	34:4:845:856	4	2	True				
ANR	16	AssignmentExpression	data = NULL		4	0		=			
ANR	17	Identifier	data		4	0					
ANR	18	Identifier	NULL		4	1					
ANR	19	ExpressionStatement	data = ( int * ) ALLOCA ( 10 )	36:4:920:944	4	3	True				
ANR	20	AssignmentExpression	data = ( int * ) ALLOCA ( 10 )		4	0		=			
ANR	21	Identifier	data		4	0					
ANR	22	CastExpression	( int * ) ALLOCA ( 10 )		4	1					
ANR	23	CastTarget	int *		4	0					
ANR	24	CallExpression	ALLOCA ( 10 )		4	1					
ANR	25	Callee	ALLOCA		4	0					
ANR	26	Identifier	ALLOCA		4	0					
ANR	27	ArgumentList	10		4	1					
ANR	28	Argument	10		4	0					
ANR	29	PrimaryExpression	10		4	0					
ANR	30	ExpressionStatement	dataMap [ 0 ] = data	38:4:978:995	4	4	True				
ANR	31	AssignmentExpression	dataMap [ 0 ] = data		4	0		=			
ANR	32	ArrayIndexing	dataMap [ 0 ]		4	0					
ANR	33	Identifier	dataMap		4	0					
ANR	34	PrimaryExpression	0		4	1					
ANR	35	Identifier	data		4	1					
ANR	36	ExpressionStatement	dataMap [ 1 ] = data	39:4:1001:1018	4	5	True				
ANR	37	AssignmentExpression	dataMap [ 1 ] = data		4	0		=			
ANR	38	ArrayIndexing	dataMap [ 1 ]		4	0					
ANR	39	Identifier	dataMap		4	0					
ANR	40	PrimaryExpression	1		4	1					
ANR	41	Identifier	data		4	1					
ANR	42	ExpressionStatement	dataMap [ 2 ] = data	40:4:1024:1041	4	6	True				
ANR	43	AssignmentExpression	dataMap [ 2 ] = data		4	0		=			
ANR	44	ArrayIndexing	dataMap [ 2 ]		4	0					
ANR	45	Identifier	dataMap		4	0					
ANR	46	PrimaryExpression	2		4	1					
ANR	47	Identifier	data		4	1					
ANR	48	ExpressionStatement	badSink ( dataMap )	41:4:1047:1063	4	7	True				
ANR	49	CallExpression	badSink ( dataMap )		4	0					
ANR	50	Callee	badSink		4	0					
ANR	51	Identifier	badSink		4	0					
ANR	52	ArgumentList	dataMap		4	1					
ANR	53	Argument	dataMap		4	0					
ANR	54	Identifier	dataMap		4	0					
ANR	55	ReturnType	void		4	1					
ANR	56	Identifier	bad		4	2					
ANR	57	ParameterList			4	3					
ANR	58	CFGEntryNode	ENTRY		4		True				
ANR	59	CFGExitNode	EXIT		4		True				
ANR	60	Symbol	ALLOCA		4						
ANR	61	Symbol	NULL		4						
ANR	62	Symbol	data		4						
ANR	63	Symbol	dataMap		4						
ANR	64	Symbol	* dataMap		4						
ANR	65	DeclStmt									
ANR	66	Decl							void	"void ( map < int , int * > dataMap )"	goodG2BSink
ANR	67	Function	goodG2B	53:0:1237:1537							
ANR	68	FunctionDef	goodG2B ()		67	0					
ANR	69	CompoundStatement		54:0:1259:1537	67	0					
ANR	70	IdentifierDeclStatement	int * data ;	55:4:1265:1275	67	0	True				
ANR	71	IdentifierDecl	* data		67	0					
ANR	72	IdentifierDeclType	int *		67	0					
ANR	73	Identifier	data		67	1					
ANR	74	IdentifierDeclStatement	"map < int , int * > dataMap ;"	56:4:1281:1304	67	1	True				
ANR	75	IdentifierDecl	dataMap		67	0					
ANR	76	IdentifierDeclType	"map < int , int * >"		67	0					
ANR	77	Identifier	dataMap		67	1					
ANR	78	ExpressionStatement	data = NULL	57:4:1310:1321	67	2	True				
ANR	79	AssignmentExpression	data = NULL		67	0		=			
ANR	80	Identifier	data		67	0					
ANR	81	Identifier	NULL		67	1					
ANR	82	ExpressionStatement	data = ( int * ) ALLOCA ( 10 * sizeof ( int ) )	59:4:1376:1412	67	3	True				
ANR	83	AssignmentExpression	data = ( int * ) ALLOCA ( 10 * sizeof ( int ) )		67	0		=			
ANR	84	Identifier	data		67	0					
ANR	85	CastExpression	( int * ) ALLOCA ( 10 * sizeof ( int ) )		67	1					
ANR	86	CastTarget	int *		67	0					
ANR	87	CallExpression	ALLOCA ( 10 * sizeof ( int ) )		67	1					
ANR	88	Callee	ALLOCA		67	0					
ANR	89	Identifier	ALLOCA		67	0					
ANR	90	ArgumentList	10 * sizeof ( int )		67	1					
ANR	91	Argument	10 * sizeof ( int )		67	0					
ANR	92	MultiplicativeExpression	10 * sizeof ( int )		67	0		*			
ANR	93	PrimaryExpression	10		67	0					
ANR	94	SizeofExpression	sizeof ( int )		67	1					
ANR	95	Sizeof	sizeof		67	0					
ANR	96	SizeofOperand	int		67	1					
ANR	97	ExpressionStatement	dataMap [ 0 ] = data	61:4:1446:1463	67	4	True				
ANR	98	AssignmentExpression	dataMap [ 0 ] = data		67	0		=			
ANR	99	ArrayIndexing	dataMap [ 0 ]		67	0					
ANR	100	Identifier	dataMap		67	0					
ANR	101	PrimaryExpression	0		67	1					
ANR	102	Identifier	data		67	1					
ANR	103	ExpressionStatement	dataMap [ 1 ] = data	62:4:1469:1486	67	5	True				
ANR	104	AssignmentExpression	dataMap [ 1 ] = data		67	0		=			
ANR	105	ArrayIndexing	dataMap [ 1 ]		67	0					
ANR	106	Identifier	dataMap		67	0					
ANR	107	PrimaryExpression	1		67	1					
ANR	108	Identifier	data		67	1					
ANR	109	ExpressionStatement	dataMap [ 2 ] = data	63:4:1492:1509	67	6	True				
ANR	110	AssignmentExpression	dataMap [ 2 ] = data		67	0		=			
ANR	111	ArrayIndexing	dataMap [ 2 ]		67	0					
ANR	112	Identifier	dataMap		67	0					
ANR	113	PrimaryExpression	2		67	1					
ANR	114	Identifier	data		67	1					
ANR	115	ExpressionStatement	goodG2BSink ( dataMap )	64:4:1515:1535	67	7	True				
ANR	116	CallExpression	goodG2BSink ( dataMap )		67	0					
ANR	117	Callee	goodG2BSink		67	0					
ANR	118	Identifier	goodG2BSink		67	0					
ANR	119	ArgumentList	dataMap		67	1					
ANR	120	Argument	dataMap		67	0					
ANR	121	Identifier	dataMap		67	0					
ANR	122	ReturnType	static void		67	1					
ANR	123	Identifier	goodG2B		67	2					
ANR	124	ParameterList			67	3					
ANR	125	CFGEntryNode	ENTRY		67		True				
ANR	126	CFGExitNode	EXIT		67		True				
ANR	127	Symbol	ALLOCA		67						
ANR	128	Symbol	NULL		67						
ANR	129	Symbol	data		67						
ANR	130	Symbol	dataMap		67						
ANR	131	Symbol	* dataMap		67						
ANR	132	Function	good	67:0:1540:1569							
ANR	133	FunctionDef	good ()		132	0					
ANR	134	CompoundStatement		68:0:1552:1569	132	0					
ANR	135	ExpressionStatement	goodG2B ( )	69:4:1558:1567	132	0	True				
ANR	136	CallExpression	goodG2B ( )		132	0					
ANR	137	Callee	goodG2B		132	0					
ANR	138	Identifier	goodG2B		132	0					
ANR	139	ArgumentList			132	1					
ANR	140	ReturnType	void		132	1					
ANR	141	Identifier	good		132	2					
ANR	142	ParameterList			132	3					
ANR	143	CFGEntryNode	ENTRY		132		True				
ANR	144	CFGExitNode	EXIT		132		True				
ANR	145	Function	main	86:0:2045:2393							
ANR	146	FunctionDef	"main (int argc , char * argv [ ])"		145	0					
ANR	147	CompoundStatement		87:0:2079:2393	145	0					
ANR	148	ExpressionStatement	srand ( ( unsigned ) time ( NULL ) )	89:4:2111:2140	145	0	True				
ANR	149	CallExpression	srand ( ( unsigned ) time ( NULL ) )		145	0					
ANR	150	Callee	srand		145	0					
ANR	151	Identifier	srand		145	0					
ANR	152	ArgumentList	( unsigned ) time ( NULL )		145	1					
ANR	153	Argument	( unsigned ) time ( NULL )		145	0					
ANR	154	CastExpression	( unsigned ) time ( NULL )		145	0					
ANR	155	CastTarget	unsigned		145	0					
ANR	156	CallExpression	time ( NULL )		145	1					
ANR	157	Callee	time		145	0					
ANR	158	Identifier	time		145	0					
ANR	159	ArgumentList	NULL		145	1					
ANR	160	Argument	NULL		145	0					
ANR	161	Identifier	NULL		145	0					
ANR	162	ExpressionStatement	"printLine ( ""Calling good()..."" )"	91:4:2163:2193	145	1	True				
ANR	163	CallExpression	"printLine ( ""Calling good()..."" )"		145	0					
ANR	164	Callee	printLine		145	0					
ANR	165	Identifier	printLine		145	0					
ANR	166	ArgumentList	"""Calling good()..."""		145	1					
ANR	167	Argument	"""Calling good()..."""		145	0					
ANR	168	PrimaryExpression	"""Calling good()..."""		145	0					
ANR	169	ExpressionStatement	good ( )	92:4:2199:2205	145	2	True				
ANR	170	CallExpression	good ( )		145	0					
ANR	171	Callee	good		145	0					
ANR	172	Identifier	good		145	0					
ANR	173	ArgumentList			145	1					
ANR	174	ExpressionStatement	"printLine ( ""Finished good()"" )"	93:4:2211:2239	145	3	True				
ANR	175	CallExpression	"printLine ( ""Finished good()"" )"		145	0					
ANR	176	Callee	printLine		145	0					
ANR	177	Identifier	printLine		145	0					
ANR	178	ArgumentList	"""Finished good()"""		145	1					
ANR	179	Argument	"""Finished good()"""		145	0					
ANR	180	PrimaryExpression	"""Finished good()"""		145	0					
ANR	181	ExpressionStatement	"printLine ( ""Calling bad()..."" )"	96:4:2283:2312	145	4	True				
ANR	182	CallExpression	"printLine ( ""Calling bad()..."" )"		145	0					
ANR	183	Callee	printLine		145	0					
ANR	184	Identifier	printLine		145	0					
ANR	185	ArgumentList	"""Calling bad()..."""		145	1					
ANR	186	Argument	"""Calling bad()..."""		145	0					
ANR	187	PrimaryExpression	"""Calling bad()..."""		145	0					
ANR	188	ExpressionStatement	bad ( )	97:4:2318:2323	145	5	True				
ANR	189	CallExpression	bad ( )		145	0					
ANR	190	Callee	bad		145	0					
ANR	191	Identifier	bad		145	0					
ANR	192	ArgumentList			145	1					
ANR	193	ExpressionStatement	"printLine ( ""Finished bad()"" )"	98:4:2329:2356	145	6	True				
ANR	194	CallExpression	"printLine ( ""Finished bad()"" )"		145	0					
ANR	195	Callee	printLine		145	0					
ANR	196	Identifier	printLine		145	0					
ANR	197	ArgumentList	"""Finished bad()"""		145	1					
ANR	198	Argument	"""Finished bad()"""		145	0					
ANR	199	PrimaryExpression	"""Finished bad()"""		145	0					
ANR	200	ReturnStatement	return 0 ;	100:4:2383:2391	145	7	True				
ANR	201	PrimaryExpression	0		145	0					
ANR	202	ReturnType	int		145	1					
ANR	203	Identifier	main		145	2					
ANR	204	ParameterList	"int argc , char * argv [ ]"		145	3					
ANR	205	Parameter	int argc	86:9:2054:2061	145	0	True				
ANR	206	ParameterType	int		145	0					
ANR	207	Identifier	argc		145	1					
ANR	208	Parameter	char * argv [ ]	86:19:2064:2076	145	1	True				
ANR	209	ParameterType	char * [ ]		145	0					
ANR	210	Identifier	argv		145	1					
ANR	211	CFGEntryNode	ENTRY		145		True				
ANR	212	CFGExitNode	EXIT		145		True				
ANR	213	Symbol	argc		145						
ANR	214	Symbol	NULL		145						
ANR	215	Symbol	time		145						
ANR	216	Symbol	argv		145						
