command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/cvefixes__03_fixed_KPasswordDlg_keyPressed__temp_variable_split__c1/_work/source/cvefixes__03_fixed_KPasswordDlg_keyPressed__temp_variable_split__c1.c								
ANR	2	Function	KPasswordDlg :: keyPressed	1:0:0:887							
ANR	3	FunctionDef	KPasswordDlg :: keyPressed (QKeyEvent * e)		2	0					
ANR	4	CompoundStatement		2:0:46:887	2	0					
ANR	5	Statement	static	3:2:50:55	2	0	True				
ANR	6	IdentifierDeclStatement	bool waitForAuthentication = false ;	3:9:57:91	2	1	True				
ANR	7	IdentifierDecl	waitForAuthentication = false		2	0					
ANR	8	IdentifierDeclType	bool		2	0					
ANR	9	Identifier	waitForAuthentication		2	1					
ANR	10	AssignmentExpression	waitForAuthentication = false		2	2		=			
ANR	11	Identifier	false		2	0					
ANR	12	Identifier	false		2	1					
ANR	13	IfStatement	if ( ! waitForAuthentication )		2	2					
ANR	14	Condition	! waitForAuthentication	4:6:99:120	2	0	True				
ANR	15	UnaryOperationExpression	! waitForAuthentication		2	0					
ANR	16	UnaryOperator	!		2	0					
ANR	17	Identifier	waitForAuthentication		2	1					
ANR	18	CompoundStatement		3:30:76:76	2	1					
ANR	19	SwitchStatement	switch ( e -> key ( ) )		2	0					
ANR	20	Condition	e -> key ( )	5:10:135:142	2	0	True				
ANR	21	CallExpression	e -> key ( )		2	0					
ANR	22	Callee	e -> key		2	0					
ANR	23	PtrMemberAccess	e -> key		2	0					
ANR	24	Identifier	e		2	0					
ANR	25	Identifier	key		2	1					
ANR	26	ArgumentList			2	1					
ANR	27	CompoundStatement		34:3:629:646	2	1					
ANR	28	Label	case Key_Backspace :	7:2:151:169	2	0	True				
ANR	29	Identifier	Key_Backspace		2	0					
ANR	30	CompoundStatement		8:4:133:160	2	1					
ANR	31	IdentifierDeclStatement	int len = password . length ( ) ;	9:4:180:207	2	0	True				
ANR	32	IdentifierDecl	len = password . length ( )		2	0					
ANR	33	IdentifierDeclType	int		2	0					
ANR	34	Identifier	len		2	1					
ANR	35	AssignmentExpression	len = password . length ( )		2	2		=			
ANR	36	Identifier	len		2	0					
ANR	37	CallExpression	password . length ( )		2	1					
ANR	38	Callee	password . length		2	0					
ANR	39	MemberAccess	password . length		2	0					
ANR	40	Identifier	password		2	0					
ANR	41	Identifier	length		2	1					
ANR	42	ArgumentList			2	1					
ANR	43	IfStatement	if ( len )		2	1					
ANR	44	Condition	len	10:9:218:220	2	0	True				
ANR	45	Identifier	len		2	0					
ANR	46	CompoundStatement		9:15:177:177	2	1					
ANR	47	ExpressionStatement	password . truncate ( len - 1 )	11:5:231:259	2	0	True				
ANR	48	CallExpression	password . truncate ( len - 1 )		2	0					
ANR	49	Callee	password . truncate		2	0					
ANR	50	MemberAccess	password . truncate		2	0					
ANR	51	Identifier	password		2	0					
ANR	52	Identifier	truncate		2	1					
ANR	53	ArgumentList	len - 1		2	1					
ANR	54	Argument	len - 1		2	0					
ANR	55	AdditiveExpression	len - 1		2	0		-			
ANR	56	Identifier	len		2	0					
ANR	57	PrimaryExpression	1		2	1					
ANR	58	IfStatement	if ( stars )		2	1					
ANR	59	Condition	stars	12:9:270:274	2	0	True				
ANR	60	Identifier	stars		2	0					
ANR	61	ExpressionStatement	showStars ( )	13:6:284:295	2	1	True				
ANR	62	CallExpression	showStars ( )		2	0					
ANR	63	Callee	showStars		2	0					
ANR	64	Identifier	showStars		2	0					
ANR	65	ArgumentList			2	1					
ANR	66	BreakStatement	break ;	16:3:311:316	2	2	True				
ANR	67	Label	case Key_Return :	18:2:321:336	2	3	True				
ANR	68	Identifier	Key_Return		2	0					
ANR	69	ExpressionStatement	timer . stop ( )	19:12:350:362	2	4	True				
ANR	70	CallExpression	timer . stop ( )		2	0					
ANR	71	Callee	timer . stop		2	0					
ANR	72	MemberAccess	timer . stop		2	0					
ANR	73	Identifier	timer		2	0					
ANR	74	Identifier	stop		2	1					
ANR	75	ArgumentList			2	1					
ANR	76	IdentifierDeclStatement	int dwk_tmp_1 = true ;	20:3:367:387	2	5	True				
ANR	77	IdentifierDecl	dwk_tmp_1 = true		2	0					
ANR	78	IdentifierDeclType	int		2	0					
ANR	79	Identifier	dwk_tmp_1		2	1					
ANR	80	AssignmentExpression	dwk_tmp_1 = true		2	2		=			
ANR	81	Identifier	true		2	0					
ANR	82	Identifier	true		2	1					
ANR	83	ExpressionStatement	waitForAuthentication = dwk_tmp_1	21:3:392:425	2	6	True				
ANR	84	AssignmentExpression	waitForAuthentication = dwk_tmp_1		2	0		=			
ANR	85	Identifier	waitForAuthentication		2	0					
ANR	86	Identifier	dwk_tmp_1		2	1					
ANR	87	IfStatement	if ( tryPassword ( ) )		2	7					
ANR	88	Condition	tryPassword ( )	22:8:435:447	2	0	True				
ANR	89	CallExpression	tryPassword ( )		2	0					
ANR	90	Callee	tryPassword		2	0					
ANR	91	Identifier	tryPassword		2	0					
ANR	92	ArgumentList			2	1					
ANR	93	IdentifierDeclStatement	emit passOk ( ) ;	23:4:455:468	2	1	True				
ANR	94	IdentifierDecl	passOk ( )		2	0					
ANR	95	IdentifierDeclType	emit		2	0					
ANR	96	Identifier	passOk		2	1					
ANR	97	ElseStatement	else		2	0					
ANR	98	CompoundStatement		24:3:434:434	2	0					
ANR	99	ExpressionStatement	"label -> setText ( glocale -> translate ( ""Failed"" ) )"	26:4:487:533	2	0	True				
ANR	100	CallExpression	"label -> setText ( glocale -> translate ( ""Failed"" ) )"		2	0					
ANR	101	Callee	label -> setText		2	0					
ANR	102	PtrMemberAccess	label -> setText		2	0					
ANR	103	Identifier	label		2	0					
ANR	104	Identifier	setText		2	1					
ANR	105	ArgumentList	"glocale -> translate ( ""Failed"" )"		2	1					
ANR	106	Argument	"glocale -> translate ( ""Failed"" )"		2	0					
ANR	107	CallExpression	"glocale -> translate ( ""Failed"" )"		2	0					
ANR	108	Callee	glocale -> translate		2	0					
ANR	109	PtrMemberAccess	glocale -> translate		2	0					
ANR	110	Identifier	glocale		2	0					
ANR	111	Identifier	translate		2	1					
ANR	112	ArgumentList	"""Failed"""		2	1					
ANR	113	Argument	"""Failed"""		2	0					
ANR	114	PrimaryExpression	"""Failed"""		2	0					
ANR	115	ExpressionStatement	"password = """""	27:4:539:552	2	1	True				
ANR	116	AssignmentExpression	"password = """""		2	0		=			
ANR	117	Identifier	password		2	0					
ANR	118	PrimaryExpression	""""""		2	1					
ANR	119	ExpressionStatement	timerMode = 1	28:4:558:571	2	2	True				
ANR	120	AssignmentExpression	timerMode = 1		2	0		=			
ANR	121	Identifier	timerMode		2	0					
ANR	122	PrimaryExpression	1		2	1					
ANR	123	ExpressionStatement	"timer . start ( 1500 , TRUE )"	29:4:577:602	2	3	True				
ANR	124	CallExpression	"timer . start ( 1500 , TRUE )"		2	0					
ANR	125	Callee	timer . start		2	0					
ANR	126	MemberAccess	timer . start		2	0					
ANR	127	Identifier	timer		2	0					
ANR	128	Identifier	start		2	1					
ANR	129	ArgumentList	1500		2	1					
ANR	130	Argument	1500		2	0					
ANR	131	PrimaryExpression	1500		2	0					
ANR	132	Argument	TRUE		2	1					
ANR	133	Identifier	TRUE		2	0					
ANR	134	ExpressionStatement	waitForAuthentication = false	31:3:612:641	2	8	True				
ANR	135	AssignmentExpression	waitForAuthentication = false		2	0		=			
ANR	136	Identifier	waitForAuthentication		2	0					
ANR	137	Identifier	false		2	1					
ANR	138	BreakStatement	break ;	32:3:646:651	2	9	True				
ANR	139	Label	case Key_Escape :	34:2:656:671	2	10	True				
ANR	140	Identifier	Key_Escape		2	0					
ANR	141	IdentifierDeclStatement	emit passCancel ( ) ;	35:3:676:693	2	11	True				
ANR	142	IdentifierDecl	passCancel ( )		2	0					
ANR	143	IdentifierDeclType	emit		2	0					
ANR	144	Identifier	passCancel		2	1					
ANR	145	BreakStatement	break ;	36:3:698:703	2	12	True				
ANR	146	Label	default :	38:2:708:715	2	13	True				
ANR	147	Identifier	default		2	0					
ANR	148	IfStatement	if ( password . length ( ) < MAX_PASSWORD_LENGTH )		2	14					
ANR	149	Condition	password . length ( ) < MAX_PASSWORD_LENGTH	39:8:725:763	2	0	True				
ANR	150	RelationalExpression	password . length ( ) < MAX_PASSWORD_LENGTH		2	0		<			
ANR	151	CallExpression	password . length ( )		2	0					
ANR	152	Callee	password . length		2	0					
ANR	153	MemberAccess	password . length		2	0					
ANR	154	Identifier	password		2	0					
ANR	155	Identifier	length		2	1					
ANR	156	ArgumentList			2	1					
ANR	157	Identifier	MAX_PASSWORD_LENGTH		2	1					
ANR	158	CompoundStatement		39:3:723:723	2	1					
ANR	159	ExpressionStatement	password += ( char ) e -> ascii ( )	41:4:776:804	2	0	True				
ANR	160	AssignmentExpression	password += ( char ) e -> ascii ( )		2	0		+=			
ANR	161	Identifier	password		2	0					
ANR	162	CastExpression	( char ) e -> ascii ( )		2	1					
ANR	163	CastTarget	char		2	0					
ANR	164	CallExpression	e -> ascii ( )		2	1					
ANR	165	Callee	e -> ascii		2	0					
ANR	166	PtrMemberAccess	e -> ascii		2	0					
ANR	167	Identifier	e		2	0					
ANR	168	Identifier	ascii		2	1					
ANR	169	ArgumentList			2	1					
ANR	170	IfStatement	if ( stars )		2	1					
ANR	171	Condition	stars	42:8:814:818	2	0	True				
ANR	172	Identifier	stars		2	0					
ANR	173	ExpressionStatement	showStars ( )	43:5:827:838	2	1	True				
ANR	174	CallExpression	showStars ( )		2	0					
ANR	175	Callee	showStars		2	0					
ANR	176	Identifier	showStars		2	0					
ANR	177	ArgumentList			2	1					
ANR	178	ExpressionStatement	timer . changeInterval ( 10000 )	44:4:844:873	2	2	True				
ANR	179	CallExpression	timer . changeInterval ( 10000 )		2	0					
ANR	180	Callee	timer . changeInterval		2	0					
ANR	181	MemberAccess	timer . changeInterval		2	0					
ANR	182	Identifier	timer		2	0					
ANR	183	Identifier	changeInterval		2	1					
ANR	184	ArgumentList	10000		2	1					
ANR	185	Argument	10000		2	0					
ANR	186	PrimaryExpression	10000		2	0					
ANR	187	ReturnType	void		2	1					
ANR	188	Identifier	KPasswordDlg :: keyPressed		2	2					
ANR	189	ParameterList	QKeyEvent * e		2	3					
ANR	190	Parameter	QKeyEvent * e	1:31:31:42	2	0	True				
ANR	191	ParameterType	QKeyEvent *		2	0					
ANR	192	Identifier	e		2	1					
ANR	193	CFGEntryNode	ENTRY		2		True				
ANR	194	CFGExitNode	EXIT		2		True				
ANR	195	Symbol	timerMode		2						
ANR	196	Symbol	e		2						
ANR	197	Symbol	password . length		2						
ANR	198	Symbol	passOk		2						
ANR	199	Symbol	tryPassword		2						
ANR	200	Symbol	false		2						
ANR	201	Symbol	e -> key		2						
ANR	202	Symbol	TRUE		2						
ANR	203	Symbol	passCancel		2						
ANR	204	Symbol	glocale -> translate		2						
ANR	205	Symbol	stars		2						
ANR	206	Symbol	label		2						
ANR	207	Symbol	* e		2						
ANR	208	Symbol	timer		2						
ANR	209	Symbol	waitForAuthentication		2						
ANR	210	Symbol	password		2						
ANR	211	Symbol	len		2						
ANR	212	Symbol	dwk_tmp_1		2						
ANR	213	Symbol	glocale		2						
ANR	214	Symbol	true		2						
ANR	215	Symbol	e -> ascii		2						
ANR	216	Symbol	* glocale		2						
ANR	217	Symbol	MAX_PASSWORD_LENGTH		2						
