command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/cvefixes__06_vulnerable_altivec_unavailable_exception__pattern_dead_code__c1/_work/source/cvefixes__06_vulnerable_altivec_unavailable_exception__pattern_dead_code__c1.c								
ANR	2	Function	altivec_unavailable_exception	1:0:0:683							
ANR	3	FunctionDef	altivec_unavailable_exception (struct pt_regs * regs)		2	0					
ANR	4	CompoundStatement		2:0:57:683	2	0					
ANR	5	IfStatement	if ( user_mode ( regs ) )		2	0					
ANR	6	Condition	user_mode ( regs )	4:5:93:107	2	0	True				
ANR	7	CallExpression	user_mode ( regs )		2	0					
ANR	8	Callee	user_mode		2	0					
ANR	9	Identifier	user_mode		2	0					
ANR	10	ArgumentList	regs		2	1					
ANR	11	Argument	regs		2	0					
ANR	12	Identifier	regs		2	0					
ANR	13	CompoundStatement		3:22:52:52	2	1					
ANR	14	IfStatement	if ( 0 )		2	0					
ANR	15	Condition	0	7:6:224:224	2	0	True				
ANR	16	PrimaryExpression	0		2	0					
ANR	17	CompoundStatement		9:6:239:277	2	1					
ANR	18	IdentifierDeclStatement	char dwk_src_1 [ 8 ] = { 0 } ;	8:6:235:258	2	0	True				
ANR	19	IdentifierDecl	dwk_src_1 [ 8 ] = { 0 }		2	0					
ANR	20	IdentifierDeclType	char [ 8 ]		2	0					
ANR	21	Identifier	dwk_src_1		2	1					
ANR	22	PrimaryExpression	8		2	2					
ANR	23	AssignmentExpression	dwk_src_1 [ 8 ] = { 0 }		2	3		=			
ANR	24	Identifier	dwk_src_1		2	0					
ANR	25	InitializerList	0		2	1					
ANR	26	PrimaryExpression	0		2	0					
ANR	27	IdentifierDeclStatement	char dwk_dst_1 [ 8 ] = { 0 } ;	9:6:266:289	2	1	True				
ANR	28	IdentifierDecl	dwk_dst_1 [ 8 ] = { 0 }		2	0					
ANR	29	IdentifierDeclType	char [ 8 ]		2	0					
ANR	30	Identifier	dwk_dst_1		2	1					
ANR	31	PrimaryExpression	8		2	2					
ANR	32	AssignmentExpression	dwk_dst_1 [ 8 ] = { 0 }		2	3		=			
ANR	33	Identifier	dwk_dst_1		2	0					
ANR	34	InitializerList	0		2	1					
ANR	35	PrimaryExpression	0		2	0					
ANR	36	IdentifierDeclStatement	int dwk_len_1 = ( int ) sizeof ( dwk_dst_1 ) ;	10:6:297:335	2	2	True				
ANR	37	IdentifierDecl	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		2	0					
ANR	38	IdentifierDeclType	int		2	0					
ANR	39	Identifier	dwk_len_1		2	1					
ANR	40	AssignmentExpression	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		2	2		=			
ANR	41	Identifier	dwk_len_1		2	0					
ANR	42	CastExpression	( int ) sizeof ( dwk_dst_1 )		2	1					
ANR	43	CastTarget	int		2	0					
ANR	44	SizeofExpression	sizeof ( dwk_dst_1 )		2	1					
ANR	45	Sizeof	sizeof		2	0					
ANR	46	SizeofOperand	dwk_dst_1		2	1					
ANR	47	IfStatement	if ( dwk_len_1 > 0 )		2	3					
ANR	48	Condition	dwk_len_1 > 0	11:10:347:359	2	0	True				
ANR	49	RelationalExpression	dwk_len_1 > 0		2	0		>			
ANR	50	Identifier	dwk_len_1		2	0					
ANR	51	PrimaryExpression	0		2	1					
ANR	52	CompoundStatement		10:25:304:304	2	1					
ANR	53	ExpressionStatement	dwk_dst_1 [ dwk_len_1 - 1 ] = dwk_src_1 [ 0 ]	12:10:374:413	2	0	True				
ANR	54	AssignmentExpression	dwk_dst_1 [ dwk_len_1 - 1 ] = dwk_src_1 [ 0 ]		2	0		=			
ANR	55	ArrayIndexing	dwk_dst_1 [ dwk_len_1 - 1 ]		2	0					
ANR	56	Identifier	dwk_dst_1		2	0					
ANR	57	AdditiveExpression	dwk_len_1 - 1		2	1		-			
ANR	58	Identifier	dwk_len_1		2	0					
ANR	59	PrimaryExpression	1		2	1					
ANR	60	ArrayIndexing	dwk_src_1 [ 0 ]		2	1					
ANR	61	Identifier	dwk_src_1		2	0					
ANR	62	PrimaryExpression	0		2	1					
ANR	63	ExpressionStatement	"_exception ( SIGILL , regs , ILL_ILLOPC , regs -> nip )"	15:2:429:476	2	1	True				
ANR	64	CallExpression	"_exception ( SIGILL , regs , ILL_ILLOPC , regs -> nip )"		2	0					
ANR	65	Callee	_exception		2	0					
ANR	66	Identifier	_exception		2	0					
ANR	67	ArgumentList	SIGILL		2	1					
ANR	68	Argument	SIGILL		2	0					
ANR	69	Identifier	SIGILL		2	0					
ANR	70	Argument	regs		2	1					
ANR	71	Identifier	regs		2	0					
ANR	72	Argument	ILL_ILLOPC		2	2					
ANR	73	Identifier	ILL_ILLOPC		2	0					
ANR	74	Argument	regs -> nip		2	3					
ANR	75	PtrMemberAccess	regs -> nip		2	0					
ANR	76	Identifier	regs		2	0					
