command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/cvefixes__07_fixed_videobuf_vm_close__xfg_targeted_dead_code__c1/_work/source/cvefixes__07_fixed_videobuf_vm_close__xfg_targeted_dead_code__c1.c								
ANR	2	Function	videobuf_vm_close	1:0:0:700							
ANR	3	FunctionDef	videobuf_vm_close (struct vm_area_struct * vma)		2	0					
ANR	4	CompoundStatement		2:0:46:700	2	0					
ANR	5	IfStatement	if ( 0 )		2	0					
ANR	6	Condition	0	3:5:53:53	2	0	True				
ANR	7	PrimaryExpression	0		2	0					
ANR	8	CompoundStatement		3:5:16:39	2	1					
ANR	9	IdentifierDeclStatement	int dwk_xfg_guard_1 = 1 ;	4:5:63:86	2	0	True				
ANR	10	IdentifierDecl	dwk_xfg_guard_1 = 1		2	0					
ANR	11	IdentifierDeclType	int		2	0					
ANR	12	Identifier	dwk_xfg_guard_1		2	1					
ANR	13	AssignmentExpression	dwk_xfg_guard_1 = 1		2	2		=			
ANR	14	Identifier	dwk_xfg_guard_1		2	0					
ANR	15	PrimaryExpression	1		2	1					
ANR	16	ExpressionStatement	dwk_xfg_guard_1 += 0	5:5:93:113	2	1	True				
ANR	17	AssignmentExpression	dwk_xfg_guard_1 += 0		2	0		+=			
ANR	18	Identifier	dwk_xfg_guard_1		2	0					
ANR	19	PrimaryExpression	0		2	1					
ANR	20	IdentifierDeclStatement	struct videobuf_mapping * map = vma -> vm_private_data ;	7:1:119:170	2	1	True				
ANR	21	IdentifierDecl	* map = vma -> vm_private_data		2	0					
ANR	22	IdentifierDeclType	struct videobuf_mapping *		2	0					
ANR	23	Identifier	map		2	1					
ANR	24	AssignmentExpression	* map = vma -> vm_private_data		2	2		=			
ANR	25	Identifier	map		2	0					
ANR	26	PtrMemberAccess	vma -> vm_private_data		2	1					
ANR	27	Identifier	vma		2	0					
ANR	28	Identifier	vm_private_data		2	1					
ANR	29	IdentifierDeclStatement	struct videobuf_queue * q = map -> q ;	8:1:173:206	2	2	True				
ANR	30	IdentifierDecl	* q = map -> q		2	0					
ANR	31	IdentifierDeclType	struct videobuf_queue *		2	0					
ANR	32	Identifier	q		2	1					
ANR	33	AssignmentExpression	* q = map -> q		2	2		=			
ANR	34	Identifier	q		2	0					
