command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/cvefixes__14_vulnerable_pango_glyph_string_set_size__data_flow_alias__c1/_work/source/cvefixes__14_vulnerable_pango_glyph_string_set_size__data_flow_alias__c1.c								
ANR	2	Function	pango_glyph_string_set_size	1:0:0:702							
ANR	3	FunctionDef	"pango_glyph_string_set_size (PangoGlyphString * string , gint new_len)"		2	0					
ANR	4	CompoundStatement		2:0:69:702	2	0					
ANR	5	IdentifierDeclStatement	void * dwk_alias_1 = ( void * ) ( new_len >= 0 ) ;	3:2:73:115	2	0	True				
ANR	6	IdentifierDecl	* dwk_alias_1 = ( void * ) ( new_len >= 0 )		2	0					
ANR	7	IdentifierDeclType	void *		2	0					
ANR	8	Identifier	dwk_alias_1		2	1					
ANR	9	AssignmentExpression	* dwk_alias_1 = ( void * ) ( new_len >= 0 )		2	2		=			
ANR	10	Identifier	dwk_alias_1		2	0					
ANR	11	CastExpression	( void * ) ( new_len >= 0 )		2	1					
ANR	12	CastTarget	void *		2	0					
ANR	13	RelationalExpression	new_len >= 0		2	1		>=			
ANR	14	Identifier	new_len		2	0					
ANR	15	PrimaryExpression	0		2	1					
ANR	16	ExpressionStatement	dwk_alias_1 = ( void * ) ( ( char * ) dwk_alias_1 + 0 )	4:2:119:166	2	1	True				
ANR	17	AssignmentExpression	dwk_alias_1 = ( void * ) ( ( char * ) dwk_alias_1 + 0 )		2	0		=			
ANR	18	Identifier	dwk_alias_1		2	0					
ANR	19	CastExpression	( void * ) ( ( char * ) dwk_alias_1 + 0 )		2	1					
ANR	20	CastTarget	void *		2	0					
ANR	21	AdditiveExpression	( char * ) dwk_alias_1 + 0		2	1		+			
ANR	22	CastExpression	( char * ) dwk_alias_1		2	0					
ANR	23	CastTarget	char *		2	0					
ANR	24	Identifier	dwk_alias_1		2	1					
ANR	25	PrimaryExpression	0		2	1					
ANR	26	ExpressionStatement	g_return_if_fail ( new_len >= 0 )	5:2:170:201	2	2	True				
ANR	27	CallExpression	g_return_if_fail ( new_len >= 0 )		2	0					
ANR	28	Callee	g_return_if_fail		2	0					
ANR	29	Identifier	g_return_if_fail		2	0					
ANR	30	ArgumentList	new_len >= 0		2	1					
ANR	31	Argument	new_len >= 0		2	0					
ANR	32	RelationalExpression	new_len >= 0		2	0		>=			
ANR	33	Identifier	new_len		2	0					
ANR	34	PrimaryExpression	0		2	1					
ANR	35	WhileStatement	while ( new_len > string -> space )		2	3					
ANR	36	Condition	new_len > string -> space	7:9:213:235	2	0	True				
ANR	37	RelationalExpression	new_len > string -> space		2	0		>			
ANR	38	Identifier	new_len		2	0					
ANR	39	PtrMemberAccess	string -> space		2	1					
ANR	40	Identifier	string		2	0					
ANR	41	Identifier	space		2	1					
ANR	42	CompoundStatement		7:4:172:172	2	1					
ANR	43	IfStatement	if ( string -> space == 0 )		2	0					
ANR	44	Condition	string -> space == 0	9:10:254:271	2	0	True				
ANR	45	EqualityExpression	string -> space == 0		2	0		==			
ANR	46	PtrMemberAccess	string -> space		2	0					
ANR	47	Identifier	string		2	0					
ANR	48	Identifier	space		2	1					
ANR	49	PrimaryExpression	0		2	1					
ANR	50	ExpressionStatement	string -> space = 1	10:1:275:292	2	1	True				
ANR	51	AssignmentExpression	string -> space = 1		2	0		=			
ANR	52	PtrMemberAccess	string -> space		2	0					
ANR	53	Identifier	string		2	0					
ANR	54	Identifier	space		2	1					
ANR	55	PrimaryExpression	1		2	1					
ANR	56	ElseStatement	else		2	0					
ANR	57	ExpressionStatement	string -> space *= 2	12:1:306:324	2	0	True				
ANR	58	AssignmentExpression	string -> space *= 2		2	0		*=			
ANR	59	PtrMemberAccess	string -> space		2	0					
ANR	60	Identifier	string		2	0					
ANR	61	Identifier	space		2	1					
ANR	62	PrimaryExpression	2		2	1					
ANR	63	IfStatement	if ( string -> space < 0 )		2	1					
ANR	64	Condition	string -> space < 0	14:10:337:353	2	0	True				
ANR	65	RelationalExpression	string -> space < 0		2	0		<			
ANR	66	PtrMemberAccess	string -> space		2	0					
ANR	67	Identifier	string		2	0					
ANR	68	Identifier	space		2	1					
ANR	69	PrimaryExpression	0		2	1					
ANR	70	CompoundStatement		14:1:287:287	2	1					
ANR	71	ExpressionStatement	"g_warning ( ""glyph string length overflows maximum integer size, truncated"" )"	16:3:362:437	2	0	True				
ANR	72	CallExpression	"g_warning ( ""glyph string length overflows maximum integer size, truncated"" )"		2	0					
ANR	73	Callee	g_warning		2	0					
ANR	74	Identifier	g_warning		2	0					
ANR	75	ArgumentList	"""glyph string length overflows maximum integer size, truncated"""		2	1					
ANR	76	Argument	"""glyph string length overflows maximum integer size, truncated"""		2	0					
ANR	77	PrimaryExpression	"""glyph string length overflows maximum integer size, truncated"""		2	0					
ANR	78	ExpressionStatement	new_len = string -> space = G_MAXINT - 8	17:3:442:480	2	1	True				
ANR	79	AssignmentExpression	new_len = string -> space = G_MAXINT - 8		2	0		=			
ANR	80	Identifier	new_len		2	0					
ANR	81	AssignmentExpression	string -> space = G_MAXINT - 8		2	1		=			
ANR	82	PtrMemberAccess	string -> space		2	0					
ANR	83	Identifier	string		2	0					
ANR	84	Identifier	space		2	1					
ANR	85	AdditiveExpression	G_MAXINT - 8		2	1		-			
ANR	86	Identifier	G_MAXINT		2	0					
ANR	87	PrimaryExpression	8		2	1					
ANR	88	ExpressionStatement	"string -> glyphs = g_realloc ( string -> glyphs , string -> space * sizeof ( PangoGlyphInfo ) )"	21:2:494:578	2	4	True				
ANR	89	AssignmentExpression	"string -> glyphs = g_realloc ( string -> glyphs , string -> space * sizeof ( PangoGlyphInfo ) )"		2	0		=			
ANR	90	PtrMemberAccess	string -> glyphs		2	0					
ANR	91	Identifier	string		2	0					
ANR	92	Identifier	glyphs		2	1					
ANR	93	CallExpression	"g_realloc ( string -> glyphs , string -> space * sizeof ( PangoGlyphInfo ) )"		2	1					
ANR	94	Callee	g_realloc		2	0					
ANR	95	Identifier	g_realloc		2	0					
ANR	96	ArgumentList	string -> glyphs		2	1					
ANR	97	Argument	string -> glyphs		2	0					
ANR	98	PtrMemberAccess	string -> glyphs		2	0					
ANR	99	Identifier	string		2	0					
ANR	100	Identifier	glyphs		2	1					
ANR	101	Argument	string -> space * sizeof ( PangoGlyphInfo )		2	1					
ANR	102	MultiplicativeExpression	string -> space * sizeof ( PangoGlyphInfo )		2	0		*			
ANR	103	PtrMemberAccess	string -> space		2	0					
ANR	104	Identifier	string		2	0					
ANR	105	Identifier	space		2	1					
ANR	106	SizeofExpression	sizeof ( PangoGlyphInfo )		2	1					
ANR	107	Sizeof	sizeof		2	0					
ANR	108	SizeofOperand	PangoGlyphInfo		2	1					
ANR	109	ExpressionStatement	"string -> log_clusters = g_realloc ( string -> log_clusters , string -> space * sizeof ( gint ) )"	22:2:582:668	2	5	True				
ANR	110	AssignmentExpression	"string -> log_clusters = g_realloc ( string -> log_clusters , string -> space * sizeof ( gint ) )"		2	0		=			
ANR	111	PtrMemberAccess	string -> log_clusters		2	0					
ANR	112	Identifier	string		2	0					
ANR	113	Identifier	log_clusters		2	1					
ANR	114	CallExpression	"g_realloc ( string -> log_clusters , string -> space * sizeof ( gint ) )"		2	1					
ANR	115	Callee	g_realloc		2	0					
ANR	116	Identifier	g_realloc		2	0					
ANR	117	ArgumentList	string -> log_clusters		2	1					
ANR	118	Argument	string -> log_clusters		2	0					
ANR	119	PtrMemberAccess	string -> log_clusters		2	0					
ANR	120	Identifier	string		2	0					
ANR	121	Identifier	log_clusters		2	1					
ANR	122	Argument	string -> space * sizeof ( gint )		2	1					
ANR	123	MultiplicativeExpression	string -> space * sizeof ( gint )		2	0		*			
ANR	124	PtrMemberAccess	string -> space		2	0					
ANR	125	Identifier	string		2	0					
ANR	126	Identifier	space		2	1					
ANR	127	SizeofExpression	sizeof ( gint )		2	1					
ANR	128	Sizeof	sizeof		2	0					
ANR	129	SizeofOperand	gint		2	1					
ANR	130	ExpressionStatement	string -> num_glyphs = new_len	23:2:672:700	2	6	True				
ANR	131	AssignmentExpression	string -> num_glyphs = new_len		2	0		=			
ANR	132	PtrMemberAccess	string -> num_glyphs		2	0					
ANR	133	Identifier	string		2	0					
ANR	134	Identifier	num_glyphs		2	1					
ANR	135	Identifier	new_len		2	1					
ANR	136	Identifier	pango_glyph_string_set_size		2	1					
ANR	137	ParameterList	"PangoGlyphString * string , gint new_len"		2	2					
ANR	138	Parameter	PangoGlyphString * string	1:29:29:52	2	0	True				
ANR	139	ParameterType	PangoGlyphString *		2	0					
ANR	140	Identifier	string		2	1					
ANR	141	Parameter	gint new_len	1:55:55:66	2	1	True				
ANR	142	ParameterType	gint		2	0					
ANR	143	Identifier	new_len		2	1					
ANR	144	CFGEntryNode	ENTRY		2		True				
ANR	145	CFGExitNode	EXIT		2		True				
ANR	146	Symbol	string -> num_glyphs		2						
ANR	147	Symbol	string -> log_clusters		2						
ANR	148	Symbol	string		2						
ANR	149	Symbol	new_len		2						
ANR	150	Symbol	string -> space		2						
ANR	151	Symbol	G_MAXINT		2						
ANR	152	Symbol	string -> glyphs		2						
ANR	153	Symbol	* string		2						
ANR	154	Symbol	dwk_alias_1		2						
ANR	155	Symbol	g_realloc		2						
