start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
10	11	IS_AST_PARENT	
10	12	IS_AST_PARENT	
13	14	IS_AST_PARENT	
16	17	IS_AST_PARENT	
15	16	IS_AST_PARENT	
19	20	IS_AST_PARENT	
18	19	IS_AST_PARENT	
21	22	IS_AST_PARENT	
18	21	IS_AST_PARENT	
15	18	IS_AST_PARENT	
13	15	IS_AST_PARENT	
10	13	IS_AST_PARENT	
9	10	IS_AST_PARENT	
4	9	IS_AST_PARENT	
24	25	IS_AST_PARENT	
24	26	IS_AST_PARENT	
27	28	IS_AST_PARENT	
27	29	IS_AST_PARENT	
24	27	IS_AST_PARENT	
23	24	IS_AST_PARENT	
4	23	IS_AST_PARENT	
31	32	IS_AST_PARENT	
31	33	IS_AST_PARENT	
34	35	IS_AST_PARENT	
36	37	IS_AST_PARENT	
36	38	IS_AST_PARENT	
34	36	IS_AST_PARENT	
31	34	IS_AST_PARENT	
30	31	IS_AST_PARENT	
4	30	IS_AST_PARENT	
40	41	IS_AST_PARENT	
40	42	IS_AST_PARENT	
39	40	IS_AST_PARENT	
4	39	IS_AST_PARENT	
44	45	IS_AST_PARENT	
44	46	IS_AST_PARENT	
43	44	IS_AST_PARENT	
4	43	IS_AST_PARENT	
48	49	IS_AST_PARENT	
48	50	IS_AST_PARENT	
47	48	IS_AST_PARENT	
4	47	IS_AST_PARENT	
52	53	IS_AST_PARENT	
52	54	IS_AST_PARENT	
52	55	IS_AST_PARENT	
51	52	IS_AST_PARENT	
4	51	IS_AST_PARENT	
57	58	IS_AST_PARENT	
57	59	IS_AST_PARENT	
56	57	IS_AST_PARENT	
4	56	IS_AST_PARENT	
61	62	IS_AST_PARENT	
61	63	IS_AST_PARENT	
64	65	IS_AST_PARENT	
64	66	IS_AST_PARENT	
61	64	IS_AST_PARENT	
60	61	IS_AST_PARENT	
4	60	IS_AST_PARENT	
68	69	IS_AST_PARENT	
67	68	IS_AST_PARENT	
72	73	IS_AST_PARENT	
72	74	IS_AST_PARENT	
71	72	IS_AST_PARENT	
70	71	IS_AST_PARENT	
67	70	IS_AST_PARENT	
4	67	IS_AST_PARENT	
77	78	IS_AST_PARENT	
77	79	IS_AST_PARENT	
76	77	IS_AST_PARENT	
75	76	IS_AST_PARENT	
83	84	IS_AST_PARENT	
82	83	IS_AST_PARENT	
87	88	IS_AST_PARENT	
87	89	IS_AST_PARENT	
86	87	IS_AST_PARENT	
85	86	IS_AST_PARENT	
82	85	IS_AST_PARENT	
81	82	IS_AST_PARENT	
80	81	IS_AST_PARENT	
94	95	IS_AST_PARENT	
96	97	IS_AST_PARENT	
96	98	IS_AST_PARENT	
94	96	IS_AST_PARENT	
93	94	IS_AST_PARENT	
99	100	IS_AST_PARENT	
101	102	IS_AST_PARENT	
101	103	IS_AST_PARENT	
99	101	IS_AST_PARENT	
93	99	IS_AST_PARENT	
92	93	IS_AST_PARENT	
92	104	IS_AST_PARENT	
91	92	IS_AST_PARENT	
90	91	IS_AST_PARENT	
90	105	IS_AST_PARENT	
80	90	IS_AST_PARENT	
107	108	IS_AST_PARENT	
107	109	IS_AST_PARENT	
106	107	IS_AST_PARENT	
80	106	IS_AST_PARENT	
111	112	IS_AST_PARENT	
111	113	IS_AST_PARENT	
110	111	IS_AST_PARENT	
80	110	IS_AST_PARENT	
117	118	IS_AST_PARENT	
117	119	IS_AST_PARENT	
116	117	IS_AST_PARENT	
116	120	IS_AST_PARENT	
115	116	IS_AST_PARENT	
114	115	IS_AST_PARENT	
123	124	IS_AST_PARENT	
123	125	IS_AST_PARENT	
126	127	IS_AST_PARENT	
126	128	IS_AST_PARENT	
123	126	IS_AST_PARENT	
122	123	IS_AST_PARENT	
121	122	IS_AST_PARENT	
130	131	IS_AST_PARENT	
130	132	IS_AST_PARENT	
133	134	IS_AST_PARENT	
133	135	IS_AST_PARENT	
130	133	IS_AST_PARENT	
129	130	IS_AST_PARENT	
121	129	IS_AST_PARENT	
137	138	IS_AST_PARENT	
137	139	IS_AST_PARENT	
140	141	IS_AST_PARENT	
140	142	IS_AST_PARENT	
137	140	IS_AST_PARENT	
136	137	IS_AST_PARENT	
121	136	IS_AST_PARENT	
144	145	IS_AST_PARENT	
144	146	IS_AST_PARENT	
143	144	IS_AST_PARENT	
121	143	IS_AST_PARENT	
151	152	IS_AST_PARENT	
151	153	IS_AST_PARENT	
150	151	IS_AST_PARENT	
150	154	IS_AST_PARENT	
149	150	IS_AST_PARENT	
156	157	IS_AST_PARENT	
156	158	IS_AST_PARENT	
155	156	IS_AST_PARENT	
155	159	IS_AST_PARENT	
149	155	IS_AST_PARENT	
148	149	IS_AST_PARENT	
147	148	IS_AST_PARENT	
162	163	IS_AST_PARENT	
162	164	IS_AST_PARENT	
161	162	IS_AST_PARENT	
160	161	IS_AST_PARENT	
167	168	IS_AST_PARENT	
167	169	IS_AST_PARENT	
166	167	IS_AST_PARENT	
165	166	IS_AST_PARENT	
172	173	IS_AST_PARENT	
172	174	IS_AST_PARENT	
175	176	IS_AST_PARENT	
178	179	IS_AST_PARENT	
177	178	IS_AST_PARENT	
181	182	IS_AST_PARENT	
180	181	IS_AST_PARENT	
184	185	IS_AST_PARENT	
184	186	IS_AST_PARENT	
183	184	IS_AST_PARENT	
180	183	IS_AST_PARENT	
177	180	IS_AST_PARENT	
175	177	IS_AST_PARENT	
172	175	IS_AST_PARENT	
171	172	IS_AST_PARENT	
170	171	IS_AST_PARENT	
189	190	IS_AST_PARENT	
189	191	IS_AST_PARENT	
188	189	IS_AST_PARENT	
187	188	IS_AST_PARENT	
187	192	IS_AST_PARENT	
170	187	IS_AST_PARENT	
194	195	IS_AST_PARENT	
197	198	IS_AST_PARENT	
197	199	IS_AST_PARENT	
196	197	IS_AST_PARENT	
201	202	IS_AST_PARENT	
201	203	IS_AST_PARENT	
200	201	IS_AST_PARENT	
200	204	IS_AST_PARENT	
196	200	IS_AST_PARENT	
194	196	IS_AST_PARENT	
193	194	IS_AST_PARENT	
170	193	IS_AST_PARENT	
207	208	IS_AST_PARENT	
209	210	IS_AST_PARENT	
209	211	IS_AST_PARENT	
207	209	IS_AST_PARENT	
206	207	IS_AST_PARENT	
205	206	IS_AST_PARENT	
214	215	IS_AST_PARENT	
214	216	IS_AST_PARENT	
213	214	IS_AST_PARENT	
212	213	IS_AST_PARENT	
212	217	IS_AST_PARENT	
205	212	IS_AST_PARENT	
170	205	IS_AST_PARENT	
219	220	IS_AST_PARENT	
219	221	IS_AST_PARENT	
218	219	IS_AST_PARENT	
170	218	IS_AST_PARENT	
223	224	IS_AST_PARENT	
223	225	IS_AST_PARENT	
222	223	IS_AST_PARENT	
170	222	IS_AST_PARENT	
227	228	IS_AST_PARENT	
227	229	IS_AST_PARENT	
226	227	IS_AST_PARENT	
170	226	IS_AST_PARENT	
165	170	IS_AST_PARENT	
160	165	IS_AST_PARENT	
147	160	IS_AST_PARENT	
235	236	IS_AST_PARENT	
234	235	IS_AST_PARENT	
239	240	IS_AST_PARENT	
239	241	IS_AST_PARENT	
238	239	IS_AST_PARENT	
237	238	IS_AST_PARENT	
234	237	IS_AST_PARENT	
233	234	IS_AST_PARENT	
232	233	IS_AST_PARENT	
244	245	IS_AST_PARENT	
247	248	IS_AST_PARENT	
247	249	IS_AST_PARENT	
246	247	IS_AST_PARENT	
251	252	IS_AST_PARENT	
251	253	IS_AST_PARENT	
250	251	IS_AST_PARENT	
250	254	IS_AST_PARENT	
246	250	IS_AST_PARENT	
244	246	IS_AST_PARENT	
243	244	IS_AST_PARENT	
242	243	IS_AST_PARENT	
257	258	IS_AST_PARENT	
259	260	IS_AST_PARENT	
259	261	IS_AST_PARENT	
257	259	IS_AST_PARENT	
256	257	IS_AST_PARENT	
255	256	IS_AST_PARENT	
264	265	IS_AST_PARENT	
264	266	IS_AST_PARENT	
263	264	IS_AST_PARENT	
262	263	IS_AST_PARENT	
262	267	IS_AST_PARENT	
255	262	IS_AST_PARENT	
242	255	IS_AST_PARENT	
269	270	IS_AST_PARENT	
269	271	IS_AST_PARENT	
268	269	IS_AST_PARENT	
242	268	IS_AST_PARENT	
273	274	IS_AST_PARENT	
273	275	IS_AST_PARENT	
272	273	IS_AST_PARENT	
242	272	IS_AST_PARENT	
277	278	IS_AST_PARENT	
277	279	IS_AST_PARENT	
276	277	IS_AST_PARENT	
242	276	IS_AST_PARENT	
232	242	IS_AST_PARENT	
231	232	IS_AST_PARENT	
230	231	IS_AST_PARENT	
147	230	IS_AST_PARENT	
121	147	IS_AST_PARENT	
281	282	IS_AST_PARENT	
280	281	IS_AST_PARENT	
287	288	IS_AST_PARENT	
290	291	IS_AST_PARENT	
289	290	IS_AST_PARENT	
293	294	IS_AST_PARENT	
292	293	IS_AST_PARENT	
289	292	IS_AST_PARENT	
287	289	IS_AST_PARENT	
286	287	IS_AST_PARENT	
295	296	IS_AST_PARENT	
295	297	IS_AST_PARENT	
286	295	IS_AST_PARENT	
285	286	IS_AST_PARENT	
284	285	IS_AST_PARENT	
301	302	IS_AST_PARENT	
301	303	IS_AST_PARENT	
300	301	IS_AST_PARENT	
304	305	IS_AST_PARENT	
304	306	IS_AST_PARENT	
300	304	IS_AST_PARENT	
299	300	IS_AST_PARENT	
298	299	IS_AST_PARENT	
308	309	IS_AST_PARENT	
308	310	IS_AST_PARENT	
307	308	IS_AST_PARENT	
298	307	IS_AST_PARENT	
312	313	IS_AST_PARENT	
312	314	IS_AST_PARENT	
311	312	IS_AST_PARENT	
298	311	IS_AST_PARENT	
316	317	IS_AST_PARENT	
316	318	IS_AST_PARENT	
315	316	IS_AST_PARENT	
298	315	IS_AST_PARENT	
284	298	IS_AST_PARENT	
322	323	IS_AST_PARENT	
322	324	IS_AST_PARENT	
321	322	IS_AST_PARENT	
320	321	IS_AST_PARENT	
328	329	IS_AST_PARENT	
328	330	IS_AST_PARENT	
327	328	IS_AST_PARENT	
327	331	IS_AST_PARENT	
326	327	IS_AST_PARENT	
325	326	IS_AST_PARENT	
335	336	IS_AST_PARENT	
335	337	IS_AST_PARENT	
334	335	IS_AST_PARENT	
333	334	IS_AST_PARENT	
340	341	IS_AST_PARENT	
340	342	IS_AST_PARENT	
339	340	IS_AST_PARENT	
338	339	IS_AST_PARENT	
344	345	IS_AST_PARENT	
348	349	IS_AST_PARENT	
348	350	IS_AST_PARENT	
347	348	IS_AST_PARENT	
347	351	IS_AST_PARENT	
346	347	IS_AST_PARENT	
353	354	IS_AST_PARENT	
353	355	IS_AST_PARENT	
352	353	IS_AST_PARENT	
352	356	IS_AST_PARENT	
346	352	IS_AST_PARENT	
344	346	IS_AST_PARENT	
343	344	IS_AST_PARENT	
338	343	IS_AST_PARENT	
358	359	IS_AST_PARENT	
358	360	IS_AST_PARENT	
357	358	IS_AST_PARENT	
338	357	IS_AST_PARENT	
333	338	IS_AST_PARENT	
364	365	IS_AST_PARENT	
364	366	IS_AST_PARENT	
363	364	IS_AST_PARENT	
362	363	IS_AST_PARENT	
361	362	IS_AST_PARENT	
333	361	IS_AST_PARENT	
332	333	IS_AST_PARENT	
325	332	IS_AST_PARENT	
371	372	IS_AST_PARENT	
371	373	IS_AST_PARENT	
370	371	IS_AST_PARENT	
370	374	IS_AST_PARENT	
369	370	IS_AST_PARENT	
368	369	IS_AST_PARENT	
377	378	IS_AST_PARENT	
377	379	IS_AST_PARENT	
376	377	IS_AST_PARENT	
375	376	IS_AST_PARENT	
381	382	IS_AST_PARENT	
381	383	IS_AST_PARENT	
380	381	IS_AST_PARENT	
375	380	IS_AST_PARENT	
368	375	IS_AST_PARENT	
387	388	IS_AST_PARENT	
387	389	IS_AST_PARENT	
386	387	IS_AST_PARENT	
385	386	IS_AST_PARENT	
394	395	IS_AST_PARENT	
394	396	IS_AST_PARENT	
393	394	IS_AST_PARENT	
397	398	IS_AST_PARENT	
397	399	IS_AST_PARENT	
393	397	IS_AST_PARENT	
392	393	IS_AST_PARENT	
402	403	IS_AST_PARENT	
402	404	IS_AST_PARENT	
401	402	IS_AST_PARENT	
401	405	IS_AST_PARENT	
400	401	IS_AST_PARENT	
406	407	IS_AST_PARENT	
406	408	IS_AST_PARENT	
400	406	IS_AST_PARENT	
392	400	IS_AST_PARENT	
391	392	IS_AST_PARENT	
390	391	IS_AST_PARENT	
411	412	IS_AST_PARENT	
411	413	IS_AST_PARENT	
410	411	IS_AST_PARENT	
409	410	IS_AST_PARENT	
390	409	IS_AST_PARENT	
385	390	IS_AST_PARENT	
384	385	IS_AST_PARENT	
368	384	IS_AST_PARENT	
367	368	IS_AST_PARENT	
325	367	IS_AST_PARENT	
320	325	IS_AST_PARENT	
415	416	IS_AST_PARENT	
417	418	IS_AST_PARENT	
420	421	IS_AST_PARENT	
419	420	IS_AST_PARENT	
424	425	IS_AST_PARENT	
424	426	IS_AST_PARENT	
423	424	IS_AST_PARENT	
422	423	IS_AST_PARENT	
427	428	IS_AST_PARENT	
422	427	IS_AST_PARENT	
419	422	IS_AST_PARENT	
417	419	IS_AST_PARENT	
415	417	IS_AST_PARENT	
414	415	IS_AST_PARENT	
320	414	IS_AST_PARENT	
430	431	IS_AST_PARENT	
430	432	IS_AST_PARENT	
429	430	IS_AST_PARENT	
320	429	IS_AST_PARENT	
434	435	IS_AST_PARENT	
436	437	IS_AST_PARENT	
436	438	IS_AST_PARENT	
434	436	IS_AST_PARENT	
433	434	IS_AST_PARENT	
320	433	IS_AST_PARENT	
440	441	IS_AST_PARENT	
440	442	IS_AST_PARENT	
439	440	IS_AST_PARENT	
320	439	IS_AST_PARENT	
319	320	IS_AST_PARENT	
284	319	IS_AST_PARENT	
283	284	IS_AST_PARENT	
280	283	IS_AST_PARENT	
121	280	IS_AST_PARENT	
114	121	IS_AST_PARENT	
446	447	IS_AST_PARENT	
446	448	IS_AST_PARENT	
449	450	IS_AST_PARENT	
449	451	IS_AST_PARENT	
446	449	IS_AST_PARENT	
445	446	IS_AST_PARENT	
444	445	IS_AST_PARENT	
455	456	IS_AST_PARENT	
454	455	IS_AST_PARENT	
459	460	IS_AST_PARENT	
459	461	IS_AST_PARENT	
458	459	IS_AST_PARENT	
457	458	IS_AST_PARENT	
454	457	IS_AST_PARENT	
453	454	IS_AST_PARENT	
452	453	IS_AST_PARENT	
463	464	IS_AST_PARENT	
463	465	IS_AST_PARENT	
462	463	IS_AST_PARENT	
452	462	IS_AST_PARENT	
444	452	IS_AST_PARENT	
469	470	IS_AST_PARENT	
469	471	IS_AST_PARENT	
468	469	IS_AST_PARENT	
468	472	IS_AST_PARENT	
467	468	IS_AST_PARENT	
466	467	IS_AST_PARENT	
475	476	IS_AST_PARENT	
475	477	IS_AST_PARENT	
474	475	IS_AST_PARENT	
473	474	IS_AST_PARENT	
481	482	IS_AST_PARENT	
484	485	IS_AST_PARENT	
483	484	IS_AST_PARENT	
487	488	IS_AST_PARENT	
486	487	IS_AST_PARENT	
489	490	IS_AST_PARENT	
486	489	IS_AST_PARENT	
492	493	IS_AST_PARENT	
492	494	IS_AST_PARENT	
491	492	IS_AST_PARENT	
486	491	IS_AST_PARENT	
495	496	IS_AST_PARENT	
486	495	IS_AST_PARENT	
483	486	IS_AST_PARENT	
481	483	IS_AST_PARENT	
480	481	IS_AST_PARENT	
499	500	IS_AST_PARENT	
499	501	IS_AST_PARENT	
498	499	IS_AST_PARENT	
498	502	IS_AST_PARENT	
497	498	IS_AST_PARENT	
503	504	IS_AST_PARENT	
506	507	IS_AST_PARENT	
505	506	IS_AST_PARENT	
509	510	IS_AST_PARENT	
508	509	IS_AST_PARENT	
511	512	IS_AST_PARENT	
508	511	IS_AST_PARENT	
514	515	IS_AST_PARENT	
516	517	IS_AST_PARENT	
516	518	IS_AST_PARENT	
514	516	IS_AST_PARENT	
513	514	IS_AST_PARENT	
508	513	IS_AST_PARENT	
519	520	IS_AST_PARENT	
508	519	IS_AST_PARENT	
505	508	IS_AST_PARENT	
503	505	IS_AST_PARENT	
497	503	IS_AST_PARENT	
480	497	IS_AST_PARENT	
479	480	IS_AST_PARENT	
478	479	IS_AST_PARENT	
523	524	IS_AST_PARENT	
526	527	IS_AST_PARENT	
525	526	IS_AST_PARENT	
530	531	IS_AST_PARENT	
530	532	IS_AST_PARENT	
529	530	IS_AST_PARENT	
528	529	IS_AST_PARENT	
533	534	IS_AST_PARENT	
528	533	IS_AST_PARENT	
