start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
9	10	IS_AST_PARENT	
11	12	IS_AST_PARENT	
13	14	IS_AST_PARENT	
13	15	IS_AST_PARENT	
11	13	IS_AST_PARENT	
9	11	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
17	18	IS_AST_PARENT	
19	20	IS_AST_PARENT	
22	23	IS_AST_PARENT	
22	24	IS_AST_PARENT	
21	22	IS_AST_PARENT	
21	25	IS_AST_PARENT	
19	21	IS_AST_PARENT	
17	19	IS_AST_PARENT	
16	17	IS_AST_PARENT	
4	16	IS_AST_PARENT	
28	29	IS_AST_PARENT	
27	28	IS_AST_PARENT	
32	33	IS_AST_PARENT	
32	34	IS_AST_PARENT	
31	32	IS_AST_PARENT	
30	31	IS_AST_PARENT	
27	30	IS_AST_PARENT	
26	27	IS_AST_PARENT	
4	26	IS_AST_PARENT	
37	38	IS_AST_PARENT	
36	37	IS_AST_PARENT	
42	43	IS_AST_PARENT	
42	44	IS_AST_PARENT	
41	42	IS_AST_PARENT	
46	47	IS_AST_PARENT	
46	48	IS_AST_PARENT	
45	46	IS_AST_PARENT	
49	50	IS_AST_PARENT	
49	51	IS_AST_PARENT	
45	49	IS_AST_PARENT	
41	45	IS_AST_PARENT	
40	41	IS_AST_PARENT	
39	40	IS_AST_PARENT	
36	39	IS_AST_PARENT	
35	36	IS_AST_PARENT	
4	35	IS_AST_PARENT	
54	55	IS_AST_PARENT	
53	54	IS_AST_PARENT	
59	60	IS_AST_PARENT	
59	61	IS_AST_PARENT	
58	59	IS_AST_PARENT	
58	62	IS_AST_PARENT	
57	58	IS_AST_PARENT	
56	57	IS_AST_PARENT	
53	56	IS_AST_PARENT	
52	53	IS_AST_PARENT	
4	52	IS_AST_PARENT	
67	68	IS_AST_PARENT	
67	69	IS_AST_PARENT	
66	67	IS_AST_PARENT	
66	70	IS_AST_PARENT	
65	66	IS_AST_PARENT	
72	73	IS_AST_PARENT	
72	74	IS_AST_PARENT	
71	72	IS_AST_PARENT	
71	75	IS_AST_PARENT	
65	71	IS_AST_PARENT	
64	65	IS_AST_PARENT	
63	64	IS_AST_PARENT	
80	81	IS_AST_PARENT	
83	84	IS_AST_PARENT	
83	85	IS_AST_PARENT	
82	83	IS_AST_PARENT	
82	86	IS_AST_PARENT	
80	82	IS_AST_PARENT	
79	80	IS_AST_PARENT	
87	88	IS_AST_PARENT	
87	89	IS_AST_PARENT	
79	87	IS_AST_PARENT	
78	79	IS_AST_PARENT	
77	78	IS_AST_PARENT	
93	94	IS_AST_PARENT	
93	95	IS_AST_PARENT	
92	93	IS_AST_PARENT	
92	96	IS_AST_PARENT	
91	92	IS_AST_PARENT	
90	91	IS_AST_PARENT	
77	90	IS_AST_PARENT	
101	102	IS_AST_PARENT	
101	103	IS_AST_PARENT	
100	101	IS_AST_PARENT	
100	104	IS_AST_PARENT	
99	100	IS_AST_PARENT	
98	99	IS_AST_PARENT	
97	98	IS_AST_PARENT	
77	97	IS_AST_PARENT	
76	77	IS_AST_PARENT	
108	109	IS_AST_PARENT	
108	110	IS_AST_PARENT	
107	108	IS_AST_PARENT	
107	111	IS_AST_PARENT	
106	107	IS_AST_PARENT	
105	106	IS_AST_PARENT	
115	116	IS_AST_PARENT	
114	115	IS_AST_PARENT	
118	119	IS_AST_PARENT	
117	118	IS_AST_PARENT	
120	121	IS_AST_PARENT	
117	120	IS_AST_PARENT	
123	124	IS_AST_PARENT	
123	125	IS_AST_PARENT	
122	123	IS_AST_PARENT	
117	122	IS_AST_PARENT	
128	129	IS_AST_PARENT	
127	128	IS_AST_PARENT	
132	133	IS_AST_PARENT	
132	134	IS_AST_PARENT	
131	132	IS_AST_PARENT	
130	131	IS_AST_PARENT	
127	130	IS_AST_PARENT	
126	127	IS_AST_PARENT	
117	126	IS_AST_PARENT	
114	117	IS_AST_PARENT	
113	114	IS_AST_PARENT	
112	113	IS_AST_PARENT	
105	112	IS_AST_PARENT	
76	105	IS_AST_PARENT	
63	76	IS_AST_PARENT	
4	63	IS_AST_PARENT	
138	139	IS_AST_PARENT	
138	140	IS_AST_PARENT	
137	138	IS_AST_PARENT	
137	141	IS_AST_PARENT	
136	137	IS_AST_PARENT	
135	136	IS_AST_PARENT	
146	147	IS_AST_PARENT	
146	148	IS_AST_PARENT	
145	146	IS_AST_PARENT	
149	150	IS_AST_PARENT	
151	152	IS_AST_PARENT	
151	153	IS_AST_PARENT	
149	151	IS_AST_PARENT	
145	149	IS_AST_PARENT	
144	145	IS_AST_PARENT	
143	144	IS_AST_PARENT	
155	156	IS_AST_PARENT	
154	155	IS_AST_PARENT	
143	154	IS_AST_PARENT	
163	164	IS_AST_PARENT	
165	166	IS_AST_PARENT	
165	167	IS_AST_PARENT	
163	165	IS_AST_PARENT	
162	163	IS_AST_PARENT	
162	168	IS_AST_PARENT	
161	162	IS_AST_PARENT	
161	169	IS_AST_PARENT	
160	161	IS_AST_PARENT	
159	160	IS_AST_PARENT	
173	174	IS_AST_PARENT	
172	173	IS_AST_PARENT	
177	178	IS_AST_PARENT	
177	179	IS_AST_PARENT	
176	177	IS_AST_PARENT	
175	176	IS_AST_PARENT	
181	182	IS_AST_PARENT	
181	183	IS_AST_PARENT	
180	181	IS_AST_PARENT	
175	180	IS_AST_PARENT	
185	186	IS_AST_PARENT	
185	187	IS_AST_PARENT	
184	185	IS_AST_PARENT	
175	184	IS_AST_PARENT	
172	175	IS_AST_PARENT	
171	172	IS_AST_PARENT	
170	171	IS_AST_PARENT	
190	191	IS_AST_PARENT	
190	192	IS_AST_PARENT	
189	190	IS_AST_PARENT	
193	194	IS_AST_PARENT	
193	195	IS_AST_PARENT	
189	193	IS_AST_PARENT	
188	189	IS_AST_PARENT	
170	188	IS_AST_PARENT	
199	200	IS_AST_PARENT	
199	201	IS_AST_PARENT	
198	199	IS_AST_PARENT	
198	202	IS_AST_PARENT	
197	198	IS_AST_PARENT	
196	197	IS_AST_PARENT	
206	207	IS_AST_PARENT	
205	206	IS_AST_PARENT	
209	210	IS_AST_PARENT	
208	209	IS_AST_PARENT	
211	212	IS_AST_PARENT	
208	211	IS_AST_PARENT	
214	215	IS_AST_PARENT	
214	216	IS_AST_PARENT	
213	214	IS_AST_PARENT	
208	213	IS_AST_PARENT	
205	208	IS_AST_PARENT	
204	205	IS_AST_PARENT	
203	204	IS_AST_PARENT	
196	203	IS_AST_PARENT	
170	196	IS_AST_PARENT	
159	170	IS_AST_PARENT	
158	159	IS_AST_PARENT	
218	219	IS_AST_PARENT	
218	220	IS_AST_PARENT	
217	218	IS_AST_PARENT	
158	217	IS_AST_PARENT	
222	223	IS_AST_PARENT	
224	225	IS_AST_PARENT	
226	227	IS_AST_PARENT	
226	228	IS_AST_PARENT	
224	226	IS_AST_PARENT	
222	224	IS_AST_PARENT	
221	222	IS_AST_PARENT	
158	221	IS_AST_PARENT	
232	233	IS_AST_PARENT	
232	234	IS_AST_PARENT	
231	232	IS_AST_PARENT	
231	235	IS_AST_PARENT	
230	231	IS_AST_PARENT	
229	230	IS_AST_PARENT	
238	239	IS_AST_PARENT	
238	240	IS_AST_PARENT	
237	238	IS_AST_PARENT	
236	237	IS_AST_PARENT	
243	244	IS_AST_PARENT	
242	243	IS_AST_PARENT	
246	247	IS_AST_PARENT	
245	246	IS_AST_PARENT	
248	249	IS_AST_PARENT	
245	248	IS_AST_PARENT	
251	252	IS_AST_PARENT	
251	253	IS_AST_PARENT	
250	251	IS_AST_PARENT	
245	250	IS_AST_PARENT	
242	245	IS_AST_PARENT	
241	242	IS_AST_PARENT	
236	241	IS_AST_PARENT	
256	257	IS_AST_PARENT	
256	258	IS_AST_PARENT	
255	256	IS_AST_PARENT	
254	255	IS_AST_PARENT	
260	261	IS_AST_PARENT	
262	263	IS_AST_PARENT	
264	265	IS_AST_PARENT	
264	266	IS_AST_PARENT	
262	264	IS_AST_PARENT	
260	262	IS_AST_PARENT	
259	260	IS_AST_PARENT	
254	259	IS_AST_PARENT	
267	268	IS_AST_PARENT	
267	269	IS_AST_PARENT	
254	267	IS_AST_PARENT	
274	275	IS_AST_PARENT	
274	276	IS_AST_PARENT	
273	274	IS_AST_PARENT	
273	277	IS_AST_PARENT	
272	273	IS_AST_PARENT	
271	272	IS_AST_PARENT	
281	282	IS_AST_PARENT	
280	281	IS_AST_PARENT	
284	285	IS_AST_PARENT	
283	284	IS_AST_PARENT	
286	287	IS_AST_PARENT	
283	286	IS_AST_PARENT	
289	290	IS_AST_PARENT	
289	291	IS_AST_PARENT	
288	289	IS_AST_PARENT	
283	288	IS_AST_PARENT	
280	283	IS_AST_PARENT	
279	280	IS_AST_PARENT	
278	279	IS_AST_PARENT	
271	278	IS_AST_PARENT	
270	271	IS_AST_PARENT	
294	295	IS_AST_PARENT	
293	294	IS_AST_PARENT	
297	298	IS_AST_PARENT	
296	297	IS_AST_PARENT	
299	300	IS_AST_PARENT	
296	299	IS_AST_PARENT	
303	304	IS_AST_PARENT	
303	305	IS_AST_PARENT	
302	303	IS_AST_PARENT	
302	306	IS_AST_PARENT	
301	302	IS_AST_PARENT	
296	301	IS_AST_PARENT	
293	296	IS_AST_PARENT	
292	293	IS_AST_PARENT	
270	292	IS_AST_PARENT	
254	270	IS_AST_PARENT	
236	254	IS_AST_PARENT	
309	310	IS_AST_PARENT	
308	309	IS_AST_PARENT	
312	313	IS_AST_PARENT	
311	312	IS_AST_PARENT	
314	315	IS_AST_PARENT	
311	314	IS_AST_PARENT	
308	311	IS_AST_PARENT	
307	308	IS_AST_PARENT	
236	307	IS_AST_PARENT	
229	236	IS_AST_PARENT	
158	229	IS_AST_PARENT	
318	319	IS_AST_PARENT	
318	320	IS_AST_PARENT	
317	318	IS_AST_PARENT	
321	322	IS_AST_PARENT	
321	323	IS_AST_PARENT	
317	321	IS_AST_PARENT	
316	317	IS_AST_PARENT	
158	316	IS_AST_PARENT	
328	329	IS_AST_PARENT	
328	330	IS_AST_PARENT	
327	328	IS_AST_PARENT	
327	331	IS_AST_PARENT	
326	327	IS_AST_PARENT	
326	332	IS_AST_PARENT	
325	326	IS_AST_PARENT	
334	335	IS_AST_PARENT	
333	334	IS_AST_PARENT	
339	340	IS_AST_PARENT	
339	341	IS_AST_PARENT	
338	339	IS_AST_PARENT	
338	342	IS_AST_PARENT	
337	338	IS_AST_PARENT	
336	337	IS_AST_PARENT	
333	336	IS_AST_PARENT	
325	333	IS_AST_PARENT	
324	325	IS_AST_PARENT	
158	324	IS_AST_PARENT	
347	348	IS_AST_PARENT	
347	349	IS_AST_PARENT	
346	347	IS_AST_PARENT	
346	350	IS_AST_PARENT	
345	346	IS_AST_PARENT	
345	351	IS_AST_PARENT	
344	345	IS_AST_PARENT	
353	354	IS_AST_PARENT	
352	353	IS_AST_PARENT	
358	359	IS_AST_PARENT	
358	360	IS_AST_PARENT	
357	358	IS_AST_PARENT	
357	361	IS_AST_PARENT	
356	357	IS_AST_PARENT	
355	356	IS_AST_PARENT	
352	355	IS_AST_PARENT	
344	352	IS_AST_PARENT	
343	344	IS_AST_PARENT	
158	343	IS_AST_PARENT	
366	367	IS_AST_PARENT	
366	368	IS_AST_PARENT	
365	366	IS_AST_PARENT	
365	369	IS_AST_PARENT	
364	365	IS_AST_PARENT	
364	370	IS_AST_PARENT	
363	364	IS_AST_PARENT	
372	373	IS_AST_PARENT	
371	372	IS_AST_PARENT	
377	378	IS_AST_PARENT	
377	379	IS_AST_PARENT	
376	377	IS_AST_PARENT	
376	380	IS_AST_PARENT	
375	376	IS_AST_PARENT	
374	375	IS_AST_PARENT	
371	374	IS_AST_PARENT	
363	371	IS_AST_PARENT	
362	363	IS_AST_PARENT	
158	362	IS_AST_PARENT	
386	387	IS_AST_PARENT	
386	388	IS_AST_PARENT	
385	386	IS_AST_PARENT	
385	389	IS_AST_PARENT	
384	385	IS_AST_PARENT	
384	390	IS_AST_PARENT	
383	384	IS_AST_PARENT	
383	391	IS_AST_PARENT	
382	383	IS_AST_PARENT	
381	382	IS_AST_PARENT	
395	396	IS_AST_PARENT	
395	397	IS_AST_PARENT	
394	395	IS_AST_PARENT	
393	394	IS_AST_PARENT	
401	402	IS_AST_PARENT	
400	401	IS_AST_PARENT	
404	405	IS_AST_PARENT	
403	404	IS_AST_PARENT	
406	407	IS_AST_PARENT	
403	406	IS_AST_PARENT	
411	412	IS_AST_PARENT	
411	413	IS_AST_PARENT	
410	411	IS_AST_PARENT	
410	414	IS_AST_PARENT	
409	410	IS_AST_PARENT	
409	415	IS_AST_PARENT	
408	409	IS_AST_PARENT	
403	408	IS_AST_PARENT	
400	403	IS_AST_PARENT	
399	400	IS_AST_PARENT	
398	399	IS_AST_PARENT	
393	398	IS_AST_PARENT	
392	393	IS_AST_PARENT	
418	419	IS_AST_PARENT	
417	418	IS_AST_PARENT	
421	422	IS_AST_PARENT	
420	421	IS_AST_PARENT	
423	424	IS_AST_PARENT	
420	423	IS_AST_PARENT	
417	420	IS_AST_PARENT	
416	417	IS_AST_PARENT	
392	416	IS_AST_PARENT	
426	427	IS_AST_PARENT	
426	428	IS_AST_PARENT	
425	426	IS_AST_PARENT	
392	425	IS_AST_PARENT	
381	392	IS_AST_PARENT	
158	381	IS_AST_PARENT	
431	432	IS_AST_PARENT	
431	433	IS_AST_PARENT	
430	431	IS_AST_PARENT	
430	434	IS_AST_PARENT	
429	430	IS_AST_PARENT	
158	429	IS_AST_PARENT	
437	438	IS_AST_PARENT	
437	439	IS_AST_PARENT	
436	437	IS_AST_PARENT	
436	440	IS_AST_PARENT	
435	436	IS_AST_PARENT	
158	435	IS_AST_PARENT	
443	444	IS_AST_PARENT	
443	445	IS_AST_PARENT	
442	443	IS_AST_PARENT	
442	446	IS_AST_PARENT	
441	442	IS_AST_PARENT	
158	441	IS_AST_PARENT	
451	452	IS_AST_PARENT	
450	451	IS_AST_PARENT	
454	455	IS_AST_PARENT	
453	454	IS_AST_PARENT	
450	453	IS_AST_PARENT	
449	450	IS_AST_PARENT	
449	456	IS_AST_PARENT	
448	449	IS_AST_PARENT	
447	448	IS_AST_PARENT	
460	461	IS_AST_PARENT	
459	460	IS_AST_PARENT	
463	464	IS_AST_PARENT	
462	463	IS_AST_PARENT	
465	466	IS_AST_PARENT	
462	465	IS_AST_PARENT	
459	462	IS_AST_PARENT	
458	459	IS_AST_PARENT	
457	458	IS_AST_PARENT	
467	468	IS_AST_PARENT	
457	467	IS_AST_PARENT	
447	457	IS_AST_PARENT	
158	447	IS_AST_PARENT	
471	472	IS_AST_PARENT	
471	473	IS_AST_PARENT	
470	471	IS_AST_PARENT	
476	477	IS_AST_PARENT	
476	478	IS_AST_PARENT	
475	476	IS_AST_PARENT	
475	479	IS_AST_PARENT	
474	475	IS_AST_PARENT	
474	480	IS_AST_PARENT	
470	474	IS_AST_PARENT	
469	470	IS_AST_PARENT	
158	469	IS_AST_PARENT	
483	484	IS_AST_PARENT	
483	485	IS_AST_PARENT	
482	483	IS_AST_PARENT	
488	489	IS_AST_PARENT	
488	490	IS_AST_PARENT	
487	488	IS_AST_PARENT	
487	491	IS_AST_PARENT	
486	487	IS_AST_PARENT	
486	492	IS_AST_PARENT	
482	486	IS_AST_PARENT	
481	482	IS_AST_PARENT	
158	481	IS_AST_PARENT	
495	496	IS_AST_PARENT	
495	497	IS_AST_PARENT	
494	495	IS_AST_PARENT	
500	501	IS_AST_PARENT	
500	502	IS_AST_PARENT	
499	500	IS_AST_PARENT	
499	503	IS_AST_PARENT	
498	499	IS_AST_PARENT	
498	504	IS_AST_PARENT	
494	498	IS_AST_PARENT	
493	494	IS_AST_PARENT	
158	493	IS_AST_PARENT	
507	508	IS_AST_PARENT	
507	509	IS_AST_PARENT	
506	507	IS_AST_PARENT	
506	510	IS_AST_PARENT	
505	506	IS_AST_PARENT	
158	505	IS_AST_PARENT	
513	514	IS_AST_PARENT	
512	513	IS_AST_PARENT	
516	517	IS_AST_PARENT	
515	516	IS_AST_PARENT	
512	515	IS_AST_PARENT	
511	512	IS_AST_PARENT	
158	511	IS_AST_PARENT	
520	521	IS_AST_PARENT	
520	522	IS_AST_PARENT	
519	520	IS_AST_PARENT	
523	524	IS_AST_PARENT	
525	526	IS_AST_PARENT	
525	527	IS_AST_PARENT	
523	525	IS_AST_PARENT	
519	523	IS_AST_PARENT	
518	519	IS_AST_PARENT	
