command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/cvefixes__18_vulnerable_try_read_command__dead_statement__c1/_work/source/cvefixes__18_vulnerable_try_read_command__dead_statement__c1.c								
ANR	2	Function	try_read_command	1:0:0:4159							
ANR	3	FunctionDef	try_read_command (conn * c)		2	0					
ANR	4	CompoundStatement		1:37:37:4159	2	0					
ANR	5	IdentifierDeclStatement	int dwk_dummy_1 = 0 ;	2:4:43:62	2	0	True				
ANR	6	IdentifierDecl	dwk_dummy_1 = 0		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	dwk_dummy_1		2	1					
ANR	9	AssignmentExpression	dwk_dummy_1 = 0		2	2		=			
ANR	10	Identifier	dwk_dummy_1		2	0					
ANR	11	PrimaryExpression	0		2	1					
ANR	12	ExpressionStatement	dwk_dummy_1 += 0	3:4:68:84	2	1	True				
ANR	13	AssignmentExpression	dwk_dummy_1 += 0		2	0		+=			
ANR	14	Identifier	dwk_dummy_1		2	0					
ANR	15	PrimaryExpression	0		2	1					
ANR	16	ExpressionStatement	assert ( c != NULL )	4:4:90:107	2	2	True				
ANR	17	CallExpression	assert ( c != NULL )		2	0					
ANR	18	Callee	assert		2	0					
ANR	19	Identifier	assert		2	0					
ANR	20	ArgumentList	c != NULL		2	1					
ANR	21	Argument	c != NULL		2	0					
ANR	22	EqualityExpression	c != NULL		2	0		!=			
ANR	23	Identifier	c		2	0					
ANR	24	Identifier	NULL		2	1					
ANR	25	ExpressionStatement	assert ( c -> rcurr <= ( c -> rbuf + c -> rsize ) )	5:4:113:153	2	3	True				
ANR	26	CallExpression	assert ( c -> rcurr <= ( c -> rbuf + c -> rsize ) )		2	0					
ANR	27	Callee	assert		2	0					
ANR	28	Identifier	assert		2	0					
ANR	29	ArgumentList	c -> rcurr <= ( c -> rbuf + c -> rsize )		2	1					
ANR	30	Argument	c -> rcurr <= ( c -> rbuf + c -> rsize )		2	0					
ANR	31	RelationalExpression	c -> rcurr <= ( c -> rbuf + c -> rsize )		2	0		<=			
ANR	32	PtrMemberAccess	c -> rcurr		2	0					
ANR	33	Identifier	c		2	0					
ANR	34	Identifier	rcurr		2	1					
ANR	35	AdditiveExpression	c -> rbuf + c -> rsize		2	1		+			
ANR	36	PtrMemberAccess	c -> rbuf		2	0					
ANR	37	Identifier	c		2	0					
ANR	38	Identifier	rbuf		2	1					
ANR	39	PtrMemberAccess	c -> rsize		2	1					
ANR	40	Identifier	c		2	0					
ANR	41	Identifier	rsize		2	1					
ANR	42	ExpressionStatement	assert ( c -> rbytes > 0 )	6:4:159:180	2	4	True				
ANR	43	CallExpression	assert ( c -> rbytes > 0 )		2	0					
ANR	44	Callee	assert		2	0					
ANR	45	Identifier	assert		2	0					
ANR	46	ArgumentList	c -> rbytes > 0		2	1					
ANR	47	Argument	c -> rbytes > 0		2	0					
ANR	48	RelationalExpression	c -> rbytes > 0		2	0		>			
ANR	49	PtrMemberAccess	c -> rbytes		2	0					
ANR	50	Identifier	c		2	0					
ANR	51	Identifier	rbytes		2	1					
ANR	52	PrimaryExpression	0		2	1					
ANR	53	IfStatement	if ( c -> protocol == negotiating_prot || c -> transport == udp_transport )		2	5					
ANR	54	Condition	c -> protocol == negotiating_prot || c -> transport == udp_transport	8:8:191:254	2	0	True				
ANR	55	OrExpression	c -> protocol == negotiating_prot || c -> transport == udp_transport		2	0		||			
ANR	56	EqualityExpression	c -> protocol == negotiating_prot		2	0		==			
ANR	57	PtrMemberAccess	c -> protocol		2	0					
ANR	58	Identifier	c		2	0					
ANR	59	Identifier	protocol		2	1					
ANR	60	Identifier	negotiating_prot		2	1					
ANR	61	EqualityExpression	c -> transport == udp_transport		2	1		==			
ANR	62	PtrMemberAccess	c -> transport		2	0					
ANR	63	Identifier	c		2	0					
ANR	64	Identifier	transport		2	1					
ANR	65	Identifier	udp_transport		2	1					
ANR	66	CompoundStatement		8:75:220:220	2	1					
ANR	67	IfStatement	if ( ( unsigned char ) c -> rbuf [ 0 ] == ( unsigned char ) PROTOCOL_BINARY_REQ )		2	0					
ANR	68	Condition	( unsigned char ) c -> rbuf [ 0 ] == ( unsigned char ) PROTOCOL_BINARY_REQ	9:12:272:334	2	0	True				
ANR	69	EqualityExpression	( unsigned char ) c -> rbuf [ 0 ] == ( unsigned char ) PROTOCOL_BINARY_REQ		2	0		==			
ANR	70	CastExpression	( unsigned char ) c -> rbuf [ 0 ]		2	0					
ANR	71	CastTarget	unsigned char		2	0					
ANR	72	ArrayIndexing	c -> rbuf [ 0 ]		2	1					
ANR	73	PtrMemberAccess	c -> rbuf		2	0					
ANR	74	Identifier	c		2	0					
ANR	75	Identifier	rbuf		2	1					
ANR	76	PrimaryExpression	0		2	1					
ANR	77	CastExpression	( unsigned char ) PROTOCOL_BINARY_REQ		2	1					
ANR	78	CastTarget	unsigned char		2	0					
ANR	79	Identifier	PROTOCOL_BINARY_REQ		2	1					
ANR	80	CompoundStatement		9:77:299:299	2	1					
ANR	81	ExpressionStatement	c -> protocol = binary_prot	10:12:351:376	2	0	True				
ANR	82	AssignmentExpression	c -> protocol = binary_prot		2	0		=			
ANR	83	PtrMemberAccess	c -> protocol		2	0					
ANR	84	Identifier	c		2	0					
ANR	85	Identifier	protocol		2	1					
ANR	86	Identifier	binary_prot		2	1					
ANR	87	ElseStatement	else		2	0					
ANR	88	CompoundStatement		11:15:355:355	2	0					
ANR	89	ExpressionStatement	c -> protocol = ascii_prot	12:12:407:431	2	0	True				
ANR	90	AssignmentExpression	c -> protocol = ascii_prot		2	0		=			
ANR	91	PtrMemberAccess	c -> protocol		2	0					
ANR	92	Identifier	c		2	0					
ANR	93	Identifier	protocol		2	1					
ANR	94	Identifier	ascii_prot		2	1					
ANR	95	IfStatement	if ( settings . verbose > 1 )		2	1					
ANR	96	Condition	settings . verbose > 1	15:12:456:475	2	0	True				
ANR	97	RelationalExpression	settings . verbose > 1		2	0		>			
ANR	98	MemberAccess	settings . verbose		2	0					
ANR	99	Identifier	settings		2	0					
ANR	100	Identifier	verbose		2	1					
ANR	101	PrimaryExpression	1		2	1					
ANR	102	CompoundStatement		15:34:440:440	2	1					
ANR	103	ExpressionStatement	"fprintf ( stderr , ""%d: Client using the %s protocol\\n"" , c -> sfd , prot_text ( c -> protocol ) )"	16:12:492:597	2	0	True				
ANR	104	CallExpression	"fprintf ( stderr , ""%d: Client using the %s protocol\\n"" , c -> sfd , prot_text ( c -> protocol ) )"		2	0					
ANR	105	Callee	fprintf		2	0					
ANR	106	Identifier	fprintf		2	0					
ANR	107	ArgumentList	stderr		2	1					
ANR	108	Argument	stderr		2	0					
ANR	109	Identifier	stderr		2	0					
ANR	110	Argument	"""%d: Client using the %s protocol\\n"""		2	1					
ANR	111	PrimaryExpression	"""%d: Client using the %s protocol\\n"""		2	0					
ANR	112	Argument	c -> sfd		2	2					
ANR	113	PtrMemberAccess	c -> sfd		2	0					
ANR	114	Identifier	c		2	0					
ANR	115	Identifier	sfd		2	1					
ANR	116	Argument	prot_text ( c -> protocol )		2	3					
