start	end	type	var
7	8	IS_AST_PARENT	
6	7	IS_AST_PARENT	
11	12	IS_AST_PARENT	
11	13	IS_AST_PARENT	
10	11	IS_AST_PARENT	
9	10	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
16	17	IS_AST_PARENT	
15	16	IS_AST_PARENT	
21	22	IS_AST_PARENT	
21	23	IS_AST_PARENT	
20	21	IS_AST_PARENT	
25	26	IS_AST_PARENT	
25	27	IS_AST_PARENT	
24	25	IS_AST_PARENT	
28	29	IS_AST_PARENT	
28	30	IS_AST_PARENT	
24	28	IS_AST_PARENT	
20	24	IS_AST_PARENT	
19	20	IS_AST_PARENT	
18	19	IS_AST_PARENT	
15	18	IS_AST_PARENT	
14	15	IS_AST_PARENT	
4	14	IS_AST_PARENT	
33	34	IS_AST_PARENT	
32	33	IS_AST_PARENT	
38	39	IS_AST_PARENT	
38	40	IS_AST_PARENT	
37	38	IS_AST_PARENT	
37	41	IS_AST_PARENT	
36	37	IS_AST_PARENT	
35	36	IS_AST_PARENT	
32	35	IS_AST_PARENT	
31	32	IS_AST_PARENT	
4	31	IS_AST_PARENT	
46	47	IS_AST_PARENT	
46	48	IS_AST_PARENT	
45	46	IS_AST_PARENT	
45	49	IS_AST_PARENT	
44	45	IS_AST_PARENT	
51	52	IS_AST_PARENT	
51	53	IS_AST_PARENT	
50	51	IS_AST_PARENT	
50	54	IS_AST_PARENT	
44	50	IS_AST_PARENT	
43	44	IS_AST_PARENT	
42	43	IS_AST_PARENT	
59	60	IS_AST_PARENT	
62	63	IS_AST_PARENT	
62	64	IS_AST_PARENT	
61	62	IS_AST_PARENT	
61	65	IS_AST_PARENT	
59	61	IS_AST_PARENT	
58	59	IS_AST_PARENT	
66	67	IS_AST_PARENT	
66	68	IS_AST_PARENT	
58	66	IS_AST_PARENT	
57	58	IS_AST_PARENT	
56	57	IS_AST_PARENT	
72	73	IS_AST_PARENT	
72	74	IS_AST_PARENT	
71	72	IS_AST_PARENT	
71	75	IS_AST_PARENT	
70	71	IS_AST_PARENT	
69	70	IS_AST_PARENT	
56	69	IS_AST_PARENT	
80	81	IS_AST_PARENT	
80	82	IS_AST_PARENT	
79	80	IS_AST_PARENT	
79	83	IS_AST_PARENT	
78	79	IS_AST_PARENT	
77	78	IS_AST_PARENT	
76	77	IS_AST_PARENT	
56	76	IS_AST_PARENT	
55	56	IS_AST_PARENT	
87	88	IS_AST_PARENT	
87	89	IS_AST_PARENT	
86	87	IS_AST_PARENT	
86	90	IS_AST_PARENT	
85	86	IS_AST_PARENT	
84	85	IS_AST_PARENT	
94	95	IS_AST_PARENT	
93	94	IS_AST_PARENT	
97	98	IS_AST_PARENT	
96	97	IS_AST_PARENT	
99	100	IS_AST_PARENT	
96	99	IS_AST_PARENT	
102	103	IS_AST_PARENT	
102	104	IS_AST_PARENT	
101	102	IS_AST_PARENT	
96	101	IS_AST_PARENT	
107	108	IS_AST_PARENT	
106	107	IS_AST_PARENT	
111	112	IS_AST_PARENT	
111	113	IS_AST_PARENT	
110	111	IS_AST_PARENT	
109	110	IS_AST_PARENT	
106	109	IS_AST_PARENT	
105	106	IS_AST_PARENT	
96	105	IS_AST_PARENT	
93	96	IS_AST_PARENT	
92	93	IS_AST_PARENT	
91	92	IS_AST_PARENT	
84	91	IS_AST_PARENT	
55	84	IS_AST_PARENT	
42	55	IS_AST_PARENT	
4	42	IS_AST_PARENT	
117	118	IS_AST_PARENT	
117	119	IS_AST_PARENT	
116	117	IS_AST_PARENT	
116	120	IS_AST_PARENT	
115	116	IS_AST_PARENT	
114	115	IS_AST_PARENT	
125	126	IS_AST_PARENT	
125	127	IS_AST_PARENT	
124	125	IS_AST_PARENT	
128	129	IS_AST_PARENT	
130	131	IS_AST_PARENT	
130	132	IS_AST_PARENT	
128	130	IS_AST_PARENT	
124	128	IS_AST_PARENT	
123	124	IS_AST_PARENT	
122	123	IS_AST_PARENT	
134	135	IS_AST_PARENT	
133	134	IS_AST_PARENT	
122	133	IS_AST_PARENT	
142	143	IS_AST_PARENT	
144	145	IS_AST_PARENT	
144	146	IS_AST_PARENT	
142	144	IS_AST_PARENT	
141	142	IS_AST_PARENT	
141	147	IS_AST_PARENT	
140	141	IS_AST_PARENT	
140	148	IS_AST_PARENT	
139	140	IS_AST_PARENT	
138	139	IS_AST_PARENT	
153	154	IS_AST_PARENT	
155	156	IS_AST_PARENT	
155	157	IS_AST_PARENT	
153	155	IS_AST_PARENT	
152	153	IS_AST_PARENT	
152	158	IS_AST_PARENT	
151	152	IS_AST_PARENT	
150	151	IS_AST_PARENT	
160	161	IS_AST_PARENT	
159	160	IS_AST_PARENT	
150	159	IS_AST_PARENT	
149	150	IS_AST_PARENT	
164	165	IS_AST_PARENT	
163	164	IS_AST_PARENT	
168	169	IS_AST_PARENT	
168	170	IS_AST_PARENT	
167	168	IS_AST_PARENT	
166	167	IS_AST_PARENT	
172	173	IS_AST_PARENT	
172	174	IS_AST_PARENT	
171	172	IS_AST_PARENT	
166	171	IS_AST_PARENT	
176	177	IS_AST_PARENT	
176	178	IS_AST_PARENT	
175	176	IS_AST_PARENT	
166	175	IS_AST_PARENT	
163	166	IS_AST_PARENT	
162	163	IS_AST_PARENT	
149	162	IS_AST_PARENT	
181	182	IS_AST_PARENT	
181	183	IS_AST_PARENT	
180	181	IS_AST_PARENT	
184	185	IS_AST_PARENT	
184	186	IS_AST_PARENT	
180	184	IS_AST_PARENT	
179	180	IS_AST_PARENT	
149	179	IS_AST_PARENT	
190	191	IS_AST_PARENT	
190	192	IS_AST_PARENT	
189	190	IS_AST_PARENT	
189	193	IS_AST_PARENT	
188	189	IS_AST_PARENT	
187	188	IS_AST_PARENT	
197	198	IS_AST_PARENT	
196	197	IS_AST_PARENT	
200	201	IS_AST_PARENT	
199	200	IS_AST_PARENT	
202	203	IS_AST_PARENT	
199	202	IS_AST_PARENT	
205	206	IS_AST_PARENT	
205	207	IS_AST_PARENT	
204	205	IS_AST_PARENT	
199	204	IS_AST_PARENT	
196	199	IS_AST_PARENT	
195	196	IS_AST_PARENT	
194	195	IS_AST_PARENT	
187	194	IS_AST_PARENT	
149	187	IS_AST_PARENT	
138	149	IS_AST_PARENT	
137	138	IS_AST_PARENT	
209	210	IS_AST_PARENT	
209	211	IS_AST_PARENT	
208	209	IS_AST_PARENT	
137	208	IS_AST_PARENT	
213	214	IS_AST_PARENT	
215	216	IS_AST_PARENT	
217	218	IS_AST_PARENT	
217	219	IS_AST_PARENT	
215	217	IS_AST_PARENT	
213	215	IS_AST_PARENT	
212	213	IS_AST_PARENT	
137	212	IS_AST_PARENT	
223	224	IS_AST_PARENT	
223	225	IS_AST_PARENT	
222	223	IS_AST_PARENT	
222	226	IS_AST_PARENT	
