command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/cvefixes__20_vulnerable_irssi_ssl_handshake__control_wrapper__c1/_work/source/cvefixes__20_vulnerable_irssi_ssl_handshake__control_wrapper__c1.c								
ANR	2	Function	irssi_ssl_handshake	1:0:0:1167							
ANR	3	FunctionDef	irssi_ssl_handshake (GIOChannel * handle)		2	0					
ANR	4	CompoundStatement		2:0:44:1167	2	0					
ANR	5	IdentifierDeclStatement	GIOSSLChannel * chan = ( GIOSSLChannel * ) handle ;	3:1:47:92	2	0	True				
ANR	6	IdentifierDecl	* chan = ( GIOSSLChannel * ) handle		2	0					
ANR	7	IdentifierDeclType	GIOSSLChannel *		2	0					
ANR	8	Identifier	chan		2	1					
ANR	9	AssignmentExpression	* chan = ( GIOSSLChannel * ) handle		2	2		=			
ANR	10	Identifier	chan		2	0					
ANR	11	CastExpression	( GIOSSLChannel * ) handle		2	1					
ANR	12	CastTarget	GIOSSLChannel *		2	0					
ANR	13	Identifier	handle		2	1					
ANR	14	IdentifierDeclStatement	"int ret , err ;"	4:1:95:107	2	1	True				
ANR	15	IdentifierDecl	ret		2	0					
ANR	16	IdentifierDeclType	int		2	0					
ANR	17	Identifier	ret		2	1					
ANR	18	IdentifierDecl	err		2	1					
ANR	19	IdentifierDeclType	int		2	0					
ANR	20	Identifier	err		2	1					
ANR	21	IdentifierDeclStatement	X509 * cert ;	5:1:110:120	2	2	True				
ANR	22	IdentifierDecl	* cert		2	0					
ANR	23	IdentifierDeclType	X509 *		2	0					
ANR	24	Identifier	cert		2	1					
ANR	25	IdentifierDeclStatement	const char * errstr ;	6:1:123:141	2	3	True				
ANR	26	IdentifierDecl	* errstr		2	0					
ANR	27	IdentifierDeclType	const char *		2	0					
ANR	28	Identifier	errstr		2	1					
ANR	29	IfStatement	if ( 1 )		2	4					
ANR	30	Condition	1	8:5:149:149	2	0	True				
ANR	31	PrimaryExpression	1		2	0					
ANR	32	CompoundStatement		7:8:107:107	2	1					
ANR	33	ExpressionStatement	ret = SSL_connect ( chan -> ssl )	9:5:159:187	2	0	True				
ANR	34	AssignmentExpression	ret = SSL_connect ( chan -> ssl )		2	0		=			
ANR	35	Identifier	ret		2	0					
ANR	36	CallExpression	SSL_connect ( chan -> ssl )		2	1					
ANR	37	Callee	SSL_connect		2	0					
ANR	38	Identifier	SSL_connect		2	0					
ANR	39	ArgumentList	chan -> ssl		2	1					
ANR	40	Argument	chan -> ssl		2	0					
ANR	41	PtrMemberAccess	chan -> ssl		2	0					
ANR	42	Identifier	chan		2	0					
ANR	43	Identifier	ssl		2	1					
ANR	44	IfStatement	if ( ret <= 0 )		2	5					
ANR	45	Condition	ret <= 0	11:5:197:204	2	0	True				
ANR	46	RelationalExpression	ret <= 0		2	0		<=			
ANR	47	Identifier	ret		2	0					
ANR	48	PrimaryExpression	0		2	1					
ANR	49	CompoundStatement		10:15:162:162	2	1					
ANR	50	ExpressionStatement	"err = SSL_get_error ( chan -> ssl , ret )"	12:2:211:246	2	0	True				
ANR	51	AssignmentExpression	"err = SSL_get_error ( chan -> ssl , ret )"		2	0		=			
ANR	52	Identifier	err		2	0					
ANR	53	CallExpression	"SSL_get_error ( chan -> ssl , ret )"		2	1					
ANR	54	Callee	SSL_get_error		2	0					
ANR	55	Identifier	SSL_get_error		2	0					
ANR	56	ArgumentList	chan -> ssl		2	1					
ANR	57	Argument	chan -> ssl		2	0					
ANR	58	PtrMemberAccess	chan -> ssl		2	0					
ANR	59	Identifier	chan		2	0					
ANR	60	Identifier	ssl		2	1					
ANR	61	Argument	ret		2	1					
ANR	62	Identifier	ret		2	0					
ANR	63	SwitchStatement	switch ( err )		2	1					
ANR	64	Condition	err	13:10:258:260	2	0	True				
ANR	65	Identifier	err		2	0					
ANR	66	CompoundStatement		12:15:218:218	2	1					
ANR	67	Label	case SSL_ERROR_WANT_READ :	14:3:268:292	2	0	True				
ANR	68	Identifier	SSL_ERROR_WANT_READ		2	0					
ANR	69	ReturnStatement	return 1 ;	15:4:298:306	2	1	True				
ANR	70	PrimaryExpression	1		2	0					
ANR	71	Label	case SSL_ERROR_WANT_WRITE :	16:3:311:336	2	2	True				
ANR	72	Identifier	SSL_ERROR_WANT_WRITE		2	0					
ANR	73	ReturnStatement	return 3 ;	17:4:342:350	2	3	True				
ANR	74	PrimaryExpression	3		2	0					
ANR	75	Label	case SSL_ERROR_ZERO_RETURN :	18:3:355:381	2	4	True				
ANR	76	Identifier	SSL_ERROR_ZERO_RETURN		2	0					
ANR	77	ExpressionStatement	"g_warning ( ""SSL handshake failed: %s"" , ""server closed connection"" )"	19:4:387:452	2	5	True				
ANR	78	CallExpression	"g_warning ( ""SSL handshake failed: %s"" , ""server closed connection"" )"		2	0					
ANR	79	Callee	g_warning		2	0					
ANR	80	Identifier	g_warning		2	0					
ANR	81	ArgumentList	"""SSL handshake failed: %s"""		2	1					
ANR	82	Argument	"""SSL handshake failed: %s"""		2	0					
ANR	83	PrimaryExpression	"""SSL handshake failed: %s"""		2	0					
ANR	84	Argument	"""server closed connection"""		2	1					
ANR	85	PrimaryExpression	"""server closed connection"""		2	0					
ANR	86	ReturnStatement	return - 1 ;	20:4:458:467	2	6	True				
ANR	87	UnaryOperationExpression	- 1		2	0					
ANR	88	UnaryOperator	-		2	0					
ANR	89	PrimaryExpression	1		2	1					
ANR	90	Label	case SSL_ERROR_SYSCALL :	21:3:472:494	2	7	True				
ANR	91	Identifier	SSL_ERROR_SYSCALL		2	0					
ANR	92	ExpressionStatement	errstr = ERR_reason_error_string ( ERR_get_error ( ) )	22:4:500:549	2	8	True				
ANR	93	AssignmentExpression	errstr = ERR_reason_error_string ( ERR_get_error ( ) )		2	0		=			
ANR	94	Identifier	errstr		2	0					
ANR	95	CallExpression	ERR_reason_error_string ( ERR_get_error ( ) )		2	1					
ANR	96	Callee	ERR_reason_error_string		2	0					
ANR	97	Identifier	ERR_reason_error_string		2	0					
ANR	98	ArgumentList	ERR_get_error ( )		2	1					
ANR	99	Argument	ERR_get_error ( )		2	0					
ANR	100	CallExpression	ERR_get_error ( )		2	0					
ANR	101	Callee	ERR_get_error		2	0					
ANR	102	Identifier	ERR_get_error		2	0					
ANR	103	ArgumentList			2	1					
ANR	104	IfStatement	if ( errstr == NULL && ret == - 1 )		2	9					
ANR	105	Condition	errstr == NULL && ret == - 1	23:8:559:585	2	0	True				
ANR	106	AndExpression	errstr == NULL && ret == - 1		2	0		&&			
ANR	107	EqualityExpression	errstr == NULL		2	0		==			
ANR	108	Identifier	errstr		2	0					
ANR	109	Identifier	NULL		2	1					
ANR	110	EqualityExpression	ret == - 1		2	1		==			
ANR	111	Identifier	ret		2	0					
ANR	112	UnaryOperationExpression	- 1		2	1					
ANR	113	UnaryOperator	-		2	0					
ANR	114	PrimaryExpression	1		2	1					
ANR	115	ExpressionStatement	errstr = strerror ( errno )	24:5:593:617	2	1	True				
ANR	116	AssignmentExpression	errstr = strerror ( errno )		2	0		=			
ANR	117	Identifier	errstr		2	0					
ANR	118	CallExpression	strerror ( errno )		2	1					
ANR	119	Callee	strerror		2	0					
ANR	120	Identifier	strerror		2	0					
ANR	121	ArgumentList	errno		2	1					
ANR	122	Argument	errno		2	0					
ANR	123	Identifier	errno		2	0					
ANR	124	ExpressionStatement	"g_warning ( ""SSL handshake failed: %s"" , errstr != NULL ? errstr : ""server closed connection unexpectedly"" )"	25:4:623:727	2	10	True				
ANR	125	CallExpression	"g_warning ( ""SSL handshake failed: %s"" , errstr != NULL ? errstr : ""server closed connection unexpectedly"" )"		2	0					
ANR	126	Callee	g_warning		2	0					
ANR	127	Identifier	g_warning		2	0					
ANR	128	ArgumentList	"""SSL handshake failed: %s"""		2	1					
ANR	129	Argument	"""SSL handshake failed: %s"""		2	0					
ANR	130	PrimaryExpression	"""SSL handshake failed: %s"""		2	0					
ANR	131	Argument	"errstr != NULL ? errstr : ""server closed connection unexpectedly"""		2	1					
ANR	132	ConditionalExpression	"errstr != NULL ? errstr : ""server closed connection unexpectedly"""		2	0					
ANR	133	Condition	errstr != NULL		2	0					
ANR	134	EqualityExpression	errstr != NULL		2	0		!=			
ANR	135	Identifier	errstr		2	0					
ANR	136	Identifier	NULL		2	1					
ANR	137	Identifier	errstr		2	1					
ANR	138	PrimaryExpression	"""server closed connection unexpectedly"""		2	2					
ANR	139	ReturnStatement	return - 1 ;	26:4:733:742	2	11	True				
ANR	140	UnaryOperationExpression	- 1		2	0					
ANR	141	UnaryOperator	-		2	0					
ANR	142	PrimaryExpression	1		2	1					
ANR	143	Label	default :	27:3:747:754	2	12	True				
ANR	144	Identifier	default		2	0					
ANR	145	ExpressionStatement	errstr = ERR_reason_error_string ( ERR_get_error ( ) )	28:4:760:809	2	13	True				
ANR	146	AssignmentExpression	errstr = ERR_reason_error_string ( ERR_get_error ( ) )		2	0		=			
ANR	147	Identifier	errstr		2	0					
ANR	148	CallExpression	ERR_reason_error_string ( ERR_get_error ( ) )		2	1					
ANR	149	Callee	ERR_reason_error_string		2	0					
ANR	150	Identifier	ERR_reason_error_string		2	0					
ANR	151	ArgumentList	ERR_get_error ( )		2	1					
ANR	152	Argument	ERR_get_error ( )		2	0					
ANR	153	CallExpression	ERR_get_error ( )		2	0					
ANR	154	Callee	ERR_get_error		2	0					
ANR	155	Identifier	ERR_get_error		2	0					
ANR	156	ArgumentList			2	1					
ANR	157	ExpressionStatement	"g_warning ( ""SSL handshake failed: %s"" , errstr != NULL ? errstr : ""unknown SSL error"" )"	29:4:815:899	2	14	True				
ANR	158	CallExpression	"g_warning ( ""SSL handshake failed: %s"" , errstr != NULL ? errstr : ""unknown SSL error"" )"		2	0					
ANR	159	Callee	g_warning		2	0					
ANR	160	Identifier	g_warning		2	0					
ANR	161	ArgumentList	"""SSL handshake failed: %s"""		2	1					
ANR	162	Argument	"""SSL handshake failed: %s"""		2	0					
ANR	163	PrimaryExpression	"""SSL handshake failed: %s"""		2	0					
ANR	164	Argument	"errstr != NULL ? errstr : ""unknown SSL error"""		2	1					
ANR	165	ConditionalExpression	"errstr != NULL ? errstr : ""unknown SSL error"""		2	0					
ANR	166	Condition	errstr != NULL		2	0					
ANR	167	EqualityExpression	errstr != NULL		2	0		!=			
ANR	168	Identifier	errstr		2	0					
ANR	169	Identifier	NULL		2	1					
ANR	170	Identifier	errstr		2	1					
ANR	171	PrimaryExpression	"""unknown SSL error"""		2	2					
ANR	172	ReturnStatement	return - 1 ;	30:4:905:914	2	15	True				
ANR	173	UnaryOperationExpression	- 1		2	0					
ANR	174	UnaryOperator	-		2	0					
ANR	175	PrimaryExpression	1		2	1					
ANR	176	ExpressionStatement	cert = SSL_get_peer_certificate ( chan -> ssl )	34:1:925:967	2	6	True				
ANR	177	AssignmentExpression	cert = SSL_get_peer_certificate ( chan -> ssl )		2	0		=			
ANR	178	Identifier	cert		2	0					
ANR	179	CallExpression	SSL_get_peer_certificate ( chan -> ssl )		2	1					
ANR	180	Callee	SSL_get_peer_certificate		2	0					
ANR	181	Identifier	SSL_get_peer_certificate		2	0					
ANR	182	ArgumentList	chan -> ssl		2	1					
ANR	183	Argument	chan -> ssl		2	0					
ANR	184	PtrMemberAccess	chan -> ssl		2	0					
ANR	185	Identifier	chan		2	0					
ANR	186	Identifier	ssl		2	1					
ANR	187	IfStatement	if ( cert == NULL )		2	7					
ANR	188	Condition	cert == NULL	35:5:974:985	2	0	True				
ANR	189	EqualityExpression	cert == NULL		2	0		==			
ANR	190	Identifier	cert		2	0					
ANR	191	Identifier	NULL		2	1					
ANR	192	CompoundStatement		34:19:943:943	2	1					
ANR	193	ExpressionStatement	"g_warning ( ""SSL server supplied no certificate"" )"	36:2:992:1039	2	0	True				
ANR	194	CallExpression	"g_warning ( ""SSL server supplied no certificate"" )"		2	0					
ANR	195	Callee	g_warning		2	0					
ANR	196	Identifier	g_warning		2	0					
ANR	197	ArgumentList	"""SSL server supplied no certificate"""		2	1					
ANR	198	Argument	"""SSL server supplied no certificate"""		2	0					
ANR	199	PrimaryExpression	"""SSL server supplied no certificate"""		2	0					
ANR	200	ReturnStatement	return - 1 ;	37:2:1043:1052	2	1	True				
ANR	201	UnaryOperationExpression	- 1		2	0					
ANR	202	UnaryOperator	-		2	0					
ANR	203	PrimaryExpression	1		2	1					
ANR	204	ExpressionStatement	"ret = ! chan -> verify || irssi_ssl_verify ( chan -> ssl , chan -> ctx , cert )"	39:1:1058:1125	2	8	True				
ANR	205	AssignmentExpression	"ret = ! chan -> verify || irssi_ssl_verify ( chan -> ssl , chan -> ctx , cert )"		2	0		=			
ANR	206	Identifier	ret		2	0					
ANR	207	OrExpression	"! chan -> verify || irssi_ssl_verify ( chan -> ssl , chan -> ctx , cert )"		2	1		||			
ANR	208	UnaryOperationExpression	! chan -> verify		2	0					
ANR	209	UnaryOperator	!		2	0					
ANR	210	PtrMemberAccess	chan -> verify		2	1					
ANR	211	Identifier	chan		2	0					
ANR	212	Identifier	verify		2	1					
ANR	213	CallExpression	"irssi_ssl_verify ( chan -> ssl , chan -> ctx , cert )"		2	1					
ANR	214	Callee	irssi_ssl_verify		2	0					
ANR	215	Identifier	irssi_ssl_verify		2	0					
ANR	216	ArgumentList	chan -> ssl		2	1					
ANR	217	Argument	chan -> ssl		2	0					
ANR	218	PtrMemberAccess	chan -> ssl		2	0					
ANR	219	Identifier	chan		2	0					
ANR	220	Identifier	ssl		2	1					
ANR	221	Argument	chan -> ctx		2	1					
ANR	222	PtrMemberAccess	chan -> ctx		2	0					
ANR	223	Identifier	chan		2	0					
ANR	224	Identifier	ctx		2	1					
ANR	225	Argument	cert		2	2					
ANR	226	Identifier	cert		2	0					
ANR	227	ExpressionStatement	X509_free ( cert )	40:1:1128:1143	2	9	True				
ANR	228	CallExpression	X509_free ( cert )		2	0					
ANR	229	Callee	X509_free		2	0					
ANR	230	Identifier	X509_free		2	0					
ANR	231	ArgumentList	cert		2	1					
ANR	232	Argument	cert		2	0					
ANR	233	Identifier	cert		2	0					
ANR	234	ReturnStatement	return ret ? 0 : - 1 ;	41:1:1146:1165	2	10	True				
ANR	235	ConditionalExpression	ret ? 0 : - 1		2	0					
ANR	236	Condition	ret		2	0					
ANR	237	Identifier	ret		2	0					
ANR	238	PrimaryExpression	0		2	1					
ANR	239	UnaryOperationExpression	- 1		2	2					
ANR	240	UnaryOperator	-		2	0					
ANR	241	PrimaryExpression	1		2	1					
ANR	242	ReturnType	int		2	1					
ANR	243	Identifier	irssi_ssl_handshake		2	2					
ANR	244	ParameterList	GIOChannel * handle		2	3					
ANR	245	Parameter	GIOChannel * handle	1:24:24:41	2	0	True				
ANR	246	ParameterType	GIOChannel *		2	0					
