start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
13	14	IS_AST_PARENT	
13	15	IS_AST_PARENT	
12	13	IS_AST_PARENT	
18	19	IS_AST_PARENT	
17	18	IS_AST_PARENT	
22	23	IS_AST_PARENT	
22	24	IS_AST_PARENT	
21	22	IS_AST_PARENT	
20	21	IS_AST_PARENT	
17	20	IS_AST_PARENT	
16	17	IS_AST_PARENT	
16	25	IS_AST_PARENT	
12	16	IS_AST_PARENT	
11	12	IS_AST_PARENT	
10	11	IS_AST_PARENT	
28	29	IS_AST_PARENT	
27	28	IS_AST_PARENT	
31	32	IS_AST_PARENT	
30	31	IS_AST_PARENT	
27	30	IS_AST_PARENT	
26	27	IS_AST_PARENT	
10	26	IS_AST_PARENT	
4	10	IS_AST_PARENT	
35	36	IS_AST_PARENT	
38	39	IS_AST_PARENT	
37	38	IS_AST_PARENT	
42	43	IS_AST_PARENT	
42	44	IS_AST_PARENT	
41	42	IS_AST_PARENT	
40	41	IS_AST_PARENT	
37	40	IS_AST_PARENT	
35	37	IS_AST_PARENT	
34	35	IS_AST_PARENT	
34	45	IS_AST_PARENT	
33	34	IS_AST_PARENT	
4	33	IS_AST_PARENT	
46	47	IS_AST_PARENT	
4	46	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	48	IS_AST_PARENT	
3	49	IS_AST_PARENT	
51	52	IS_AST_PARENT	
51	53	IS_AST_PARENT	
50	51	IS_AST_PARENT	
54	55	IS_AST_PARENT	
54	56	IS_AST_PARENT	
50	54	IS_AST_PARENT	
3	50	IS_AST_PARENT	
57	51	FLOWS_TO	
51	54	FLOWS_TO	
54	5	FLOWS_TO	
5	11	FLOWS_TO	
11	28	FLOWS_TO	
11	33	FLOWS_TO	
28	31	FLOWS_TO	
28	33	FLOWS_TO	
31	58	FLOWS_TO	
33	46	FLOWS_TO	
46	58	FLOWS_TO	
51	59	DEF	
11	59	USE	
11	60	USE	
33	60	USE	
35	60	USE	
5	61	DEF	
6	61	DEF	
33	61	USE	
35	61	USE	
33	62	DEF	
34	62	DEF	
11	63	USE	
21	63	USE	
33	63	USE	
41	63	USE	
54	64	DEF	
11	64	USE	
22	64	USE	
33	64	USE	
42	64	USE	
33	65	DEF	
34	65	DEF	
51	11	REACHES	argc
5	33	REACHES	buf
54	11	REACHES	argv
54	33	REACHES	argv
57	51	CONTROLS	
57	54	CONTROLS	
57	5	CONTROLS	
57	11	CONTROLS	
11	28	CONTROLS	
11	33	CONTROLS	
11	46	CONTROLS	
28	31	CONTROLS	
28	33	CONTROLS	
28	46	CONTROLS	
57	51	DOM	
11	58	DOM	
33	46	DOM	
5	11	DOM	
28	31	DOM	
57	57	DOM	
54	5	DOM	
51	54	DOM	
11	33	DOM	
11	28	DOM	
58	58	POST_DOM	
54	51	POST_DOM	
58	46	POST_DOM	
58	31	POST_DOM	
58	11	POST_DOM	
51	57	POST_DOM	
11	5	POST_DOM	
5	54	POST_DOM	
46	33	POST_DOM	
58	28	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	57	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
