start	end	type	var
6	7	IS_AST_PARENT	
5	6	IS_AST_PARENT	
10	11	IS_AST_PARENT	
10	12	IS_AST_PARENT	
13	14	IS_AST_PARENT	
13	15	IS_AST_PARENT	
10	13	IS_AST_PARENT	
9	10	IS_AST_PARENT	
8	9	IS_AST_PARENT	
17	18	IS_AST_PARENT	
17	19	IS_AST_PARENT	
16	17	IS_AST_PARENT	
8	16	IS_AST_PARENT	
5	8	IS_AST_PARENT	
4	5	IS_AST_PARENT	
21	22	IS_AST_PARENT	
21	23	IS_AST_PARENT	
24	25	IS_AST_PARENT	
26	27	IS_AST_PARENT	
26	28	IS_AST_PARENT	
24	26	IS_AST_PARENT	
21	24	IS_AST_PARENT	
20	21	IS_AST_PARENT	
4	20	IS_AST_PARENT	
31	32	IS_AST_PARENT	
31	33	IS_AST_PARENT	
31	34	IS_AST_PARENT	
30	31	IS_AST_PARENT	
29	30	IS_AST_PARENT	
29	35	IS_AST_PARENT	
29	36	IS_AST_PARENT	
29	37	IS_AST_PARENT	
29	38	IS_AST_PARENT	
29	39	IS_AST_PARENT	
29	40	IS_AST_PARENT	
29	41	IS_AST_PARENT	
29	42	IS_AST_PARENT	
29	43	IS_AST_PARENT	
29	44	IS_AST_PARENT	
29	45	IS_AST_PARENT	
29	46	IS_AST_PARENT	
29	47	IS_AST_PARENT	
29	48	IS_AST_PARENT	
29	49	IS_AST_PARENT	
29	50	IS_AST_PARENT	
29	51	IS_AST_PARENT	
29	52	IS_AST_PARENT	
29	53	IS_AST_PARENT	
29	54	IS_AST_PARENT	
55	56	IS_AST_PARENT	
29	55	IS_AST_PARENT	
59	60	IS_AST_PARENT	
58	59	IS_AST_PARENT	
62	63	IS_AST_PARENT	
61	62	IS_AST_PARENT	
64	65	IS_AST_PARENT	
61	64	IS_AST_PARENT	
58	61	IS_AST_PARENT	
57	58	IS_AST_PARENT	
29	57	IS_AST_PARENT	
68	69	IS_AST_PARENT	
67	68	IS_AST_PARENT	
71	72	IS_AST_PARENT	
70	71	IS_AST_PARENT	
67	70	IS_AST_PARENT	
66	67	IS_AST_PARENT	
29	66	IS_AST_PARENT	
29	73	IS_AST_PARENT	
29	74	IS_AST_PARENT	
29	75	IS_AST_PARENT	
76	77	IS_AST_PARENT	
29	76	IS_AST_PARENT	
4	29	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	78	IS_AST_PARENT	
3	79	IS_AST_PARENT	
81	82	IS_AST_PARENT	
81	83	IS_AST_PARENT	
80	81	IS_AST_PARENT	
3	80	IS_AST_PARENT	
84	81	FLOWS_TO	
81	6	FLOWS_TO	
6	9	FLOWS_TO	
6	20	FLOWS_TO	
9	16	FLOWS_TO	
16	20	FLOWS_TO	
20	30	FLOWS_TO	
30	35	FLOWS_TO	
35	36	FLOWS_TO	
36	37	FLOWS_TO	
37	38	FLOWS_TO	
38	39	FLOWS_TO	
39	40	FLOWS_TO	
40	41	FLOWS_TO	
41	42	FLOWS_TO	
42	43	FLOWS_TO	
43	44	FLOWS_TO	
44	45	FLOWS_TO	
45	46	FLOWS_TO	
46	47	FLOWS_TO	
47	48	FLOWS_TO	
48	49	FLOWS_TO	
49	50	FLOWS_TO	
50	51	FLOWS_TO	
51	52	FLOWS_TO	
52	53	FLOWS_TO	
53	54	FLOWS_TO	
54	55	FLOWS_TO	
55	57	FLOWS_TO	
57	66	FLOWS_TO	
66	73	FLOWS_TO	
73	74	FLOWS_TO	
74	75	FLOWS_TO	
75	76	FLOWS_TO	
76	85	FLOWS_TO	
20	86	DEF	
21	86	DEF	
24	86	DEF	
57	86	USE	
62	86	USE	
66	86	USE	
71	86	USE	
9	87	DEF	
13	87	DEF	
10	87	DEF	
16	87	DEF	
17	87	DEF	
16	87	USE	
17	87	USE	
30	88	DEF	
31	88	DEF	
57	88	USE	
64	88	USE	
81	89	DEF	
20	89	USE	
26	89	USE	
20	90	USE	
24	90	USE	
20	57	REACHES	data
20	66	REACHES	data
9	16	REACHES	dwk_xfg_guard_1
30	57	REACHES	source
81	20	REACHES	dataVector
