command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/cwe119__05_non_vulnerable_07_non-vulnerable_41__data_flow_alias__c1/_work/source/cwe119__05_non_vulnerable_07_non-vulnerable_41__data_flow_alias__c1.c								
ANR	2	DeclStmt									
ANR	3	Decl							void	void ( list < wchar_t * > dataList )	badSink
ANR	4	Function	bad	37:0:1021:1645							
ANR	5	FunctionDef	bad ()		4	0					
ANR	6	CompoundStatement		38:0:1032:1645	4	0					
ANR	7	IdentifierDeclStatement	wchar_t * data ;	39:4:1038:1052	4	0	True				
ANR	8	IdentifierDecl	* data		4	0					
ANR	9	IdentifierDeclType	wchar_t *		4	0					
ANR	10	Identifier	data		4	1					
ANR	11	IdentifierDeclStatement	list < wchar_t * > dataList ;	40:4:1058:1082	4	1	True				
ANR	12	IdentifierDecl	dataList		4	0					
ANR	13	IdentifierDeclType	list < wchar_t * >		4	0					
ANR	14	Identifier	dataList		4	1					
ANR	15	Statement	int	41:4:1088:1090	4	2	True				
ANR	16	Statement	dwk_flow_value_1	41:8:1092:1107	4	3	True				
ANR	17	Statement	=	41:25:1109:1109	4	4	True				
ANR	18	Statement	(	41:27:1111:1111	4	5	True				
ANR	19	Statement	int	41:28:1112:1114	4	6	True				
ANR	20	Statement	)	41:31:1115:1115	4	7	True				
ANR	21	Statement	(	41:32:1116:1116	4	8	True				
ANR	22	ExpressionStatement	10	41:33:1117:1121	4	9	True				
ANR	23	PrimaryExpression	10		4	0					
ANR	24	ExpressionStatement	dwk_flow_value_1 += 0	42:4:1127:1148	4	10	True				
ANR	25	AssignmentExpression	dwk_flow_value_1 += 0		4	0		+=			
ANR	26	Identifier	dwk_flow_value_1		4	0					
ANR	27	PrimaryExpression	0		4	1					
ANR	28	IdentifierDeclStatement	wchar_t * dataBadBuffer = ( wchar_t * ) ALLOCA ( ( 10 ) * sizeof ( wchar_t ) ) ;	43:4:1154:1219	4	11	True				
ANR	29	IdentifierDecl	* dataBadBuffer = ( wchar_t * ) ALLOCA ( ( 10 ) * sizeof ( wchar_t ) )		4	0					
ANR	30	IdentifierDeclType	wchar_t *		4	0					
ANR	31	Identifier	dataBadBuffer		4	1					
ANR	32	AssignmentExpression	* dataBadBuffer = ( wchar_t * ) ALLOCA ( ( 10 ) * sizeof ( wchar_t ) )		4	2		=			
ANR	33	Identifier	dataBadBuffer		4	0					
ANR	34	CastExpression	( wchar_t * ) ALLOCA ( ( 10 ) * sizeof ( wchar_t ) )		4	1					
ANR	35	CastTarget	wchar_t *		4	0					
ANR	36	CallExpression	ALLOCA ( ( 10 ) * sizeof ( wchar_t ) )		4	1					
ANR	37	Callee	ALLOCA		4	0					
ANR	38	Identifier	ALLOCA		4	0					
ANR	39	ArgumentList	( 10 ) * sizeof ( wchar_t )		4	1					
ANR	40	Argument	( 10 ) * sizeof ( wchar_t )		4	0					
ANR	41	MultiplicativeExpression	( 10 ) * sizeof ( wchar_t )		4	0		*			
ANR	42	PrimaryExpression	10		4	0					
ANR	43	SizeofExpression	sizeof ( wchar_t )		4	1					
ANR	44	Sizeof	sizeof		4	0					
ANR	45	SizeofOperand	wchar_t		4	1					
ANR	46	IdentifierDeclStatement	wchar_t * dataGoodBuffer = ( wchar_t * ) ALLOCA ( ( 10 + 1 ) * sizeof ( wchar_t ) ) ;	44:4:1225:1293	4	12	True				
ANR	47	IdentifierDecl	* dataGoodBuffer = ( wchar_t * ) ALLOCA ( ( 10 + 1 ) * sizeof ( wchar_t ) )		4	0					
ANR	48	IdentifierDeclType	wchar_t *		4	0					
ANR	49	Identifier	dataGoodBuffer		4	1					
ANR	50	AssignmentExpression	* dataGoodBuffer = ( wchar_t * ) ALLOCA ( ( 10 + 1 ) * sizeof ( wchar_t ) )		4	2		=			
ANR	51	Identifier	dataGoodBuffer		4	0					
ANR	52	CastExpression	( wchar_t * ) ALLOCA ( ( 10 + 1 ) * sizeof ( wchar_t ) )		4	1					
ANR	53	CastTarget	wchar_t *		4	0					
ANR	54	CallExpression	ALLOCA ( ( 10 + 1 ) * sizeof ( wchar_t ) )		4	1					
