command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/cwe119__06_non_vulnerable_08_non-vulnerable_32__control_wrapper__c1/_work/source/cwe119__06_non_vulnerable_08_non-vulnerable_32__control_wrapper__c1.c								
ANR	2	DeclStmt									
ANR	3	Decl							int64_t	int64_t *	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_badData
ANR	4	DeclStmt									
ANR	5	Decl							int64_t	int64_t *	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_goodG2BData
ANR	6	DeclStmt									
ANR	7	Decl							void	void ( )	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68b_badSink
ANR	8	Function	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_bad	27:0:967:1426							
ANR	9	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_bad ()		8	0					
ANR	10	CompoundStatement		28:0:1040:1426	8	0					
ANR	11	IdentifierDeclStatement	int64_t * data ;	29:4:1046:1060	8	0	True				
ANR	12	IdentifierDecl	* data		8	0					
ANR	13	IdentifierDeclType	int64_t *		8	0					
ANR	14	Identifier	data		8	1					
ANR	15	IfStatement	if ( 1 )		8	1					
ANR	16	Condition	1	30:8:1070:1070	8	0	True				
ANR	17	PrimaryExpression	1		8	0					
ANR	18	CompoundStatement		3:11:32:32	8	1					
ANR	19	ExpressionStatement	data = NULL	31:8:1083:1094	8	0	True				
ANR	20	AssignmentExpression	data = NULL		8	0		=			
ANR	21	Identifier	data		8	0					
ANR	22	Identifier	NULL		8	1					
ANR	23	ExpressionStatement	data = ( int64_t * ) malloc ( 50 * sizeof ( int64_t ) )	34:4:1220:1264	8	2	True				
ANR	24	AssignmentExpression	data = ( int64_t * ) malloc ( 50 * sizeof ( int64_t ) )		8	0		=			
ANR	25	Identifier	data		8	0					
ANR	26	CastExpression	( int64_t * ) malloc ( 50 * sizeof ( int64_t ) )		8	1					
ANR	27	CastTarget	int64_t *		8	0					
ANR	28	CallExpression	malloc ( 50 * sizeof ( int64_t ) )		8	1					
ANR	29	Callee	malloc		8	0					
ANR	30	Identifier	malloc		8	0					
ANR	31	ArgumentList	50 * sizeof ( int64_t )		8	1					
ANR	32	Argument	50 * sizeof ( int64_t )		8	0					
ANR	33	MultiplicativeExpression	50 * sizeof ( int64_t )		8	0		*			
ANR	34	PrimaryExpression	50		8	0					
ANR	35	SizeofExpression	sizeof ( int64_t )		8	1					
ANR	36	Sizeof	sizeof		8	0					
ANR	37	SizeofOperand	int64_t		8	1					
ANR	38	ExpressionStatement	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_badData = data	35:4:1270:1346	8	3	True				
ANR	39	AssignmentExpression	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_badData = data		8	0		=			
ANR	40	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_badData		8	0					
ANR	41	Identifier	data		8	1					
ANR	42	ExpressionStatement	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68b_badSink ( )	36:4:1352:1424	8	4	True				
ANR	43	CallExpression	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68b_badSink ( )		8	0					
ANR	44	Callee	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68b_badSink		8	0					
ANR	45	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68b_badSink		8	0					
ANR	46	ArgumentList			8	1					
ANR	47	ReturnType	void		8	1					
ANR	48	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_bad		8	2					
ANR	49	ParameterList			8	3					
ANR	50	CFGEntryNode	ENTRY		8		True				
ANR	51	CFGExitNode	EXIT		8		True				
ANR	52	Symbol	malloc		8						
ANR	53	Symbol	NULL		8						
ANR	54	Symbol	data		8						
ANR	55	Symbol	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_badData		8						
ANR	56	DeclStmt									
ANR	57	Decl							void	void ( )	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68b_goodG2BSink
ANR	58	Function	goodG2B	47:0:1637:2037							
ANR	59	FunctionDef	goodG2B ()		58	0					
ANR	60	CompoundStatement		48:0:1659:2037	58	0					
ANR	61	IdentifierDeclStatement	int64_t * data ;	49:4:1665:1679	58	0	True				
ANR	62	IdentifierDecl	* data		58	0					
ANR	63	IdentifierDeclType	int64_t *		58	0					
ANR	64	Identifier	data		58	1					
ANR	65	ExpressionStatement	data = NULL	50:4:1685:1696	58	1	True				
ANR	66	AssignmentExpression	data = NULL		58	0		=			
ANR	67	Identifier	data		58	0					
ANR	68	Identifier	NULL		58	1					
ANR	69	ExpressionStatement	data = ( int64_t * ) malloc ( 100 * sizeof ( int64_t ) )	52:4:1822:1867	58	2	True				
ANR	70	AssignmentExpression	data = ( int64_t * ) malloc ( 100 * sizeof ( int64_t ) )		58	0		=			
ANR	71	Identifier	data		58	0					
ANR	72	CastExpression	( int64_t * ) malloc ( 100 * sizeof ( int64_t ) )		58	1					
ANR	73	CastTarget	int64_t *		58	0					
ANR	74	CallExpression	malloc ( 100 * sizeof ( int64_t ) )		58	1					
ANR	75	Callee	malloc		58	0					
ANR	76	Identifier	malloc		58	0					
ANR	77	ArgumentList	100 * sizeof ( int64_t )		58	1					
ANR	78	Argument	100 * sizeof ( int64_t )		58	0					
ANR	79	MultiplicativeExpression	100 * sizeof ( int64_t )		58	0		*			
ANR	80	PrimaryExpression	100		58	0					
ANR	81	SizeofExpression	sizeof ( int64_t )		58	1					
ANR	82	Sizeof	sizeof		58	0					
ANR	83	SizeofOperand	int64_t		58	1					
ANR	84	ExpressionStatement	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_goodG2BData = data	53:4:1873:1953	58	3	True				
ANR	85	AssignmentExpression	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_goodG2BData = data		58	0		=			
ANR	86	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_goodG2BData		58	0					
ANR	87	Identifier	data		58	1					
ANR	88	ExpressionStatement	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68b_goodG2BSink ( )	54:4:1959:2035	58	4	True				
ANR	89	CallExpression	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68b_goodG2BSink ( )		58	0					
ANR	90	Callee	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68b_goodG2BSink		58	0					
ANR	91	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68b_goodG2BSink		58	0					
ANR	92	ArgumentList			58	1					
ANR	93	ReturnType	static void		58	1					
ANR	94	Identifier	goodG2B		58	2					
ANR	95	ParameterList			58	3					
ANR	96	CFGEntryNode	ENTRY		58		True				
ANR	97	CFGExitNode	EXIT		58		True				
ANR	98	Symbol	malloc		58						
ANR	99	Symbol	NULL		58						
ANR	100	Symbol	data		58						
ANR	101	Symbol	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_goodG2BData		58						
ANR	102	Function	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_good	57:0:2040:2131							
ANR	103	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_good ()		102	0					
ANR	104	CompoundStatement		58:0:2114:2131	102	0					
ANR	105	ExpressionStatement	goodG2B ( )	59:4:2120:2129	102	0	True				
ANR	106	CallExpression	goodG2B ( )		102	0					
ANR	107	Callee	goodG2B		102	0					
ANR	108	Identifier	goodG2B		102	0					
ANR	109	ArgumentList			102	1					
