start	end	type	var
2	3	DECLARES	
4	5	DECLARES	
6	7	DECLARES	
12	13	IS_AST_PARENT	
11	12	IS_AST_PARENT	
16	17	IS_AST_PARENT	
16	18	IS_AST_PARENT	
19	20	IS_AST_PARENT	
19	21	IS_AST_PARENT	
16	19	IS_AST_PARENT	
15	16	IS_AST_PARENT	
14	15	IS_AST_PARENT	
23	24	IS_AST_PARENT	
23	25	IS_AST_PARENT	
22	23	IS_AST_PARENT	
14	22	IS_AST_PARENT	
11	14	IS_AST_PARENT	
10	11	IS_AST_PARENT	
27	28	IS_AST_PARENT	
27	29	IS_AST_PARENT	
26	27	IS_AST_PARENT	
10	26	IS_AST_PARENT	
31	32	IS_AST_PARENT	
31	33	IS_AST_PARENT	
30	31	IS_AST_PARENT	
10	30	IS_AST_PARENT	
35	36	IS_AST_PARENT	
37	38	IS_AST_PARENT	
40	41	IS_AST_PARENT	
39	40	IS_AST_PARENT	
44	45	IS_AST_PARENT	
46	47	IS_AST_PARENT	
46	48	IS_AST_PARENT	
44	46	IS_AST_PARENT	
43	44	IS_AST_PARENT	
42	43	IS_AST_PARENT	
39	42	IS_AST_PARENT	
37	39	IS_AST_PARENT	
35	37	IS_AST_PARENT	
34	35	IS_AST_PARENT	
10	34	IS_AST_PARENT	
50	51	IS_AST_PARENT	
50	52	IS_AST_PARENT	
49	50	IS_AST_PARENT	
10	49	IS_AST_PARENT	
55	56	IS_AST_PARENT	
54	55	IS_AST_PARENT	
54	57	IS_AST_PARENT	
53	54	IS_AST_PARENT	
10	53	IS_AST_PARENT	
9	10	IS_AST_PARENT	
9	58	IS_AST_PARENT	
9	59	IS_AST_PARENT	
9	60	IS_AST_PARENT	
61	12	FLOWS_TO	
12	15	FLOWS_TO	
12	26	FLOWS_TO	
15	22	FLOWS_TO	
22	26	FLOWS_TO	
26	30	FLOWS_TO	
30	34	FLOWS_TO	
34	49	FLOWS_TO	
49	53	FLOWS_TO	
53	62	FLOWS_TO	
34	63	USE	
35	63	USE	
30	64	USE	
31	64	USE	
26	65	DEF	
27	65	DEF	
30	65	DEF	
31	65	DEF	
34	65	DEF	
35	65	DEF	
49	65	USE	
50	65	USE	
15	66	DEF	
16	66	DEF	
19	66	DEF	
22	66	USE	
23	66	USE	
22	66	DEF	
23	66	DEF	
49	67	DEF	
50	67	DEF	
34	49	REACHES	data
15	22	REACHES	dwk_xfg_guard_1
61	12	CONTROLS	
61	26	CONTROLS	
61	30	CONTROLS	
61	34	CONTROLS	
61	49	CONTROLS	
61	53	CONTROLS	
12	15	CONTROLS	
12	22	CONTROLS	
61	61	DOM	
53	62	DOM	
12	15	DOM	
15	22	DOM	
12	26	DOM	
26	30	DOM	
61	12	DOM	
34	49	DOM	
30	34	DOM	
49	53	DOM	
12	61	POST_DOM	
62	62	POST_DOM	
22	15	POST_DOM	
26	22	POST_DOM	
30	26	POST_DOM	
34	30	POST_DOM	
26	12	POST_DOM	
53	49	POST_DOM	
62	53	POST_DOM	
49	34	POST_DOM	
8	9	IS_FUNCTION_OF_AST	
8	61	IS_FUNCTION_OF_CFG	
1	8	IS_FILE_OF	
68	69	DECLARES	
74	75	IS_AST_PARENT	
74	76	IS_AST_PARENT	
73	74	IS_AST_PARENT	
72	73	IS_AST_PARENT	
78	79	IS_AST_PARENT	
