command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/cwe119__08_non_vulnerable_10_non-vulnerable_43__array_index_bound_guard__c1/_work/source/cwe119__08_non_vulnerable_10_non-vulnerable_43__array_index_bound_guard__c1.c								
ANR	2	DeclStmt									
ANR	3	Decl							void	"void ( map < int , char * > dataMap )"	badSink
ANR	4	Function	bad	32:0:817:1400							
ANR	5	FunctionDef	bad ()		4	0					
ANR	6	CompoundStatement		33:0:828:1400	4	0					
ANR	7	IdentifierDeclStatement	char * data ;	34:4:834:845	4	0	True				
ANR	8	IdentifierDecl	* data		4	0					
ANR	9	IdentifierDeclType	char *		4	0					
ANR	10	Identifier	data		4	1					
ANR	11	IdentifierDeclStatement	"map < int , char * > dataMap ;"	35:4:851:875	4	1	True				
ANR	12	IdentifierDecl	dataMap		4	0					
ANR	13	IdentifierDeclType	"map < int , char * >"		4	0					
ANR	14	Identifier	dataMap		4	1					
ANR	15	IdentifierDeclStatement	char dataBadBuffer [ 50 ] ;	36:4:881:903	4	2	True				
ANR	16	IdentifierDecl	dataBadBuffer [ 50 ]		4	0					
ANR	17	IdentifierDeclType	char [ 50 ]		4	0					
ANR	18	Identifier	dataBadBuffer		4	1					
ANR	19	PrimaryExpression	50		4	2					
ANR	20	IdentifierDeclStatement	char dataGoodBuffer [ 100 ] ;	37:4:909:933	4	3	True				
ANR	21	IdentifierDecl	dataGoodBuffer [ 100 ]		4	0					
ANR	22	IdentifierDeclType	char [ 100 ]		4	0					
ANR	23	Identifier	dataGoodBuffer		4	1					
ANR	24	PrimaryExpression	100		4	2					
ANR	25	ExpressionStatement	data = dataBadBuffer	40:4:1126:1146	4	4	True				
ANR	26	AssignmentExpression	data = dataBadBuffer		4	0		=			
ANR	27	Identifier	data		4	0					
ANR	28	Identifier	dataBadBuffer		4	1					
ANR	29	ExpressionStatement	data [ 0 ] = '\\0'	41:4:1152:1166	4	5	True				
ANR	30	AssignmentExpression	data [ 0 ] = '\\0'		4	0		=			
ANR	31	ArrayIndexing	data [ 0 ]		4	0					
ANR	32	Identifier	data		4	0					
ANR	33	PrimaryExpression	0		4	1					
ANR	34	PrimaryExpression	'\\0'		4	1					
ANR	35	IfStatement	if ( ( int ) ( 0 ) >= 0 && ( size_t ) ( 0 ) < ( sizeof ( dataMap ) / sizeof ( ( dataMap ) [ 0 ] ) ) )		4	6					
