command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/cwe119__08_non_vulnerable_10_non-vulnerable_43__xfg_targeted_dead_code__c1/_work/source/cwe119__08_non_vulnerable_10_non-vulnerable_43__xfg_targeted_dead_code__c1.c								
ANR	2	DeclStmt									
ANR	3	Decl							void	"void ( map < int , char * > dataMap )"	badSink
ANR	4	Function	bad	32:0:817:1390							
ANR	5	FunctionDef	bad ()		4	0					
ANR	6	CompoundStatement		33:0:828:1390	4	0					
ANR	7	IfStatement	if ( 0 )		4	0					
ANR	8	Condition	0	34:8:838:838	4	0	True				
ANR	9	PrimaryExpression	0		4	0					
ANR	10	CompoundStatement		3:8:22:45	4	1					
ANR	11	IdentifierDeclStatement	int dwk_xfg_guard_1 = 1 ;	35:8:851:874	4	0	True				
ANR	12	IdentifierDecl	dwk_xfg_guard_1 = 1		4	0					
ANR	13	IdentifierDeclType	int		4	0					
ANR	14	Identifier	dwk_xfg_guard_1		4	1					
ANR	15	AssignmentExpression	dwk_xfg_guard_1 = 1		4	2		=			
ANR	16	Identifier	dwk_xfg_guard_1		4	0					
ANR	17	PrimaryExpression	1		4	1					
ANR	18	ExpressionStatement	dwk_xfg_guard_1 += 0	36:8:884:904	4	1	True				
ANR	19	AssignmentExpression	dwk_xfg_guard_1 += 0		4	0		+=			
ANR	20	Identifier	dwk_xfg_guard_1		4	0					
ANR	21	PrimaryExpression	0		4	1					
ANR	22	IdentifierDeclStatement	char * data ;	38:4:916:927	4	1	True				
ANR	23	IdentifierDecl	* data		4	0					
ANR	24	IdentifierDeclType	char *		4	0					
ANR	25	Identifier	data		4	1					
ANR	26	IdentifierDeclStatement	"map < int , char * > dataMap ;"	39:4:933:957	4	2	True				
ANR	27	IdentifierDecl	dataMap		4	0					
ANR	28	IdentifierDeclType	"map < int , char * >"		4	0					
ANR	29	Identifier	dataMap		4	1					
ANR	30	IdentifierDeclStatement	char dataBadBuffer [ 50 ] ;	40:4:963:985	4	3	True				
ANR	31	IdentifierDecl	dataBadBuffer [ 50 ]		4	0					
ANR	32	IdentifierDeclType	char [ 50 ]		4	0					
ANR	33	Identifier	dataBadBuffer		4	1					
ANR	34	PrimaryExpression	50		4	2					
ANR	35	IdentifierDeclStatement	char dataGoodBuffer [ 100 ] ;	41:4:991:1015	4	4	True				
ANR	36	IdentifierDecl	dataGoodBuffer [ 100 ]		4	0					
ANR	37	IdentifierDeclType	char [ 100 ]		4	0					
ANR	38	Identifier	dataGoodBuffer		4	1					
ANR	39	PrimaryExpression	100		4	2					
ANR	40	ExpressionStatement	data = dataBadBuffer	44:4:1208:1228	4	5	True				
ANR	41	AssignmentExpression	data = dataBadBuffer		4	0		=			
ANR	42	Identifier	data		4	0					
ANR	43	Identifier	dataBadBuffer		4	1					
ANR	44	ExpressionStatement	data [ 0 ] = '\\0'	45:4:1234:1248	4	6	True				
ANR	45	AssignmentExpression	data [ 0 ] = '\\0'		4	0		=			
ANR	46	ArrayIndexing	data [ 0 ]		4	0					
ANR	47	Identifier	data		4	0					
ANR	48	PrimaryExpression	0		4	1					
ANR	49	PrimaryExpression	'\\0'		4	1					
ANR	50	ExpressionStatement	dataMap [ 0 ] = data	47:4:1303:1320	4	7	True				
ANR	51	AssignmentExpression	dataMap [ 0 ] = data		4	0		=			
ANR	52	ArrayIndexing	dataMap [ 0 ]		4	0					
ANR	53	Identifier	dataMap		4	0					
ANR	54	PrimaryExpression	0		4	1					
ANR	55	Identifier	data		4	1					
ANR	56	ExpressionStatement	dataMap [ 1 ] = data	48:4:1326:1343	4	8	True				
ANR	57	AssignmentExpression	dataMap [ 1 ] = data		4	0		=			
ANR	58	ArrayIndexing	dataMap [ 1 ]		4	0					
ANR	59	Identifier	dataMap		4	0					
ANR	60	PrimaryExpression	1		4	1					
ANR	61	Identifier	data		4	1					
ANR	62	ExpressionStatement	dataMap [ 2 ] = data	49:4:1349:1366	4	9	True				
ANR	63	AssignmentExpression	dataMap [ 2 ] = data		4	0		=			
ANR	64	ArrayIndexing	dataMap [ 2 ]		4	0					
ANR	65	Identifier	dataMap		4	0					
ANR	66	PrimaryExpression	2		4	1					
ANR	67	Identifier	data		4	1					
ANR	68	ExpressionStatement	badSink ( dataMap )	50:4:1372:1388	4	10	True				
ANR	69	CallExpression	badSink ( dataMap )		4	0					
ANR	70	Callee	badSink		4	0					
ANR	71	Identifier	badSink		4	0					
ANR	72	ArgumentList	dataMap		4	1					
ANR	73	Argument	dataMap		4	0					
ANR	74	Identifier	dataMap		4	0					
ANR	75	ReturnType	void		4	1					
ANR	76	Identifier	bad		4	2					
ANR	77	ParameterList			4	3					
ANR	78	CFGEntryNode	ENTRY		4		True				
ANR	79	CFGExitNode	EXIT		4		True				
ANR	80	Symbol	dataBadBuffer		4						
ANR	81	Symbol	data		4						
ANR	82	Symbol	dataMap		4						
ANR	83	Symbol	dwk_xfg_guard_1		4						
ANR	84	Symbol	* dataMap		4						
ANR	85	Symbol	dataGoodBuffer		4						
ANR	86	Symbol	* data		4						
ANR	87	DeclStmt									
ANR	88	Decl							void	"void ( map < int , char * > dataMap )"	goodG2BSink
ANR	89	Function	goodG2B	62:0:1563:1978							
ANR	90	FunctionDef	goodG2B ()		89	0					
ANR	91	CompoundStatement		63:0:1585:1978	89	0					
ANR	92	IdentifierDeclStatement	char * data ;	64:4:1591:1602	89	0	True				
ANR	93	IdentifierDecl	* data		89	0					
ANR	94	IdentifierDeclType	char *		89	0					
ANR	95	Identifier	data		89	1					
ANR	96	IdentifierDeclStatement	"map < int , char * > dataMap ;"	65:4:1608:1632	89	1	True				
ANR	97	IdentifierDecl	dataMap		89	0					
ANR	98	IdentifierDeclType	"map < int , char * >"		89	0					
ANR	99	Identifier	dataMap		89	1					
ANR	100	IdentifierDeclStatement	char dataBadBuffer [ 50 ] ;	66:4:1638:1660	89	2	True				
ANR	101	IdentifierDecl	dataBadBuffer [ 50 ]		89	0					
ANR	102	IdentifierDeclType	char [ 50 ]		89	0					
ANR	103	Identifier	dataBadBuffer		89	1					
ANR	104	PrimaryExpression	50		89	2					
ANR	105	IdentifierDeclStatement	char dataGoodBuffer [ 100 ] ;	67:4:1666:1690	89	3	True				
ANR	106	IdentifierDecl	dataGoodBuffer [ 100 ]		89	0					
ANR	107	IdentifierDeclType	char [ 100 ]		89	0					
ANR	108	Identifier	dataGoodBuffer		89	1					
ANR	109	PrimaryExpression	100		89	2					
ANR	110	ExpressionStatement	data = dataGoodBuffer	69:4:1791:1812	89	4	True				
ANR	111	AssignmentExpression	data = dataGoodBuffer		89	0		=			
ANR	112	Identifier	data		89	0					
ANR	113	Identifier	dataGoodBuffer		89	1					
ANR	114	ExpressionStatement	data [ 0 ] = '\\0'	70:4:1818:1832	89	5	True				
ANR	115	AssignmentExpression	data [ 0 ] = '\\0'		89	0		=			
