command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/cwe119__15_vulnerable_CWE121_Stack_Based_Buffer_Overflow____xfg_targeted_dead_code__c1/_work/source/cwe119__15_vulnerable_CWE121_Stack_Based_Buffer_Overflow____xfg_targeted_dead_code__c1.c								
ANR	2	Function	CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_84_bad :: CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_84_bad	23:0:825:1288							
ANR	3	FunctionDef	CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_84_bad :: CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_84_bad (char * dataCopy)		2	0					
ANR	4	CompoundStatement		24:0:983:1288	2	0					
ANR	5	ExpressionStatement	data = dataCopy	25:4:989:1004	2	0	True				
ANR	6	AssignmentExpression	data = dataCopy		2	0		=			
ANR	7	Identifier	data		2	0					
ANR	8	Identifier	dataCopy		2	1					
ANR	9	IfStatement	if ( 0 )		2	1					
ANR	10	Condition	0	27:8:1118:1118	2	0	True				
ANR	11	PrimaryExpression	0		2	0					
ANR	12	CompoundStatement		5:8:147:170	2	1					
ANR	13	IdentifierDeclStatement	int dwk_xfg_guard_1 = 1 ;	28:8:1131:1154	2	0	True				
ANR	14	IdentifierDecl	dwk_xfg_guard_1 = 1		2	0					
ANR	15	IdentifierDeclType	int		2	0					
ANR	16	Identifier	dwk_xfg_guard_1		2	1					
ANR	17	AssignmentExpression	dwk_xfg_guard_1 = 1		2	2		=			
ANR	18	Identifier	dwk_xfg_guard_1		2	0					
ANR	19	PrimaryExpression	1		2	1					
ANR	20	ExpressionStatement	dwk_xfg_guard_1 += 0	29:8:1164:1184	2	1	True				
ANR	21	AssignmentExpression	dwk_xfg_guard_1 += 0		2	0		+=			
ANR	22	Identifier	dwk_xfg_guard_1		2	0					
ANR	23	PrimaryExpression	0		2	1					
ANR	24	ExpressionStatement	"memset ( data , 'A' , 100 - 1 )"	31:4:1196:1220	2	2	True				
ANR	25	CallExpression	"memset ( data , 'A' , 100 - 1 )"		2	0					
ANR	26	Callee	memset		2	0					
ANR	27	Identifier	memset		2	0					
ANR	28	ArgumentList	data		2	1					
ANR	29	Argument	data		2	0					
ANR	30	Identifier	data		2	0					
ANR	31	Argument	'A'		2	1					
ANR	32	PrimaryExpression	'A'		2	0					
ANR	33	Argument	100 - 1		2	2					
ANR	34	AdditiveExpression	100 - 1		2	0		-			
ANR	35	PrimaryExpression	100		2	0					
ANR	36	PrimaryExpression	1		2	1					
ANR	37	ExpressionStatement	data [ 100 - 1 ] = '\\0'	32:4:1247:1265	2	3	True				
ANR	38	AssignmentExpression	data [ 100 - 1 ] = '\\0'		2	0		=			
ANR	39	ArrayIndexing	data [ 100 - 1 ]		2	0					
ANR	40	Identifier	data		2	0					
ANR	41	AdditiveExpression	100 - 1		2	1		-			
ANR	42	PrimaryExpression	100		2	0					
ANR	43	PrimaryExpression	1		2	1					
ANR	44	PrimaryExpression	'\\0'		2	1					
