start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
9	10	IS_AST_PARENT	
9	11	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
13	14	IS_AST_PARENT	
13	15	IS_AST_PARENT	
12	13	IS_AST_PARENT	
4	12	IS_AST_PARENT	
18	19	IS_AST_PARENT	
17	18	IS_AST_PARENT	
21	22	IS_AST_PARENT	
20	21	IS_AST_PARENT	
23	24	IS_AST_PARENT	
20	23	IS_AST_PARENT	
26	27	IS_AST_PARENT	
26	28	IS_AST_PARENT	
25	26	IS_AST_PARENT	
20	25	IS_AST_PARENT	
17	20	IS_AST_PARENT	
16	17	IS_AST_PARENT	
4	16	IS_AST_PARENT	
31	32	IS_AST_PARENT	
33	34	IS_AST_PARENT	
33	35	IS_AST_PARENT	
31	33	IS_AST_PARENT	
30	31	IS_AST_PARENT	
30	36	IS_AST_PARENT	
29	30	IS_AST_PARENT	
4	29	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	37	IS_AST_PARENT	
39	40	IS_AST_PARENT	
39	41	IS_AST_PARENT	
38	39	IS_AST_PARENT	
3	38	IS_AST_PARENT	
42	39	FLOWS_TO	
39	5	FLOWS_TO	
5	12	FLOWS_TO	
12	16	FLOWS_TO	
16	29	FLOWS_TO	
29	43	FLOWS_TO	
39	44	DEF	
5	44	DEF	
9	44	DEF	
5	44	USE	
9	44	USE	
12	45	DEF	
13	45	DEF	
16	45	USE	
21	45	USE	
29	45	USE	
31	45	USE	
5	46	DEF	
6	46	DEF	
12	46	USE	
13	46	USE	
29	47	DEF	
30	47	DEF	
39	5	REACHES	dataCopy
12	16	REACHES	data
12	29	REACHES	data
5	12	REACHES	dwk_tmp_1
42	39	CONTROLS	
42	5	CONTROLS	
42	12	CONTROLS	
42	16	CONTROLS	
42	29	CONTROLS	
16	29	DOM	
42	39	DOM	
42	42	DOM	
39	5	DOM	
12	16	DOM	
29	43	DOM	
5	12	DOM	
43	29	POST_DOM	
5	39	POST_DOM	
29	16	POST_DOM	
12	5	POST_DOM	
39	42	POST_DOM	
43	43	POST_DOM	
16	12	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	42	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
53	54	IS_AST_PARENT	
53	55	IS_AST_PARENT	
53	56	IS_AST_PARENT	
57	58	IS_AST_PARENT	
57	59	IS_AST_PARENT	
53	57	IS_AST_PARENT	
52	53	IS_AST_PARENT	
51	52	IS_AST_PARENT	
62	63	IS_AST_PARENT	
61	62	IS_AST_PARENT	
65	66	IS_AST_PARENT	
64	65	IS_AST_PARENT	
67	68	IS_AST_PARENT	
64	67	IS_AST_PARENT	
72	73	IS_AST_PARENT	
71	72	IS_AST_PARENT	
75	76	IS_AST_PARENT	
74	75	IS_AST_PARENT	
71	74	IS_AST_PARENT	
70	71	IS_AST_PARENT	
77	78	IS_AST_PARENT	
77	79	IS_AST_PARENT	
70	77	IS_AST_PARENT	
69	70	IS_AST_PARENT	
64	69	IS_AST_PARENT	
61	64	IS_AST_PARENT	
60	61	IS_AST_PARENT	
51	60	IS_AST_PARENT	
82	83	IS_AST_PARENT	
84	85	IS_AST_PARENT	
84	86	IS_AST_PARENT	
82	84	IS_AST_PARENT	
81	82	IS_AST_PARENT	
81	87	IS_AST_PARENT	
80	81	IS_AST_PARENT	
51	80	IS_AST_PARENT	
90	91	IS_AST_PARENT	
89	90	IS_AST_PARENT	
93	94	IS_AST_PARENT	
92	93	IS_AST_PARENT	
89	92	IS_AST_PARENT	
88	89	IS_AST_PARENT	
51	88	IS_AST_PARENT	
50	51	IS_AST_PARENT	
49	50	IS_AST_PARENT	
49	95	IS_AST_PARENT	
49	96	IS_AST_PARENT	
97	52	FLOWS_TO	
52	60	FLOWS_TO	
60	80	FLOWS_TO	
80	88	FLOWS_TO	
88	98	FLOWS_TO	
60	99	USE	
69	99	USE	
60	100	USE	
75	100	USE	
67	100	USE	
88	100	USE	
93	100	USE	
80	101	DEF	
81	101	DEF	
52	102	DEF	
57	102	DEF	
53	102	DEF	
60	102	USE	
65	102	USE	
80	102	USE	
82	102	USE	
52	60	REACHES	dest
52	80	REACHES	dest
97	52	CONTROLS	
97	60	CONTROLS	
97	80	CONTROLS	
97	88	CONTROLS	
52	60	DOM	
97	52	DOM	
80	88	DOM	
60	80	DOM	
97	97	DOM	
88	98	DOM	
80	60	POST_DOM	
60	52	POST_DOM	
98	88	POST_DOM	
88	80	POST_DOM	
52	97	POST_DOM	
98	98	POST_DOM	
48	49	IS_FUNCTION_OF_AST	
48	97	IS_FUNCTION_OF_CFG	
1	48	IS_FILE_OF	
