command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/cwe119__19_vulnerable_CWE121_Stack_Based_Buffer_Overflow____data_flow_alias__c1/_work/source/cwe119__19_vulnerable_CWE121_Stack_Based_Buffer_Overflow____data_flow_alias__c1.c								
ANR	2	Function	CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_ncat_82_bad :: action	24:0:767:1256							
ANR	3	FunctionDef	CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_ncat_82_bad :: action (char * data)		2	0					
ANR	4	CompoundStatement		25:0:860:1256	2	0					
ANR	5	CompoundStatement		5:8:146:180	2	0					
ANR	6	IdentifierDeclStatement	"char dest [ 50 ] = """" ;"	27:8:876:894	2	0	True				
ANR	7	IdentifierDecl	"dest [ 50 ] = """""		2	0					
ANR	8	IdentifierDeclType	char [ 50 ]		2	0					
ANR	9	Identifier	dest		2	1					
ANR	10	PrimaryExpression	50		2	2					
ANR	11	AssignmentExpression	"dest [ 50 ] = """""		2	3		=			
ANR	12	Identifier	dest		2	0					
ANR	13	PrimaryExpression	""""""		2	1					
ANR	14	IdentifierDeclStatement	void * dwk_alias_1 = ( void * ) ( data ) ;	29:8:1007:1041	2	1	True				
ANR	15	IdentifierDecl	* dwk_alias_1 = ( void * ) ( data )		2	0					
ANR	16	IdentifierDeclType	void *		2	0					
ANR	17	Identifier	dwk_alias_1		2	1					
ANR	18	AssignmentExpression	* dwk_alias_1 = ( void * ) ( data )		2	2		=			
ANR	19	Identifier	dwk_alias_1		2	0					
ANR	20	CastExpression	( void * ) ( data )		2	1					
ANR	21	CastTarget	void *		2	0					
ANR	22	Identifier	data		2	1					
ANR	23	ExpressionStatement	dwk_alias_1 = ( void * ) ( ( char * ) dwk_alias_1 + 0 )	30:8:1051:1098	2	2	True				
ANR	24	AssignmentExpression	dwk_alias_1 = ( void * ) ( ( char * ) dwk_alias_1 + 0 )		2	0		=			
ANR	25	Identifier	dwk_alias_1		2	0					
ANR	26	CastExpression	( void * ) ( ( char * ) dwk_alias_1 + 0 )		2	1					
ANR	27	CastTarget	void *		2	0					
ANR	28	AdditiveExpression	( char * ) dwk_alias_1 + 0		2	1		+			
ANR	29	CastExpression	( char * ) dwk_alias_1		2	0					
ANR	30	CastTarget	char *		2	0					
ANR	31	Identifier	dwk_alias_1		2	1					
ANR	32	PrimaryExpression	0		2	1					
ANR	33	ExpressionStatement	"strncat ( dest , data , strlen ( data ) )"	31:8:1108:1141	2	3	True				
ANR	34	CallExpression	"strncat ( dest , data , strlen ( data ) )"		2	0					
ANR	35	Callee	strncat		2	0					
ANR	36	Identifier	strncat		2	0					
ANR	37	ArgumentList	dest		2	1					
ANR	38	Argument	dest		2	0					
ANR	39	Identifier	dest		2	0					
ANR	40	Argument	data		2	1					
ANR	41	Identifier	data		2	0					
ANR	42	Argument	strlen ( data )		2	2					
ANR	43	CallExpression	strlen ( data )		2	0					
ANR	44	Callee	strlen		2	0					
ANR	45	Identifier	strlen		2	0					
ANR	46	ArgumentList	data		2	1					
ANR	47	Argument	data		2	0					
ANR	48	Identifier	data		2	0					
ANR	49	ExpressionStatement	dest [ 50 - 1 ] = '\\0'	32:8:1151:1168	2	4	True				
ANR	50	AssignmentExpression	dest [ 50 - 1 ] = '\\0'		2	0		=			
ANR	51	ArrayIndexing	dest [ 50 - 1 ]		2	0					
ANR	52	Identifier	dest		2	0					
ANR	53	AdditiveExpression	50 - 1		2	1		-			
ANR	54	PrimaryExpression	50		2	0					
ANR	55	PrimaryExpression	1		2	1					
ANR	56	PrimaryExpression	'\\0'		2	1					
ANR	57	ExpressionStatement	printLine ( data )	33:8:1233:1248	2	5	True				
ANR	58	CallExpression	printLine ( data )		2	0					
ANR	59	Callee	printLine		2	0					
ANR	60	Identifier	printLine		2	0					
ANR	61	ArgumentList	data		2	1					
ANR	62	Argument	data		2	0					
ANR	63	Identifier	data		2	0					
ANR	64	ReturnType	void		2	1					
ANR	65	Identifier	CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_ncat_82_bad :: action		2	2					
ANR	66	ParameterList	char * data		2	3					
ANR	67	Parameter	char * data	24:80:847:857	2	0	True				
ANR	68	ParameterType	char *		2	0					
ANR	69	Identifier	data		2	1					
ANR	70	CFGEntryNode	ENTRY		2		True				
ANR	71	CFGExitNode	EXIT		2		True				
ANR	72	Symbol	strlen		2						
ANR	73	Symbol	data		2						
ANR	74	Symbol	* dest		2						
ANR	75	Symbol	dwk_alias_1		2						
ANR	76	Symbol	dest		2						
