start	end	type	var
7	8	IS_AST_PARENT	
6	7	IS_AST_PARENT	
11	12	IS_AST_PARENT	
11	13	IS_AST_PARENT	
14	15	IS_AST_PARENT	
14	16	IS_AST_PARENT	
11	14	IS_AST_PARENT	
10	11	IS_AST_PARENT	
9	10	IS_AST_PARENT	
18	19	IS_AST_PARENT	
18	20	IS_AST_PARENT	
17	18	IS_AST_PARENT	
9	17	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
22	23	IS_AST_PARENT	
22	24	IS_AST_PARENT	
22	25	IS_AST_PARENT	
26	27	IS_AST_PARENT	
26	28	IS_AST_PARENT	
22	26	IS_AST_PARENT	
21	22	IS_AST_PARENT	
5	21	IS_AST_PARENT	
31	32	IS_AST_PARENT	
30	31	IS_AST_PARENT	
34	35	IS_AST_PARENT	
33	34	IS_AST_PARENT	
36	37	IS_AST_PARENT	
33	36	IS_AST_PARENT	
40	41	IS_AST_PARENT	
39	40	IS_AST_PARENT	
43	44	IS_AST_PARENT	
42	43	IS_AST_PARENT	
39	42	IS_AST_PARENT	
38	39	IS_AST_PARENT	
33	38	IS_AST_PARENT	
30	33	IS_AST_PARENT	
29	30	IS_AST_PARENT	
5	29	IS_AST_PARENT	
47	48	IS_AST_PARENT	
49	50	IS_AST_PARENT	
49	51	IS_AST_PARENT	
47	49	IS_AST_PARENT	
46	47	IS_AST_PARENT	
46	52	IS_AST_PARENT	
45	46	IS_AST_PARENT	
5	45	IS_AST_PARENT	
55	56	IS_AST_PARENT	
54	55	IS_AST_PARENT	
58	59	IS_AST_PARENT	
57	58	IS_AST_PARENT	
54	57	IS_AST_PARENT	
53	54	IS_AST_PARENT	
5	53	IS_AST_PARENT	
4	5	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	60	IS_AST_PARENT	
3	61	IS_AST_PARENT	
63	64	IS_AST_PARENT	
63	65	IS_AST_PARENT	
62	63	IS_AST_PARENT	
3	62	IS_AST_PARENT	
66	63	FLOWS_TO	
63	7	FLOWS_TO	
7	10	FLOWS_TO	
7	21	FLOWS_TO	
10	17	FLOWS_TO	
17	21	FLOWS_TO	
21	29	FLOWS_TO	
29	45	FLOWS_TO	
45	53	FLOWS_TO	
53	67	FLOWS_TO	
29	68	USE	
38	68	USE	
63	69	DEF	
29	69	USE	
36	69	USE	
43	69	USE	
53	69	USE	
58	69	USE	
45	70	DEF	
46	70	DEF	
10	71	DEF	
11	71	DEF	
14	71	DEF	
17	71	DEF	
18	71	DEF	
17	71	USE	
18	71	USE	
21	72	DEF	
22	72	DEF	
26	72	DEF	
29	72	USE	
34	72	USE	
45	72	USE	
47	72	USE	
63	29	REACHES	data
63	53	REACHES	data
10	17	REACHES	dwk_xfg_guard_1
21	29	REACHES	dest
21	45	REACHES	dest
66	63	CONTROLS	
66	7	CONTROLS	
66	21	CONTROLS	
66	29	CONTROLS	
66	45	CONTROLS	
66	53	CONTROLS	
7	10	CONTROLS	
7	17	CONTROLS	
7	10	DOM	
21	29	DOM	
45	53	DOM	
53	67	DOM	
66	63	DOM	
29	45	DOM	
66	66	DOM	
63	7	DOM	
10	17	DOM	
7	21	DOM	
45	29	POST_DOM	
17	10	POST_DOM	
67	67	POST_DOM	
67	53	POST_DOM	
7	63	POST_DOM	
53	45	POST_DOM	
63	66	POST_DOM	
21	7	POST_DOM	
29	21	POST_DOM	
21	17	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	66	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
