command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/devign__01_vulnerable_static_uint32_t_sh_serial_ioport_rea__data_flow_alias__c1/_work/source/devign__01_vulnerable_static_uint32_t_sh_serial_ioport_rea__data_flow_alias__c1.c								
ANR	2	Function	sh_serial_ioport_read	1:0:0:2544							
ANR	3	FunctionDef	"sh_serial_ioport_read (void * opaque , uint32_t offs)"		2	0					
ANR	4	CompoundStatement		3:0:68:2544	2	0					
ANR	5	IdentifierDeclStatement	sh_serial_state * s = opaque ;	5:4:75:102	2	0	True				
ANR	6	IdentifierDecl	* s = opaque		2	0					
ANR	7	IdentifierDeclType	sh_serial_state *		2	0					
ANR	8	Identifier	s		2	1					
ANR	9	AssignmentExpression	* s = opaque		2	2		=			
ANR	10	Identifier	opaque		2	0					
ANR	11	Identifier	opaque		2	1					
ANR	12	IdentifierDeclStatement	uint32_t ret = ~0 ;	7:4:109:126	2	1	True				
ANR	13	IdentifierDecl	ret = ~0		2	0					
ANR	14	IdentifierDeclType	uint32_t		2	0					
ANR	15	Identifier	ret		2	1					
ANR	16	AssignmentExpression	ret = ~0		2	2		=			
ANR	17	Identifier	~0		2	0					
ANR	18	Identifier	~0		2	1					
ANR	19	SwitchStatement	switch ( offs )		2	2					
ANR	20	Condition	offs	13:11:149:152	2	0	True				
ANR	21	Identifier	offs		2	0					
ANR	22	CompoundStatement		11:17:86:86	2	1					
ANR	23	Label	case 0x00 :	15:4:162:171	2	0	True				
ANR	24	ExpressionStatement	ret = s -> smr	17:8:182:194	2	1	True				
ANR	25	AssignmentExpression	ret = s -> smr		2	0		=			
ANR	26	Identifier	ret		2	0					
ANR	27	PtrMemberAccess	s -> smr		2	1					
ANR	28	Identifier	s		2	0					
ANR	29	Identifier	smr		2	1					
ANR	30	BreakStatement	break ;	19:8:205:210	2	2	True				
ANR	31	Label	case 0x04 :	21:4:217:226	2	3	True				
ANR	32	ExpressionStatement	ret = s -> brr	23:8:237:249	2	4	True				
ANR	33	AssignmentExpression	ret = s -> brr		2	0		=			
ANR	34	Identifier	ret		2	0					
ANR	35	PtrMemberAccess	s -> brr		2	1					
ANR	36	Identifier	s		2	0					
ANR	37	Identifier	brr		2	1					
ANR	38	BreakStatement	break ;	25:1:253:258	2	5	True				
ANR	39	Label	case 0x08 :	27:4:265:274	2	6	True				
ANR	40	ExpressionStatement	ret = s -> scr	29:8:285:297	2	7	True				
ANR	41	AssignmentExpression	ret = s -> scr		2	0		=			
ANR	42	Identifier	ret		2	0					
ANR	43	PtrMemberAccess	s -> scr		2	1					
ANR	44	Identifier	s		2	0					
ANR	45	Identifier	scr		2	1					
ANR	46	BreakStatement	break ;	31:8:308:313	2	8	True				
ANR	47	Label	case 0x14 :	33:4:320:329	2	9	True				
ANR	48	ExpressionStatement	ret = 0	35:8:340:347	2	10	True				
ANR	49	AssignmentExpression	ret = 0		2	0		=			
ANR	50	Identifier	ret		2	0					
ANR	51	PrimaryExpression	0		2	1					
ANR	52	BreakStatement	break ;	37:8:358:363	2	11	True				
ANR	53	IfStatement	if ( s -> feat & SH_SERIAL_FEAT_SCIF )		2	3					
ANR	54	Condition	s -> feat & SH_SERIAL_FEAT_SCIF	43:8:389:417	2	0	True				
ANR	55	BitAndExpression	s -> feat & SH_SERIAL_FEAT_SCIF		2	0		&			
ANR	56	PtrMemberAccess	s -> feat		2	0					
ANR	57	Identifier	s		2	0					
ANR	58	Identifier	feat		2	1					
ANR	59	Identifier	SH_SERIAL_FEAT_SCIF		2	1					
ANR	60	CompoundStatement		41:39:351:351	2	1					
ANR	61	SwitchStatement	switch ( offs )		2	0					
ANR	62	Condition	offs	45:15:438:441	2	0	True				
ANR	63	Identifier	offs		2	0					
ANR	64	CompoundStatement		43:21:375:375	2	1					
ANR	65	Label	case 0x00 :	47:8:455:464	2	0	True				
ANR	66	ExpressionStatement	ret = s -> smr	49:12:489:501	2	1	True				
ANR	67	AssignmentExpression	ret = s -> smr		2	0		=			
ANR	68	Identifier	ret		2	0					
ANR	69	PtrMemberAccess	s -> smr		2	1					
ANR	70	Identifier	s		2	0					
ANR	71	Identifier	smr		2	1					
ANR	72	BreakStatement	break ;	51:12:516:521	2	2	True				
ANR	73	Label	case 0x08 :	53:8:532:541	2	3	True				
ANR	74	ExpressionStatement	ret = s -> scr	55:12:566:578	2	4	True				
ANR	75	AssignmentExpression	ret = s -> scr		2	0		=			
ANR	76	Identifier	ret		2	0					
ANR	77	PtrMemberAccess	s -> scr		2	1					
ANR	78	Identifier	s		2	0					
ANR	79	Identifier	scr		2	1					
ANR	80	BreakStatement	break ;	57:12:593:598	2	5	True				
ANR	81	Label	case 0x10 :	59:8:609:618	2	6	True				
ANR	82	ExpressionStatement	ret = 0	61:12:643:650	2	7	True				
ANR	83	AssignmentExpression	ret = 0		2	0		=			
ANR	84	Identifier	ret		2	0					
ANR	85	PrimaryExpression	0		2	1					
ANR	86	IfStatement	if ( s -> flags & SH_SERIAL_FLAG_TEND )		2	8					
ANR	87	Condition	s -> flags & SH_SERIAL_FLAG_TEND	63:16:669:698	2	0	True				
ANR	88	BitAndExpression	s -> flags & SH_SERIAL_FLAG_TEND		2	0		&			
ANR	89	PtrMemberAccess	s -> flags		2	0					
ANR	90	Identifier	s		2	0					
ANR	91	Identifier	flags		2	1					
ANR	92	Identifier	SH_SERIAL_FLAG_TEND		2	1					
ANR	93	ExpressionStatement	ret |= ( 1 << 6 )	65:16:718:733	2	1	True				
ANR	94	AssignmentExpression	ret |= ( 1 << 6 )		2	0		|=			
ANR	95	Identifier	ret		2	0					
ANR	96	ShiftExpression	1 << 6		2	1		<<			
ANR	97	PrimaryExpression	1		2	0					
ANR	98	PrimaryExpression	6		2	1					
ANR	99	IfStatement	if ( s -> flags & SH_SERIAL_FLAG_TDE )		2	9					
ANR	100	Condition	s -> flags & SH_SERIAL_FLAG_TDE	67:16:752:780	2	0	True				
ANR	101	BitAndExpression	s -> flags & SH_SERIAL_FLAG_TDE		2	0		&			
ANR	102	PtrMemberAccess	s -> flags		2	0					
ANR	103	Identifier	s		2	0					
ANR	104	Identifier	flags		2	1					
ANR	105	Identifier	SH_SERIAL_FLAG_TDE		2	1					
ANR	106	ExpressionStatement	ret |= ( 1 << 5 )	69:16:800:815	2	1	True				
ANR	107	AssignmentExpression	ret |= ( 1 << 5 )		2	0		|=			
ANR	108	Identifier	ret		2	0					
ANR	109	ShiftExpression	1 << 5		2	1		<<			
ANR	110	PrimaryExpression	1		2	0					
ANR	111	PrimaryExpression	5		2	1					
ANR	112	IfStatement	if ( s -> flags & SH_SERIAL_FLAG_BRK )		2	10					
ANR	113	Condition	s -> flags & SH_SERIAL_FLAG_BRK	71:16:834:862	2	0	True				
ANR	114	BitAndExpression	s -> flags & SH_SERIAL_FLAG_BRK		2	0		&			
ANR	115	PtrMemberAccess	s -> flags		2	0					
ANR	116	Identifier	s		2	0					
ANR	117	Identifier	flags		2	1					
ANR	118	Identifier	SH_SERIAL_FLAG_BRK		2	1					
ANR	119	ExpressionStatement	ret |= ( 1 << 4 )	73:16:882:897	2	1	True				
ANR	120	AssignmentExpression	ret |= ( 1 << 4 )		2	0		|=			
ANR	121	Identifier	ret		2	0					
ANR	122	ShiftExpression	1 << 4		2	1		<<			
