command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/devign__02_vulnerable_static_int_tight_compress_data__xfg_targeted_dead_code__c1/_work/source/devign__02_vulnerable_static_int_tight_compress_data__xfg_targeted_dead_code__c1.c								
ANR	2	Function	tight_compress_data	1:0:0:1427							
ANR	3	FunctionDef	"tight_compress_data (VncState * vs , int stream_id , size_t bytes , int level , int strategy)"		2	0					
ANR	4	CompoundStatement		5:0:132:1427	2	0					
ANR	5	IfStatement	if ( 0 )		2	0					
ANR	6	Condition	0	7:8:143:143	2	0	True				
ANR	7	PrimaryExpression	0		2	0					
ANR	8	CompoundStatement		4:8:23:46	2	1					
ANR	9	IdentifierDeclStatement	int dwk_xfg_guard_1 = 1 ;	8:8:156:179	2	0	True				
ANR	10	IdentifierDecl	dwk_xfg_guard_1 = 1		2	0					
ANR	11	IdentifierDeclType	int		2	0					
ANR	12	Identifier	dwk_xfg_guard_1		2	1					
ANR	13	AssignmentExpression	dwk_xfg_guard_1 = 1		2	2		=			
ANR	14	Identifier	dwk_xfg_guard_1		2	0					
ANR	15	PrimaryExpression	1		2	1					
ANR	16	ExpressionStatement	dwk_xfg_guard_1 += 0	9:8:189:209	2	1	True				
ANR	17	AssignmentExpression	dwk_xfg_guard_1 += 0		2	0		+=			
ANR	18	Identifier	dwk_xfg_guard_1		2	0					
ANR	19	PrimaryExpression	0		2	1					
ANR	20	IdentifierDeclStatement	z_streamp zstream = & vs -> tight . stream [ stream_id ] ;	11:4:221:269	2	1	True				
ANR	21	IdentifierDecl	zstream = & vs -> tight . stream [ stream_id ]		2	0					
ANR	22	IdentifierDeclType	z_streamp		2	0					
ANR	23	Identifier	zstream		2	1					
ANR	24	AssignmentExpression	zstream = & vs -> tight . stream [ stream_id ]		2	2		=			
ANR	25	Identifier	zstream		2	0					
ANR	26	UnaryOperationExpression	& vs -> tight . stream [ stream_id ]		2	1					
ANR	27	UnaryOperator	&		2	0					
ANR	28	ArrayIndexing	vs -> tight . stream [ stream_id ]		2	1					
ANR	29	MemberAccess	vs -> tight . stream		2	0					
ANR	30	PtrMemberAccess	vs -> tight		2	0					
ANR	31	Identifier	vs		2	0					
ANR	32	Identifier	tight		2	1					
ANR	33	Identifier	stream		2	1					
ANR	34	Identifier	stream_id		2	1					
ANR	35	IdentifierDeclStatement	int previous_out ;	13:4:276:292	2	2	True				
ANR	36	IdentifierDecl	previous_out		2	0					
ANR	37	IdentifierDeclType	int		2	0					
ANR	38	Identifier	previous_out		2	1					
ANR	39	IfStatement	if ( bytes < VNC_TIGHT_MIN_TO_COMPRESS )		2	3					
ANR	40	Condition	bytes < VNC_TIGHT_MIN_TO_COMPRESS	17:8:305:337	2	0	True				
ANR	41	RelationalExpression	bytes < VNC_TIGHT_MIN_TO_COMPRESS		2	0		<			
ANR	42	Identifier	bytes		2	0					
ANR	43	Identifier	VNC_TIGHT_MIN_TO_COMPRESS		2	1					
ANR	44	CompoundStatement		13:43:207:207	2	1					
ANR	45	ExpressionStatement	"vnc_write ( vs , vs -> tight . tight . buffer , vs -> tight . tight . offset )"	19:8:351:412	2	0	True				
ANR	46	CallExpression	"vnc_write ( vs , vs -> tight . tight . buffer , vs -> tight . tight . offset )"		2	0					
ANR	47	Callee	vnc_write		2	0					
ANR	48	Identifier	vnc_write		2	0					
ANR	49	ArgumentList	vs		2	1					
ANR	50	Argument	vs		2	0					
ANR	51	Identifier	vs		2	0					
ANR	52	Argument	vs -> tight . tight . buffer		2	1					
ANR	53	MemberAccess	vs -> tight . tight . buffer		2	0					
ANR	54	MemberAccess	vs -> tight . tight		2	0					
ANR	55	PtrMemberAccess	vs -> tight		2	0					
ANR	56	Identifier	vs		2	0					
ANR	57	Identifier	tight		2	1					
ANR	58	Identifier	tight		2	1					
ANR	59	Identifier	buffer		2	1					
ANR	60	Argument	vs -> tight . tight . offset		2	2					
ANR	61	MemberAccess	vs -> tight . tight . offset		2	0					
ANR	62	MemberAccess	vs -> tight . tight		2	0					
ANR	63	PtrMemberAccess	vs -> tight		2	0					
ANR	64	Identifier	vs		2	0					
ANR	65	Identifier	tight		2	1					
ANR	66	Identifier	tight		2	1					
ANR	67	Identifier	offset		2	1					
ANR	68	ReturnStatement	return bytes ;	21:8:423:435	2	1	True				
ANR	69	Identifier	bytes		2	0					
ANR	70	IfStatement	"if ( tight_init_stream ( vs , stream_id , level , strategy ) )"		2	4					
ANR	71	Condition	"tight_init_stream ( vs , stream_id , level , strategy )"	27:8:455:503	2	0	True				
ANR	72	CallExpression	"tight_init_stream ( vs , stream_id , level , strategy )"		2	0					
ANR	73	Callee	tight_init_stream		2	0					
ANR	74	Identifier	tight_init_stream		2	0					
ANR	75	ArgumentList	vs		2	1					
ANR	76	Argument	vs		2	0					
ANR	77	Identifier	vs		2	0					
ANR	78	Argument	stream_id		2	1					
ANR	79	Identifier	stream_id		2	0					
ANR	80	Argument	level		2	2					
ANR	81	Identifier	level		2	0					
ANR	82	Argument	strategy		2	3					
ANR	83	Identifier	strategy		2	0					
ANR	84	CompoundStatement		23:59:373:373	2	1					
ANR	85	ReturnStatement	return - 1 ;	29:8:517:526	2	0	True				
ANR	86	UnaryOperationExpression	- 1		2	0					
ANR	87	UnaryOperator	-		2	0					
ANR	88	PrimaryExpression	1		2	1					
