command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/devign__04_non_vulnerable_static_av_always_inline_int_dnxhd_de__dead_statement__c1/_work/source/devign__04_non_vulnerable_static_av_always_inline_int_dnxhd_de__dead_statement__c1.c								
ANR	2	Function	dnxhd_decode_dct_block	1:0:0:3315							
ANR	3	FunctionDef	"dnxhd_decode_dct_block (const DNXHDContext * ctx , RowContext * row , int n , int index_bits , int level_bias , int level_shift)"		2	0					
ANR	4	CompoundStatement		13:0:410:3315	2	0					
ANR	5	IdentifierDeclStatement	int dwk_dummy_1 = 0 ;	14:4:416:435	2	0	True				
ANR	6	IdentifierDecl	dwk_dummy_1 = 0		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	dwk_dummy_1		2	1					
ANR	9	AssignmentExpression	dwk_dummy_1 = 0		2	2		=			
ANR	10	Identifier	dwk_dummy_1		2	0					
ANR	11	PrimaryExpression	0		2	1					
ANR	12	ExpressionStatement	dwk_dummy_1 += 0	15:4:441:457	2	1	True				
ANR	13	AssignmentExpression	dwk_dummy_1 += 0		2	0		+=			
ANR	14	Identifier	dwk_dummy_1		2	0					
ANR	15	PrimaryExpression	0		2	1					
ANR	16	IdentifierDeclStatement	"int i , j , index1 , index2 , len , flags ;"	17:4:464:500	2	2	True				
ANR	17	IdentifierDecl	i		2	0					
ANR	18	IdentifierDeclType	int		2	0					
ANR	19	Identifier	i		2	1					
ANR	20	IdentifierDecl	j		2	1					
ANR	21	IdentifierDeclType	int		2	0					
ANR	22	Identifier	j		2	1					
ANR	23	IdentifierDecl	index1		2	2					
ANR	24	IdentifierDeclType	int		2	0					
ANR	25	Identifier	index1		2	1					
ANR	26	IdentifierDecl	index2		2	3					
ANR	27	IdentifierDeclType	int		2	0					
ANR	28	Identifier	index2		2	1					
ANR	29	IdentifierDecl	len		2	4					
ANR	30	IdentifierDeclType	int		2	0					
ANR	31	Identifier	len		2	1					
ANR	32	IdentifierDecl	flags		2	5					
ANR	33	IdentifierDeclType	int		2	0					
ANR	34	Identifier	flags		2	1					
ANR	35	IdentifierDeclStatement	"int level , component , sign ;"	19:4:507:533	2	3	True				
ANR	36	IdentifierDecl	level		2	0					
ANR	37	IdentifierDeclType	int		2	0					
ANR	38	Identifier	level		2	1					
ANR	39	IdentifierDecl	component		2	1					
ANR	40	IdentifierDeclType	int		2	0					
ANR	41	Identifier	component		2	1					
ANR	42	IdentifierDecl	sign		2	2					
ANR	43	IdentifierDeclType	int		2	0					
ANR	44	Identifier	sign		2	1					
ANR	45	IdentifierDeclStatement	const int * scale ;	21:4:540:556	2	4	True				
ANR	46	IdentifierDecl	* scale		2	0					
ANR	47	IdentifierDeclType	const int *		2	0					
ANR	48	Identifier	scale		2	1					
ANR	49	IdentifierDeclStatement	const uint8_t * weight_matrix ;	23:4:563:591	2	5	True				
ANR	50	IdentifierDecl	* weight_matrix		2	0					
ANR	51	IdentifierDeclType	const uint8_t *		2	0					
ANR	52	Identifier	weight_matrix		2	1					
ANR	53	IdentifierDeclStatement	const uint8_t * ac_level = ctx -> cid_table -> ac_level ;	25:4:598:648	2	6	True				
ANR	54	IdentifierDecl	* ac_level = ctx -> cid_table -> ac_level		2	0					
ANR	55	IdentifierDeclType	const uint8_t *		2	0					
ANR	56	Identifier	ac_level		2	1					
ANR	57	AssignmentExpression	* ac_level = ctx -> cid_table -> ac_level		2	2		=			
ANR	58	Identifier	ac_level		2	0					
ANR	59	PtrMemberAccess	ctx -> cid_table -> ac_level		2	1					
ANR	60	PtrMemberAccess	ctx -> cid_table		2	0					
ANR	61	Identifier	ctx		2	0					
ANR	62	Identifier	cid_table		2	1					
ANR	63	Identifier	ac_level		2	1					
ANR	64	IdentifierDeclStatement	const uint8_t * ac_flags = ctx -> cid_table -> ac_flags ;	27:4:655:705	2	7	True				
ANR	65	IdentifierDecl	* ac_flags = ctx -> cid_table -> ac_flags		2	0					
ANR	66	IdentifierDeclType	const uint8_t *		2	0					
ANR	67	Identifier	ac_flags		2	1					
ANR	68	AssignmentExpression	* ac_flags = ctx -> cid_table -> ac_flags		2	2		=			
ANR	69	Identifier	ac_flags		2	0					
ANR	70	PtrMemberAccess	ctx -> cid_table -> ac_flags		2	1					
ANR	71	PtrMemberAccess	ctx -> cid_table		2	0					
ANR	72	Identifier	ctx		2	0					
ANR	73	Identifier	cid_table		2	1					
ANR	74	Identifier	ac_flags		2	1					
ANR	75	IdentifierDeclStatement	int16_t * block = row -> blocks [ n ] ;	29:4:712:743	2	8	True				
ANR	76	IdentifierDecl	* block = row -> blocks [ n ]		2	0					
ANR	77	IdentifierDeclType	int16_t *		2	0					
ANR	78	Identifier	block		2	1					
ANR	79	AssignmentExpression	* block = row -> blocks [ n ]		2	2		=			
ANR	80	Identifier	block		2	0					
ANR	81	ArrayIndexing	row -> blocks [ n ]		2	1					
ANR	82	PtrMemberAccess	row -> blocks		2	0					
ANR	83	Identifier	row		2	0					
ANR	84	Identifier	blocks		2	1					
ANR	85	Identifier	n		2	1					
ANR	86	IdentifierDeclStatement	const int eob_index = ctx -> cid_table -> eob_index ;	31:4:750:801	2	9	True				
ANR	87	IdentifierDecl	eob_index = ctx -> cid_table -> eob_index		2	0					
ANR	88	IdentifierDeclType	const int		2	0					
ANR	89	Identifier	eob_index		2	1					
ANR	90	AssignmentExpression	eob_index = ctx -> cid_table -> eob_index		2	2		=			
ANR	91	Identifier	eob_index		2	0					
ANR	92	PtrMemberAccess	ctx -> cid_table -> eob_index		2	1					
ANR	93	PtrMemberAccess	ctx -> cid_table		2	0					
