command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/devign__04_non_vulnerable_static_av_always_inline_int_dnxhd_de__pattern_dead_code__c1/_work/source/devign__04_non_vulnerable_static_av_always_inline_int_dnxhd_de__pattern_dead_code__c1.c								
ANR	2	Function	dnxhd_decode_dct_block	1:0:0:3493							
ANR	3	FunctionDef	"dnxhd_decode_dct_block (const DNXHDContext * ctx , RowContext * row , int n , int index_bits , int level_bias , int level_shift)"		2	0					
ANR	4	CompoundStatement		13:0:410:3493	2	0					
ANR	5	IdentifierDeclStatement	"int i , j , index1 , index2 , len , flags ;"	15:4:417:453	2	0	True				
ANR	6	IdentifierDecl	i		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	i		2	1					
ANR	9	IdentifierDecl	j		2	1					
ANR	10	IdentifierDeclType	int		2	0					
ANR	11	Identifier	j		2	1					
ANR	12	IdentifierDecl	index1		2	2					
ANR	13	IdentifierDeclType	int		2	0					
ANR	14	Identifier	index1		2	1					
ANR	15	IdentifierDecl	index2		2	3					
ANR	16	IdentifierDeclType	int		2	0					
ANR	17	Identifier	index2		2	1					
ANR	18	IdentifierDecl	len		2	4					
ANR	19	IdentifierDeclType	int		2	0					
ANR	20	Identifier	len		2	1					
ANR	21	IdentifierDecl	flags		2	5					
ANR	22	IdentifierDeclType	int		2	0					
ANR	23	Identifier	flags		2	1					
ANR	24	IdentifierDeclStatement	"int level , component , sign ;"	17:4:460:486	2	1	True				
ANR	25	IdentifierDecl	level		2	0					
ANR	26	IdentifierDeclType	int		2	0					
ANR	27	Identifier	level		2	1					
ANR	28	IdentifierDecl	component		2	1					
ANR	29	IdentifierDeclType	int		2	0					
ANR	30	Identifier	component		2	1					
ANR	31	IdentifierDecl	sign		2	2					
ANR	32	IdentifierDeclType	int		2	0					
ANR	33	Identifier	sign		2	1					
ANR	34	IfStatement	if ( 0 )		2	2					
ANR	35	Condition	0	19:8:497:497	2	0	True				
ANR	36	PrimaryExpression	0		2	0					
ANR	37	CompoundStatement		10:8:165:203	2	1					
ANR	38	IdentifierDeclStatement	char dwk_src_1 [ 8 ] = { 0 } ;	20:8:510:533	2	0	True				
ANR	39	IdentifierDecl	dwk_src_1 [ 8 ] = { 0 }		2	0					
ANR	40	IdentifierDeclType	char [ 8 ]		2	0					
ANR	41	Identifier	dwk_src_1		2	1					
ANR	42	PrimaryExpression	8		2	2					
ANR	43	AssignmentExpression	dwk_src_1 [ 8 ] = { 0 }		2	3		=			
ANR	44	Identifier	dwk_src_1		2	0					
ANR	45	InitializerList	0		2	1					
ANR	46	PrimaryExpression	0		2	0					
ANR	47	IdentifierDeclStatement	char dwk_dst_1 [ 8 ] = { 0 } ;	21:8:543:566	2	1	True				
ANR	48	IdentifierDecl	dwk_dst_1 [ 8 ] = { 0 }		2	0					
ANR	49	IdentifierDeclType	char [ 8 ]		2	0					
ANR	50	Identifier	dwk_dst_1		2	1					
ANR	51	PrimaryExpression	8		2	2					
ANR	52	AssignmentExpression	dwk_dst_1 [ 8 ] = { 0 }		2	3		=			
ANR	53	Identifier	dwk_dst_1		2	0					
ANR	54	InitializerList	0		2	1					
ANR	55	PrimaryExpression	0		2	0					
ANR	56	IdentifierDeclStatement	int dwk_len_1 = ( int ) sizeof ( dwk_dst_1 ) ;	22:8:576:614	2	2	True				
ANR	57	IdentifierDecl	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		2	0					
ANR	58	IdentifierDeclType	int		2	0					
ANR	59	Identifier	dwk_len_1		2	1					
ANR	60	AssignmentExpression	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		2	2		=			
ANR	61	Identifier	dwk_len_1		2	0					
ANR	62	CastExpression	( int ) sizeof ( dwk_dst_1 )		2	1					
ANR	63	CastTarget	int		2	0					
ANR	64	SizeofExpression	sizeof ( dwk_dst_1 )		2	1					
ANR	65	Sizeof	sizeof		2	0					
ANR	66	SizeofOperand	dwk_dst_1		2	1					
ANR	67	IfStatement	if ( dwk_len_1 > 0 )		2	3					
ANR	68	Condition	dwk_len_1 > 0	23:12:628:640	2	0	True				
ANR	69	RelationalExpression	dwk_len_1 > 0		2	0		>			
ANR	70	Identifier	dwk_len_1		2	0					
ANR	71	PrimaryExpression	0		2	1					
ANR	72	CompoundStatement		11:27:232:232	2	1					
ANR	73	ExpressionStatement	dwk_dst_1 [ dwk_len_1 - 1 ] = dwk_src_1 [ 0 ]	24:12:657:696	2	0	True				
ANR	74	AssignmentExpression	dwk_dst_1 [ dwk_len_1 - 1 ] = dwk_src_1 [ 0 ]		2	0		=			
ANR	75	ArrayIndexing	dwk_dst_1 [ dwk_len_1 - 1 ]		2	0					
ANR	76	Identifier	dwk_dst_1		2	0					
ANR	77	AdditiveExpression	dwk_len_1 - 1		2	1		-			
ANR	78	Identifier	dwk_len_1		2	0					
