start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
5	6	IS_AST_PARENT	
9	10	IS_AST_PARENT	
9	11	IS_AST_PARENT	
5	9	IS_AST_PARENT	
12	13	IS_AST_PARENT	
12	14	IS_AST_PARENT	
5	12	IS_AST_PARENT	
15	16	IS_AST_PARENT	
15	17	IS_AST_PARENT	
5	15	IS_AST_PARENT	
18	19	IS_AST_PARENT	
18	20	IS_AST_PARENT	
5	18	IS_AST_PARENT	
21	22	IS_AST_PARENT	
21	23	IS_AST_PARENT	
5	21	IS_AST_PARENT	
4	5	IS_AST_PARENT	
25	26	IS_AST_PARENT	
25	27	IS_AST_PARENT	
24	25	IS_AST_PARENT	
28	29	IS_AST_PARENT	
28	30	IS_AST_PARENT	
24	28	IS_AST_PARENT	
31	32	IS_AST_PARENT	
31	33	IS_AST_PARENT	
24	31	IS_AST_PARENT	
4	24	IS_AST_PARENT	
35	36	IS_AST_PARENT	
35	37	IS_AST_PARENT	
34	35	IS_AST_PARENT	
4	34	IS_AST_PARENT	
39	40	IS_AST_PARENT	
39	41	IS_AST_PARENT	
38	39	IS_AST_PARENT	
4	38	IS_AST_PARENT	
43	44	IS_AST_PARENT	
43	45	IS_AST_PARENT	
46	47	IS_AST_PARENT	
49	50	IS_AST_PARENT	
49	51	IS_AST_PARENT	
48	49	IS_AST_PARENT	
48	52	IS_AST_PARENT	
46	48	IS_AST_PARENT	
43	46	IS_AST_PARENT	
42	43	IS_AST_PARENT	
4	42	IS_AST_PARENT	
54	55	IS_AST_PARENT	
54	56	IS_AST_PARENT	
57	58	IS_AST_PARENT	
60	61	IS_AST_PARENT	
60	62	IS_AST_PARENT	
59	60	IS_AST_PARENT	
59	63	IS_AST_PARENT	
57	59	IS_AST_PARENT	
54	57	IS_AST_PARENT	
53	54	IS_AST_PARENT	
4	53	IS_AST_PARENT	
65	66	IS_AST_PARENT	
65	67	IS_AST_PARENT	
68	69	IS_AST_PARENT	
71	72	IS_AST_PARENT	
71	73	IS_AST_PARENT	
70	71	IS_AST_PARENT	
70	74	IS_AST_PARENT	
68	70	IS_AST_PARENT	
65	68	IS_AST_PARENT	
64	65	IS_AST_PARENT	
4	64	IS_AST_PARENT	
76	77	IS_AST_PARENT	
76	78	IS_AST_PARENT	
79	80	IS_AST_PARENT	
82	83	IS_AST_PARENT	
82	84	IS_AST_PARENT	
81	82	IS_AST_PARENT	
81	85	IS_AST_PARENT	
79	81	IS_AST_PARENT	
76	79	IS_AST_PARENT	
75	76	IS_AST_PARENT	
4	75	IS_AST_PARENT	
87	88	IS_AST_PARENT	
87	89	IS_AST_PARENT	
90	91	IS_AST_PARENT	
90	92	IS_AST_PARENT	
87	90	IS_AST_PARENT	
86	87	IS_AST_PARENT	
4	86	IS_AST_PARENT	
95	96	IS_AST_PARENT	
94	95	IS_AST_PARENT	
98	99	IS_AST_PARENT	
97	98	IS_AST_PARENT	
101	102	IS_AST_PARENT	
103	104	IS_AST_PARENT	
103	105	IS_AST_PARENT	
101	103	IS_AST_PARENT	
100	101	IS_AST_PARENT	
97	100	IS_AST_PARENT	
94	97	IS_AST_PARENT	
93	94	IS_AST_PARENT	
4	93	IS_AST_PARENT	
110	111	IS_AST_PARENT	
110	112	IS_AST_PARENT	
109	110	IS_AST_PARENT	
109	113	IS_AST_PARENT	
108	109	IS_AST_PARENT	
107	108	IS_AST_PARENT	
115	116	IS_AST_PARENT	
114	115	IS_AST_PARENT	
107	114	IS_AST_PARENT	
106	107	IS_AST_PARENT	
4	106	IS_AST_PARENT	
119	120	IS_AST_PARENT	
121	122	IS_AST_PARENT	
121	123	IS_AST_PARENT	
119	121	IS_AST_PARENT	
118	119	IS_AST_PARENT	
117	118	IS_AST_PARENT	
127	128	IS_AST_PARENT	
127	129	IS_AST_PARENT	
126	127	IS_AST_PARENT	
125	126	IS_AST_PARENT	
132	133	IS_AST_PARENT	
134	135	IS_AST_PARENT	
136	137	IS_AST_PARENT	
136	138	IS_AST_PARENT	
134	136	IS_AST_PARENT	
132	134	IS_AST_PARENT	
131	132	IS_AST_PARENT	
130	131	IS_AST_PARENT	
140	141	IS_AST_PARENT	
142	143	IS_AST_PARENT	
142	144	IS_AST_PARENT	
140	142	IS_AST_PARENT	
139	140	IS_AST_PARENT	
130	139	IS_AST_PARENT	
146	147	IS_AST_PARENT	
149	150	IS_AST_PARENT	
149	151	IS_AST_PARENT	
148	149	IS_AST_PARENT	
148	152	IS_AST_PARENT	
146	148	IS_AST_PARENT	
145	146	IS_AST_PARENT	
130	145	IS_AST_PARENT	
125	130	IS_AST_PARENT	
156	157	IS_AST_PARENT	
156	158	IS_AST_PARENT	
159	160	IS_AST_PARENT	
159	161	IS_AST_PARENT	
156	159	IS_AST_PARENT	
155	156	IS_AST_PARENT	
154	155	IS_AST_PARENT	
163	164	IS_AST_PARENT	
163	165	IS_AST_PARENT	
162	163	IS_AST_PARENT	
154	162	IS_AST_PARENT	
167	168	IS_AST_PARENT	
169	170	IS_AST_PARENT	
169	171	IS_AST_PARENT	
167	169	IS_AST_PARENT	
166	167	IS_AST_PARENT	
154	166	IS_AST_PARENT	
173	174	IS_AST_PARENT	
176	177	IS_AST_PARENT	
176	178	IS_AST_PARENT	
175	176	IS_AST_PARENT	
175	179	IS_AST_PARENT	
173	175	IS_AST_PARENT	
172	173	IS_AST_PARENT	
154	172	IS_AST_PARENT	
153	154	IS_AST_PARENT	
125	153	IS_AST_PARENT	
124	125	IS_AST_PARENT	
117	124	IS_AST_PARENT	
183	184	IS_AST_PARENT	
186	187	IS_AST_PARENT	
186	188	IS_AST_PARENT	
185	186	IS_AST_PARENT	
185	189	IS_AST_PARENT	
183	185	IS_AST_PARENT	
182	183	IS_AST_PARENT	
181	182	IS_AST_PARENT	
191	192	IS_AST_PARENT	
190	191	IS_AST_PARENT	
195	196	IS_AST_PARENT	
197	198	IS_AST_PARENT	
197	199	IS_AST_PARENT	
195	197	IS_AST_PARENT	
194	195	IS_AST_PARENT	
193	194	IS_AST_PARENT	
201	202	IS_AST_PARENT	
204	205	IS_AST_PARENT	
204	206	IS_AST_PARENT	
203	204	IS_AST_PARENT	
203	207	IS_AST_PARENT	
201	203	IS_AST_PARENT	
200	201	IS_AST_PARENT	
193	200	IS_AST_PARENT	
190	193	IS_AST_PARENT	
211	212	IS_AST_PARENT	
213	214	IS_AST_PARENT	
213	215	IS_AST_PARENT	
211	213	IS_AST_PARENT	
210	211	IS_AST_PARENT	
209	210	IS_AST_PARENT	
217	218	IS_AST_PARENT	
220	221	IS_AST_PARENT	
220	222	IS_AST_PARENT	
219	220	IS_AST_PARENT	
219	223	IS_AST_PARENT	
217	219	IS_AST_PARENT	
216	217	IS_AST_PARENT	
209	216	IS_AST_PARENT	
208	209	IS_AST_PARENT	
190	208	IS_AST_PARENT	
181	190	IS_AST_PARENT	
180	181	IS_AST_PARENT	
117	180	IS_AST_PARENT	
4	117	IS_AST_PARENT	
226	227	IS_AST_PARENT	
225	226	IS_AST_PARENT	
229	230	IS_AST_PARENT	
228	229	IS_AST_PARENT	
232	233	IS_AST_PARENT	
234	235	IS_AST_PARENT	
234	236	IS_AST_PARENT	
232	234	IS_AST_PARENT	
231	232	IS_AST_PARENT	
228	231	IS_AST_PARENT	
225	228	IS_AST_PARENT	
224	225	IS_AST_PARENT	
4	224	IS_AST_PARENT	
239	240	IS_AST_PARENT	
238	239	IS_AST_PARENT	
242	243	IS_AST_PARENT	
241	242	IS_AST_PARENT	
244	245	IS_AST_PARENT	
241	244	IS_AST_PARENT	
247	248	IS_AST_PARENT	
249	250	IS_AST_PARENT	
249	251	IS_AST_PARENT	
247	249	IS_AST_PARENT	
246	247	IS_AST_PARENT	
241	246	IS_AST_PARENT	
254	255	IS_AST_PARENT	
254	256	IS_AST_PARENT	
253	254	IS_AST_PARENT	
253	257	IS_AST_PARENT	
252	253	IS_AST_PARENT	
241	252	IS_AST_PARENT	
258	259	IS_AST_PARENT	
241	258	IS_AST_PARENT	
260	261	IS_AST_PARENT	
241	260	IS_AST_PARENT	
238	241	IS_AST_PARENT	
237	238	IS_AST_PARENT	
4	237	IS_AST_PARENT	
263	264	IS_AST_PARENT	
262	263	IS_AST_PARENT	
267	268	IS_AST_PARENT	
270	271	IS_AST_PARENT	
269	270	IS_AST_PARENT	
273	274	IS_AST_PARENT	
272	273	IS_AST_PARENT	
276	277	IS_AST_PARENT	
278	279	IS_AST_PARENT	
278	280	IS_AST_PARENT	
276	278	IS_AST_PARENT	
275	276	IS_AST_PARENT	
272	275	IS_AST_PARENT	
269	272	IS_AST_PARENT	
267	269	IS_AST_PARENT	
266	267	IS_AST_PARENT	
265	266	IS_AST_PARENT	
283	284	IS_AST_PARENT	
282	283	IS_AST_PARENT	
286	287	IS_AST_PARENT	
285	286	IS_AST_PARENT	
289	290	IS_AST_PARENT	
291	292	IS_AST_PARENT	
291	293	IS_AST_PARENT	
289	291	IS_AST_PARENT	
288	289	IS_AST_PARENT	
285	288	IS_AST_PARENT	
294	295	IS_AST_PARENT	
285	294	IS_AST_PARENT	
282	285	IS_AST_PARENT	
281	282	IS_AST_PARENT	
265	281	IS_AST_PARENT	
297	298	IS_AST_PARENT	
299	300	IS_AST_PARENT	
299	301	IS_AST_PARENT	
297	299	IS_AST_PARENT	
296	297	IS_AST_PARENT	
265	296	IS_AST_PARENT	
303	304	IS_AST_PARENT	
308	309	IS_AST_PARENT	
307	308	IS_AST_PARENT	
312	313	IS_AST_PARENT	
312	314	IS_AST_PARENT	
311	312	IS_AST_PARENT	
310	311	IS_AST_PARENT	
315	316	IS_AST_PARENT	
310	315	IS_AST_PARENT	
307	310	IS_AST_PARENT	
306	307	IS_AST_PARENT	
306	317	IS_AST_PARENT	
305	306	IS_AST_PARENT	
305	318	IS_AST_PARENT	
303	305	IS_AST_PARENT	
302	303	IS_AST_PARENT	
265	302	IS_AST_PARENT	
322	323	IS_AST_PARENT	
322	324	IS_AST_PARENT	
321	322	IS_AST_PARENT	
321	325	IS_AST_PARENT	
320	321	IS_AST_PARENT	
320	326	IS_AST_PARENT	
319	320	IS_AST_PARENT	
265	319	IS_AST_PARENT	
262	265	IS_AST_PARENT	
4	262	IS_AST_PARENT	
329	330	IS_AST_PARENT	
329	331	IS_AST_PARENT	
328	329	IS_AST_PARENT	
333	334	IS_AST_PARENT	
333	335	IS_AST_PARENT	
332	333	IS_AST_PARENT	
332	336	IS_AST_PARENT	
328	332	IS_AST_PARENT	
327	328	IS_AST_PARENT	
4	327	IS_AST_PARENT	
338	339	IS_AST_PARENT	
338	340	IS_AST_PARENT	
337	338	IS_AST_PARENT	
4	337	IS_AST_PARENT	
343	344	IS_AST_PARENT	
342	343	IS_AST_PARENT	
346	347	IS_AST_PARENT	
345	346	IS_AST_PARENT	
349	350	IS_AST_PARENT	
351	352	IS_AST_PARENT	
351	353	IS_AST_PARENT	
349	351	IS_AST_PARENT	
348	349	IS_AST_PARENT	
345	348	IS_AST_PARENT	
342	345	IS_AST_PARENT	
341	342	IS_AST_PARENT	
4	341	IS_AST_PARENT	
356	357	IS_AST_PARENT	
355	356	IS_AST_PARENT	
359	360	IS_AST_PARENT	
358	359	IS_AST_PARENT	
361	362	IS_AST_PARENT	
358	361	IS_AST_PARENT	
364	365	IS_AST_PARENT	
366	367	IS_AST_PARENT	
366	368	IS_AST_PARENT	
364	366	IS_AST_PARENT	
363	364	IS_AST_PARENT	
358	363	IS_AST_PARENT	
371	372	IS_AST_PARENT	
371	373	IS_AST_PARENT	
370	371	IS_AST_PARENT	
370	374	IS_AST_PARENT	
369	370	IS_AST_PARENT	
358	369	IS_AST_PARENT	
375	376	IS_AST_PARENT	
358	375	IS_AST_PARENT	
377	378	IS_AST_PARENT	
358	377	IS_AST_PARENT	
355	358	IS_AST_PARENT	
354	355	IS_AST_PARENT	
4	354	IS_AST_PARENT	
381	382	IS_AST_PARENT	
381	383	IS_AST_PARENT	
380	381	IS_AST_PARENT	
379	380	IS_AST_PARENT	
386	387	IS_AST_PARENT	
388	389	IS_AST_PARENT	
388	390	IS_AST_PARENT	
386	388	IS_AST_PARENT	
385	386	IS_AST_PARENT	
384	385	IS_AST_PARENT	
392	393	IS_AST_PARENT	
394	395	IS_AST_PARENT	
394	396	IS_AST_PARENT	
392	394	IS_AST_PARENT	
391	392	IS_AST_PARENT	
384	391	IS_AST_PARENT	
398	399	IS_AST_PARENT	
401	402	IS_AST_PARENT	
400	401	IS_AST_PARENT	
404	405	IS_AST_PARENT	
403	404	IS_AST_PARENT	
407	408	IS_AST_PARENT	
409	410	IS_AST_PARENT	
409	411	IS_AST_PARENT	
407	409	IS_AST_PARENT	
406	407	IS_AST_PARENT	
403	406	IS_AST_PARENT	
412	413	IS_AST_PARENT	
403	412	IS_AST_PARENT	
400	403	IS_AST_PARENT	
398	400	IS_AST_PARENT	
397	398	IS_AST_PARENT	
384	397	IS_AST_PARENT	
416	417	IS_AST_PARENT	
415	416	IS_AST_PARENT	
419	420	IS_AST_PARENT	
418	419	IS_AST_PARENT	
422	423	IS_AST_PARENT	
424	425	IS_AST_PARENT	
424	426	IS_AST_PARENT	
422	424	IS_AST_PARENT	
421	422	IS_AST_PARENT	
418	421	IS_AST_PARENT	
427	428	IS_AST_PARENT	
418	427	IS_AST_PARENT	
415	418	IS_AST_PARENT	
414	415	IS_AST_PARENT	
384	414	IS_AST_PARENT	
431	432	IS_AST_PARENT	
431	433	IS_AST_PARENT	
430	431	IS_AST_PARENT	
429	430	IS_AST_PARENT	
436	437	IS_AST_PARENT	
440	441	IS_AST_PARENT	
439	440	IS_AST_PARENT	
443	444	IS_AST_PARENT	
442	443	IS_AST_PARENT	
446	447	IS_AST_PARENT	
448	449	IS_AST_PARENT	
448	450	IS_AST_PARENT	
446	448	IS_AST_PARENT	
445	446	IS_AST_PARENT	
442	445	IS_AST_PARENT	
451	452	IS_AST_PARENT	
442	451	IS_AST_PARENT	
439	442	IS_AST_PARENT	
438	439	IS_AST_PARENT	
438	453	IS_AST_PARENT	
436	438	IS_AST_PARENT	
435	436	IS_AST_PARENT	
434	435	IS_AST_PARENT	
456	457	IS_AST_PARENT	
455	456	IS_AST_PARENT	
459	460	IS_AST_PARENT	
458	459	IS_AST_PARENT	
462	463	IS_AST_PARENT	
464	465	IS_AST_PARENT	
464	466	IS_AST_PARENT	
462	464	IS_AST_PARENT	
461	462	IS_AST_PARENT	
458	461	IS_AST_PARENT	
467	468	IS_AST_PARENT	
458	467	IS_AST_PARENT	
455	458	IS_AST_PARENT	
454	455	IS_AST_PARENT	
434	454	IS_AST_PARENT	
429	434	IS_AST_PARENT	
384	429	IS_AST_PARENT	
471	472	IS_AST_PARENT	
471	473	IS_AST_PARENT	
470	471	IS_AST_PARENT	
469	470	IS_AST_PARENT	
477	478	IS_AST_PARENT	
476	477	IS_AST_PARENT	
480	481	IS_AST_PARENT	
479	480	IS_AST_PARENT	
483	484	IS_AST_PARENT	
485	486	IS_AST_PARENT	
485	487	IS_AST_PARENT	
483	485	IS_AST_PARENT	
482	483	IS_AST_PARENT	
479	482	IS_AST_PARENT	
476	479	IS_AST_PARENT	
475	476	IS_AST_PARENT	
474	475	IS_AST_PARENT	
490	491	IS_AST_PARENT	
489	490	IS_AST_PARENT	
493	494	IS_AST_PARENT	
492	493	IS_AST_PARENT	
495	496	IS_AST_PARENT	
492	495	IS_AST_PARENT	
498	499	IS_AST_PARENT	
500	501	IS_AST_PARENT	
500	502	IS_AST_PARENT	
498	500	IS_AST_PARENT	
497	498	IS_AST_PARENT	
492	497	IS_AST_PARENT	
505	506	IS_AST_PARENT	
505	507	IS_AST_PARENT	
504	505	IS_AST_PARENT	
504	508	IS_AST_PARENT	
503	504	IS_AST_PARENT	
492	503	IS_AST_PARENT	
509	510	IS_AST_PARENT	
492	509	IS_AST_PARENT	
511	512	IS_AST_PARENT	
492	511	IS_AST_PARENT	
489	492	IS_AST_PARENT	
488	489	IS_AST_PARENT	
474	488	IS_AST_PARENT	
514	515	IS_AST_PARENT	
518	519	IS_AST_PARENT	
518	520	IS_AST_PARENT	
517	518	IS_AST_PARENT	
517	521	IS_AST_PARENT	
516	517	IS_AST_PARENT	
516	522	IS_AST_PARENT	
514	516	IS_AST_PARENT	
513	514	IS_AST_PARENT	
474	513	IS_AST_PARENT	
469	474	IS_AST_PARENT	
384	469	IS_AST_PARENT	
526	527	IS_AST_PARENT	
