command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/devign__09_non_vulnerable_static_ExitStatus_gen_store_conditio__control_wrapper__c1/_work/source/devign__09_non_vulnerable_static_ExitStatus_gen_store_conditio__control_wrapper__c1.c								
ANR	2	Function	gen_store_conditional	1:0:0:1817							
ANR	3	FunctionDef	"gen_store_conditional (DisasContext * ctx , int ra , int rb , int32_t disp16 , int quad)"		2	0					
ANR	4	CompoundStatement		5:0:143:1817	2	0					
ANR	5	IdentifierDeclStatement	TCGv addr ;	7:4:150:159	2	0	True				
ANR	6	IdentifierDecl	addr		2	0					
ANR	7	IdentifierDeclType	TCGv		2	0					
ANR	8	Identifier	addr		2	1					
ANR	9	IfStatement	if ( ra == 31 )		2	1					
ANR	10	Condition	ra == 31	11:8:172:179	2	0	True				
ANR	11	EqualityExpression	ra == 31		2	0		==			
ANR	12	Identifier	ra		2	0					
ANR	13	PrimaryExpression	31		2	1					
ANR	14	CompoundStatement		7:18:38:38	2	1					
ANR	15	IfStatement	if ( 1 )		2	0					
ANR	16	Condition	1	17:12:340:340	2	0	True				
ANR	17	PrimaryExpression	1		2	0					
ANR	18	CompoundStatement		13:15:199:199	2	1					
ANR	19	ReturnStatement	return NO_EXIT ;	18:12:357:371	2	0	True				
ANR	20	Identifier	NO_EXIT		2	0					
ANR	21	ExpressionStatement	addr = cpu_lock_st_addr	27:4:428:451	2	2	True				
ANR	22	AssignmentExpression	addr = cpu_lock_st_addr		2	0		=			
ANR	23	Identifier	addr		2	0					
ANR	24	Identifier	cpu_lock_st_addr		2	1					
ANR	25	ExpressionStatement	"tcg_gen_addi_i64 ( addr , load_gpr ( ctx , rb ) , disp16 )"	37:4:509:558	2	3	True				
ANR	26	CallExpression	"tcg_gen_addi_i64 ( addr , load_gpr ( ctx , rb ) , disp16 )"		2	0					
ANR	27	Callee	tcg_gen_addi_i64		2	0					
ANR	28	Identifier	tcg_gen_addi_i64		2	0					
ANR	29	ArgumentList	addr		2	1					
ANR	30	Argument	addr		2	0					
ANR	31	Identifier	addr		2	0					
ANR	32	Argument	"load_gpr ( ctx , rb )"		2	1					
ANR	33	CallExpression	"load_gpr ( ctx , rb )"		2	0					
ANR	34	Callee	load_gpr		2	0					
ANR	35	Identifier	load_gpr		2	0					
ANR	36	ArgumentList	ctx		2	1					
ANR	37	Argument	ctx		2	0					
ANR	38	Identifier	ctx		2	0					
ANR	39	Argument	rb		2	1					
ANR	40	Identifier	rb		2	0					
ANR	41	Argument	disp16		2	2					
ANR	42	Identifier	disp16		2	0					
ANR	43	ReturnStatement	"return gen_excp ( ctx , quad ? EXCP_STQ_C : EXCP_STL_C , ra ) ;"	49:4:794:850	2	4	True				
ANR	44	CallExpression	"gen_excp ( ctx , quad ? EXCP_STQ_C : EXCP_STL_C , ra )"		2	0					
ANR	45	Callee	gen_excp		2	0					
ANR	46	Identifier	gen_excp		2	0					
ANR	47	ArgumentList	ctx		2	1					
ANR	48	Argument	ctx		2	0					
ANR	49	Identifier	ctx		2	0					
ANR	50	Argument	quad ? EXCP_STQ_C : EXCP_STL_C		2	1					
ANR	51	ConditionalExpression	quad ? EXCP_STQ_C : EXCP_STL_C		2	0					
ANR	52	Condition	quad		2	0					
ANR	53	Identifier	quad		2	0					
ANR	54	Identifier	EXCP_STQ_C		2	1					
ANR	55	Identifier	EXCP_STL_C		2	2					
ANR	56	Argument	ra		2	2					
ANR	57	Identifier	ra		2	0					
ANR	58	ReturnType	static ExitStatus		2	1					
ANR	59	Identifier	gen_store_conditional		2	2					
ANR	60	ParameterList	"DisasContext * ctx , int ra , int rb , int32_t disp16 , int quad"		2	3					
ANR	61	Parameter	DisasContext * ctx	1:40:40:56	2	0	True				
ANR	62	ParameterType	DisasContext *		2	0					
ANR	63	Identifier	ctx		2	1					
ANR	64	Parameter	int ra	1:59:59:64	2	1	True				
ANR	65	ParameterType	int		2	0					
ANR	66	Identifier	ra		2	1					
ANR	67	Parameter	int rb	1:67:67:72	2	2	True				
ANR	68	ParameterType	int		2	0					
ANR	69	Identifier	rb		2	1					
ANR	70	Parameter	int32_t disp16	3:40:116:129	2	3	True				
ANR	71	ParameterType	int32_t		2	0					
ANR	72	Identifier	disp16		2	1					
ANR	73	Parameter	int quad	3:56:132:139	2	4	True				
ANR	74	ParameterType	int		2	0					
ANR	75	Identifier	quad		2	1					
ANR	76	CFGEntryNode	ENTRY		2		True				
ANR	77	CFGExitNode	EXIT		2		True				
ANR	78	Symbol	rb		2						
ANR	79	Symbol	quad		2						
ANR	80	Symbol	gen_excp		2						
ANR	81	Symbol	disp16		2						
ANR	82	Symbol	cpu_lock_st_addr		2						
ANR	83	Symbol	ctx		2						
ANR	84	Symbol	load_gpr		2						
ANR	85	Symbol	EXCP_STL_C		2						
ANR	86	Symbol	addr		2						
ANR	87	Symbol	NO_EXIT		2						
ANR	88	Symbol	EXCP_STQ_C		2						
ANR	89	Symbol	ra		2						
