command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/devign__09_non_vulnerable_static_ExitStatus_gen_store_conditio__temp_variable_split__c1/_work/source/devign__09_non_vulnerable_static_ExitStatus_gen_store_conditio__temp_variable_split__c1.c								
ANR	2	Function	gen_store_conditional	1:0:0:1817							
ANR	3	FunctionDef	"gen_store_conditional (DisasContext * ctx , int ra , int rb , int32_t disp16 , int quad)"		2	0					
ANR	4	CompoundStatement		5:0:143:1817	2	0					
ANR	5	IdentifierDeclStatement	TCGv addr ;	7:4:150:159	2	0	True				
ANR	6	IdentifierDecl	addr		2	0					
ANR	7	IdentifierDeclType	TCGv		2	0					
ANR	8	Identifier	addr		2	1					
ANR	9	IfStatement	if ( ra == 31 )		2	1					
ANR	10	Condition	ra == 31	11:8:172:179	2	0	True				
ANR	11	EqualityExpression	ra == 31		2	0		==			
ANR	12	Identifier	ra		2	0					
ANR	13	PrimaryExpression	31		2	1					
ANR	14	CompoundStatement		7:18:38:38	2	1					
ANR	15	ReturnStatement	return NO_EXIT ;	17:8:336:350	2	0	True				
ANR	16	Identifier	NO_EXIT		2	0					
ANR	17	IdentifierDeclStatement	int dwk_tmp_1 = cpu_lock_st_addr ;	25:4:397:429	2	2	True				
ANR	18	IdentifierDecl	dwk_tmp_1 = cpu_lock_st_addr		2	0					
ANR	19	IdentifierDeclType	int		2	0					
ANR	20	Identifier	dwk_tmp_1		2	1					
ANR	21	AssignmentExpression	dwk_tmp_1 = cpu_lock_st_addr		2	2		=			
ANR	22	Identifier	cpu_lock_st_addr		2	0					
ANR	23	Identifier	cpu_lock_st_addr		2	1					
ANR	24	ExpressionStatement	addr = dwk_tmp_1	26:4:435:451	2	3	True				
ANR	25	AssignmentExpression	addr = dwk_tmp_1		2	0		=			
ANR	26	Identifier	addr		2	0					
ANR	27	Identifier	dwk_tmp_1		2	1					
ANR	28	ExpressionStatement	"tcg_gen_addi_i64 ( addr , load_gpr ( ctx , rb ) , disp16 )"	36:4:509:558	2	4	True				
ANR	29	CallExpression	"tcg_gen_addi_i64 ( addr , load_gpr ( ctx , rb ) , disp16 )"		2	0					
ANR	30	Callee	tcg_gen_addi_i64		2	0					
ANR	31	Identifier	tcg_gen_addi_i64		2	0					
ANR	32	ArgumentList	addr		2	1					
ANR	33	Argument	addr		2	0					
ANR	34	Identifier	addr		2	0					
ANR	35	Argument	"load_gpr ( ctx , rb )"		2	1					
ANR	36	CallExpression	"load_gpr ( ctx , rb )"		2	0					
ANR	37	Callee	load_gpr		2	0					
ANR	38	Identifier	load_gpr		2	0					
ANR	39	ArgumentList	ctx		2	1					
ANR	40	Argument	ctx		2	0					
ANR	41	Identifier	ctx		2	0					
ANR	42	Argument	rb		2	1					
ANR	43	Identifier	rb		2	0					
ANR	44	Argument	disp16		2	2					
ANR	45	Identifier	disp16		2	0					
ANR	46	ReturnStatement	"return gen_excp ( ctx , quad ? EXCP_STQ_C : EXCP_STL_C , ra ) ;"	48:4:794:850	2	5	True				
ANR	47	CallExpression	"gen_excp ( ctx , quad ? EXCP_STQ_C : EXCP_STL_C , ra )"		2	0					
ANR	48	Callee	gen_excp		2	0					
ANR	49	Identifier	gen_excp		2	0					
ANR	50	ArgumentList	ctx		2	1					
ANR	51	Argument	ctx		2	0					
ANR	52	Identifier	ctx		2	0					
ANR	53	Argument	quad ? EXCP_STQ_C : EXCP_STL_C		2	1					
ANR	54	ConditionalExpression	quad ? EXCP_STQ_C : EXCP_STL_C		2	0					
ANR	55	Condition	quad		2	0					
ANR	56	Identifier	quad		2	0					
ANR	57	Identifier	EXCP_STQ_C		2	1					
ANR	58	Identifier	EXCP_STL_C		2	2					
ANR	59	Argument	ra		2	2					
ANR	60	Identifier	ra		2	0					
ANR	61	ReturnType	static ExitStatus		2	1					
ANR	62	Identifier	gen_store_conditional		2	2					
ANR	63	ParameterList	"DisasContext * ctx , int ra , int rb , int32_t disp16 , int quad"		2	3					
ANR	64	Parameter	DisasContext * ctx	1:40:40:56	2	0	True				
ANR	65	ParameterType	DisasContext *		2	0					
ANR	66	Identifier	ctx		2	1					
ANR	67	Parameter	int ra	1:59:59:64	2	1	True				
ANR	68	ParameterType	int		2	0					
ANR	69	Identifier	ra		2	1					
ANR	70	Parameter	int rb	1:67:67:72	2	2	True				
ANR	71	ParameterType	int		2	0					
ANR	72	Identifier	rb		2	1					
ANR	73	Parameter	int32_t disp16	3:40:116:129	2	3	True				
ANR	74	ParameterType	int32_t		2	0					
ANR	75	Identifier	disp16		2	1					
ANR	76	Parameter	int quad	3:56:132:139	2	4	True				
ANR	77	ParameterType	int		2	0					
ANR	78	Identifier	quad		2	1					
ANR	79	CFGEntryNode	ENTRY		2		True				
ANR	80	CFGExitNode	EXIT		2		True				
ANR	81	Symbol	gen_excp		2						
ANR	82	Symbol	disp16		2						
ANR	83	Symbol	cpu_lock_st_addr		2						
ANR	84	Symbol	ctx		2						
ANR	85	Symbol	NO_EXIT		2						
ANR	86	Symbol	ra		2						
ANR	87	Symbol	rb		2						
ANR	88	Symbol	quad		2						
ANR	89	Symbol	dwk_tmp_1		2						
ANR	90	Symbol	load_gpr		2						
ANR	91	Symbol	EXCP_STL_C		2						
ANR	92	Symbol	addr		2						
ANR	93	Symbol	EXCP_STQ_C		2						
