command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/devign__11_non_vulnerable_vnc_display_setup_auth__control_wrapper__c1/_work/source/devign__11_non_vulnerable_vnc_display_setup_auth__control_wrapper__c1.c								
ANR	2	Function	vnc_display_setup_auth	1:0:0:2878							
ANR	3	FunctionDef	"vnc_display_setup_auth (VncDisplay * vs , bool password , bool sasl , bool tls , bool x509)"		2	0					
ANR	4	CompoundStatement		11:0:183:2878	2	0					
ANR	5	IfStatement	if ( password )		2	0					
ANR	6	Condition	password	81:8:1050:1057	2	0	True				
ANR	7	Identifier	password		2	0					
ANR	8	CompoundStatement		71:18:876:876	2	1					
ANR	9	IfStatement	if ( tls )		2	0					
ANR	10	Condition	tls	83:12:1075:1077	2	0	True				
ANR	11	Identifier	tls		2	0					
ANR	12	CompoundStatement		73:17:896:896	2	1					
ANR	13	IfStatement	if ( 1 )		2	0					
ANR	14	Condition	1	85:16:1099:1099	2	0	True				
ANR	15	PrimaryExpression	1		2	0					
ANR	16	CompoundStatement		75:19:918:918	2	1					
ANR	17	ExpressionStatement	vs -> auth = VNC_AUTH_VENCRYPT	86:16:1120:1148	2	0	True				
ANR	18	AssignmentExpression	vs -> auth = VNC_AUTH_VENCRYPT		2	0		=			
ANR	19	PtrMemberAccess	vs -> auth		2	0					
ANR	20	Identifier	vs		2	0					
ANR	21	Identifier	auth		2	1					
ANR	22	Identifier	VNC_AUTH_VENCRYPT		2	1					
ANR	23	IfStatement	if ( x509 )		2	1					
ANR	24	Condition	x509	89:16:1181:1184	2	0	True				
ANR	25	Identifier	x509		2	0					
ANR	26	CompoundStatement		79:22:1003:1003	2	1					
ANR	27	ExpressionStatement	"VNC_DEBUG ( ""Initializing VNC server with x509 password auth\\n"" )"	91:16:1206:1268	2	0	True				
ANR	28	CallExpression	"VNC_DEBUG ( ""Initializing VNC server with x509 password auth\\n"" )"		2	0					
ANR	29	Callee	VNC_DEBUG		2	0					
ANR	30	Identifier	VNC_DEBUG		2	0					
ANR	31	ArgumentList	"""Initializing VNC server with x509 password auth\\n"""		2	1					
ANR	32	Argument	"""Initializing VNC server with x509 password auth\\n"""		2	0					
ANR	33	PrimaryExpression	"""Initializing VNC server with x509 password auth\\n"""		2	0					
ANR	34	ExpressionStatement	vs -> subauth = VNC_AUTH_VENCRYPT_X509VNC	93:16:1287:1326	2	1	True				
ANR	35	AssignmentExpression	vs -> subauth = VNC_AUTH_VENCRYPT_X509VNC		2	0		=			
ANR	36	PtrMemberAccess	vs -> subauth		2	0					
ANR	37	Identifier	vs		2	0					
ANR	38	Identifier	subauth		2	1					
ANR	39	Identifier	VNC_AUTH_VENCRYPT_X509VNC		2	1					
ANR	40	ElseStatement	else		2	0					
ANR	41	CompoundStatement		85:19:1164:1164	2	0					
ANR	42	ExpressionStatement	"VNC_DEBUG ( ""Initializing VNC server with TLS password auth\\n"" )"	97:16:1367:1428	2	0	True				
ANR	43	CallExpression	"VNC_DEBUG ( ""Initializing VNC server with TLS password auth\\n"" )"		2	0					
ANR	44	Callee	VNC_DEBUG		2	0					
ANR	45	Identifier	VNC_DEBUG		2	0					
ANR	46	ArgumentList	"""Initializing VNC server with TLS password auth\\n"""		2	1					
ANR	47	Argument	"""Initializing VNC server with TLS password auth\\n"""		2	0					
ANR	48	PrimaryExpression	"""Initializing VNC server with TLS password auth\\n"""		2	0					
ANR	49	ExpressionStatement	vs -> subauth = VNC_AUTH_VENCRYPT_TLSVNC	99:16:1447:1485	2	1	True				
ANR	50	AssignmentExpression	vs -> subauth = VNC_AUTH_VENCRYPT_TLSVNC		2	0		=			
ANR	51	PtrMemberAccess	vs -> subauth		2	0					
ANR	52	Identifier	vs		2	0					
ANR	53	Identifier	subauth		2	1					
ANR	54	Identifier	VNC_AUTH_VENCRYPT_TLSVNC		2	1					
ANR	55	ElseStatement	else		2	0					
ANR	56	CompoundStatement		93:15:1334:1334	2	0					
ANR	57	ExpressionStatement	"VNC_DEBUG ( ""Initializing VNC server with password auth\\n"" )"	105:12:1533:1590	2	0	True				
ANR	58	CallExpression	"VNC_DEBUG ( ""Initializing VNC server with password auth\\n"" )"		2	0					
ANR	59	Callee	VNC_DEBUG		2	0					
ANR	60	Identifier	VNC_DEBUG		2	0					
ANR	61	ArgumentList	"""Initializing VNC server with password auth\\n"""		2	1					
ANR	62	Argument	"""Initializing VNC server with password auth\\n"""		2	0					
ANR	63	PrimaryExpression	"""Initializing VNC server with password auth\\n"""		2	0					
ANR	64	ExpressionStatement	vs -> auth = VNC_AUTH_VNC	107:12:1605:1628	2	1	True				
ANR	65	AssignmentExpression	vs -> auth = VNC_AUTH_VNC		2	0		=			
ANR	66	PtrMemberAccess	vs -> auth		2	0					
ANR	67	Identifier	vs		2	0					
ANR	68	Identifier	auth		2	1					
ANR	69	Identifier	VNC_AUTH_VNC		2	1					
ANR	70	ExpressionStatement	vs -> subauth = VNC_AUTH_INVALID	109:12:1643:1673	2	2	True				
ANR	71	AssignmentExpression	vs -> subauth = VNC_AUTH_INVALID		2	0		=			
ANR	72	PtrMemberAccess	vs -> subauth		2	0					
ANR	73	Identifier	vs		2	0					
ANR	74	Identifier	subauth		2	1					
ANR	75	Identifier	VNC_AUTH_INVALID		2	1					
ANR	76	ElseStatement	else		2	0					
