command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/devign__11_non_vulnerable_vnc_display_setup_auth__data_flow_alias__c1/_work/source/devign__11_non_vulnerable_vnc_display_setup_auth__data_flow_alias__c1.c								
ANR	2	Function	vnc_display_setup_auth	1:0:0:3003							
ANR	3	FunctionDef	"vnc_display_setup_auth (VncDisplay * vs , bool password , bool sasl , bool tls , bool x509)"		2	0					
ANR	4	CompoundStatement		11:0:183:3003	2	0					
ANR	5	IfStatement	if ( password )		2	0					
ANR	6	Condition	password	81:8:1050:1057	2	0	True				
ANR	7	Identifier	password		2	0					
ANR	8	CompoundStatement		71:18:876:876	2	1					
ANR	9	IfStatement	if ( tls )		2	0					
ANR	10	Condition	tls	83:12:1075:1077	2	0	True				
ANR	11	Identifier	tls		2	0					
ANR	12	CompoundStatement		73:17:896:896	2	1					
ANR	13	ExpressionStatement	vs -> auth = VNC_AUTH_VENCRYPT	85:12:1095:1123	2	0	True				
ANR	14	AssignmentExpression	vs -> auth = VNC_AUTH_VENCRYPT		2	0		=			
ANR	15	PtrMemberAccess	vs -> auth		2	0					
ANR	16	Identifier	vs		2	0					
ANR	17	Identifier	auth		2	1					
ANR	18	Identifier	VNC_AUTH_VENCRYPT		2	1					
ANR	19	IfStatement	if ( x509 )		2	1					
ANR	20	Condition	x509	87:16:1142:1145	2	0	True				
ANR	21	Identifier	x509		2	0					
ANR	22	CompoundStatement		79:16:983:1064	2	1					
ANR	23	IdentifierDeclStatement	"void * dwk_alias_1 = ( void * ) ( ""Initializing VNC server with x509 password auth\\n"" ) ;"	89:16:1167:1248	2	0	True				
ANR	24	IdentifierDecl	"* dwk_alias_1 = ( void * ) ( ""Initializing VNC server with x509 password auth\\n"" )"		2	0					
ANR	25	IdentifierDeclType	void *		2	0					
ANR	26	Identifier	dwk_alias_1		2	1					
ANR	27	AssignmentExpression	"* dwk_alias_1 = ( void * ) ( ""Initializing VNC server with x509 password auth\\n"" )"		2	2		=			
ANR	28	Identifier	dwk_alias_1		2	0					
ANR	29	CastExpression	"( void * ) ( ""Initializing VNC server with x509 password auth\\n"" )"		2	1					
ANR	30	CastTarget	void *		2	0					
ANR	31	PrimaryExpression	"""Initializing VNC server with x509 password auth\\n"""		2	1					
ANR	32	ExpressionStatement	dwk_alias_1 = ( void * ) ( ( char * ) dwk_alias_1 + 0 )	90:16:1266:1313	2	1	True				
ANR	33	AssignmentExpression	dwk_alias_1 = ( void * ) ( ( char * ) dwk_alias_1 + 0 )		2	0		=			
ANR	34	Identifier	dwk_alias_1		2	0					
ANR	35	CastExpression	( void * ) ( ( char * ) dwk_alias_1 + 0 )		2	1					
ANR	36	CastTarget	void *		2	0					
ANR	37	AdditiveExpression	( char * ) dwk_alias_1 + 0		2	1		+			
ANR	38	CastExpression	( char * ) dwk_alias_1		2	0					
ANR	39	CastTarget	char *		2	0					
ANR	40	Identifier	dwk_alias_1		2	1					
ANR	41	PrimaryExpression	0		2	1					
ANR	42	ExpressionStatement	"VNC_DEBUG ( ""Initializing VNC server with x509 password auth\\n"" )"	91:16:1331:1393	2	2	True				
ANR	43	CallExpression	"VNC_DEBUG ( ""Initializing VNC server with x509 password auth\\n"" )"		2	0					
ANR	44	Callee	VNC_DEBUG		2	0					
ANR	45	Identifier	VNC_DEBUG		2	0					
ANR	46	ArgumentList	"""Initializing VNC server with x509 password auth\\n"""		2	1					
ANR	47	Argument	"""Initializing VNC server with x509 password auth\\n"""		2	0					
ANR	48	PrimaryExpression	"""Initializing VNC server with x509 password auth\\n"""		2	0					
ANR	49	ExpressionStatement	vs -> subauth = VNC_AUTH_VENCRYPT_X509VNC	93:16:1412:1451	2	3	True				
ANR	50	AssignmentExpression	vs -> subauth = VNC_AUTH_VENCRYPT_X509VNC		2	0		=			
ANR	51	PtrMemberAccess	vs -> subauth		2	0					
ANR	52	Identifier	vs		2	0					
ANR	53	Identifier	subauth		2	1					
ANR	54	Identifier	VNC_AUTH_VENCRYPT_X509VNC		2	1					
ANR	55	ElseStatement	else		2	0					
ANR	56	CompoundStatement		85:19:1289:1289	2	0					
ANR	57	ExpressionStatement	"VNC_DEBUG ( ""Initializing VNC server with TLS password auth\\n"" )"	97:16:1492:1553	2	0	True				
ANR	58	CallExpression	"VNC_DEBUG ( ""Initializing VNC server with TLS password auth\\n"" )"		2	0					
ANR	59	Callee	VNC_DEBUG		2	0					
ANR	60	Identifier	VNC_DEBUG		2	0					
ANR	61	ArgumentList	"""Initializing VNC server with TLS password auth\\n"""		2	1					
ANR	62	Argument	"""Initializing VNC server with TLS password auth\\n"""		2	0					
ANR	63	PrimaryExpression	"""Initializing VNC server with TLS password auth\\n"""		2	0					
ANR	64	ExpressionStatement	vs -> subauth = VNC_AUTH_VENCRYPT_TLSVNC	99:16:1572:1610	2	1	True				
ANR	65	AssignmentExpression	vs -> subauth = VNC_AUTH_VENCRYPT_TLSVNC		2	0		=			
ANR	66	PtrMemberAccess	vs -> subauth		2	0					
ANR	67	Identifier	vs		2	0					
ANR	68	Identifier	subauth		2	1					
ANR	69	Identifier	VNC_AUTH_VENCRYPT_TLSVNC		2	1					
ANR	70	ElseStatement	else		2	0					
ANR	71	CompoundStatement		93:15:1459:1459	2	0					
ANR	72	ExpressionStatement	"VNC_DEBUG ( ""Initializing VNC server with password auth\\n"" )"	105:12:1658:1715	2	0	True				
