command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/devign__11_non_vulnerable_vnc_display_setup_auth__xfg_targeted_dead_code__c1/_work/source/devign__11_non_vulnerable_vnc_display_setup_auth__xfg_targeted_dead_code__c1.c								
ANR	2	Function	vnc_display_setup_auth	1:0:0:2953							
ANR	3	FunctionDef	"vnc_display_setup_auth (VncDisplay * vs , bool password , bool sasl , bool tls , bool x509)"		2	0					
ANR	4	CompoundStatement		11:0:183:2953	2	0					
ANR	5	IfStatement	if ( password )		2	0					
ANR	6	Condition	password	81:8:1050:1057	2	0	True				
ANR	7	Identifier	password		2	0					
ANR	8	CompoundStatement		71:18:876:876	2	1					
ANR	9	IfStatement	if ( tls )		2	0					
ANR	10	Condition	tls	83:12:1075:1077	2	0	True				
ANR	11	Identifier	tls		2	0					
ANR	12	CompoundStatement		73:17:896:896	2	1					
ANR	13	IfStatement	if ( 0 )		2	0					
ANR	14	Condition	0	85:16:1099:1099	2	0	True				
ANR	15	PrimaryExpression	0		2	0					
ANR	16	CompoundStatement		76:16:936:959	2	1					
ANR	17	IdentifierDeclStatement	int dwk_xfg_guard_1 = 1 ;	86:16:1120:1143	2	0	True				
ANR	18	IdentifierDecl	dwk_xfg_guard_1 = 1		2	0					
ANR	19	IdentifierDeclType	int		2	0					
ANR	20	Identifier	dwk_xfg_guard_1		2	1					
ANR	21	AssignmentExpression	dwk_xfg_guard_1 = 1		2	2		=			
ANR	22	Identifier	dwk_xfg_guard_1		2	0					
ANR	23	PrimaryExpression	1		2	1					
ANR	24	ExpressionStatement	dwk_xfg_guard_1 += 0	87:16:1161:1181	2	1	True				
ANR	25	AssignmentExpression	dwk_xfg_guard_1 += 0		2	0		+=			
ANR	26	Identifier	dwk_xfg_guard_1		2	0					
ANR	27	PrimaryExpression	0		2	1					
ANR	28	ExpressionStatement	vs -> auth = VNC_AUTH_VENCRYPT	89:12:1209:1237	2	1	True				
ANR	29	AssignmentExpression	vs -> auth = VNC_AUTH_VENCRYPT		2	0		=			
ANR	30	PtrMemberAccess	vs -> auth		2	0					
ANR	31	Identifier	vs		2	0					
ANR	32	Identifier	auth		2	1					
ANR	33	Identifier	VNC_AUTH_VENCRYPT		2	1					
ANR	34	IfStatement	if ( x509 )		2	2					
ANR	35	Condition	x509	91:16:1256:1259	2	0	True				
ANR	36	Identifier	x509		2	0					
ANR	37	CompoundStatement		81:22:1078:1078	2	1					
ANR	38	ExpressionStatement	"VNC_DEBUG ( ""Initializing VNC server with x509 password auth\\n"" )"	93:16:1281:1343	2	0	True				
ANR	39	CallExpression	"VNC_DEBUG ( ""Initializing VNC server with x509 password auth\\n"" )"		2	0					
ANR	40	Callee	VNC_DEBUG		2	0					
ANR	41	Identifier	VNC_DEBUG		2	0					
ANR	42	ArgumentList	"""Initializing VNC server with x509 password auth\\n"""		2	1					
ANR	43	Argument	"""Initializing VNC server with x509 password auth\\n"""		2	0					
ANR	44	PrimaryExpression	"""Initializing VNC server with x509 password auth\\n"""		2	0					
ANR	45	ExpressionStatement	vs -> subauth = VNC_AUTH_VENCRYPT_X509VNC	95:16:1362:1401	2	1	True				
ANR	46	AssignmentExpression	vs -> subauth = VNC_AUTH_VENCRYPT_X509VNC		2	0		=			
ANR	47	PtrMemberAccess	vs -> subauth		2	0					
ANR	48	Identifier	vs		2	0					
ANR	49	Identifier	subauth		2	1					
ANR	50	Identifier	VNC_AUTH_VENCRYPT_X509VNC		2	1					
ANR	51	ElseStatement	else		2	0					
ANR	52	CompoundStatement		87:19:1239:1239	2	0					
ANR	53	ExpressionStatement	"VNC_DEBUG ( ""Initializing VNC server with TLS password auth\\n"" )"	99:16:1442:1503	2	0	True				
ANR	54	CallExpression	"VNC_DEBUG ( ""Initializing VNC server with TLS password auth\\n"" )"		2	0					
ANR	55	Callee	VNC_DEBUG		2	0					
ANR	56	Identifier	VNC_DEBUG		2	0					
ANR	57	ArgumentList	"""Initializing VNC server with TLS password auth\\n"""		2	1					
ANR	58	Argument	"""Initializing VNC server with TLS password auth\\n"""		2	0					
ANR	59	PrimaryExpression	"""Initializing VNC server with TLS password auth\\n"""		2	0					
ANR	60	ExpressionStatement	vs -> subauth = VNC_AUTH_VENCRYPT_TLSVNC	101:16:1522:1560	2	1	True				
ANR	61	AssignmentExpression	vs -> subauth = VNC_AUTH_VENCRYPT_TLSVNC		2	0		=			
ANR	62	PtrMemberAccess	vs -> subauth		2	0					
ANR	63	Identifier	vs		2	0					
ANR	64	Identifier	subauth		2	1					
ANR	65	Identifier	VNC_AUTH_VENCRYPT_TLSVNC		2	1					
ANR	66	ElseStatement	else		2	0					
ANR	67	CompoundStatement		95:15:1409:1409	2	0					
ANR	68	ExpressionStatement	"VNC_DEBUG ( ""Initializing VNC server with password auth\\n"" )"	107:12:1608:1665	2	0	True				
ANR	69	CallExpression	"VNC_DEBUG ( ""Initializing VNC server with password auth\\n"" )"		2	0					
ANR	70	Callee	VNC_DEBUG		2	0					
ANR	71	Identifier	VNC_DEBUG		2	0					
ANR	72	ArgumentList	"""Initializing VNC server with password auth\\n"""		2	1					
ANR	73	Argument	"""Initializing VNC server with password auth\\n"""		2	0					
ANR	74	PrimaryExpression	"""Initializing VNC server with password auth\\n"""		2	0					
ANR	75	ExpressionStatement	vs -> auth = VNC_AUTH_VNC	109:12:1680:1703	2	1	True				
ANR	76	AssignmentExpression	vs -> auth = VNC_AUTH_VNC		2	0		=			
ANR	77	PtrMemberAccess	vs -> auth		2	0					
ANR	78	Identifier	vs		2	0					
ANR	79	Identifier	auth		2	1					
ANR	80	Identifier	VNC_AUTH_VNC		2	1					
ANR	81	ExpressionStatement	vs -> subauth = VNC_AUTH_INVALID	111:12:1718:1748	2	2	True				
ANR	82	AssignmentExpression	vs -> subauth = VNC_AUTH_INVALID		2	0		=			
ANR	83	PtrMemberAccess	vs -> subauth		2	0					
ANR	84	Identifier	vs		2	0					
ANR	85	Identifier	subauth		2	1					
ANR	86	Identifier	VNC_AUTH_INVALID		2	1					
ANR	87	ElseStatement	else		2	0					
ANR	88	IfStatement	if ( sasl )		2	0					
ANR	89	Condition	sasl	115:15:1777:1780	2	0	True				
ANR	90	Identifier	sasl		2	0					
ANR	91	CompoundStatement		105:21:1599:1599	2	1					
ANR	92	IfStatement	if ( tls )		2	0					
ANR	93	Condition	tls	117:12:1798:1800	2	0	True				
ANR	94	Identifier	tls		2	0					
ANR	95	CompoundStatement		107:17:1619:1619	2	1					
