command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/devign__12_vulnerable_static_inline_void_qtrle_decode_2n4b__control_wrapper__c1/_work/source/devign__12_vulnerable_static_inline_void_qtrle_decode_2n4b__control_wrapper__c1.c								
ANR	2	Function	qtrle_decode_2n4bpp	1:0:0:2567							
ANR	3	FunctionDef	"qtrle_decode_2n4bpp (QtrleContext * s , int stream_ptr , int row_ptr , int lines_to_change , int bpp)"		2	0					
ANR	4	CompoundStatement		5:0:146:2567	2	0					
ANR	5	IdentifierDeclStatement	"int rle_code , i ;"	7:4:153:168	2	0	True				
ANR	6	IdentifierDecl	rle_code		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	rle_code		2	1					
ANR	9	IdentifierDecl	i		2	1					
ANR	10	IdentifierDeclType	int		2	0					
ANR	11	Identifier	i		2	1					
ANR	12	IdentifierDeclStatement	int pixel_ptr ;	9:4:175:188	2	1	True				
ANR	13	IdentifierDecl	pixel_ptr		2	0					
ANR	14	IdentifierDeclType	int		2	0					
ANR	15	Identifier	pixel_ptr		2	1					
ANR	16	IdentifierDeclStatement	int row_inc = s -> frame . linesize [ 0 ] ;	11:4:195:229	2	2	True				
ANR	17	IdentifierDecl	row_inc = s -> frame . linesize [ 0 ]		2	0					
ANR	18	IdentifierDeclType	int		2	0					
ANR	19	Identifier	row_inc		2	1					
ANR	20	AssignmentExpression	row_inc = s -> frame . linesize [ 0 ]		2	2		=			
ANR	21	Identifier	row_inc		2	0					
ANR	22	ArrayIndexing	s -> frame . linesize [ 0 ]		2	1					
ANR	23	MemberAccess	s -> frame . linesize		2	0					
ANR	24	PtrMemberAccess	s -> frame		2	0					
ANR	25	Identifier	s		2	0					
ANR	26	Identifier	frame		2	1					
ANR	27	Identifier	linesize		2	1					
ANR	28	PrimaryExpression	0		2	1					
ANR	29	IdentifierDeclStatement	unsigned char pi [ 16 ] ;	13:4:236:256	2	3	True				
ANR	30	IdentifierDecl	pi [ 16 ]		2	0					
ANR	31	IdentifierDeclType	unsigned char [ 16 ]		2	0					
ANR	32	Identifier	pi		2	1					
ANR	33	PrimaryExpression	16		2	2					
ANR	34	IdentifierDeclStatement	unsigned char * rgb = s -> frame . data [ 0 ] ;	15:4:289:326	2	4	True				
ANR	35	IdentifierDecl	* rgb = s -> frame . data [ 0 ]		2	0					
ANR	36	IdentifierDeclType	unsigned char *		2	0					
ANR	37	Identifier	rgb		2	1					
ANR	38	AssignmentExpression	* rgb = s -> frame . data [ 0 ]		2	2		=			
ANR	39	Identifier	rgb		2	0					
ANR	40	ArrayIndexing	s -> frame . data [ 0 ]		2	1					
ANR	41	MemberAccess	s -> frame . data		2	0					
ANR	42	PtrMemberAccess	s -> frame		2	0					
ANR	43	Identifier	s		2	0					
ANR	44	Identifier	frame		2	1					
ANR	45	Identifier	data		2	1					
ANR	46	PrimaryExpression	0		2	1					
ANR	47	IdentifierDeclStatement	int pixel_limit = s -> frame . linesize [ 0 ] * s -> avctx -> height ;	17:4:333:390	2	5	True				
ANR	48	IdentifierDecl	pixel_limit = s -> frame . linesize [ 0 ] * s -> avctx -> height		2	0					
ANR	49	IdentifierDeclType	int		2	0					
ANR	50	Identifier	pixel_limit		2	1					
ANR	51	AssignmentExpression	pixel_limit = s -> frame . linesize [ 0 ] * s -> avctx -> height		2	2		=			
ANR	52	Identifier	pixel_limit		2	0					
ANR	53	MultiplicativeExpression	s -> frame . linesize [ 0 ] * s -> avctx -> height		2	1		*			
ANR	54	ArrayIndexing	s -> frame . linesize [ 0 ]		2	0					
ANR	55	MemberAccess	s -> frame . linesize		2	0					
ANR	56	PtrMemberAccess	s -> frame		2	0					
ANR	57	Identifier	s		2	0					
ANR	58	Identifier	frame		2	1					
ANR	59	Identifier	linesize		2	1					
ANR	60	PrimaryExpression	0		2	1					
