command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/devign__12_vulnerable_static_inline_void_qtrle_decode_2n4b__safe_source_substitution__c1/_work/source/devign__12_vulnerable_static_inline_void_qtrle_decode_2n4b__safe_source_substitution__c1.c								
ANR	2	Function	qtrle_decode_2n4bpp	1:0:0:2560							
ANR	3	FunctionDef	"qtrle_decode_2n4bpp (QtrleContext * s , int stream_ptr , int row_ptr , int lines_to_change , int bpp)"		2	0					
ANR	4	CompoundStatement		5:0:146:2560	2	0					
ANR	5	IdentifierDeclStatement	"int rle_code , i ;"	7:4:153:168	2	0	True				
ANR	6	IdentifierDecl	rle_code		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	rle_code		2	1					
ANR	9	IdentifierDecl	i		2	1					
ANR	10	IdentifierDeclType	int		2	0					
ANR	11	Identifier	i		2	1					
ANR	12	IdentifierDeclStatement	int pixel_ptr ;	9:4:175:188	2	1	True				
ANR	13	IdentifierDecl	pixel_ptr		2	0					
ANR	14	IdentifierDeclType	int		2	0					
ANR	15	Identifier	pixel_ptr		2	1					
ANR	16	IdentifierDeclStatement	int row_inc = s -> frame . linesize [ 0 ] ;	11:4:195:229	2	2	True				
ANR	17	IdentifierDecl	row_inc = s -> frame . linesize [ 0 ]		2	0					
ANR	18	IdentifierDeclType	int		2	0					
ANR	19	Identifier	row_inc		2	1					
ANR	20	AssignmentExpression	row_inc = s -> frame . linesize [ 0 ]		2	2		=			
ANR	21	Identifier	row_inc		2	0					
ANR	22	ArrayIndexing	s -> frame . linesize [ 0 ]		2	1					
ANR	23	MemberAccess	s -> frame . linesize		2	0					
ANR	24	PtrMemberAccess	s -> frame		2	0					
ANR	25	Identifier	s		2	0					
ANR	26	Identifier	frame		2	1					
ANR	27	Identifier	linesize		2	1					
ANR	28	PrimaryExpression	0		2	1					
ANR	29	IdentifierDeclStatement	unsigned char pi [ 16 ] ;	13:4:236:256	2	3	True				
ANR	30	IdentifierDecl	pi [ 16 ]		2	0					
ANR	31	IdentifierDeclType	unsigned char [ 16 ]		2	0					
ANR	32	Identifier	pi		2	1					
ANR	33	PrimaryExpression	16		2	2					
ANR	34	IdentifierDeclStatement	unsigned char * rgb = s -> frame . data [ 0 ] ;	15:4:289:326	2	4	True				
ANR	35	IdentifierDecl	* rgb = s -> frame . data [ 0 ]		2	0					
ANR	36	IdentifierDeclType	unsigned char *		2	0					
ANR	37	Identifier	rgb		2	1					
ANR	38	AssignmentExpression	* rgb = s -> frame . data [ 0 ]		2	2		=			
ANR	39	Identifier	rgb		2	0					
ANR	40	ArrayIndexing	s -> frame . data [ 0 ]		2	1					
ANR	41	MemberAccess	s -> frame . data		2	0					
ANR	42	PtrMemberAccess	s -> frame		2	0					
ANR	43	Identifier	s		2	0					
ANR	44	Identifier	frame		2	1					
ANR	45	Identifier	data		2	1					
ANR	46	PrimaryExpression	0		2	1					
ANR	47	IdentifierDeclStatement	int pixel_limit = s -> frame . linesize [ 0 ] * ( ( s && s -> avctx ) ? s -> avctx -> height : 0 ) ;	17:4:333:414	2	5	True				
ANR	48	IdentifierDecl	pixel_limit = s -> frame . linesize [ 0 ] * ( ( s && s -> avctx ) ? s -> avctx -> height : 0 )		2	0					
ANR	49	IdentifierDeclType	int		2	0					
ANR	50	Identifier	pixel_limit		2	1					
ANR	51	AssignmentExpression	pixel_limit = s -> frame . linesize [ 0 ] * ( ( s && s -> avctx ) ? s -> avctx -> height : 0 )		2	2		=			
ANR	52	Identifier	pixel_limit		2	0					
ANR	53	MultiplicativeExpression	s -> frame . linesize [ 0 ] * ( ( s && s -> avctx ) ? s -> avctx -> height : 0 )		2	1		*			
ANR	54	ArrayIndexing	s -> frame . linesize [ 0 ]		2	0					
ANR	55	MemberAccess	s -> frame . linesize		2	0					
ANR	56	PtrMemberAccess	s -> frame		2	0					
ANR	57	Identifier	s		2	0					
ANR	58	Identifier	frame		2	1					
ANR	59	Identifier	linesize		2	1					
ANR	60	PrimaryExpression	0		2	1					
ANR	61	ConditionalExpression	( s && s -> avctx ) ? s -> avctx -> height : 0		2	1					
ANR	62	Condition	s && s -> avctx		2	0					
ANR	63	AndExpression	s && s -> avctx		2	0		&&			
ANR	64	Identifier	s		2	0					
ANR	65	PtrMemberAccess	s -> avctx		2	1					
ANR	66	Identifier	s		2	0					
ANR	67	Identifier	avctx		2	1					
ANR	68	PtrMemberAccess	s -> avctx -> height		2	1					
ANR	69	PtrMemberAccess	s -> avctx		2	0					
ANR	70	Identifier	s		2	0					
ANR	71	Identifier	avctx		2	1					
ANR	72	Identifier	height		2	1					
ANR	73	PrimaryExpression	0		2	2					
ANR	74	IdentifierDeclStatement	int num_pixels = ( bpp == 4 ) ? 8 : 16 ;	19:4:421:457	2	6	True				
ANR	75	IdentifierDecl	num_pixels = ( bpp == 4 ) ? 8 : 16		2	0					
ANR	76	IdentifierDeclType	int		2	0					
ANR	77	Identifier	num_pixels		2	1					
ANR	78	AssignmentExpression	num_pixels = ( bpp == 4 ) ? 8 : 16		2	2		=			
ANR	79	Identifier	num_pixels		2	0					
ANR	80	ConditionalExpression	( bpp == 4 ) ? 8 : 16		2	1					
ANR	81	Condition	bpp == 4		2	0					
ANR	82	EqualityExpression	bpp == 4		2	0		==			
ANR	83	Identifier	bpp		2	0					
ANR	84	PrimaryExpression	4		2	1					
ANR	85	PrimaryExpression	8		2	1					
ANR	86	PrimaryExpression	16		2	2					
ANR	87	WhileStatement	while ( lines_to_change -- )		2	7					
ANR	88	Condition	lines_to_change --	23:11:473:489	2	0	True				
ANR	89	PostIncDecOperationExpression	lines_to_change --		2	0					
ANR	90	Identifier	lines_to_change		2	0					
ANR	91	IncDec	--		2	1					
ANR	92	CompoundStatement		19:30:345:345	2	1					
ANR	93	ExpressionStatement	CHECK_STREAM_PTR ( 2 )	25:8:503:522	2	0	True				
ANR	94	CallExpression	CHECK_STREAM_PTR ( 2 )		2	0					
ANR	95	Callee	CHECK_STREAM_PTR		2	0					
ANR	96	Identifier	CHECK_STREAM_PTR		2	0					
ANR	97	ArgumentList	2		2	1					
ANR	98	Argument	2		2	0					
ANR	99	PrimaryExpression	2		2	0					
ANR	100	ExpressionStatement	pixel_ptr = row_ptr + ( num_pixels * ( s -> buf [ stream_ptr ++ ] - 1 ) )	27:8:533:596	2	1	True				
ANR	101	AssignmentExpression	pixel_ptr = row_ptr + ( num_pixels * ( s -> buf [ stream_ptr ++ ] - 1 ) )		2	0		=			
ANR	102	Identifier	pixel_ptr		2	0					
ANR	103	AdditiveExpression	row_ptr + ( num_pixels * ( s -> buf [ stream_ptr ++ ] - 1 ) )		2	1		+			
ANR	104	Identifier	row_ptr		2	0					
ANR	105	MultiplicativeExpression	num_pixels * ( s -> buf [ stream_ptr ++ ] - 1 )		2	1		*			
ANR	106	Identifier	num_pixels		2	0					
ANR	107	AdditiveExpression	s -> buf [ stream_ptr ++ ] - 1		2	1		-			
ANR	108	ArrayIndexing	s -> buf [ stream_ptr ++ ]		2	0					
ANR	109	PtrMemberAccess	s -> buf		2	0					
ANR	110	Identifier	s		2	0					
ANR	111	Identifier	buf		2	1					
ANR	112	PostIncDecOperationExpression	stream_ptr ++		2	1					
ANR	113	Identifier	stream_ptr		2	0					
ANR	114	IncDec	++		2	1					
ANR	115	PrimaryExpression	1		2	1					
ANR	116	WhileStatement	while ( ( rle_code = ( signed char ) s -> buf [ stream_ptr ++ ] ) != - 1 )		2	2					
ANR	117	Condition	( rle_code = ( signed char ) s -> buf [ stream_ptr ++ ] ) != - 1	32:15:617:668	2	0	True				
ANR	118	EqualityExpression	( rle_code = ( signed char ) s -> buf [ stream_ptr ++ ] ) != - 1		2	0		!=			
ANR	119	AssignmentExpression	rle_code = ( signed char ) s -> buf [ stream_ptr ++ ]		2	0		=			
ANR	120	Identifier	rle_code		2	0					
ANR	121	CastExpression	( signed char ) s -> buf [ stream_ptr ++ ]		2	1					
ANR	122	CastTarget	signed char		2	0					
ANR	123	ArrayIndexing	s -> buf [ stream_ptr ++ ]		2	1					
ANR	124	PtrMemberAccess	s -> buf		2	0					
ANR	125	Identifier	s		2	0					
ANR	126	Identifier	buf		2	1					
ANR	127	PostIncDecOperationExpression	stream_ptr ++		2	1					
ANR	128	Identifier	stream_ptr		2	0					
ANR	129	IncDec	++		2	1					
ANR	130	UnaryOperationExpression	- 1		2	1					
ANR	131	UnaryOperator	-		2	0					
ANR	132	PrimaryExpression	1		2	1					
ANR	133	CompoundStatement		28:69:524:524	2	1					
