start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
9	10	IS_AST_PARENT	
11	12	IS_AST_PARENT	
11	13	IS_AST_PARENT	
9	11	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
15	16	IS_AST_PARENT	
17	18	IS_AST_PARENT	
20	21	IS_AST_PARENT	
20	22	IS_AST_PARENT	
19	20	IS_AST_PARENT	
19	23	IS_AST_PARENT	
17	19	IS_AST_PARENT	
15	17	IS_AST_PARENT	
14	15	IS_AST_PARENT	
4	14	IS_AST_PARENT	
25	26	IS_AST_PARENT	
25	27	IS_AST_PARENT	
28	29	IS_AST_PARENT	
31	32	IS_AST_PARENT	
30	31	IS_AST_PARENT	
34	35	IS_AST_PARENT	
33	34	IS_AST_PARENT	
30	33	IS_AST_PARENT	
28	30	IS_AST_PARENT	
25	28	IS_AST_PARENT	
24	25	IS_AST_PARENT	
4	24	IS_AST_PARENT	
40	41	IS_AST_PARENT	
40	42	IS_AST_PARENT	
39	40	IS_AST_PARENT	
39	43	IS_AST_PARENT	
38	39	IS_AST_PARENT	
38	44	IS_AST_PARENT	
37	38	IS_AST_PARENT	
36	37	IS_AST_PARENT	
45	46	IS_AST_PARENT	
36	45	IS_AST_PARENT	
4	36	IS_AST_PARENT	
50	51	IS_AST_PARENT	
50	52	IS_AST_PARENT	
49	50	IS_AST_PARENT	
49	53	IS_AST_PARENT	
48	49	IS_AST_PARENT	
48	54	IS_AST_PARENT	
47	48	IS_AST_PARENT	
4	47	IS_AST_PARENT	
57	58	IS_AST_PARENT	
56	57	IS_AST_PARENT	
62	63	IS_AST_PARENT	
61	62	IS_AST_PARENT	
65	66	IS_AST_PARENT	
64	65	IS_AST_PARENT	
61	64	IS_AST_PARENT	
60	61	IS_AST_PARENT	
59	60	IS_AST_PARENT	
67	68	IS_AST_PARENT	
59	67	IS_AST_PARENT	
56	59	IS_AST_PARENT	
55	56	IS_AST_PARENT	
4	55	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	69	IS_AST_PARENT	
3	70	IS_AST_PARENT	
72	73	IS_AST_PARENT	
72	74	IS_AST_PARENT	
71	72	IS_AST_PARENT	
75	76	IS_AST_PARENT	
75	77	IS_AST_PARENT	
71	75	IS_AST_PARENT	
78	79	IS_AST_PARENT	
78	80	IS_AST_PARENT	
71	78	IS_AST_PARENT	
3	71	IS_AST_PARENT	
81	72	FLOWS_TO	
72	75	FLOWS_TO	
75	78	FLOWS_TO	
78	5	FLOWS_TO	
5	14	FLOWS_TO	
14	24	FLOWS_TO	
24	37	FLOWS_TO	
37	46	FLOWS_TO	
37	47	FLOWS_TO	
46	82	FLOWS_TO	
47	55	FLOWS_TO	
55	82	FLOWS_TO	
24	83	USE	
28	83	USE	
37	84	USE	
47	84	DEF	
48	84	DEF	
75	85	DEF	
37	86	USE	
39	86	USE	
47	86	DEF	
48	86	DEF	
47	86	USE	
49	86	USE	
24	87	DEF	
25	87	DEF	
28	87	DEF	
55	87	USE	
65	87	USE	
55	88	USE	
60	88	USE	
5	89	DEF	
9	89	DEF	
6	89	DEF	
14	89	DEF	
15	89	DEF	
14	89	USE	
15	89	USE	
72	90	DEF	
5	90	USE	
9	90	USE	
24	90	USE	
34	90	USE	
37	90	USE	
40	90	USE	
47	90	USE	
50	90	USE	
78	91	DEF	
37	91	USE	
47	91	USE	
48	91	USE	
37	92	USE	
39	92	USE	
47	92	DEF	
48	92	DEF	
47	92	USE	
49	92	USE	
47	82	REACHES	* env
24	55	REACHES	cpu
5	14	REACHES	dwk_alias_1
72	5	REACHES	env
72	24	REACHES	env
72	37	REACHES	env
72	47	REACHES	env
78	37	REACHES	value
78	47	REACHES	value
81	72	CONTROLS	
81	75	CONTROLS	
81	78	CONTROLS	
81	5	CONTROLS	
81	14	CONTROLS	
81	24	CONTROLS	
81	37	CONTROLS	
37	46	CONTROLS	
37	47	CONTROLS	
37	55	CONTROLS	
78	5	DOM	
14	24	DOM	
37	46	DOM	
75	78	DOM	
24	37	DOM	
37	82	DOM	
37	47	DOM	
47	55	DOM	
81	72	DOM	
5	14	DOM	
81	81	DOM	
72	75	DOM	
14	5	POST_DOM	
82	46	POST_DOM	
37	24	POST_DOM	
5	78	POST_DOM	
82	37	POST_DOM	
82	82	POST_DOM	
55	47	POST_DOM	
82	55	POST_DOM	
24	14	POST_DOM	
75	72	POST_DOM	
72	81	POST_DOM	
78	75	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	81	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
