start	end	type	var
6	7	IS_AST_PARENT	
5	6	IS_AST_PARENT	
10	11	IS_AST_PARENT	
10	12	IS_AST_PARENT	
13	14	IS_AST_PARENT	
13	15	IS_AST_PARENT	
10	13	IS_AST_PARENT	
9	10	IS_AST_PARENT	
8	9	IS_AST_PARENT	
17	18	IS_AST_PARENT	
17	19	IS_AST_PARENT	
16	17	IS_AST_PARENT	
8	16	IS_AST_PARENT	
5	8	IS_AST_PARENT	
4	5	IS_AST_PARENT	
21	22	IS_AST_PARENT	
21	23	IS_AST_PARENT	
24	25	IS_AST_PARENT	
27	28	IS_AST_PARENT	
26	27	IS_AST_PARENT	
30	31	IS_AST_PARENT	
29	30	IS_AST_PARENT	
26	29	IS_AST_PARENT	
24	26	IS_AST_PARENT	
21	24	IS_AST_PARENT	
20	21	IS_AST_PARENT	
4	20	IS_AST_PARENT	
36	37	IS_AST_PARENT	
36	38	IS_AST_PARENT	
35	36	IS_AST_PARENT	
35	39	IS_AST_PARENT	
34	35	IS_AST_PARENT	
34	40	IS_AST_PARENT	
33	34	IS_AST_PARENT	
32	33	IS_AST_PARENT	
41	42	IS_AST_PARENT	
32	41	IS_AST_PARENT	
4	32	IS_AST_PARENT	
46	47	IS_AST_PARENT	
46	48	IS_AST_PARENT	
45	46	IS_AST_PARENT	
45	49	IS_AST_PARENT	
44	45	IS_AST_PARENT	
44	50	IS_AST_PARENT	
43	44	IS_AST_PARENT	
4	43	IS_AST_PARENT	
53	54	IS_AST_PARENT	
52	53	IS_AST_PARENT	
58	59	IS_AST_PARENT	
57	58	IS_AST_PARENT	
61	62	IS_AST_PARENT	
60	61	IS_AST_PARENT	
57	60	IS_AST_PARENT	
56	57	IS_AST_PARENT	
55	56	IS_AST_PARENT	
63	64	IS_AST_PARENT	
55	63	IS_AST_PARENT	
52	55	IS_AST_PARENT	
51	52	IS_AST_PARENT	
4	51	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	65	IS_AST_PARENT	
3	66	IS_AST_PARENT	
68	69	IS_AST_PARENT	
68	70	IS_AST_PARENT	
67	68	IS_AST_PARENT	
71	72	IS_AST_PARENT	
71	73	IS_AST_PARENT	
67	71	IS_AST_PARENT	
74	75	IS_AST_PARENT	
74	76	IS_AST_PARENT	
67	74	IS_AST_PARENT	
3	67	IS_AST_PARENT	
77	68	FLOWS_TO	
68	71	FLOWS_TO	
71	74	FLOWS_TO	
74	6	FLOWS_TO	
6	9	FLOWS_TO	
6	20	FLOWS_TO	
9	16	FLOWS_TO	
16	20	FLOWS_TO	
20	33	FLOWS_TO	
33	42	FLOWS_TO	
33	43	FLOWS_TO	
42	78	FLOWS_TO	
43	51	FLOWS_TO	
51	78	FLOWS_TO	
20	79	USE	
24	79	USE	
33	80	USE	
43	80	DEF	
44	80	DEF	
71	81	DEF	
9	82	DEF	
10	82	DEF	
13	82	DEF	
16	82	USE	
17	82	USE	
16	82	DEF	
17	82	DEF	
33	83	USE	
35	83	USE	
43	83	DEF	
44	83	DEF	
43	83	USE	
45	83	USE	
20	84	DEF	
24	84	DEF	
21	84	DEF	
51	84	USE	
61	84	USE	
51	85	USE	
56	85	USE	
68	86	DEF	
20	86	USE	
30	86	USE	
33	86	USE	
36	86	USE	
43	86	USE	
46	86	USE	
74	87	DEF	
33	87	USE	
43	87	USE	
44	87	USE	
33	88	USE	
35	88	USE	
43	88	DEF	
44	88	DEF	
43	88	USE	
45	88	USE	
43	78	REACHES	* env
9	16	REACHES	dwk_xfg_guard_1
20	51	REACHES	cpu
68	20	REACHES	env
68	33	REACHES	env
68	43	REACHES	env
74	33	REACHES	value
74	43	REACHES	value
77	68	CONTROLS	
77	71	CONTROLS	
77	74	CONTROLS	
77	6	CONTROLS	
77	20	CONTROLS	
77	33	CONTROLS	
6	9	CONTROLS	
6	16	CONTROLS	
33	42	CONTROLS	
33	43	CONTROLS	
33	51	CONTROLS	
77	77	DOM	
6	20	DOM	
33	78	DOM	
71	74	DOM	
77	68	DOM	
68	71	DOM	
6	9	DOM	
33	42	DOM	
33	43	DOM	
9	16	DOM	
43	51	DOM	
74	6	DOM	
20	33	DOM	
68	77	POST_DOM	
33	20	POST_DOM	
78	78	POST_DOM	
6	74	POST_DOM	
74	71	POST_DOM	
71	68	POST_DOM	
16	9	POST_DOM	
78	42	POST_DOM	
51	43	POST_DOM	
20	16	POST_DOM	
78	51	POST_DOM	
20	6	POST_DOM	
78	33	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	77	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
