command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/devign__14_vulnerable_static_int_decode_mb_info__data_flow_alias__c1/_work/source/devign__14_vulnerable_static_int_decode_mb_info__data_flow_alias__c1.c								
ANR	2	Function	decode_mb_info	1:0:0:4816							
ANR	3	FunctionDef	"decode_mb_info (IVI5DecContext * ctx , IVIBandDesc * band , IVITile * tile , AVCodecContext * avctx)"		2	0					
ANR	4	CompoundStatement		5:0:132:4816	2	0					
ANR	5	IdentifierDeclStatement	"int x , y , mv_x , mv_y , mv_delta , offs , mb_offset , mv_scale , blks_per_mb ;"	7:4:139:234	2	0	True				
ANR	6	IdentifierDecl	x		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	x		2	1					
ANR	9	IdentifierDecl	y		2	1					
ANR	10	IdentifierDeclType	int		2	0					
ANR	11	Identifier	y		2	1					
ANR	12	IdentifierDecl	mv_x		2	2					
ANR	13	IdentifierDeclType	int		2	0					
ANR	14	Identifier	mv_x		2	1					
ANR	15	IdentifierDecl	mv_y		2	3					
ANR	16	IdentifierDeclType	int		2	0					
ANR	17	Identifier	mv_y		2	1					
ANR	18	IdentifierDecl	mv_delta		2	4					
ANR	19	IdentifierDeclType	int		2	0					
ANR	20	Identifier	mv_delta		2	1					
ANR	21	IdentifierDecl	offs		2	5					
ANR	22	IdentifierDeclType	int		2	0					
ANR	23	Identifier	offs		2	1					
ANR	24	IdentifierDecl	mb_offset		2	6					
ANR	25	IdentifierDeclType	int		2	0					
ANR	26	Identifier	mb_offset		2	1					
ANR	27	IdentifierDecl	mv_scale		2	7					
ANR	28	IdentifierDeclType	int		2	0					
ANR	29	Identifier	mv_scale		2	1					
ANR	30	IdentifierDecl	blks_per_mb		2	8					
ANR	31	IdentifierDeclType	int		2	0					
ANR	32	Identifier	blks_per_mb		2	1					
ANR	33	IdentifierDeclStatement	"IVIMbInfo * mb , * ref_mb ;"	11:4:241:265	2	1	True				
ANR	34	IdentifierDecl	* mb		2	0					
ANR	35	IdentifierDeclType	IVIMbInfo *		2	0					
ANR	36	Identifier	mb		2	1					
ANR	37	IdentifierDecl	* ref_mb		2	1					
ANR	38	IdentifierDeclType	IVIMbInfo *		2	0					
ANR	39	Identifier	ref_mb		2	1					
ANR	40	IdentifierDeclStatement	int row_offset = band -> mb_size * band -> pitch ;	13:4:272:324	2	2	True				
