command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/devign__16_vulnerable_static_int_mxg_update_cache__data_flow_alias__c1/_work/source/devign__16_vulnerable_static_int_mxg_update_cache__data_flow_alias__c1.c								
ANR	2	Function	mxg_update_cache	1:0:0:1075							
ANR	3	FunctionDef	"mxg_update_cache (AVFormatContext * s , unsigned int cache_size)"		2	0					
ANR	4	CompoundStatement		3:0:74:1075	2	0					
ANR	5	IdentifierDeclStatement	MXGContext * mxg = s -> priv_data ;	5:4:81:111	2	0	True				
ANR	6	IdentifierDecl	* mxg = s -> priv_data		2	0					
ANR	7	IdentifierDeclType	MXGContext *		2	0					
ANR	8	Identifier	mxg		2	1					
ANR	9	AssignmentExpression	* mxg = s -> priv_data		2	2		=			
ANR	10	Identifier	mxg		2	0					
ANR	11	PtrMemberAccess	s -> priv_data		2	1					
ANR	12	Identifier	s		2	0					
ANR	13	Identifier	priv_data		2	1					
ANR	14	IdentifierDeclStatement	unsigned int current_pos = mxg -> buffer_ptr - mxg -> buffer ;	7:4:118:174	2	1	True				
ANR	15	IdentifierDecl	current_pos = mxg -> buffer_ptr - mxg -> buffer		2	0					
ANR	16	IdentifierDeclType	unsigned int		2	0					
ANR	17	Identifier	current_pos		2	1					
ANR	18	AssignmentExpression	current_pos = mxg -> buffer_ptr - mxg -> buffer		2	2		=			
ANR	19	Identifier	current_pos		2	0					
ANR	20	AdditiveExpression	mxg -> buffer_ptr - mxg -> buffer		2	1		-			
ANR	21	PtrMemberAccess	mxg -> buffer_ptr		2	0					
ANR	22	Identifier	mxg		2	0					
ANR	23	Identifier	buffer_ptr		2	1					
ANR	24	PtrMemberAccess	mxg -> buffer		2	1					
ANR	25	Identifier	mxg		2	0					
ANR	26	Identifier	buffer		2	1					
ANR	27	IdentifierDeclStatement	unsigned int soi_pos ;	9:4:181:201	2	2	True				
ANR	28	IdentifierDecl	soi_pos		2	0					
ANR	29	IdentifierDeclType	unsigned int		2	0					
ANR	30	Identifier	soi_pos		2	1					
ANR	31	IdentifierDeclStatement	int ret ;	11:4:208:215	2	3	True				
ANR	32	IdentifierDecl	ret		2	0					
ANR	33	IdentifierDeclType	int		2	0					
ANR	34	Identifier	ret		2	1					
ANR	35	IfStatement	if ( current_pos > current_pos + cache_size )		2	4					
ANR	36	Condition	current_pos > current_pos + cache_size	17:8:266:303	2	0	True				
ANR	37	RelationalExpression	current_pos > current_pos + cache_size		2	0		>			
ANR	38	Identifier	current_pos		2	0					
ANR	39	AdditiveExpression	current_pos + cache_size		2	1		+			
ANR	40	Identifier	current_pos		2	0					
ANR	41	Identifier	cache_size		2	1					
ANR	42	IdentifierDeclStatement	void * dwk_alias_1 = ( void * ) ( ENOMEM ) ;	19:8:315:351	2	1	True				
ANR	43	IdentifierDecl	* dwk_alias_1 = ( void * ) ( ENOMEM )		2	0					
ANR	44	IdentifierDeclType	void *		2	0					
ANR	45	Identifier	dwk_alias_1		2	1					
ANR	46	AssignmentExpression	* dwk_alias_1 = ( void * ) ( ENOMEM )		2	2		=			
ANR	47	Identifier	dwk_alias_1		2	0					
ANR	48	CastExpression	( void * ) ( ENOMEM )		2	1					
ANR	49	CastTarget	void *		2	0					
ANR	50	Identifier	ENOMEM		2	1					
ANR	51	ExpressionStatement	dwk_alias_1 = ( void * ) ( ( char * ) dwk_alias_1 + 0 )	20:8:361:408	2	5	True				
ANR	52	AssignmentExpression	dwk_alias_1 = ( void * ) ( ( char * ) dwk_alias_1 + 0 )		2	0		=			
ANR	53	Identifier	dwk_alias_1		2	0					
ANR	54	CastExpression	( void * ) ( ( char * ) dwk_alias_1 + 0 )		2	1					
ANR	55	CastTarget	void *		2	0					
ANR	56	AdditiveExpression	( char * ) dwk_alias_1 + 0		2	1		+			
ANR	57	CastExpression	( char * ) dwk_alias_1		2	0					
ANR	58	CastTarget	char *		2	0					
ANR	59	Identifier	dwk_alias_1		2	1					
ANR	60	PrimaryExpression	0		2	1					
ANR	61	ReturnStatement	return AVERROR ( ENOMEM ) ;	21:8:418:440	2	6	True				
ANR	62	CallExpression	AVERROR ( ENOMEM )		2	0					
ANR	63	Callee	AVERROR		2	0					
ANR	64	Identifier	AVERROR		2	0					
ANR	65	ArgumentList	ENOMEM		2	1					
ANR	66	Argument	ENOMEM		2	0					
ANR	67	Identifier	ENOMEM		2	0					
ANR	68	ExpressionStatement	soi_pos = mxg -> soi_ptr - mxg -> buffer	23:4:447:483	2	7	True				
ANR	69	AssignmentExpression	soi_pos = mxg -> soi_ptr - mxg -> buffer		2	0		=			
ANR	70	Identifier	soi_pos		2	0					
ANR	71	AdditiveExpression	mxg -> soi_ptr - mxg -> buffer		2	1		-			
ANR	72	PtrMemberAccess	mxg -> soi_ptr		2	0					
ANR	73	Identifier	mxg		2	0					
ANR	74	Identifier	soi_ptr		2	1					
ANR	75	PtrMemberAccess	mxg -> buffer		2	1					
ANR	76	Identifier	mxg		2	0					
ANR	77	Identifier	buffer		2	1					
ANR	78	ExpressionStatement	"mxg -> buffer = av_fast_realloc ( mxg -> buffer , & mxg -> buffer_size , current_pos + cache_size + FF_INPUT_BUFFER_PADDING_SIZE )"	25:4:490:678	2	8	True				
ANR	79	AssignmentExpression	"mxg -> buffer = av_fast_realloc ( mxg -> buffer , & mxg -> buffer_size , current_pos + cache_size + FF_INPUT_BUFFER_PADDING_SIZE )"		2	0		=			
ANR	80	PtrMemberAccess	mxg -> buffer		2	0					
ANR	81	Identifier	mxg		2	0					
ANR	82	Identifier	buffer		2	1					
ANR	83	CallExpression	"av_fast_realloc ( mxg -> buffer , & mxg -> buffer_size , current_pos + cache_size + FF_INPUT_BUFFER_PADDING_SIZE )"		2	1					
ANR	84	Callee	av_fast_realloc		2	0					
ANR	85	Identifier	av_fast_realloc		2	0					
ANR	86	ArgumentList	mxg -> buffer		2	1					
ANR	87	Argument	mxg -> buffer		2	0					
ANR	88	PtrMemberAccess	mxg -> buffer		2	0					
ANR	89	Identifier	mxg		2	0					
ANR	90	Identifier	buffer		2	1					
ANR	91	Argument	& mxg -> buffer_size		2	1					
ANR	92	UnaryOperationExpression	& mxg -> buffer_size		2	0					
ANR	93	UnaryOperator	&		2	0					
ANR	94	PtrMemberAccess	mxg -> buffer_size		2	1					
ANR	95	Identifier	mxg		2	0					
ANR	96	Identifier	buffer_size		2	1					
ANR	97	Argument	current_pos + cache_size + FF_INPUT_BUFFER_PADDING_SIZE		2	2					
ANR	98	AdditiveExpression	current_pos + cache_size + FF_INPUT_BUFFER_PADDING_SIZE		2	0		+			
ANR	99	Identifier	current_pos		2	0					
ANR	100	AdditiveExpression	cache_size + FF_INPUT_BUFFER_PADDING_SIZE		2	1		+			
ANR	101	Identifier	cache_size		2	0					
ANR	102	Identifier	FF_INPUT_BUFFER_PADDING_SIZE		2	1					
ANR	103	IfStatement	if ( ! mxg -> buffer )		2	9					
ANR	104	Condition	! mxg -> buffer	31:8:689:700	2	0	True				
ANR	105	UnaryOperationExpression	! mxg -> buffer		2	0					
ANR	106	UnaryOperator	!		2	0					
ANR	107	PtrMemberAccess	mxg -> buffer		2	1					
ANR	108	Identifier	mxg		2	0					
ANR	109	Identifier	buffer		2	1					
ANR	110	ReturnStatement	return AVERROR ( ENOMEM ) ;	33:8:712:734	2	1	True				
ANR	111	CallExpression	AVERROR ( ENOMEM )		2	0					
ANR	112	Callee	AVERROR		2	0					
ANR	113	Identifier	AVERROR		2	0					
ANR	114	ArgumentList	ENOMEM		2	1					
ANR	115	Argument	ENOMEM		2	0					
ANR	116	Identifier	ENOMEM		2	0					
ANR	117	ExpressionStatement	mxg -> buffer_ptr = mxg -> buffer + current_pos	35:4:741:784	2	10	True				
ANR	118	AssignmentExpression	mxg -> buffer_ptr = mxg -> buffer + current_pos		2	0		=			
ANR	119	PtrMemberAccess	mxg -> buffer_ptr		2	0					
ANR	120	Identifier	mxg		2	0					
ANR	121	Identifier	buffer_ptr		2	1					
ANR	122	AdditiveExpression	mxg -> buffer + current_pos		2	1		+			
ANR	123	PtrMemberAccess	mxg -> buffer		2	0					
ANR	124	Identifier	mxg		2	0					
ANR	125	Identifier	buffer		2	1					
ANR	126	Identifier	current_pos		2	1					
ANR	127	IfStatement	if ( mxg -> soi_ptr )		2	11					
ANR	128	Condition	mxg -> soi_ptr	37:8:795:806	2	0	True				
ANR	129	PtrMemberAccess	mxg -> soi_ptr		2	0					
ANR	130	Identifier	mxg		2	0					
ANR	131	Identifier	soi_ptr		2	1					
ANR	132	ExpressionStatement	mxg -> soi_ptr = mxg -> buffer + soi_pos	37:22:809:845	2	1	True				
ANR	133	AssignmentExpression	mxg -> soi_ptr = mxg -> buffer + soi_pos		2	0		=			
ANR	134	PtrMemberAccess	mxg -> soi_ptr		2	0					
ANR	135	Identifier	mxg		2	0					
ANR	136	Identifier	soi_ptr		2	1					
ANR	137	AdditiveExpression	mxg -> buffer + soi_pos		2	1		+			
ANR	138	PtrMemberAccess	mxg -> buffer		2	0					
ANR	139	Identifier	mxg		2	0					
ANR	140	Identifier	buffer		2	1					
ANR	141	Identifier	soi_pos		2	1					
ANR	142	ExpressionStatement	"ret = avio_read ( s -> pb , mxg -> buffer_ptr + mxg -> cache_size , cache_size - mxg -> cache_size )"	43:4:874:983	2	12	True				
ANR	143	AssignmentExpression	"ret = avio_read ( s -> pb , mxg -> buffer_ptr + mxg -> cache_size , cache_size - mxg -> cache_size )"		2	0		=			
ANR	144	Identifier	ret		2	0					
ANR	145	CallExpression	"avio_read ( s -> pb , mxg -> buffer_ptr + mxg -> cache_size , cache_size - mxg -> cache_size )"		2	1					
ANR	146	Callee	avio_read		2	0					
ANR	147	Identifier	avio_read		2	0					
ANR	148	ArgumentList	s -> pb		2	1					
ANR	149	Argument	s -> pb		2	0					
ANR	150	PtrMemberAccess	s -> pb		2	0					
ANR	151	Identifier	s		2	0					
ANR	152	Identifier	pb		2	1					
ANR	153	Argument	mxg -> buffer_ptr + mxg -> cache_size		2	1					
ANR	154	AdditiveExpression	mxg -> buffer_ptr + mxg -> cache_size		2	0		+			
ANR	155	PtrMemberAccess	mxg -> buffer_ptr		2	0					
ANR	156	Identifier	mxg		2	0					
ANR	157	Identifier	buffer_ptr		2	1					
ANR	158	PtrMemberAccess	mxg -> cache_size		2	1					
ANR	159	Identifier	mxg		2	0					
ANR	160	Identifier	cache_size		2	1					
