command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/devign__16_vulnerable_static_int_mxg_update_cache__xfg_targeted_dead_code__c1/_work/source/devign__16_vulnerable_static_int_mxg_update_cache__xfg_targeted_dead_code__c1.c								
ANR	2	Function	mxg_update_cache	1:0:0:1054							
ANR	3	FunctionDef	"mxg_update_cache (AVFormatContext * s , unsigned int cache_size)"		2	0					
ANR	4	CompoundStatement		3:0:74:1054	2	0					
ANR	5	IfStatement	if ( 0 )		2	0					
ANR	6	Condition	0	5:8:85:85	2	0	True				
ANR	7	PrimaryExpression	0		2	0					
ANR	8	CompoundStatement		4:8:23:46	2	1					
ANR	9	IdentifierDeclStatement	int dwk_xfg_guard_1 = 1 ;	6:8:98:121	2	0	True				
ANR	10	IdentifierDecl	dwk_xfg_guard_1 = 1		2	0					
ANR	11	IdentifierDeclType	int		2	0					
ANR	12	Identifier	dwk_xfg_guard_1		2	1					
ANR	13	AssignmentExpression	dwk_xfg_guard_1 = 1		2	2		=			
ANR	14	Identifier	dwk_xfg_guard_1		2	0					
ANR	15	PrimaryExpression	1		2	1					
ANR	16	ExpressionStatement	dwk_xfg_guard_1 += 0	7:8:131:151	2	1	True				
ANR	17	AssignmentExpression	dwk_xfg_guard_1 += 0		2	0		+=			
ANR	18	Identifier	dwk_xfg_guard_1		2	0					
ANR	19	PrimaryExpression	0		2	1					
ANR	20	IdentifierDeclStatement	MXGContext * mxg = s -> priv_data ;	9:4:163:193	2	1	True				
ANR	21	IdentifierDecl	* mxg = s -> priv_data		2	0					
ANR	22	IdentifierDeclType	MXGContext *		2	0					
ANR	23	Identifier	mxg		2	1					
ANR	24	AssignmentExpression	* mxg = s -> priv_data		2	2		=			
ANR	25	Identifier	mxg		2	0					
ANR	26	PtrMemberAccess	s -> priv_data		2	1					
ANR	27	Identifier	s		2	0					
ANR	28	Identifier	priv_data		2	1					
ANR	29	IdentifierDeclStatement	unsigned int current_pos = mxg -> buffer_ptr - mxg -> buffer ;	11:4:200:256	2	2	True				
ANR	30	IdentifierDecl	current_pos = mxg -> buffer_ptr - mxg -> buffer		2	0					
ANR	31	IdentifierDeclType	unsigned int		2	0					
ANR	32	Identifier	current_pos		2	1					
ANR	33	AssignmentExpression	current_pos = mxg -> buffer_ptr - mxg -> buffer		2	2		=			
ANR	34	Identifier	current_pos		2	0					
ANR	35	AdditiveExpression	mxg -> buffer_ptr - mxg -> buffer		2	1		-			
ANR	36	PtrMemberAccess	mxg -> buffer_ptr		2	0					
ANR	37	Identifier	mxg		2	0					
ANR	38	Identifier	buffer_ptr		2	1					
ANR	39	PtrMemberAccess	mxg -> buffer		2	1					
ANR	40	Identifier	mxg		2	0					
ANR	41	Identifier	buffer		2	1					
ANR	42	IdentifierDeclStatement	unsigned int soi_pos ;	13:4:263:283	2	3	True				
ANR	43	IdentifierDecl	soi_pos		2	0					
ANR	44	IdentifierDeclType	unsigned int		2	0					
ANR	45	Identifier	soi_pos		2	1					
ANR	46	IdentifierDeclStatement	int ret ;	15:4:290:297	2	4	True				
ANR	47	IdentifierDecl	ret		2	0					
ANR	48	IdentifierDeclType	int		2	0					
ANR	49	Identifier	ret		2	1					
ANR	50	IfStatement	if ( current_pos > current_pos + cache_size )		2	5					
ANR	51	Condition	current_pos > current_pos + cache_size	21:8:348:385	2	0	True				
ANR	52	RelationalExpression	current_pos > current_pos + cache_size		2	0		>			
ANR	53	Identifier	current_pos		2	0					
ANR	54	AdditiveExpression	current_pos + cache_size		2	1		+			
ANR	55	Identifier	current_pos		2	0					
ANR	56	Identifier	cache_size		2	1					
ANR	57	ReturnStatement	return AVERROR ( ENOMEM ) ;	23:8:397:419	2	1	True				
ANR	58	CallExpression	AVERROR ( ENOMEM )		2	0					
ANR	59	Callee	AVERROR		2	0					
ANR	60	Identifier	AVERROR		2	0					
ANR	61	ArgumentList	ENOMEM		2	1					
ANR	62	Argument	ENOMEM		2	0					
ANR	63	Identifier	ENOMEM		2	0					
ANR	64	ExpressionStatement	soi_pos = mxg -> soi_ptr - mxg -> buffer	25:4:426:462	2	6	True				
ANR	65	AssignmentExpression	soi_pos = mxg -> soi_ptr - mxg -> buffer		2	0		=			
ANR	66	Identifier	soi_pos		2	0					
ANR	67	AdditiveExpression	mxg -> soi_ptr - mxg -> buffer		2	1		-			
ANR	68	PtrMemberAccess	mxg -> soi_ptr		2	0					
ANR	69	Identifier	mxg		2	0					
ANR	70	Identifier	soi_ptr		2	1					
ANR	71	PtrMemberAccess	mxg -> buffer		2	1					
ANR	72	Identifier	mxg		2	0					
ANR	73	Identifier	buffer		2	1					
ANR	74	ExpressionStatement	"mxg -> buffer = av_fast_realloc ( mxg -> buffer , & mxg -> buffer_size , current_pos + cache_size + FF_INPUT_BUFFER_PADDING_SIZE )"	27:4:469:657	2	7	True				
ANR	75	AssignmentExpression	"mxg -> buffer = av_fast_realloc ( mxg -> buffer , & mxg -> buffer_size , current_pos + cache_size + FF_INPUT_BUFFER_PADDING_SIZE )"		2	0		=			
ANR	76	PtrMemberAccess	mxg -> buffer		2	0					
ANR	77	Identifier	mxg		2	0					
ANR	78	Identifier	buffer		2	1					
ANR	79	CallExpression	"av_fast_realloc ( mxg -> buffer , & mxg -> buffer_size , current_pos + cache_size + FF_INPUT_BUFFER_PADDING_SIZE )"		2	1					
ANR	80	Callee	av_fast_realloc		2	0					
ANR	81	Identifier	av_fast_realloc		2	0					
ANR	82	ArgumentList	mxg -> buffer		2	1					
ANR	83	Argument	mxg -> buffer		2	0					
ANR	84	PtrMemberAccess	mxg -> buffer		2	0					
ANR	85	Identifier	mxg		2	0					
ANR	86	Identifier	buffer		2	1					
ANR	87	Argument	& mxg -> buffer_size		2	1					
ANR	88	UnaryOperationExpression	& mxg -> buffer_size		2	0					
ANR	89	UnaryOperator	&		2	0					
ANR	90	PtrMemberAccess	mxg -> buffer_size		2	1					
ANR	91	Identifier	mxg		2	0					
ANR	92	Identifier	buffer_size		2	1					
ANR	93	Argument	current_pos + cache_size + FF_INPUT_BUFFER_PADDING_SIZE		2	2					
ANR	94	AdditiveExpression	current_pos + cache_size + FF_INPUT_BUFFER_PADDING_SIZE		2	0		+			
ANR	95	Identifier	current_pos		2	0					
ANR	96	AdditiveExpression	cache_size + FF_INPUT_BUFFER_PADDING_SIZE		2	1		+			
ANR	97	Identifier	cache_size		2	0					
ANR	98	Identifier	FF_INPUT_BUFFER_PADDING_SIZE		2	1					
ANR	99	IfStatement	if ( ! mxg -> buffer )		2	8					
ANR	100	Condition	! mxg -> buffer	33:8:668:679	2	0	True				
ANR	101	UnaryOperationExpression	! mxg -> buffer		2	0					
ANR	102	UnaryOperator	!		2	0					
ANR	103	PtrMemberAccess	mxg -> buffer		2	1					
ANR	104	Identifier	mxg		2	0					
ANR	105	Identifier	buffer		2	1					
ANR	106	ReturnStatement	return AVERROR ( ENOMEM ) ;	35:8:691:713	2	1	True				
ANR	107	CallExpression	AVERROR ( ENOMEM )		2	0					
ANR	108	Callee	AVERROR		2	0					
ANR	109	Identifier	AVERROR		2	0					
ANR	110	ArgumentList	ENOMEM		2	1					
ANR	111	Argument	ENOMEM		2	0					
ANR	112	Identifier	ENOMEM		2	0					
ANR	113	ExpressionStatement	mxg -> buffer_ptr = mxg -> buffer + current_pos	37:4:720:763	2	9	True				
ANR	114	AssignmentExpression	mxg -> buffer_ptr = mxg -> buffer + current_pos		2	0		=			
ANR	115	PtrMemberAccess	mxg -> buffer_ptr		2	0					
ANR	116	Identifier	mxg		2	0					
ANR	117	Identifier	buffer_ptr		2	1					
ANR	118	AdditiveExpression	mxg -> buffer + current_pos		2	1		+			
ANR	119	PtrMemberAccess	mxg -> buffer		2	0					
ANR	120	Identifier	mxg		2	0					
ANR	121	Identifier	buffer		2	1					
ANR	122	Identifier	current_pos		2	1					
ANR	123	IfStatement	if ( mxg -> soi_ptr )		2	10					
ANR	124	Condition	mxg -> soi_ptr	39:8:774:785	2	0	True				
ANR	125	PtrMemberAccess	mxg -> soi_ptr		2	0					
ANR	126	Identifier	mxg		2	0					
ANR	127	Identifier	soi_ptr		2	1					
ANR	128	ExpressionStatement	mxg -> soi_ptr = mxg -> buffer + soi_pos	39:22:788:824	2	1	True				
