command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/devign__17_vulnerable_static_void_FUNCC__pattern_dead_code__c1/_work/source/devign__17_vulnerable_static_void_FUNCC__pattern_dead_code__c1.c								
ANR	2	Function	pred4x4_dc	1:0:0:734							
ANR	3	FunctionDef	"pred4x4_dc (uint8_t * _src , const uint8_t * topright , int _stride)"		2	0					
ANR	4	CompoundStatement		1:82:82:734	2	0					
ANR	5	IfStatement	if ( 0 )		2	0					
ANR	6	Condition	0	3:8:93:93	2	0	True				
ANR	7	PrimaryExpression	0		2	0					
ANR	8	CompoundStatement		6:8:89:127	2	1					
ANR	9	IdentifierDeclStatement	char dwk_src_1 [ 8 ] = { 0 } ;	4:8:106:129	2	0	True				
ANR	10	IdentifierDecl	dwk_src_1 [ 8 ] = { 0 }		2	0					
ANR	11	IdentifierDeclType	char [ 8 ]		2	0					
ANR	12	Identifier	dwk_src_1		2	1					
ANR	13	PrimaryExpression	8		2	2					
ANR	14	AssignmentExpression	dwk_src_1 [ 8 ] = { 0 }		2	3		=			
ANR	15	Identifier	dwk_src_1		2	0					
ANR	16	InitializerList	0		2	1					
ANR	17	PrimaryExpression	0		2	0					
ANR	18	IdentifierDeclStatement	char dwk_dst_1 [ 8 ] = { 0 } ;	5:8:139:162	2	1	True				
ANR	19	IdentifierDecl	dwk_dst_1 [ 8 ] = { 0 }		2	0					
ANR	20	IdentifierDeclType	char [ 8 ]		2	0					
ANR	21	Identifier	dwk_dst_1		2	1					
ANR	22	PrimaryExpression	8		2	2					
ANR	23	AssignmentExpression	dwk_dst_1 [ 8 ] = { 0 }		2	3		=			
ANR	24	Identifier	dwk_dst_1		2	0					
ANR	25	InitializerList	0		2	1					
ANR	26	PrimaryExpression	0		2	0					
ANR	27	IdentifierDeclStatement	int dwk_len_1 = ( int ) sizeof ( dwk_dst_1 ) ;	6:8:172:210	2	2	True				
ANR	28	IdentifierDecl	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		2	0					
ANR	29	IdentifierDeclType	int		2	0					
ANR	30	Identifier	dwk_len_1		2	1					
ANR	31	AssignmentExpression	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		2	2		=			
ANR	32	Identifier	dwk_len_1		2	0					
ANR	33	CastExpression	( int ) sizeof ( dwk_dst_1 )		2	1					
ANR	34	CastTarget	int		2	0					
ANR	35	SizeofExpression	sizeof ( dwk_dst_1 )		2	1					
ANR	36	Sizeof	sizeof		2	0					
ANR	37	SizeofOperand	dwk_dst_1		2	1					
ANR	38	IfStatement	if ( dwk_len_1 > 0 )		2	3					
ANR	39	Condition	dwk_len_1 > 0	7:12:224:236	2	0	True				
ANR	40	RelationalExpression	dwk_len_1 > 0		2	0		>			
ANR	41	Identifier	dwk_len_1		2	0					
ANR	42	PrimaryExpression	0		2	1					
ANR	43	CompoundStatement		7:27:156:156	2	1					
ANR	44	ExpressionStatement	dwk_dst_1 [ dwk_len_1 - 1 ] = dwk_src_1 [ 0 ]	8:12:253:292	2	0	True				
ANR	45	AssignmentExpression	dwk_dst_1 [ dwk_len_1 - 1 ] = dwk_src_1 [ 0 ]		2	0		=			
ANR	46	ArrayIndexing	dwk_dst_1 [ dwk_len_1 - 1 ]		2	0					
ANR	47	Identifier	dwk_dst_1		2	0					
ANR	48	AdditiveExpression	dwk_len_1 - 1		2	1		-			
ANR	49	Identifier	dwk_len_1		2	0					
ANR	50	PrimaryExpression	1		2	1					
ANR	51	ArrayIndexing	dwk_src_1 [ 0 ]		2	1					
ANR	52	Identifier	dwk_src_1		2	0					
ANR	53	PrimaryExpression	0		2	1					
ANR	54	IdentifierDeclStatement	pixel * src = ( pixel * ) _src ;	11:4:314:339	2	1	True				
ANR	55	IdentifierDecl	* src = ( pixel * ) _src		2	0					
ANR	56	IdentifierDeclType	pixel *		2	0					
ANR	57	Identifier	src		2	1					
ANR	58	AssignmentExpression	* src = ( pixel * ) _src		2	2		=			
ANR	59	Identifier	src		2	0					
ANR	60	CastExpression	( pixel * ) _src		2	1					
ANR	61	CastTarget	pixel *		2	0					
ANR	62	Identifier	_src		2	1					
ANR	63	IdentifierDeclStatement	int stride = _stride / sizeof ( pixel ) ;	13:4:346:380	2	2	True				
ANR	64	IdentifierDecl	stride = _stride / sizeof ( pixel )		2	0					
ANR	65	IdentifierDeclType	int		2	0					
ANR	66	Identifier	stride		2	1					
ANR	67	AssignmentExpression	stride = _stride / sizeof ( pixel )		2	2		=			
ANR	68	Identifier	stride		2	0					
ANR	69	MultiplicativeExpression	_stride / sizeof ( pixel )		2	1		/			
ANR	70	Identifier	_stride		2	0					
ANR	71	SizeofExpression	sizeof ( pixel )		2	1					
ANR	72	Sizeof	sizeof		2	0					
ANR	73	SizeofOperand	pixel		2	1					
ANR	74	IdentifierDeclStatement	const int dc = ( src [ - stride ] + src [ 1 - stride ] + src [ 2 - stride ] + src [ 3 - stride ] + src [ - 1 + 0 * stride ] + src [ - 1 + 1 * stride ] + src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4 ) >> 3 ;	15:4:387:569	2	3	True				
ANR	75	IdentifierDecl	dc = ( src [ - stride ] + src [ 1 - stride ] + src [ 2 - stride ] + src [ 3 - stride ] + src [ - 1 + 0 * stride ] + src [ - 1 + 1 * stride ] + src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4 ) >> 3		2	0					
ANR	76	IdentifierDeclType	const int		2	0					
ANR	77	Identifier	dc		2	1					
ANR	78	AssignmentExpression	dc = ( src [ - stride ] + src [ 1 - stride ] + src [ 2 - stride ] + src [ 3 - stride ] + src [ - 1 + 0 * stride ] + src [ - 1 + 1 * stride ] + src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4 ) >> 3		2	2		=			
ANR	79	Identifier	dc		2	0					
ANR	80	ShiftExpression	( src [ - stride ] + src [ 1 - stride ] + src [ 2 - stride ] + src [ 3 - stride ] + src [ - 1 + 0 * stride ] + src [ - 1 + 1 * stride ] + src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4 ) >> 3		2	1		>>			
ANR	81	AdditiveExpression	src [ - stride ] + src [ 1 - stride ] + src [ 2 - stride ] + src [ 3 - stride ] + src [ - 1 + 0 * stride ] + src [ - 1 + 1 * stride ] + src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4		2	0		+			
ANR	82	ArrayIndexing	src [ - stride ]		2	0					
ANR	83	Identifier	src		2	0					
ANR	84	UnaryOperationExpression	- stride		2	1					
ANR	85	UnaryOperator	-		2	0					
ANR	86	Identifier	stride		2	1					
ANR	87	AdditiveExpression	src [ 1 - stride ] + src [ 2 - stride ] + src [ 3 - stride ] + src [ - 1 + 0 * stride ] + src [ - 1 + 1 * stride ] + src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4		2	1		+			
ANR	88	ArrayIndexing	src [ 1 - stride ]		2	0					
ANR	89	Identifier	src		2	0					
ANR	90	AdditiveExpression	1 - stride		2	1		-			
ANR	91	PrimaryExpression	1		2	0					
ANR	92	Identifier	stride		2	1					
ANR	93	AdditiveExpression	src [ 2 - stride ] + src [ 3 - stride ] + src [ - 1 + 0 * stride ] + src [ - 1 + 1 * stride ] + src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4		2	1		+			
ANR	94	ArrayIndexing	src [ 2 - stride ]		2	0					
ANR	95	Identifier	src		2	0					
ANR	96	AdditiveExpression	2 - stride		2	1		-			
ANR	97	PrimaryExpression	2		2	0					
ANR	98	Identifier	stride		2	1					
ANR	99	AdditiveExpression	src [ 3 - stride ] + src [ - 1 + 0 * stride ] + src [ - 1 + 1 * stride ] + src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4		2	1		+			
ANR	100	ArrayIndexing	src [ 3 - stride ]		2	0					
ANR	101	Identifier	src		2	0					
ANR	102	AdditiveExpression	3 - stride		2	1		-			
ANR	103	PrimaryExpression	3		2	0					
ANR	104	Identifier	stride		2	1					
ANR	105	AdditiveExpression	src [ - 1 + 0 * stride ] + src [ - 1 + 1 * stride ] + src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4		2	1		+			
ANR	106	ArrayIndexing	src [ - 1 + 0 * stride ]		2	0					
ANR	107	Identifier	src		2	0					
ANR	108	AdditiveExpression	- 1 + 0 * stride		2	1		+			
ANR	109	UnaryOperationExpression	- 1		2	0					
ANR	110	UnaryOperator	-		2	0					
ANR	111	PrimaryExpression	1		2	1					
ANR	112	MultiplicativeExpression	0 * stride		2	1		*			
ANR	113	PrimaryExpression	0		2	0					
ANR	114	Identifier	stride		2	1					
ANR	115	AdditiveExpression	src [ - 1 + 1 * stride ] + src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4		2	1		+			
ANR	116	ArrayIndexing	src [ - 1 + 1 * stride ]		2	0					
ANR	117	Identifier	src		2	0					
ANR	118	AdditiveExpression	- 1 + 1 * stride		2	1		+			
ANR	119	UnaryOperationExpression	- 1		2	0					
ANR	120	UnaryOperator	-		2	0					
ANR	121	PrimaryExpression	1		2	1					
ANR	122	MultiplicativeExpression	1 * stride		2	1		*			
ANR	123	PrimaryExpression	1		2	0					
ANR	124	Identifier	stride		2	1					
ANR	125	AdditiveExpression	src [ - 1 + 2 * stride ] + src [ - 1 + 3 * stride ] + 4		2	1		+			
ANR	126	ArrayIndexing	src [ - 1 + 2 * stride ]		2	0					
ANR	127	Identifier	src		2	0					
ANR	128	AdditiveExpression	- 1 + 2 * stride		2	1		+			
ANR	129	UnaryOperationExpression	- 1		2	0					
ANR	130	UnaryOperator	-		2	0					
ANR	131	PrimaryExpression	1		2	1					
ANR	132	MultiplicativeExpression	2 * stride		2	1		*			
ANR	133	PrimaryExpression	2		2	0					
ANR	134	Identifier	stride		2	1					
ANR	135	AdditiveExpression	src [ - 1 + 3 * stride ] + 4		2	1		+			
ANR	136	ArrayIndexing	src [ - 1 + 3 * stride ]		2	0					
ANR	137	Identifier	src		2	0					
ANR	138	AdditiveExpression	- 1 + 3 * stride		2	1		+			
ANR	139	UnaryOperationExpression	- 1		2	0					
ANR	140	UnaryOperator	-		2	0					
ANR	141	PrimaryExpression	1		2	1					
ANR	142	MultiplicativeExpression	3 * stride		2	1		*			
ANR	143	PrimaryExpression	3		2	0					
ANR	144	Identifier	stride		2	1					
ANR	145	PrimaryExpression	4		2	1					
ANR	146	PrimaryExpression	3		2	1					
ANR	147	ExpressionStatement	( ( pixel4 * ) ( src + 0 * stride ) ) [ 0 ] = ( ( pixel4 * ) ( src + 1 * stride ) ) [ 0 ] = ( ( pixel4 * ) ( src + 2 * stride ) ) [ 0 ] = ( ( pixel4 * ) ( src + 3 * stride ) ) [ 0 ] = PIXEL_SPLAT_X4 ( dc )	21:4:578:731	2	4	True				
