command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/devign__18_vulnerable_mpeg1_decode_sequence__pattern_dead_code__c1/_work/source/devign__18_vulnerable_mpeg1_decode_sequence__pattern_dead_code__c1.c								
ANR	2	Function	mpeg1_decode_sequence	1:0:0:3465							
ANR	3	FunctionDef	"mpeg1_decode_sequence (AVCodecContext * avctx , const uint8_t * buf , int buf_size)"		2	0					
ANR	4	CompoundStatement		5:0:125:3465	2	0					
ANR	5	IfStatement	if ( 0 )		2	0					
ANR	6	Condition	0	7:8:136:136	2	0	True				
ANR	7	PrimaryExpression	0		2	0					
ANR	8	CompoundStatement		6:8:89:127	2	1					
ANR	9	IdentifierDeclStatement	char dwk_src_1 [ 8 ] = { 0 } ;	8:8:149:172	2	0	True				
ANR	10	IdentifierDecl	dwk_src_1 [ 8 ] = { 0 }		2	0					
ANR	11	IdentifierDeclType	char [ 8 ]		2	0					
ANR	12	Identifier	dwk_src_1		2	1					
ANR	13	PrimaryExpression	8		2	2					
ANR	14	AssignmentExpression	dwk_src_1 [ 8 ] = { 0 }		2	3		=			
ANR	15	Identifier	dwk_src_1		2	0					
ANR	16	InitializerList	0		2	1					
ANR	17	PrimaryExpression	0		2	0					
ANR	18	IdentifierDeclStatement	char dwk_dst_1 [ 8 ] = { 0 } ;	9:8:182:205	2	1	True				
ANR	19	IdentifierDecl	dwk_dst_1 [ 8 ] = { 0 }		2	0					
ANR	20	IdentifierDeclType	char [ 8 ]		2	0					
ANR	21	Identifier	dwk_dst_1		2	1					
ANR	22	PrimaryExpression	8		2	2					
ANR	23	AssignmentExpression	dwk_dst_1 [ 8 ] = { 0 }		2	3		=			
ANR	24	Identifier	dwk_dst_1		2	0					
ANR	25	InitializerList	0		2	1					
ANR	26	PrimaryExpression	0		2	0					
ANR	27	IdentifierDeclStatement	int dwk_len_1 = ( int ) sizeof ( dwk_dst_1 ) ;	10:8:215:253	2	2	True				
ANR	28	IdentifierDecl	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		2	0					
ANR	29	IdentifierDeclType	int		2	0					
ANR	30	Identifier	dwk_len_1		2	1					
ANR	31	AssignmentExpression	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		2	2		=			
ANR	32	Identifier	dwk_len_1		2	0					
ANR	33	CastExpression	( int ) sizeof ( dwk_dst_1 )		2	1					
ANR	34	CastTarget	int		2	0					
ANR	35	SizeofExpression	sizeof ( dwk_dst_1 )		2	1					
ANR	36	Sizeof	sizeof		2	0					
ANR	37	SizeofOperand	dwk_dst_1		2	1					
ANR	38	IfStatement	if ( dwk_len_1 > 0 )		2	3					
ANR	39	Condition	dwk_len_1 > 0	11:12:267:279	2	0	True				
ANR	40	RelationalExpression	dwk_len_1 > 0		2	0		>			
ANR	41	Identifier	dwk_len_1		2	0					
ANR	42	PrimaryExpression	0		2	1					
ANR	43	CompoundStatement		7:27:156:156	2	1					
ANR	44	ExpressionStatement	dwk_dst_1 [ dwk_len_1 - 1 ] = dwk_src_1 [ 0 ]	12:12:296:335	2	0	True				
ANR	45	AssignmentExpression	dwk_dst_1 [ dwk_len_1 - 1 ] = dwk_src_1 [ 0 ]		2	0		=			
ANR	46	ArrayIndexing	dwk_dst_1 [ dwk_len_1 - 1 ]		2	0					
ANR	47	Identifier	dwk_dst_1		2	0					
ANR	48	AdditiveExpression	dwk_len_1 - 1		2	1		-			
ANR	49	Identifier	dwk_len_1		2	0					
ANR	50	PrimaryExpression	1		2	1					
ANR	51	ArrayIndexing	dwk_src_1 [ 0 ]		2	1					
ANR	52	Identifier	dwk_src_1		2	0					
ANR	53	PrimaryExpression	0		2	1					
ANR	54	IdentifierDeclStatement	Mpeg1Context * s1 = avctx -> priv_data ;	15:4:357:393	2	1	True				
ANR	55	IdentifierDecl	* s1 = avctx -> priv_data		2	0					
ANR	56	IdentifierDeclType	Mpeg1Context *		2	0					
ANR	57	Identifier	s1		2	1					
ANR	58	AssignmentExpression	* s1 = avctx -> priv_data		2	2		=			
ANR	59	Identifier	s1		2	0					
ANR	60	PtrMemberAccess	avctx -> priv_data		2	1					
ANR	61	Identifier	avctx		2	0					
ANR	62	Identifier	priv_data		2	1					
ANR	63	IdentifierDeclStatement	MpegEncContext * s = & s1 -> mpeg_enc_ctx ;	17:4:400:437	2	2	True				
ANR	64	IdentifierDecl	* s = & s1 -> mpeg_enc_ctx		2	0					
ANR	65	IdentifierDeclType	MpegEncContext *		2	0					
ANR	66	Identifier	s		2	1					
ANR	67	AssignmentExpression	* s = & s1 -> mpeg_enc_ctx		2	2		=			
ANR	68	Identifier	s		2	0					
ANR	69	UnaryOperationExpression	& s1 -> mpeg_enc_ctx		2	1					
ANR	70	UnaryOperator	&		2	0					
ANR	71	PtrMemberAccess	s1 -> mpeg_enc_ctx		2	1					
ANR	72	Identifier	s1		2	0					
ANR	73	Identifier	mpeg_enc_ctx		2	1					
ANR	74	IdentifierDeclStatement	"int width , height ;"	19:4:444:461	2	3	True				
ANR	75	IdentifierDecl	width		2	0					
ANR	76	IdentifierDeclType	int		2	0					
ANR	77	Identifier	width		2	1					
ANR	78	IdentifierDecl	height		2	1					
ANR	79	IdentifierDeclType	int		2	0					
ANR	80	Identifier	height		2	1					
ANR	81	IdentifierDeclStatement	"int i , v , j ;"	21:4:468:479	2	4	True				
ANR	82	IdentifierDecl	i		2	0					
ANR	83	IdentifierDeclType	int		2	0					
ANR	84	Identifier	i		2	1					
ANR	85	IdentifierDecl	v		2	1					
ANR	86	IdentifierDeclType	int		2	0					
ANR	87	Identifier	v		2	1					
ANR	88	IdentifierDecl	j		2	2					
ANR	89	IdentifierDeclType	int		2	0					
ANR	90	Identifier	j		2	1					
ANR	91	ExpressionStatement	"init_get_bits ( & s -> gb , buf , buf_size * 8 )"	25:4:488:528	2	5	True				
ANR	92	CallExpression	"init_get_bits ( & s -> gb , buf , buf_size * 8 )"		2	0					
ANR	93	Callee	init_get_bits		2	0					
ANR	94	Identifier	init_get_bits		2	0					
ANR	95	ArgumentList	& s -> gb		2	1					
ANR	96	Argument	& s -> gb		2	0					
ANR	97	UnaryOperationExpression	& s -> gb		2	0					
ANR	98	UnaryOperator	&		2	0					
ANR	99	PtrMemberAccess	s -> gb		2	1					
ANR	100	Identifier	s		2	0					
ANR	101	Identifier	gb		2	1					
ANR	102	Argument	buf		2	1					
ANR	103	Identifier	buf		2	0					
ANR	104	Argument	buf_size * 8		2	2					
ANR	105	MultiplicativeExpression	buf_size * 8		2	0		*			
ANR	106	Identifier	buf_size		2	0					
ANR	107	PrimaryExpression	8		2	1					
ANR	108	ExpressionStatement	"width = get_bits ( & s -> gb , 12 )"	29:4:537:566	2	6	True				
ANR	109	AssignmentExpression	"width = get_bits ( & s -> gb , 12 )"		2	0		=			
ANR	110	Identifier	width		2	0					
ANR	111	CallExpression	"get_bits ( & s -> gb , 12 )"		2	1					
ANR	112	Callee	get_bits		2	0					
ANR	113	Identifier	get_bits		2	0					
ANR	114	ArgumentList	& s -> gb		2	1					
ANR	115	Argument	& s -> gb		2	0					
ANR	116	UnaryOperationExpression	& s -> gb		2	0					
ANR	117	UnaryOperator	&		2	0					
ANR	118	PtrMemberAccess	s -> gb		2	1					
ANR	119	Identifier	s		2	0					
ANR	120	Identifier	gb		2	1					
ANR	121	Argument	12		2	1					
ANR	122	PrimaryExpression	12		2	0					
ANR	123	ExpressionStatement	"height = get_bits ( & s -> gb , 12 )"	31:4:573:602	2	7	True				
ANR	124	AssignmentExpression	"height = get_bits ( & s -> gb , 12 )"		2	0		=			
ANR	125	Identifier	height		2	0					
ANR	126	CallExpression	"get_bits ( & s -> gb , 12 )"		2	1					
ANR	127	Callee	get_bits		2	0					
ANR	128	Identifier	get_bits		2	0					
