start	end	type	var
6	7	IS_AST_PARENT	
5	6	IS_AST_PARENT	
10	11	IS_AST_PARENT	
10	12	IS_AST_PARENT	
10	13	IS_AST_PARENT	
14	15	IS_AST_PARENT	
16	17	IS_AST_PARENT	
14	16	IS_AST_PARENT	
10	14	IS_AST_PARENT	
9	10	IS_AST_PARENT	
8	9	IS_AST_PARENT	
19	20	IS_AST_PARENT	
19	21	IS_AST_PARENT	
19	22	IS_AST_PARENT	
23	24	IS_AST_PARENT	
25	26	IS_AST_PARENT	
23	25	IS_AST_PARENT	
19	23	IS_AST_PARENT	
18	19	IS_AST_PARENT	
8	18	IS_AST_PARENT	
28	29	IS_AST_PARENT	
28	30	IS_AST_PARENT	
31	32	IS_AST_PARENT	
33	34	IS_AST_PARENT	
35	36	IS_AST_PARENT	
35	37	IS_AST_PARENT	
33	35	IS_AST_PARENT	
31	33	IS_AST_PARENT	
28	31	IS_AST_PARENT	
27	28	IS_AST_PARENT	
8	27	IS_AST_PARENT	
40	41	IS_AST_PARENT	
40	42	IS_AST_PARENT	
39	40	IS_AST_PARENT	
38	39	IS_AST_PARENT	
46	47	IS_AST_PARENT	
48	49	IS_AST_PARENT	
48	50	IS_AST_PARENT	
46	48	IS_AST_PARENT	
45	46	IS_AST_PARENT	
51	52	IS_AST_PARENT	
51	53	IS_AST_PARENT	
45	51	IS_AST_PARENT	
44	45	IS_AST_PARENT	
43	44	IS_AST_PARENT	
38	43	IS_AST_PARENT	
8	38	IS_AST_PARENT	
5	8	IS_AST_PARENT	
4	5	IS_AST_PARENT	
4	54	IS_AST_PARENT	
4	55	IS_AST_PARENT	
4	56	IS_AST_PARENT	
4	57	IS_AST_PARENT	
4	58	IS_AST_PARENT	
4	59	IS_AST_PARENT	
4	60	IS_AST_PARENT	
4	61	IS_AST_PARENT	
4	62	IS_AST_PARENT	
4	63	IS_AST_PARENT	
4	64	IS_AST_PARENT	
4	65	IS_AST_PARENT	
67	68	IS_AST_PARENT	
67	69	IS_AST_PARENT	
66	67	IS_AST_PARENT	
4	66	IS_AST_PARENT	
71	72	IS_AST_PARENT	
71	73	IS_AST_PARENT	
70	71	IS_AST_PARENT	
4	70	IS_AST_PARENT	
75	76	IS_AST_PARENT	
75	77	IS_AST_PARENT	
74	75	IS_AST_PARENT	
4	74	IS_AST_PARENT	
4	78	IS_AST_PARENT	
80	81	IS_AST_PARENT	
80	82	IS_AST_PARENT	
80	83	IS_AST_PARENT	
79	80	IS_AST_PARENT	
4	79	IS_AST_PARENT	
85	86	IS_AST_PARENT	
85	87	IS_AST_PARENT	
84	85	IS_AST_PARENT	
4	84	IS_AST_PARENT	
91	92	IS_AST_PARENT	
91	93	IS_AST_PARENT	
90	91	IS_AST_PARENT	
95	96	IS_AST_PARENT	
95	97	IS_AST_PARENT	
94	95	IS_AST_PARENT	
94	98	IS_AST_PARENT	
90	94	IS_AST_PARENT	
89	90	IS_AST_PARENT	
88	89	IS_AST_PARENT	
100	101	IS_AST_PARENT	
100	102	IS_AST_PARENT	
99	100	IS_AST_PARENT	
88	99	IS_AST_PARENT	
4	88	IS_AST_PARENT	
105	106	IS_AST_PARENT	
105	107	IS_AST_PARENT	
104	105	IS_AST_PARENT	
108	109	IS_AST_PARENT	
108	110	IS_AST_PARENT	
104	108	IS_AST_PARENT	
103	104	IS_AST_PARENT	
4	103	IS_AST_PARENT	
112	113	IS_AST_PARENT	
112	114	IS_AST_PARENT	
111	112	IS_AST_PARENT	
4	111	IS_AST_PARENT	
119	120	IS_AST_PARENT	
118	119	IS_AST_PARENT	
122	123	IS_AST_PARENT	
121	122	IS_AST_PARENT	
124	125	IS_AST_PARENT	
121	124	IS_AST_PARENT	
126	127	IS_AST_PARENT	
121	126	IS_AST_PARENT	
118	121	IS_AST_PARENT	
117	118	IS_AST_PARENT	
117	128	IS_AST_PARENT	
116	117	IS_AST_PARENT	
115	116	IS_AST_PARENT	
132	133	IS_AST_PARENT	
134	135	IS_AST_PARENT	
134	136	IS_AST_PARENT	
132	134	IS_AST_PARENT	
