start	end	type	var
6	7	IS_AST_PARENT	
5	6	IS_AST_PARENT	
10	11	IS_AST_PARENT	
10	12	IS_AST_PARENT	
13	14	IS_AST_PARENT	
13	15	IS_AST_PARENT	
10	13	IS_AST_PARENT	
9	10	IS_AST_PARENT	
8	9	IS_AST_PARENT	
17	18	IS_AST_PARENT	
17	19	IS_AST_PARENT	
16	17	IS_AST_PARENT	
8	16	IS_AST_PARENT	
5	8	IS_AST_PARENT	
4	5	IS_AST_PARENT	
4	20	IS_AST_PARENT	
4	21	IS_AST_PARENT	
4	22	IS_AST_PARENT	
4	23	IS_AST_PARENT	
4	24	IS_AST_PARENT	
4	25	IS_AST_PARENT	
4	26	IS_AST_PARENT	
4	27	IS_AST_PARENT	
4	28	IS_AST_PARENT	
4	29	IS_AST_PARENT	
4	30	IS_AST_PARENT	
4	31	IS_AST_PARENT	
33	34	IS_AST_PARENT	
33	35	IS_AST_PARENT	
32	33	IS_AST_PARENT	
4	32	IS_AST_PARENT	
37	38	IS_AST_PARENT	
37	39	IS_AST_PARENT	
36	37	IS_AST_PARENT	
4	36	IS_AST_PARENT	
41	42	IS_AST_PARENT	
41	43	IS_AST_PARENT	
40	41	IS_AST_PARENT	
4	40	IS_AST_PARENT	
4	44	IS_AST_PARENT	
46	47	IS_AST_PARENT	
46	48	IS_AST_PARENT	
46	49	IS_AST_PARENT	
45	46	IS_AST_PARENT	
4	45	IS_AST_PARENT	
51	52	IS_AST_PARENT	
51	53	IS_AST_PARENT	
50	51	IS_AST_PARENT	
4	50	IS_AST_PARENT	
57	58	IS_AST_PARENT	
57	59	IS_AST_PARENT	
56	57	IS_AST_PARENT	
61	62	IS_AST_PARENT	
61	63	IS_AST_PARENT	
60	61	IS_AST_PARENT	
60	64	IS_AST_PARENT	
56	60	IS_AST_PARENT	
55	56	IS_AST_PARENT	
54	55	IS_AST_PARENT	
66	67	IS_AST_PARENT	
66	68	IS_AST_PARENT	
65	66	IS_AST_PARENT	
54	65	IS_AST_PARENT	
4	54	IS_AST_PARENT	
71	72	IS_AST_PARENT	
71	73	IS_AST_PARENT	
70	71	IS_AST_PARENT	
74	75	IS_AST_PARENT	
74	76	IS_AST_PARENT	
70	74	IS_AST_PARENT	
69	70	IS_AST_PARENT	
4	69	IS_AST_PARENT	
78	79	IS_AST_PARENT	
78	80	IS_AST_PARENT	
77	78	IS_AST_PARENT	
4	77	IS_AST_PARENT	
85	86	IS_AST_PARENT	
84	85	IS_AST_PARENT	
88	89	IS_AST_PARENT	
87	88	IS_AST_PARENT	
90	91	IS_AST_PARENT	
87	90	IS_AST_PARENT	
92	93	IS_AST_PARENT	
87	92	IS_AST_PARENT	
84	87	IS_AST_PARENT	
83	84	IS_AST_PARENT	
83	94	IS_AST_PARENT	
82	83	IS_AST_PARENT	
81	82	IS_AST_PARENT	
98	99	IS_AST_PARENT	
100	101	IS_AST_PARENT	
100	102	IS_AST_PARENT	
98	100	IS_AST_PARENT	
97	98	IS_AST_PARENT	
96	97	IS_AST_PARENT	
105	106	IS_AST_PARENT	
105	107	IS_AST_PARENT	
104	105	IS_AST_PARENT	
103	104	IS_AST_PARENT	
103	108	IS_AST_PARENT	
103	109	IS_AST_PARENT	
103	110	IS_AST_PARENT	
103	111	IS_AST_PARENT	
103	112	IS_AST_PARENT	
103	113	IS_AST_PARENT	
103	114	IS_AST_PARENT	
103	115	IS_AST_PARENT	
103	116	IS_AST_PARENT	
103	117	IS_AST_PARENT	
103	118	IS_AST_PARENT	
103	119	IS_AST_PARENT	
122	123	IS_AST_PARENT	
124	125	IS_AST_PARENT	
124	126	IS_AST_PARENT	
122	124	IS_AST_PARENT	
121	122	IS_AST_PARENT	
120	121	IS_AST_PARENT	
127	128	IS_AST_PARENT	
120	127	IS_AST_PARENT	
129	130	IS_AST_PARENT	
131	132	IS_AST_PARENT	
131	133	IS_AST_PARENT	
129	131	IS_AST_PARENT	
120	129	IS_AST_PARENT	
137	138	IS_AST_PARENT	
136	137	IS_AST_PARENT	
140	141	IS_AST_PARENT	
