command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_124703_code_all_input_sources/runs/perturbed/devign__20_non_vulnerable_static_int_vfio_set_resample_eventfd__pattern_dead_code__c1/_work/source/devign__20_non_vulnerable_static_int_vfio_set_resample_eventfd__pattern_dead_code__c1.c								
ANR	2	Function	vfio_set_resample_eventfd	1:0:0:1013							
ANR	3	FunctionDef	vfio_set_resample_eventfd (VFIOINTp * intp)		2	0					
ANR	4	CompoundStatement		3:0:54:1013	2	0					
ANR	5	IfStatement	if ( 0 )		2	0					
ANR	6	Condition	0	5:8:65:65	2	0	True				
ANR	7	PrimaryExpression	0		2	0					
ANR	8	CompoundStatement		6:8:89:127	2	1					
ANR	9	IdentifierDeclStatement	char dwk_src_1 [ 8 ] = { 0 } ;	6:8:78:101	2	0	True				
ANR	10	IdentifierDecl	dwk_src_1 [ 8 ] = { 0 }		2	0					
ANR	11	IdentifierDeclType	char [ 8 ]		2	0					
ANR	12	Identifier	dwk_src_1		2	1					
ANR	13	PrimaryExpression	8		2	2					
ANR	14	AssignmentExpression	dwk_src_1 [ 8 ] = { 0 }		2	3		=			
ANR	15	Identifier	dwk_src_1		2	0					
ANR	16	InitializerList	0		2	1					
ANR	17	PrimaryExpression	0		2	0					
ANR	18	IdentifierDeclStatement	char dwk_dst_1 [ 8 ] = { 0 } ;	7:8:111:134	2	1	True				
ANR	19	IdentifierDecl	dwk_dst_1 [ 8 ] = { 0 }		2	0					
ANR	20	IdentifierDeclType	char [ 8 ]		2	0					
ANR	21	Identifier	dwk_dst_1		2	1					
ANR	22	PrimaryExpression	8		2	2					
ANR	23	AssignmentExpression	dwk_dst_1 [ 8 ] = { 0 }		2	3		=			
ANR	24	Identifier	dwk_dst_1		2	0					
ANR	25	InitializerList	0		2	1					
ANR	26	PrimaryExpression	0		2	0					
ANR	27	IdentifierDeclStatement	int dwk_len_1 = ( int ) sizeof ( dwk_dst_1 ) ;	8:8:144:182	2	2	True				
ANR	28	IdentifierDecl	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		2	0					
ANR	29	IdentifierDeclType	int		2	0					
ANR	30	Identifier	dwk_len_1		2	1					
ANR	31	AssignmentExpression	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		2	2		=			
ANR	32	Identifier	dwk_len_1		2	0					
ANR	33	CastExpression	( int ) sizeof ( dwk_dst_1 )		2	1					
ANR	34	CastTarget	int		2	0					
ANR	35	SizeofExpression	sizeof ( dwk_dst_1 )		2	1					
ANR	36	Sizeof	sizeof		2	0					
ANR	37	SizeofOperand	dwk_dst_1		2	1					
ANR	38	IfStatement	if ( dwk_len_1 > 0 )		2	3					
ANR	39	Condition	dwk_len_1 > 0	9:12:196:208	2	0	True				
ANR	40	RelationalExpression	dwk_len_1 > 0		2	0		>			
ANR	41	Identifier	dwk_len_1		2	0					
ANR	42	PrimaryExpression	0		2	1					
ANR	43	CompoundStatement		7:27:156:156	2	1					
